ProbeName,Fold change([1] vs Zero),Regulation([1] vs Zero),[1](normalized),Common name,GeneSymbol,Description,GenbankAccession,ControlType,Input,Suggested Match,History,Input,Suggested Match,History
A_12_P116669,2.2016385,down,-1.1385776,A_12_P116669,A_12_P116669,,,False,,,,,,
A_12_P117270,2.4441407,down,-1.2893273,A_12_P117270,A_12_P117270,,,False,,,,,,
A_12_P117316,2.268038,down,-1.1814448,A_12_P117316,A_12_P117316,,,False,,,,,,
A_12_P117391,2.2377245,down,-1.1620325,A_12_P117391,A_12_P117391,,,False,,,,,,
A_12_P118453,3.354015,down,-1.7458892,A_12_P118453,A_12_P118453,,,False,,,,,,
A_12_P118508,7.0755515,down,-2.8228426,A_12_P118508,A_12_P118508,,,False,,,,,,
A_12_P118640,2.3272083,down,-1.2186004,A_12_P118640,A_12_P118640,,,False,,,,,,
A_12_P118855,4.9347854,down,-2.3029873,A_12_P118855,A_12_P118855,,,False,,,,,,
A_12_P119448,2.6664321,down,-1.4149107,A_12_P119448,A_12_P119448,,,False,,,,,,
A_12_P117012,2.7966957,down,-1.4837233,B0001.2,B0001.2,,,False,,,,,,
A_12_P112518,2.6510224,down,-1.4065489,B0001.7,B0001.7,,,False,,,,,,
A_12_P103921,3.0474088,down,-1.607583,B0001.8.3,B0001.8.3,,,False,,,,,,
A_12_P114457,2.6074812,down,-1.3826569,B0024.11.1,B0024.11.1,Uncharacterized protein family UPF0024 [B0024.11.1],,False,,,,,,
A_12_P108711,2.2708287,down,-1.1832188,B0024.13b,B0024.13b,,,False,,,,,,
A_12_P101373,2.6589556,down,-1.4108597,B0035.11.2,B0035.11.2,Yeast LEO1 protein like [B0035.11.2],,False,,,,,,
A_12_P107200,2.151055,down,-1.1050445,B0035.16,B0035.16,Haemophilus hypothetical protein HI1074 like [B0035.16],,False,,,,,,
A_12_P109898,2.5635614,down,-1.3581495,B0035.6,B0035.6,,,False,,,,,,
A_12_P110020,3.0939717,down,-1.62946,B0041.2a.2,B0041.2a.2,,,False,,,,,,
A_12_P105586,2.8825707,down,-1.527356,B0041.8,B0041.8,,,False,,,,,,
A_12_P102153,2.3230014,down,-1.21599,B0047.5,B0047.5,,,False,,,,,,
A_12_P117966,2.4759643,down,-1.3079906,B0205.1,B0205.1,,,False,,,,,,
A_12_P104180,2.5122316,down,-1.3289695,B0205.9,B0205.9,,,False,,,,,,
A_12_P111349,2.7641664,down,-1.4668444,B0207.6,B0207.6,,,False,,,,,,
A_12_P118944,2.2820084,down,-1.1903042,B0213.15,B0213.15,cytochrome P450 [B0213.15],,False,,,,,,
A_12_P117110,2.8900666,down,-1.5311028,B0218.6,B0218.6,,,False,,,,,,
A_12_P108357,9.04342,down,-3.1768684,B0218.8,B0218.8,,,False,,,,,,
A_12_P112768,3.1390972,down,-1.6503497,B0238.9,B0238.9,,,False,,,,,,
A_12_P101671,2.5090015,down,-1.3271133,B0240.4,B0240.4,,,False,,,,,,
A_12_P114896,3.0866437,down,-1.6260389,B0244.8,B0244.8,LDL receptor [B0244.8],,False,,,,,,
A_12_P107938,3.3239667,down,-1.732906,B0250.7,B0250.7,Ribosomal Proteins L2 [B0250.7],,False,,,,,,
A_12_P101425,2.7987041,down,-1.484759,B0252.4a,B0252.4a,Cyclophilin [B0252.4a],,False,,,,,,
A_12_P106721,2.1834612,down,-1.126617,B0252.4b,B0252.4b,,,False,,,,,,
A_12_P116388,2.736903,down,-1.4525443,B0261.7,B0261.7,,,False,,,,,,
A_12_P106441,2.9949677,down,-1.5825404,B0273.2,B0273.2,"Pumilio-family RNA binding domains (aka PUM-HD, Pumilio homology domain) (6 domains) [F18A11.1]",,False,,,,,,
A_12_P114356,4.153026,down,-2.054163,B0273.2,B0273.2,"Pumilio-family RNA binding domains (aka PUM-HD, Pumilio homology domain) (6 domains) [F18A11.1]",,False,,,,,,
A_12_P111148,4.231708,down,-2.0812402,B0280.5.2,B0280.5.2,,,False,,,,,,
A_12_P114813,6.046582,down,-2.5961199,B0281.4,B0281.4,,,False,,,,,,
A_12_P100216,8.2701,down,-3.0479047,B0281.5,B0281.5,,,False,,,,,,
A_12_P119079,2.3199828,down,-1.2141141,B0285.5,B0285.5,,,False,,,,,,
A_12_P102368,2.4058056,down,-1.26652,B0303.9,B0303.9,SLP-1 [B0303.9],,False,,,,,,
A_12_P106702,3.6975398,down,-1.8865657,B0304.2,B0304.2,,,False,,,,,,
A_12_P102862,2.658988,down,-1.4108772,B0304.4,B0304.4,,,False,,,,,,
A_12_P113714,2.8422265,down,-1.5070215,B0310.5,B0310.5,UDP galactosyltransferase [B0310.5],,False,,,,,,
A_12_P119479,2.2082467,down,-1.1429013,B0334.8.2,B0334.8.2,phosphatidylinositol 3-kinase [B0334.8.2],,False,,,,,,
A_12_P118555,3.7543151,down,-1.9085498,B0334.9,B0334.9,,,False,,,,,,
A_12_P119087,2.3143747,down,-1.2106224,B0336.1,B0336.1,,,False,,,,,,
A_12_P102259,2.9269757,down,-1.5494108,B0336.5,B0336.5,,,False,,,,,,
A_12_P103807,2.3652394,down,-1.2419862,B0336.6.2,B0336.6.2,,,False,,,,,,
A_12_P117879,2.1532238,down,-1.1064982,B0336.8,B0336.8,,,False,,,,,,
A_12_P110177,2.9578102,down,-1.5645294,B0348.6b,B0348.6b,,,False,,,,,,
A_12_P116046,4.289034,down,-2.1006527,B0348.6c,B0348.6c,,,False,,,,,,
A_12_P103281,2.3026233,down,-1.2032784,B0361.6,B0361.6,,,False,,,,,,
A_12_P106719,5.613055,down,-2.4887862,B0391.5,B0391.5,,,False,,,,,,
A_12_P113127,2.7391315,down,-1.4537185,B0393.2.2,B0393.2.2,Probable rabGAP domains [B0393.2.2],,False,,,,,,
A_12_P117347,4.300778,down,-2.1045976,B0393.3,B0393.3,Leucine Rich Repeat (2 copies) (2 domains) [B0393.3],,False,,,,,,
A_12_P106375,2.848081,down,-1.5099902,B0393.6,B0393.6,"Zinc finger, C3HC4 type (RING finger) [B0393.6]",,False,,,,,,
A_12_P102171,4.018817,down,-2.0067708,B0410.2a,B0410.2a,,,False,,,,,,
A_12_P103339,2.5694978,down,-1.3614864,B0414.3,B0414.3,histone H1 [B0414.3],,False,,,,,,
A_12_P102509,2.627744,down,-1.3938247,B0414.3,B0414.3,histone H1 [B0414.3],,False,,,,,,
A_12_P120154,2.2071075,down,-1.142157,B0414.5,B0414.5,RNA binding protein [B0414.5],,False,,,,,,
A_12_P107103,2.0679915,down,-1.0482302,B0414.6,B0414.6,RNA helicase [B0414.6],,False,,,,,,
A_12_P114368,2.5060492,down,-1.3254148,B0416.2,B0416.2,,,False,,,,,,
A_12_P113525,12.025467,down,-3.588021,B0416.4,B0416.4,,,False,,,,,,
A_12_P111766,3.1044729,down,-1.6343483,B0432.10,B0432.10,,,False,,,,,,
A_12_P113221,3.2663312,down,-1.707671,B0432.13,B0432.13,,,False,,,,,,
A_12_P104461,3.9304497,down,-1.9746944,B0432.8,B0432.8,,,False,,,,,,
A_12_P104967,2.129135,down,-1.0902673,B0464.8,B0464.8,,,False,,,,,,
A_12_P118543,2.1898503,down,-1.1308323,B0464.8,B0464.8,,,False,,,,,,
A_12_P109331,2.4310763,down,-1.2815951,B0464.9,B0464.9,,,False,,,,,,
A_12_P111201,3.6275485,down,-1.8589948,B0507.8,B0507.8,,,False,,,,,,
A_12_P102869,2.4384043,down,-1.2859374,B0511.13,B0511.13,,,False,,,,,,
A_12_P113252,2.5407014,down,-1.3452268,B0511.2,B0511.2,,,False,,,,,,
A_12_P109615,2.3174486,down,-1.2125374,B0511.7,B0511.7,,,False,,,,,,
A_12_P112238,4.841737,down,-2.2755246,B0513.4,B0513.4,,,False,,,,,,
A_12_P102444,2.2317686,down,-1.1581874,B0564.2,B0564.2,,,False,,,,,,
A_12_P112135,2.903984,down,-1.5380335,C01F6.4,C01F6.4,sex-determining protein (FEM-3) [C01F6.4],,False,,,,,,
A_12_P112494,2.2820432,down,-1.1903261,C01F6.8a,C01F6.8a,,,False,,,,,,
A_12_P120101,2.2884698,down,-1.1943833,C01G10.10,C01G10.10,O-sialoglycoprotein endopeptidase [C01G10.10],,False,,,,,,
A_12_P105152,2.3096914,down,-1.2077001,C01G10.12,C01G10.12,DNAJ protein [C01G10.12],,False,,,,,,
A_12_P119007,2.1862583,down,-1.1284639,C01G5.8,C01G5.8,,,False,,,,,,
A_12_P106532,6.157433,down,-2.622329,C01G6.3.1,C01G6.3.1,,,False,,,,,,
A_12_P109439,2.4491203,down,-1.2922636,C01G6.6a.1,C01G6.6a.1,NADPH-ferrihemoprotein reductase [C01G6.6a.1],,False,,,,,,
A_12_P109025,3.6707473,down,-1.8760738,C01G8.1,C01G8.1,,,False,,,,,,
A_12_P116295,2.4166949,down,-1.2730354,C01G8.3,C01G8.3,oxidoreductase [C01G8.3],,False,,,,,,
A_12_P108905,2.2243228,down,-1.1533662,C01H6.7,C01H6.7,Bromodomain [C01H6.7],,False,,,,,,
A_12_P104828,2.752735,down,-1.4608656,C02A12.1,C02A12.1,glutathione S-transferase [C02A12.1],,False,,,,,,
A_12_P109198,4.0664454,down,-2.0237682,C02A12.4.1,C02A12.4.1,,,False,,,,,,
A_12_P102849,2.3515227,down,-1.2335953,C02B10.2,C02B10.2,,,False,,,,,,
A_12_P114507,2.2602863,down,-1.1765056,C02F5.1,C02F5.1,,,False,,,,,,
A_12_P115111,2.3051465,down,-1.2048584,C02F5.13,C02F5.13,,,False,,,,,,
A_12_P118984,2.264149,down,-1.1789689,C02F5.4,C02F5.4,,,False,,,,,,
A_12_P106118,3.0419755,down,-1.6050085,C03C10.3.2,C03C10.3.2,Ribonuclease-diphosphate reductase M2 [C03C10.3.2],,False,,,,,,
A_12_P101594,6.030654,down,-2.5923145,C03E10.5,C03E10.5,,,False,,,,,,
A_12_P106008,9.761561,down,-3.287112,C03E10.6,C03E10.6,,,False,,,,,,
A_12_P118934,3.6162026,down,-1.8544755,C03G5.2,C03G5.2,,,False,,,,,,
A_12_P115738,3.2801876,down,-1.7137784,C03H5.1,C03H5.1,,,False,,,,,,
A_12_P115048,5.3708277,down,-2.4251444,C04A11.2,C04A11.2,,,False,,,,,,
A_12_P120042,2.021071,down,-1.0151199,C04A2.1,C04A2.1,,,False,,,,,,
A_12_P118127,2.030908,down,-1.0221249,C04A2.1,C04A2.1,,,False,,,,,,
A_12_P102629,2.5524511,down,-1.3518833,C04A2.7b.2,C04A2.7b.2,,,False,,,,,,
A_12_P115156,6.876168,down,-2.7816048,C04B4.2,C04B4.2,,,False,,,,,,
A_12_P102704,2.7538393,down,-1.4614444,C04F12.9,C04F12.9,,,False,,,,,,
A_12_P120109,2.7057612,down,-1.4360346,C04F5.9,C04F5.9,,,False,,,,,,
A_12_P105555,11.492581,down,-3.522631,C04F6.1,C04F6.1,,,False,,,,,,
A_12_P119232,2.1454427,down,-1.1012754,C04H5.2,C04H5.2,,,False,,,,,,
A_12_P103274,3.655858,down,-1.87021,C04H5.7,C04H5.7,,,False,,,,,,
A_12_P118222,2.4885273,down,-1.3152922,C05C10.4,C05C10.4,acid phosphatase [C05C10.4],,False,,,,,,
A_12_P107407,4.7212343,down,-2.239164,C05C10.5a,C05C10.5a,,,False,,,,,,
A_12_P119337,2.036917,down,-1.0263871,C05C10.7,C05C10.7,,,False,,,,,,
A_12_P118804,2.2614908,down,-1.1772741,C05C8.2,C05C8.2,,,False,,,,,,
A_12_P107173,2.5469804,down,-1.3487879,C05C8.5,C05C8.5,,,False,,,,,,
A_12_P108839,2.1263893,down,-1.0884057,C05C8.6,C05C8.6,,,False,,,,,,
A_12_P113670,2.2832558,down,-1.1910925,C05C8.9a,C05C8.9a,,,False,,,,,,
A_12_P107897,2.7301874,down,-1.449,C05C8.9b,C05C8.9b,,,False,,,,,,
A_12_P105939,2.362805,down,-1.2405006,C05D11.3,C05D11.3,,,False,,,,,,
A_12_P115935,2.37837,down,-1.2499732,C05D11.9.2,C05D11.9.2,,,False,,,,,,
A_12_P108895,2.7649925,down,-1.4672755,C05D2.5,C05D2.5,,,False,,,,,,
A_12_P114396,2.7770958,down,-1.4735769,C05D2.6.2,C05D2.6.2,,,False,,,,,,
A_12_P103944,3.1619298,down,-1.6608053,C05E4.1,C05E4.1,serine protease inhibitor [C05E4.1],,False,,,,,,
A_12_P101523,2.8456867,down,-1.5087768,C06A5.10,C06A5.10,,,False,,,,,,
A_12_P109845,2.1150916,down,-1.0807201,C06A5.11,C06A5.11,,,False,,,,,,
A_12_P119765,2.805397,down,-1.488205,C06A5.6,C06A5.6,,,False,,,,,,
A_12_P118621,2.8117764,down,-1.4914819,C06A5.8b,C06A5.8b,,,False,,,,,,
A_12_P100250,2.0238235,down,-1.0170834,C06A5.8b,C06A5.8b,,,False,,,,,,
A_12_P110892,2.3920417,down,-1.2582425,C06A8.2,C06A8.2,,,False,,,,,,
A_12_P100397,2.6583397,down,-1.4105254,C06A8.4,C06A8.4,,,False,,,,,,
A_12_P118942,3.7228885,down,-1.8964224,C06E2.5.2,C06E2.5.2,,,False,,,,,,
A_12_P109962,2.5248742,down,-1.3362116,C06G3.8.1,C06G3.8.1,,,False,,,,,,
A_12_P120180,2.5441973,down,-1.3472105,C06G4.1,C06G4.1,possible RNA binding protein [C06G4.1],,False,,,,,,
A_12_P103088,2.7644916,down,-1.4670142,C06H2.3.2,C06H2.3.2,Acetyltransferase (GNAT) family [C06H2.3.2],,False,,,,,,
A_12_P112049,5.6186013,down,-2.490211,C06H2.7,C06H2.7,,,False,,,,,,
A_12_P106593,2.9238026,down,-1.547846,C07A12.5a,C07A12.5a,zinc finger protein [C07A12.5a],,False,,,,,,
A_12_P113580,2.0808258,down,-1.0571562,C07A9.2.2,C07A9.2.2,G10 protein [C07A9.2.2],,False,,,,,,
A_12_P108992,2.9851198,down,-1.5777888,C07A9.7a,C07A9.7a,,,False,,,,,,
A_12_P109092,2.4972165,down,-1.3203208,C07B5.5,C07B5.5,,,False,,,,,,
A_12_P102420,2.319375,down,-1.213736,C07D10.5,C07D10.5,,,False,,,,,,
A_12_P117497,2.9015377,down,-1.5368177,C07E3.6,C07E3.6,,,False,,,,,,
A_12_P109139,2.6624403,down,-1.4127492,C07E3.6,C07E3.6,,,False,,,,,,
A_12_P107082,2.9412444,down,-1.5564266,C07G1.7,C07G1.7,,,False,,,,,,
A_12_P103758,4.342952,down,-2.118676,C07G2.1a.1,C07G2.1a.1,Endochitinase (partial) [C07G2.1a.1],,False,,,,,,
A_12_P108232,2.3093994,down,-1.2075177,C07H6.6,C07H6.6,,,False,,,,,,
A_12_P111311,2.4805298,down,-1.3106483,C07H6.8,C07H6.8,,,False,,,,,,
A_12_P100650,2.5033104,down,-1.3238373,C08A9.6,C08A9.6,,,False,,,,,,
A_12_P106526,4.739903,down,-2.2448575,C08A9.8,C08A9.8,,,False,,,,,,
A_12_P113075,3.4731603,down,-1.796249,C08A9.9,C08A9.9,,,False,,,,,,
A_12_P111793,2.6442451,down,-1.402856,C08B11.2,C08B11.2,transcriptional regulatory protein (RPD3) [C08B11.2],,False,,,,,,
A_12_P109847,2.130834,down,-1.0914183,C08B6.8,C08B6.8,YJER protein [C08B6.8],,False,,,,,,
A_12_P114310,3.5016048,down,-1.8080163,C08C3.2,C08C3.2,,,False,,,,,,
A_12_P117015,2.402172,down,-1.2643396,C08C3.4,C08C3.4,,,False,,,,,,
A_12_P103550,20.632416,down,-4.366841,C08F1.6,C08F1.6,,,False,,,,,,
A_12_P113975,9.65049,down,-3.2706022,C08F11.12,C08F11.12,,,False,,,,,,
A_12_P106265,2.7195833,down,-1.4433856,C08F8.3,C08F8.3,,,False,,,,,,
A_12_P120349,2.7922895,down,-1.4814485,C08H9.14,C08H9.14,chitinase [C08H9.14],,False,,,,,,
A_12_P115345,5.7204704,down,-2.5161338,C09B8.5,C09B8.5,,,False,,,,,,
A_12_P105267,2.3778841,down,-1.2496785,C09E7.4,C09E7.4,,,False,,,,,,
A_12_P105843,2.415464,down,-1.2723002,C09G4.3,C09G4.3,cyclin-dependent kinase regulatory subunit [C09G4.3],,False,,,,,,
A_12_P100039,2.1569061,down,-1.1089634,C09G4.5a,C09G4.5a,,,False,,,,,,
A_12_P119787,2.796531,down,-1.4836383,C09G4.5b.2,C09G4.5b.2,,,False,,,,,,
A_12_P113315,2.6137936,down,-1.3861452,C09G5.5,C09G5.5,collagen [C09G5.5],,False,,,,,,
A_12_P104900,2.2483516,down,-1.1688676,C09G9.2,C09G9.2,,,False,,,,,,
A_12_P101397,4.0713177,down,-2.0254958,C09G9.6,C09G9.6,Zinc finger protein [C09G9.6],,False,,,,,,
A_12_P101336,2.2919824,down,-1.196596,C09G9.8,C09G9.8,,,False,,,,,,
A_12_P116232,2.7193398,down,-1.4432565,C09H10.10,C09H10.10,,,False,,,,,,
A_12_P112132,2.3303132,down,-1.2205238,C09H10.6,C09H10.6,histone binding protein [C09H10.6],,False,,,,,,
A_12_P119680,2.2452157,down,-1.166854,C09H6.3,C09H6.3,,,False,,,,,,
A_12_P101789,3.7106433,down,-1.8916693,C10A4.1,C10A4.1,transposase HFL1 (D. melanogaster) [C10A4.1],,False,,,,,,
A_12_P112578,2.2441354,down,-1.1661597,C10B5.1,C10B5.1,,,False,,,,,,
A_12_P108882,2.6376002,down,-1.3992258,C10F3.1,C10F3.1,,,False,,,,,,
A_12_P118131,11.267325,down,-3.4940732,C10G8.4,C10G8.4,,,False,,,,,,
A_12_P109330,2.4685116,down,-1.3036414,C10H11.10,C10H11.10,,,False,,,,,,
A_12_P112178,2.3434248,down,-1.2286185,C11D2.4,C11D2.4,,,False,,,,,,
A_12_P116981,3.6075559,down,-1.8510218,C11E4.7,C11E4.7,,,False,,,,,,
A_12_P111479,2.7285895,down,-1.4481554,C11G6.1,C11G6.1,,,False,,,,,,
A_12_P104652,4.078724,down,-2.028118,C12C8.3b,C12C8.3b,,,False,,,,,,
A_12_P114629,2.6262903,down,-1.3930264,C12D8.12,C12D8.12,,,False,,,,,,
A_12_P111136,2.5571842,down,-1.3545561,C13B9.2,C13B9.2,,,False,,,,,,
A_12_P113087,2.6643505,down,-1.4137839,C13F10.2,C13F10.2,,,False,,,,,,
A_12_P118608,2.160903,down,-1.1116343,C13F10.7.2,C13F10.7.2,,,False,,,,,,
A_12_P111906,3.2018466,down,-1.6789042,C13G5.2,C13G5.2,,,False,,,,,,
A_12_P113369,2.2680914,down,-1.1814789,C14A4.14,C14A4.14,,,False,,,,,,
A_12_P117265,2.0585117,down,-1.0416017,C14A4.3,C14A4.3,,,False,,,,,,
A_12_P119693,2.2057946,down,-1.1412984,C14A4.4a,C14A4.4a,autoantigen PM-SCL [C14A4.4a],,False,,,,,,
A_12_P107783,2.6066132,down,-1.3821765,C14A6.1,C14A6.1,Lectin C-type domain short and long forms (2 domains) [C14A6.1],,False,,,,,,
A_12_P112258,2.4885573,down,-1.3153096,C14B1.2,C14B1.2,,,False,,,,,,
A_12_P119217,2.237306,down,-1.1617627,C14B1.4,C14B1.4,guanine nucleotide binding protein [C14B1.4],,False,,,,,,
A_12_P106661,2.9397874,down,-1.5557119,C14B1.7,C14B1.7,,,False,,,,,,
A_12_P107506,2.3384385,down,-1.2255455,C14B1.9,C14B1.9,,,False,,,,,,
A_12_P114821,2.5911314,down,-1.3735822,C14C10.2,C14C10.2,Transthyretin-like family [C14C10.2],,False,,,,,,
A_12_P117678,2.7464242,down,-1.4575545,C14C10.6,C14C10.6,,,False,,,,,,
A_12_P107907,2.2777433,down,-1.1876053,C14C11.2,C14C11.2,,,False,,,,,,
A_12_P116360,2.114312,down,-1.0801883,C14C11.6,C14C11.6,helicase [C14C11.6],,False,,,,,,
A_12_P105633,12.35556,down,-3.6270885,C15B12.8,C15B12.8,,,False,,,,,,
A_12_P116286,2.4592342,down,-1.2982092,C15C6.4,C15C6.4,,,False,,,,,,
A_12_P109498,2.5688713,down,-1.3611346,C15F1.3a.2,C15F1.3a.2,sex-determination protein [C15F1.3a.2],,False,,,,,,
A_12_P117214,2.5497513,down,-1.3503565,C15F1.4,C15F1.4,translation initiation factor [C15F1.4],,False,,,,,,
A_12_P116164,2.4265678,down,-1.2789172,C15F1.8,C15F1.8,,,False,,,,,,
A_12_P111040,2.9151518,down,-1.543571,C15H11.5,C15H11.5,,,False,,,,,,
A_12_P105932,2.1648803,down,-1.1142873,C15H11.6,C15H11.6,,,False,,,,,,
A_12_P113601,2.7681446,down,-1.4689193,C15H11.8,C15H11.8,DNA-directed RNA polymerase I like [C15H11.8],,False,,,,,,
A_12_P118055,2.4254084,down,-1.2782277,C16A11.2b,C16A11.2b,,,False,,,,,,
A_12_P110974,2.6010766,down,-1.3791089,C16A11.3,C16A11.3,protein kinase [C16A11.3],,False,,,,,,
A_12_P116612,3.1388626,down,-1.6502419,C16A11.4,C16A11.4,,,False,,,,,,
A_12_P112468,2.3957524,down,-1.2604789,C16A3.1a.2,C16A3.1a.2,helicase [C16A3.1a.2],,False,,,,,,
A_12_P110705,4.223645,down,-2.0784886,C16A3.2,C16A3.2,protein-tyrosine phosphatase [C16A3.2],,False,,,,,,
A_12_P107054,5.4233255,down,-2.4391778,C16C10.3,C16C10.3,,,False,,,,,,
A_12_P108633,3.1535268,down,-1.6569662,C16C8.12,C16C8.12,,,False,,,,,,
A_12_P107449,2.1639252,down,-1.1136507,C16C8.13,C16C8.13,,,False,,,,,,
A_12_P117994,2.5313613,down,-1.3399135,C16C8.14,C16C8.14,,,False,,,,,,
A_12_P118234,2.759029,down,-1.4641606,C16C8.4,C16C8.4,,,False,,,,,,
A_12_P107572,2.645864,down,-1.4037389,C17E4.2,C17E4.2,myosin heavy chain like [C17E4.2],,False,,,,,,
A_12_P118400,2.783811,down,-1.4770613,C17E4.3,C17E4.3,,,False,,,,,,
A_12_P114159,2.3000865,down,-1.2016882,C17E4.6,C17E4.6,YL-1 protein like [C17E4.6],,False,,,,,,
A_12_P120239,7.956652,down,-2.9921615,C17E7.12,C17E7.12,,,False,,,,,,
A_12_P105842,5.190041,down,-2.375746,C17E7.3,C17E7.3,,,False,,,,,,
A_12_P102348,7.3407087,down,-2.8759193,C17E7.4,C17E7.4,,,False,,,,,,
A_12_P102441,8.549811,down,-3.0958927,C17E7.9a,C17E7.9a,,,False,,,,,,
A_12_P112602,5.8321414,down,-2.5440257,C17F4.5,C17F4.5,,,False,,,,,,
A_12_P108826,4.6167383,down,-2.206874,C17F4.8,C17F4.8,,,False,,,,,,
A_12_P105584,3.788611,down,-1.921669,C17G1.2,C17G1.2,,,False,,,,,,
A_12_P117635,2.2124422,down,-1.1456398,C17G10.1.2,C17G10.1.2,,,False,,,,,,
A_12_P119650,2.7256496,down,-1.4466001,C17G10.2,C17G10.2,TPR domain [C17G10.2],,False,,,,,,
A_12_P106457,3.2040179,down,-1.6798822,C17G10.4b,C17G10.4b,,,False,,,,,,
A_12_P110481,2.5104187,down,-1.327928,C17H12.8,C17H12.8,,,False,,,,,,
A_12_P120155,2.163691,down,-1.1134945,C18A3.1,C18A3.1,,,False,,,,,,
A_12_P109694,2.0655956,down,-1.0465579,C18A3.5c,C18A3.5c,,,False,,,,,,
A_12_P107366,2.439488,down,-1.2865783,C18E3.8,C18E3.8,seven trans-membrane protein [C18E3.8],,False,,,,,,
A_12_P112338,2.1625626,down,-1.112742,C18E3.9,C18E3.9,,,False,,,,,,
A_12_P100535,2.2269864,down,-1.1550927,C18E9.11b,C18E9.11b,,,False,,,,,,
A_12_P109837,2.4537053,down,-1.2949619,C18G1.4b,C18G1.4b,,,False,,,,,,
A_12_P115606,2.293777,down,-1.1977252,C18H2.2,C18H2.2,,,False,,,,,,
A_12_P104203,2.4452355,down,-1.2899734,C23G10.7b,C23G10.7b,,,False,,,,,,
A_12_P113320,2.0662315,down,-1.047002,C23H3.5,C23H3.5,,,False,,,,,,
A_12_P111839,3.5604436,down,-1.832057,C24B9.9.1,C24B9.9.1,,,False,,,,,,
A_12_P110532,2.7073905,down,-1.436903,C24D10.5,C24D10.5,,,False,,,,,,
A_12_P106941,2.3813143,down,-1.251758,C24F3.2,C24F3.2,"Dual specificity phosphatase, catalytic domain [C24F3.2]",,False,,,,,,
A_12_P105962,2.8057766,down,-1.4884001,C24G6.1,C24G6.1,,,False,,,,,,
A_12_P100379,3.19654,down,-1.6765112,C24G7.4,C24G7.4,,,False,,,,,,
A_12_P119453,4.1330357,down,-2.0472019,C24H10.4,C24H10.4,,,False,,,,,,
A_12_P100764,2.476002,down,-1.3080125,C24H12.5a,C24H12.5a,,,False,,,,,,
A_12_P107479,2.6676383,down,-1.4155631,C25A1.1,C25A1.1,,,False,,,,,,
A_12_P113924,2.9515474,down,-1.5614715,C25A1.3,C25A1.3,Yeast ABD1 protein like [C25A1.3],,False,,,,,,
A_12_P105334,4.480599,down,-2.1636915,C25A1.8,C25A1.8,lectin [C25A1.8],,False,,,,,,
A_12_P105142,2.5444663,down,-1.3473631,C25A1.9,C25A1.9,,,False,,,,,,
A_12_P120178,5.509514,down,-2.461925,C25A11.1,C25A11.1,,,False,,,,,,
A_12_P119483,3.1873305,down,-1.6723486,C25A11.2,C25A11.2,,,False,,,,,,
A_12_P107330,6.804116,down,-2.7664077,C25A8.4,C25A8.4,,,False,,,,,,
A_12_P118274,4.59362,down,-2.1996315,C25B8.4b,C25B8.4b,asialoglycoprotein receptor [C25B8.4a],,False,,,,,,
A_12_P108011,3.141716,down,-1.6515528,C25D7.6.1,C25D7.6.1,DNA replication licensing factor MCM3 [C25D7.6.1],,False,,,,,,
