gene,Overlap Region,Overlap Size,Gene.Public.Name,Avg log2 Fold change (BB4.L4),Max p-value,Input,Suggested Match,History
F44E5.2,0,0,F44E5.2,2.493597497,0.002493887,F44E5.2,WBGene00009689,"Public name for WBGene00009689. History: Split into F44E5.15(WBGene00206377). History of WBGene00009689: Split into ""WBGene00206377"" on 2010-12-13"
Y39A1A.9,0,0,Y39A1A.9,2.477301621,0.004077271,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
C44B7.9,0,0,pmp-2,2.467980881,0.000113072,C44B7.9,WBGene00004059,Sequence name for WBGene00004059(pmp-2). History: N.A.
C25H3.1,0,0,C25H3.1,2.466687667,0.000546103,C25H3.1,WBGene00016111,Public name for WBGene00016111. History: N.A.
C01G10.1,0,0,C01G10.1,2.430387428,0.000113072,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
Y71G12B.11a,0,0,Y71G12B.11,2.422683641,3.31e-06,Y71G12B.11a,WBGene00006771,Molecule name for WBGene00006771(tln-1). History: Renamed on 2011-08-12
Y39G10AR.6,0,0,ugt-31,2.389929149,0.016900422,Y39G10AR.6,WBGene00021464,Sequence name for WBGene00021464(ugt-31). History: N.A.
F31C3.9,0,0,rrn-3.1,2.372267375,0.000192191,F31C3.9,WBGene00004622,Sequence name for WBGene00004622(rrn-3.1). History: N.A.
F57F5.1,0,0,F57F5.1,2.319357082,0.000546103,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
C06E4.5,0,0,C06E4.5,2.315981346,0.016900422,C06E4.5,WBGene00015534,Public name for WBGene00015534. History: N.A.
F43G9.9.2,0,0,cpn-1,2.257519036,0.004077271,F43G9.9.2,WBGene00000777,Molecule name for WBGene00000777(cpn-1). History: N.A.
F58G11.2,0,0,F58G11.2,2.252959281,0.006610689,F58G11.2,WBGene00010280,Sequence name for WBGene00010280(rde-12). History: N.A.
K08F11.6,0,0,K08F11.6,2.243013943,0.041389266,K08F11.6,WBGene00023323,Public name for WBGene00023323. History: N.A.
F53G12.8,0,0,F53G12.8,2.228130216,0.004077271,F53G12.8,WBGene00018773,Public name for WBGene00018773. History: N.A.
T23F6.3,0,0,T23F6.3,2.22320037,0.002493887,T23F6.3,WBGene00011951,Public name for WBGene00011951. History: N.A.
Y43F8B.22,0,0,Y43F8B.22,2.201700501,0.000141966,Y43F8B.22,WBGene00194699,Public name for WBGene00194699. History: N.A.
B0457.4,0,0,B0457.4,2.20077294,0.00091222,B0457.4,WBGene00007179,Public name for WBGene00007179. History: N.A.
K09H9.8,0,0,K09H9.8,2.195092903,0.006610689,K09H9.8,WBGene00045387,Public name for WBGene00045387. History: N.A.
C18D4.4b,0,0,C18D4.4,2.175087213,0.041389266,C18D4.4b,WBGene00007674,"Molecule name for WBGene00007674(C18D4.4). History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
F46F2.4,0,0,F46F2.4,2.14053213,0.016900422,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
F14F7.5,0,0,F14F7.5,2.088184248,0.006610689,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
F23C8.13,0,0,F23C8.13,2.048872327,0.013852788,F23C8.13,WBGene00017741,Public name for WBGene00017741. History: N.A.
C25D7.5.1,0,0,C25D7.5,2.040169265,0.026603543,C25D7.5.1,WBGene00007717,Molecule name for WBGene00007717(C25D7.5). History: N.A.
C25D7.5.2,0,0,C25D7.5,2.040169265,0.026603543,C25D7.5.2,WBGene00007717,Molecule name for WBGene00007717(C25D7.5). History: N.A.
T05B9.2,0,0,T05B9.2,2.032560888,0.006610689,T05B9.2,WBGene00011465,Public name for WBGene00011465. History: N.A.
F09G2.2,0,0,F09G2.2,2.03058872,0.026603543,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
F37A4.8,0,0,isw-1,2.01312663,0.004077271,F37A4.8,WBGene00002169,Sequence name for WBGene00002169(isw-1). History: N.A.
F29G6.3b.1,0,0,F29G6.3,1.956322538,0.006610689,F29G6.3b.1,WBGene00009259,Molecule name for WBGene00009259(hpo-34). History: N.A.
B0035.7,3'UTR + Exon,200,his-47,1.934309915,0.041389266,B0035.7,WBGene00001921,Sequence name for WBGene00001921(his-47). History: N.A.
ZC247.1,0,0,ZC247.1,1.932391194,0.006426472,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
ZK973.6,0,0,anc-1,1.927193336,1.25e-05,ZK973.6,WBGene00000140,Sequence name for WBGene00000140(anc-1). History: N.A.
F39E9.4,0,0,F39E9.4,1.915105422,0.026603543,F39E9.4,WBGene00018196,Sequence name for WBGene00018196(nep-13). History: N.A.
F29G6.3c.1,0,0,F29G6.3,1.914144743,0.010621938,F29G6.3c.1,WBGene00009259,Molecule name for WBGene00009259(hpo-34). History: N.A.
F29G6.3c.2,0,0,F29G6.3,1.914144743,0.010621938,,,
F29G6.3b.2,0,0,F29G6.3,1.908660324,0.006610689,,,
F17A9.1,0,0,fbxa-178,1.88961198,0.026603543,F17A9.1,WBGene00017533,Sequence name for WBGene00017533(fbxa-178). History: N.A.
T23B12.4,0,0,T23B12.4,1.873196035,0.016900422,T23B12.4,WBGene00020719,Sequence name for WBGene00020719(natc-1). History: N.A.
F12F6.6,0,0,sec-24.1,1.862433205,0.041389266,F12F6.6,WBGene00004755,Sequence name for WBGene00004755(sec-24.1). History: N.A.
C26D10.2a,0,0,hel-1,1.823669873,0.000430846,C26D10.2a,WBGene00001840,Molecule name for WBGene00001840(hel-1). History: N.A.
B0303.7b,0,0,B0303.7,1.81707158,0.016900422,B0303.7b,WBGene00015128,Molecule name for WBGene00015128(B0303.7). History: N.A.
ZK131.5,0,0,his-11,1.813482917,0.001450459,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
C08F8.3,0,0,C08F8.3,1.810511881,0.016900422,C08F8.3,WBGene00007445,Public name for WBGene00007445. History: N.A.
K10G9.2,0,0,K10G9.2,1.79901003,0.026603543,K10G9.2,WBGene00010756,Public name for WBGene00010756. History: N.A.
F41G3.12,0,0,agr-1,1.792213074,0.000141966,F41G3.12,WBGene00018304,Sequence name for WBGene00018304(agr-1). History: N.A.
T22A3.6,0,0,T22A3.6,1.783894877,0.016900422,T22A3.6,WBGene00011909,"Public name for WBGene00011909. History: Split into T22A3.12(WBGene00206474). History of WBGene00011909: Split into ""WBGene00206474"" on 2011-04-11"
F13C5.2,0,0,F13C5.2,1.777543169,0.026603543,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
B0041.7,0,0,xnp-1,1.770943606,0.041389266,B0041.7,WBGene00006961,Sequence name for WBGene00006961(xnp-1). History: Renamed on 2004-09-10
M04C3.1b,0,0,M04C3.1,1.744715797,0.026603543,M04C3.1b,WBGene00010850,Molecule name for WBGene00010850(M04C3.1). History: N.A.
Y104H12BR.1,0,0,plst-1,1.735872159,0.016900422,Y104H12BR.1,WBGene00022425,Sequence name for WBGene00022425(plst-1). History: N.A.
C15F1.8,0,0,C15F1.8,1.732308988,0.041389266,C15F1.8,WBGene00015797,Public name for WBGene00015797. History: N.A.
Y51H4A.24,0,0,Y51H4A.24,1.727443649,0.016900422,Y51H4A.24,WBGene00013118,Public name for WBGene00013118. History: N.A.
B0303.7a,0,0,B0303.7,1.727086823,0.041389266,B0303.7a,WBGene00015128,Molecule name for WBGene00015128(B0303.7). History: N.A.
F54D10.3,0,0,F54D10.3,1.725739506,0.009475168,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
F23H12.10,0,0,F23H12.10,1.724115994,0.016900422,F23H12.10,WBGene00044218,Public name for WBGene00044218. History: N.A.
C05C8.4,0,0,gei-6,1.71834655,0.026603543,C05C8.4,WBGene00001563,Sequence name for WBGene00001563(gei-6). History: N.A.
F08A8.8,0,0,F08A8.8,1.713609221,0.041389266,F08A8.8,WBGene00045468,Public name for WBGene00045468. History: N.A.
C15C6.1,0,0,C15C6.1,1.712580068,0.026603543,C15C6.1,WBGene00007600,Public name for WBGene00007600. History: N.A.
F18C5.3,0,0,tag-184,1.712580068,0.026603543,F18C5.3,WBGene00007050,"Sequence name for WBGene00007050(utp-20). History: Renamed on 2016-02-19. Public name for Dead gene WBGene00017558. History of WBGene00017558: Merged into ""WBGene00007050"" on 2005-10-05"
ZK632.6,0,0,cnx-1,1.712580068,0.026603543,ZK632.6,WBGene00000567,Sequence name for WBGene00000567(cnx-1). History: N.A.
C01G6.10,0,0,C01G6.10,1.675563607,0.000263622,C01G6.10,WBGene00014663,Public name for WBGene00014663. History: N.A.
F42A10.8,0,0,nas-28,1.674689394,0.041389266,F42A10.8,WBGene00003546,Sequence name for WBGene00003546(nas-28). History: N.A.
T04D3.4,0,0,gcy-35,1.674689394,0.041389266,T04D3.4,WBGene00001555,Sequence name for WBGene00001555(gcy-35). History: N.A.
D2096.8,0,0,D2096.8,1.660781345,0.000101472,D2096.8,WBGene00017075,Sequence name for WBGene00017075(nap-1). History: Renamed on 2013-01-09
F28B4.1,0,0,F28B4.1,1.653854199,0.026603543,F28B4.1,WBGene00017890,Public name for WBGene00017890. History: N.A.
F57C9.5,0,0,htp-3,1.639835699,0.013852788,F57C9.5,WBGene00002034,Sequence name for WBGene00002034(htp-3). History: N.A.
F25B4.6,0,0,F25B4.6,1.633549312,0.041389266,F25B4.6,WBGene00017769,Sequence name for WBGene00017769(hmgs-1). History: Renamed on 2005-03-17
R10F2.1,0,0,cdh-1,1.615162572,1.88e-05,R10F2.1,WBGene00019994,Sequence name for WBGene00019994(cdh-1). History: N.A.
T05G5.7,0,0,rmd-1,1.607415486,0.041389266,T05G5.7,WBGene00011501,Sequence name for WBGene00011501(rmd-1). History: N.A.
F56D2.3,0,0,F56D2.3,1.595347893,0.001913919,F56D2.3,WBGene00018965,Public name for WBGene00018965. History: N.A.
F42A10.2a,0,0,nfm-1,1.583280434,0.029449126,F42A10.2a,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
F42A10.2b,0,0,nfm-1,1.583280434,0.029449126,F42A10.2b,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
Y69A2AR.31,0,0,Y69A2AR.31,1.577662889,0.001913919,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
K10G6.3,0,0,sea-2,1.546687847,0.009475168,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
ZC395.8,0,0,ztf-8,1.543481538,0.041389266,ZC395.8,WBGene00022598,Sequence name for WBGene00022598(ztf-8). History: N.A.
F42A10.2c,0,0,nfm-1,1.535184948,0.042773637,F42A10.2c,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
F14D2.4b,Exon,200,bath-29,1.532252453,0.041389266,F14D2.4b,WBGene00017452,Molecule name for WBGene00017452(bath-29). History: N.A.
M04C3.1a,0,0,M04C3.1,1.525745216,0.041389266,M04C3.1a,WBGene00010850,Molecule name for WBGene00010850(M04C3.1). History: N.A.
T04D1.2,0,0,T04D1.2,1.523787509,0.000729878,T04D1.2,WBGene00020212,Public name for WBGene00020212. History: N.A.
F23B12.8.1,0,0,bmk-1,1.487326982,0.016124646,,,
F23B12.8.2,0,0,bmk-1,1.487326982,0.016124646,,,
K11D9.1a,0,0,klp-7,1.486878681,0.001402652,K11D9.1a,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
K11D9.1b.1,0,0,klp-7,1.460280659,0.001402652,K11D9.1b.1,WBGene00002219,Molecule name for WBGene00002219(klp-7). History: N.A.
K08E7.3,0,0,let-99,1.448993879,0.013852788,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
Y73E7A.8,0,0,Y73E7A.8,1.444963742,0.040959242,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
F29B9.12,0,0,F29B9.12,1.428884587,0.006426472,F29B9.12,WBGene00044482,Public name for WBGene00044482. History: N.A.
Y57E12AL.3,0,0,Y57E12AL.3,1.407070702,1.46e-05,Y57E12AL.3,WBGene00023382,Public name for WBGene00023382. History: N.A.
F32A11.5,0,0,F32A11.5,1.398070396,0.012603913,F32A11.5,WBGene00009310,Public name for WBGene00009310. History: N.A.
F23C8.1,0,0,F23C8.1,1.388120338,0.032838705,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
K11D9.1b.2,0,0,klp-7,1.348578773,0.009559723,,,
K09H11.11,0,0,K09H11.11,1.343874393,0.000132154,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
Y48C3A.11,0,0,Y48C3A.11,1.337350546,0.009475168,Y48C3A.11,WBGene00012993,Sequence name for WBGene00012993(dmsr-3). History: N.A.
M4.2,0,0,puf-4,1.33395105,0.032838705,M4.2,WBGene00004240,Sequence name for WBGene00004240(puf-4). History: N.A.
B0284.3,0,0,B0284.3,1.31752428,0.001489588,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
F20C5.2e,0,0,klp-11,1.280390426,0.038476924,,,
C04G2.10b,0,0,C04G2.10,1.185845745,6.41e-06,C04G2.10b,WBGene00007309,Molecule name for WBGene00007309(C04G2.10). History: N.A.
C39E9.12,0,0,C39E9.12,1.153358166,0.040959242,C39E9.12,WBGene00008035,Public name for WBGene00008035. History: N.A.
T19H12.2,0,0,T19H12.2,1.023768716,0.006037748,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
