# mRNA hermaphrodite-bias in gonads fold change >2, padj<0.01,,,,,,,,,,,,,
gene,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Female4,Female6,Female7,Male5,Male8,Male9,Input,Suggested Match,History
set-16,T12D8.1,38.43972609,-2.110707254,0.626139395,-3.370986191,0.000748996,0.002544165,62.6457056,35.45160839,49.37624782,11.67949973,11.9692805,9.132595745,set-16,WBGene00011729,Public name for WBGene00011729. History: Renamed on 2007-05-03
C04F12.1,C04F12.1,38.10681062,-2.009977223,0.478291544,-4.202410117,2.64e-05,0.000117234,50.52073032,46.64685314,47.15709061,15.57266631,11.9692805,6.088397163,C04F12.1,WBGene00007297,Public name for WBGene00007297. History: N.A.
dpl-1,T23G7.1,88.1132581,-1.877704665,0.51397247,-3.653317589,0.000258874,0.000974344,58.60404717,113.8183217,86.54713101,13.62608302,40.69555369,15.22099291,dpl-1,WBGene00001061,Public name for WBGene00001061. History: N.A.
smg-6,Y54F10AL.2,155.5534354,-1.864028132,0.342321521,-5.445255469,5.17e-08,3.22e-07,225.3224572,200.8924475,320.1134269,64.23724853,64.63411468,76.10496454,smg-6,WBGene00004884,Public name for WBGene00004884. History: Renamed on 2008-01-10
sumv-1,C34E10.8,66.12048889,-1.818215298,0.450936283,-4.032089158,5.53e-05,0.000232132,72.74985166,63.43972027,77.11571289,21.41241618,14.3631366,24.35358865,sumv-1,WBGene00016409,Public name for WBGene00016409. History: N.A.
eri-9,C26E6.7,124.8222486,-1.780390804,0.411434053,-4.327281108,1.51e-05,6.95e-05,116.1976797,185.9654545,198.0597806,54.50433209,55.05869029,33.4861844,eri-9,WBGene00016143,Public name for WBGene00016143. History: N.A.
npp-1,K07F5.13,134.755671,-1.744911369,0.360892639,-4.834987414,1.33e-06,7.03e-06,186.9267022,293.5641958,185.2996266,83.70308142,59.84640248,51.75137589,npp-1,WBGene00003787,Public name for WBGene00003787. History: N.A.
drsh-1,F26E4.10,57.48107819,-1.728118962,0.476487285,-3.626789249,0.000286967,0.001070932,45.46865729,68.41538461,71.01303057,19.46583289,9.575424397,27.39778723,drsh-1,WBGene00009163,Public name for WBGene00009163. History: N.A.
xpo-3,C49H3.10,100.6475989,-1.72025244,0.40558489,-4.241411556,2.22e-05,9.98e-05,129.3330696,129.9892308,86.54713101,29.19874933,55.05869029,18.26519149,xpo-3,WBGene00002080,Public name for WBGene00002080. History: Renamed on 2008-01-30
hrde-1,C16C10.3,99.62135344,-1.663038253,0.475078322,-3.500555964,0.000464289,0.001649229,203.0933359,106.9767832,155.3410044,44.77141564,71.81568298,27.39778723,hrde-1,WBGene00007624,Public name for WBGene00007624. History: Renamed on 2012-08-29
smut-1,Y38A10A.6,80.64690193,-1.655597347,0.427795644,-3.870065928,0.000108806,0.000435319,83.86441233,135.5868531,110.9578603,35.0384992,57.45254638,9.132595745,smut-1,WBGene00021391,Public name for WBGene00021391. History: N.A.
pash-1,T22A3.5,73.91152908,-1.579150465,0.46851628,-3.370534884,0.000750224,0.002547702,46.4790719,80.85454544,71.56781987,13.62608302,23.93856099,30.44198582,pash-1,WBGene00011908,Public name for WBGene00011908. History: N.A.
rba-1,K07A1.11,222.7952584,-1.469072644,0.306210018,-4.797598245,1.61e-06,8.36e-06,234.4161887,338.3451748,268.5180218,144.0471634,98.14810007,54.79557447,rba-1,WBGene00004312,Public name for WBGene00004312. History: N.A.
wdr-5.1,C14B1.4,168.7823423,-1.434802232,0.319422779,-4.491859461,7.06e-06,3.4e-05,228.3537011,169.7945454,275.7302828,95.38258115,67.02797078,85.23756029,wdr-5.1,WBGene00006474,Public name for WBGene00006474. History: Renamed on 2010-07-27; Renamed on 2010-12-02
gfl-1,M04B2.3,188.9461213,-1.433286695,0.479076523,-2.991769843,0.002773653,0.008274903,132.3643134,118.172028,221.3609312,33.09191591,100.5419562,39.57458156,gfl-1,WBGene00001585,Public name for WBGene00001585. History: N.A.
lin-5,T09A5.10,111.1647195,-1.43179162,0.344009838,-4.16206591,3.15e-05,0.000138668,113.1664359,155.4895105,126.4919607,40.87824907,59.84640248,45.66297872,lin-5,WBGene00002994,Public name for WBGene00002994. History: N.A.
rnp-2,K08D10.4,148.6811265,-1.303035822,0.348259694,-3.741563674,0.000182879,0.000706824,200.0620921,246.2953846,229.1279815,99.27574773,78.99725128,94.37015603,rnp-2,WBGene00004385,Public name for WBGene00004385. History: N.A.
imb-2,R06A4.4,391.3543875,-1.276999333,0.383633511,-3.328695996,0.000872536,0.00292739,579.9779841,638.128951,554.234512,218.0173284,213.0531928,298.331461,imb-2,WBGene00002076,Public name for WBGene00002076. History: N.A.
htz-1,R08C7.3,810.7224284,-1.267570895,0.341326631,-3.713659532,0.000204284,0.000783785,1276.153648,661.1413985,1211.659834,350.384992,562.5561833,389.6574184,htz-1,WBGene00019947,Public name for WBGene00019947. History: N.A.
sumv-2,F54D11.2,74.50750344,-1.260726148,0.35115721,-3.590204369,0.000330419,0.001214173,83.86441233,75.25692307,102.0812314,25.30558276,45.48326589,39.57458156,sumv-2,WBGene00018812,"Public name for WBGene00018812. History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
hpo-24,T23D8.7,115.6693404,-1.23925563,0.343398929,-3.608792934,0.000307625,0.001137455,135.3955573,106.9767832,87.65670961,52.5577488,28.72627319,57.83977305,hpo-24,WBGene00011945,Other name for WBGene00011945(alg-5). History: N.A.
cdl-1,R06F6.1,943.8701427,-1.150711646,0.259606216,-4.43252733,9.31e-06,4.4e-05,718.4047852,1288.075105,982.5318527,492.4855721,471.5896516,377.4806241,cdl-1,WBGene00000411,Public name for WBGene00000411. History: N.A.
mes-3,F54C1.3,132.7527889,-1.136025449,0.346133176,-3.282047278,0.001030563,0.003388476,166.7184101,141.1844755,141.4712718,58.39749867,64.63411468,82.1933617,mes-3,WBGene00003221,Public name for WBGene00003221. History: N.A.
xpo-2,Y48G1A.5,511.8802838,-1.131754962,0.316215677,-3.57906026,0.000344832,0.00126157,534.5093268,742.617902,756.1778177,219.9639116,299.2320124,410.9668085,xpo-2,WBGene00002079,Public name for WBGene00002079. History: Renamed on 2008-01-30
cfim-1,F43G9.5,357.8237389,-1.071230388,0.305546229,-3.505951915,0.000454977,0.001621696,247.5515786,426.6632167,526.495047,149.8869132,225.0224733,197.8729078,cfim-1,WBGene00009668,Public name for WBGene00009668. History: N.A.
snr-7,Y71F9B.4,649.7027337,-1.024823943,0.321080274,-3.191799766,0.001413893,0.004513023,1357.997231,860.78993,848.827631,389.3166578,615.2210175,499.2485674,snr-7,WBGene00004920,Public name for WBGene00004920. History: N.A.
fubl-1,C12D8.1,367.3006708,-1.006696857,0.242574802,-4.150047119,3.32e-05,0.000145388,536.530156,566.6037762,459.3655415,253.0558276,299.2320124,222.2264965,fubl-1,WBGene00007534,Public name for WBGene00007534. History: Renamed on 2017-12-07
