geneName,FINN1coIPsiRNA(rpkm),H3K9me3_N2,H3K9me3_nrde2,H3K9me3_nrde4,nrde-2/4 dependent H3K9me,Input,Suggested Match,History
ZC53.6,3169.621311,74.322,140.88,147.464,no,ZC53.6,WBGene00022512,Sequence name for WBGene00022512(dot-1.5). History: N.A.
sdz-26,2974.16216,28.053,17.926,26.072,no,sdz-26,WBGene00011049,Public name for WBGene00011049. History: N.A.
Y58A7A.2,2971.08092,1.559,1.133,1.072,no,Y58A7A.2,WBGene00021976,Public name for WBGene00021976. History: N.A.
Y71A12B.10,2870.053963,249.822,123.08,143.797,no,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
fkb-8,2784.859458,68.339,11.294,30.802,yes,fkb-8,WBGene00001433,Public name for WBGene00001433. History: N.A.
ins-5,2728.739666,0.65,2.454,2.263,no,ins-5,WBGene00002088,Public name for WBGene00002088. History: N.A.
crs-2,2599.574765,155.78,11.385,31.39,yes,crs-2,WBGene00000801,Other name for WBGene00000801(cars-2). History: Renamed on 2010-01-29
Y37H9A.2,2515.3149,79.352,54.341,81.549,no,Y37H9A.2,WBGene00012577,Public name for WBGene00012577. History: N.A.
F15D4.6,2428.236163,22.014,2.831,3.751,yes,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
T12D8.5,2427.458878,1.689,0.944,2.144,no,T12D8.5,WBGene00011733,Public name for WBGene00011733. History: N.A.
his-24,2311.147858,10.91,12.359,4.227,no,his-24,WBGene00001898,Public name for WBGene00001898. History: Renamed on 2010-11-12
T22B2.2,2308.443676,8.053,5.661,4.763,no,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
rnh-1.3,2273.675342,3.897,1.322,1.906,yes,rnh-1.3,WBGene00007303,Public name for WBGene00007303. History: N.A.
bath-20,2238.740969,77.718,20.104,27.645,yes,bath-20,WBGene00015012,Public name for WBGene00015012. History: N.A.
B0250.8,2178.793667,50.196,27.265,24.168,no,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
Y57G11C.51,2171.65061,17.689,7.784,4.763,yes,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
fbxb-97,2149.19376,131.224,88.837,90.239,no,fbxb-97,WBGene00016885,Public name for WBGene00016885. History: N.A.
Y79H2A.4,2033.516934,39.352,10.756,23.691,no,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
C24H12.2,1993.401529,50.484,23.081,32.208,no,C24H12.2,WBGene00016072,Public name for WBGene00016072. History: N.A.
K02D10.3,1971.548429,7.469,2.454,5.894,no,K02D10.3,WBGene00019303,Public name for WBGene00019303. History: N.A.
Y37D8A.6,1969.753023,7.112,4.566,4.622,no,Y37D8A.6,WBGene00012548,Public name for WBGene00012548. History: N.A.
hil-8,1966.479375,54.177,10.094,8.433,yes,hil-8,WBGene00001859,Public name for WBGene00001859. History: N.A.
W03D8.7,1939.360621,13.572,10.473,12.263,no,W03D8.7,WBGene00020988,Public name for WBGene00020988. History: N.A.
zig-5,1935.58794,13.637,14.341,13.93,no,zig-5,WBGene00006982,Public name for WBGene00006982. History: N.A.
aex-6,1927.719535,7.803,11.125,9.326,no,aex-6,WBGene00000089,Public name for WBGene00000089. History: Renamed on 2006-08-30
C24H12.7,1926.475967,5.196,5.001,2.977,no,C24H12.7,WBGene00016076,Public name for WBGene00016076. History: N.A.
F36D1.9,1892.683036,18.637,11.888,14.644,no,F36D1.9,WBGene00009468,Public name for WBGene00009468. History: N.A.
bath-45,1823.205534,81.3,5.661,16.549,yes,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
F55A3.5,1821.485425,26.884,4.718,13.215,yes,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
R11A8.1,1793.658779,42.209,2.831,4.763,yes,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
tza-1,1777.699873,22.663,12.171,17.957,no,tza-1,WBGene00021416,Other name for WBGene00021416(mksr-2). History: N.A.
W09H1.3,1749.931481,17.045,3.163,6.616,yes,W09H1.3,WBGene00012373,Public name for WBGene00012373. History: N.A.
Y67D8C.6,1729.972996,13.507,22.643,23.811,no,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
T12G3.1,1718.563956,20.261,9.624,13.93,no,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
fbxb-14,1714.305019,15.975,4.718,6.906,yes,fbxb-14,WBGene00021098,Public name for WBGene00021098. History: N.A.
Y110A2AL.1,1709.281769,17.707,11.573,17.759,no,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
ZK666.1,1646.07182,1.3,2.359,2.055,no,ZK666.1,WBGene00014041,Public name for WBGene00014041. History: N.A.
Y54G2A.19,1622.124935,9.395,1.762,3.811,yes,Y54G2A.19,WBGene00021884,Public name for WBGene00021884. History: N.A.
W08F4.12,1605.380898,26.74,14.121,15.306,no,W08F4.12,WBGene00021101,Public name for WBGene00021101. History: N.A.
Y76B12C.8,1574.142505,21.3,11.51,17.62,no,Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
T16G12.4,1567.514232,27.793,3.209,5.953,yes,T16G12.4,WBGene00011805,Public name for WBGene00011805. History: N.A.
Y48G1BL.6,1530.305499,8.908,7.407,9.545,no,Y48G1BL.6,WBGene00021664,"Public name for Dead gene WBGene00021665. History of WBGene00021665: Merged into ""WBGene00021664"" on 2013-10-17"
F58H7.5,1522.905016,108.702,55.095,51.549,no,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
B0284.3,1462.665352,4.725,2.458,5.002,no,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
Y47G6A.31,1434.660894,3.118,3.209,4.644,no,Y47G6A.31,WBGene00044436,Public name for WBGene00044436. History: N.A.
W04A8.6,1430.87462,71.62,50.682,76.474,no,W04A8.6,WBGene00012241,"Public name for WBGene00012241. History: Split into W04A8.9(WBGene00195155). History of WBGene00012241: Split into ""WBGene00195155"" on 2010-05-21"
Y54F10AM.11,1429.682437,11.17,21.133,22.322,no,Y54F10AM.11,WBGene00021853,Public name for WBGene00021853. History: N.A.
F55B11.6,1420.618073,5.845,3.586,2.858,no,F55B11.6,WBGene00044249,Public name for WBGene00044249. History: N.A.
T23G5.6,1415.784086,30.52,3.963,9.882,yes,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
W09H1.4,1400.477987,14.215,1.699,3.93,yes,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
F15D4.5,1398.895737,117.425,17.957,22.064,yes,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
Y57G7A.2,1390.842722,5.066,7.171,8.215,no,Y57G7A.2,WBGene00021966,Public name for WBGene00021966. History: N.A.
F43G6.3,1376.055483,4.936,2.454,4.168,no,F43G6.3,WBGene00009656,Public name for WBGene00009656. History: N.A.
Y54G11A.14,1368.930278,108.051,70.592,86.047,no,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
B0281.4,1367.691784,29.871,38.209,33.989,no,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
nhr-88,1353.524748,71.874,74.327,75.902,no,nhr-88,WBGene00003678,Public name for WBGene00003678. History: N.A.
D2096.1,1346.117755,38.096,1.888,4.882,yes,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
fbxb-100,1345.921187,145.966,105.208,111.9,no,fbxb-100,WBGene00013403,Public name for WBGene00013403. History: N.A.
sdz-37,1340.062177,1.365,2.737,2.59,no,sdz-37,WBGene00014064,Public name for WBGene00014064. History: N.A.
M117.3,1327.428532,11.559,1.699,2.382,yes,M117.3,WBGene00010919,Public name for WBGene00010919. History: N.A.
C32B5.6,1310.646901,24.228,17.767,26.458,no,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
K08D12.2,1309.696968,69.986,48.772,59.413,no,K08D12.2,WBGene00019536,Sequence name for WBGene00019536(rpi-2). History: N.A.
F09G2.2,1278.302308,1.819,1.888,1.191,no,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
R06C1.4,1258.515558,21.43,7.548,4.049,yes,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
C46G7.5,1222.196041,20.975,9.246,10.239,yes,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
M02F4.1,1159.243746,52.964,72.509,56.697,no,M02F4.1,WBGene00019735,Public name for WBGene00019735. History: N.A.
F22H10.4,1158.4491,5.769,9.742,5.75,no,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
C44C10.5,1152.268573,2.988,6.416,5.834,no,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
F43E2.1,1151.569361,10.391,3.397,5.953,no,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
C04G2.10,1145.366762,13.73,10.901,9.636,no,C04G2.10,WBGene00007309,Public name for WBGene00007309. History: N.A.
C18H2.2,1141.544621,73.14,7.485,13.076,yes,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
hil-3,1132.768761,12.728,10.19,6.191,no,hil-3,WBGene00001854,Public name for WBGene00001854. History: Renamed on 2010-11-12
ins-17,1102.688326,0.65,0.567,2.382,no,ins-17,WBGene00002100,Public name for WBGene00002100. History: N.A.
T22B2.5,1085.743369,9.417,9.812,6.668,no,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
Y57G11C.7,1082.290942,27.696,14.907,17.918,no,Y57G11C.7,WBGene00013305,"Public name for WBGene00013305. History: Split into Y57G11C.499(WBGene00077762). History of WBGene00013305: Split into ""WBGene00077762"" on 2008-06-03"
F59D12.2,1074.806282,7.654,4.696,7.547,no,F59D12.2,WBGene00010330,Public name for WBGene00010330. History: N.A.
Y73B3B.3,1043.177082,8.01,6.793,4.961,no,Y73B3B.3,WBGene00022225,Public name for WBGene00022225. History: N.A.
Y71H2B.11,1028.312614,13.897,3.209,3.215,yes,Y71H2B.11,WBGene00022198,Public name for WBGene00022198. History: N.A.
nhr-204,1028.304161,17.144,10.378,15.001,no,nhr-204,WBGene00019816,Public name for WBGene00019816. History: N.A.
T01A4.3,1027.952373,249.154,24.217,76.594,yes,T01A4.3,WBGene00016561,"Public name for Dead gene WBGene00020133. History of WBGene00020133: Merged into ""WBGene00016561"" on 2009-05-07"
ZK262.8,1023.65324,224.936,320.85,211.727,no,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
F46F2.4,1019.785927,10.715,11.227,6.727,no,F46F2.4,WBGene00009788,Public name for WBGene00009788. History: N.A.
fbxb-56,1013.646492,129.367,91.318,75.274,no,fbxb-56,WBGene00013409,Public name for WBGene00013409. History: N.A.
F40A3.5,1011.01268,7.014,5.661,6.549,no,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
csp-1,1006.08524,84.929,41.988,70.525,no,csp-1,WBGene00000819,Public name for WBGene00000819. History: N.A.
pan-1,995.6738874,9.54,6.746,14.379,no,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
T24E12.11,987.9308486,14.806,24.529,22.858,no,T24E12.11,WBGene00020778,Public name for WBGene00020778. History: N.A.
T27F6.8,977.7392403,165.456,192.076,145.239,no,T27F6.8,WBGene00012107,Public name for WBGene00012107. History: N.A.
K05C4.2,975.1044041,4.676,8.492,7.858,no,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
C24H11.5,965.1715381,1.3,0.944,0.596,no,C24H11.5,WBGene00007702,Public name for WBGene00007702. History: N.A.
Y111B2A.13,958.62902,7.835,7.719,9.337,no,Y111B2A.13,WBGene00013736,Sequence name for WBGene00013736(gtf-2A2). History: N.A.
F10E7.2,958.6007156,11.363,5.222,7.094,no,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
K08B4.5,949.2535276,27.274,16.039,15.001,no,K08B4.5,WBGene00019517,Public name for WBGene00019517. History: N.A.
W05H12.2,933.2414807,23.443,26.227,22.025,no,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
Y57G11C.31,931.7782478,5.066,6.416,9.287,no,Y57G11C.31,WBGene00013321,Public name for WBGene00013321. History: N.A.
nhr-15,930.4617199,202.228,62.505,73.323,yes,nhr-15,WBGene00003614,Public name for WBGene00003614. History: N.A.
H28G03.4,914.8235458,40.404,51.741,42.684,no,H28G03.4,,Sequence name for Suppressed gene WBGene00019252. Molecular name for Suppressed gene WBGene00019252. Public name for Suppressed gene WBGene00019252. History of WBGene00019252: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y54E10A.17,907.1880735,20.922,14.173,24.173,no,Y54E10A.17,WBGene00021835,Public name for WBGene00021835. History: N.A.
Y61A9LA.12,899.3504635,35.196,3.02,3.265,yes,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
F40F8.3,886.9901594,0.789,1.756,1.079,no,F40F8.3,WBGene00009576,"Public name for WBGene00009576. History: Split into F40F8.12(WBGene00044917). History of WBGene00009576: Split into ""WBGene00044917"" on 2006-07-18"
Y105C5A.14,882.3072329,18.702,7.643,8.533,yes,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
Y94H6A.10,881.7459183,15.326,9.812,4.763,no,Y94H6A.10,WBGene00022382,Public name for WBGene00022382. History: N.A.
B0205.12,875.4390368,0.261,0.19,0.239,no,B0205.12,WBGene00044413,Public name for WBGene00044413. History: N.A.
K09B11.4,873.2539711,18.702,1.982,4.227,yes,K09B11.4,WBGene00010711,Public name for WBGene00010711. History: N.A.
Y53F4B.5,869.7359114,37.404,6.227,14.227,yes,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
C44C10.10,867.9946484,1.18,1.336,0.358,no,C44C10.10,WBGene00008090,Public name for WBGene00008090. History: N.A.
F40G12.7,864.8022257,33.681,3.114,3.106,yes,F40G12.7,WBGene00009602,Public name for WBGene00009602. History: N.A.
F13C5.2,858.6036707,18.053,13.397,9.763,no,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
Y56A3A.33,858.2937055,11.561,13.841,17.66,no,Y56A3A.33,WBGene00013244,Public name for WBGene00013244. History: N.A.
F47B7.6,857.6496666,32.469,44.152,14.406,no,F47B7.6,WBGene00018537,Public name for WBGene00018537. History: N.A.
F17C11.1,845.7375855,3.248,4.907,6.311,no,F17C11.1,WBGene00077761,"Public name for Dead gene WBGene00008913. History of WBGene00008913: Merged into ""WBGene00077761"" on 2016-02-22"
C46C2.3,840.5096068,42.674,13.343,20.028,yes,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
Y6D1A.2,832.8828912,12.885,11.888,8.014,no,Y6D1A.2,WBGene00012396,Public name for WBGene00012396. History: N.A.
C03A7.2,832.2696679,135.456,180.85,133.394,no,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
Y37E11B.2,824.1987736,6.819,7.234,10.041,no,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
Y73B3A.6,810.9788351,178.433,144.048,142.414,no,Y73B3A.6,,Sequence name for Suppressed gene WBGene00022208. Molecular name for Suppressed gene WBGene00022208. Public name for Suppressed gene WBGene00022208. History of WBGene00022208: Killed on 2008-09-01; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F57A10.2,807.4340428,7.404,9.058,10.953,no,F57A10.2,WBGene00010184,Public name for WBGene00010184. History: N.A.
C44B11.6,806.1200097,4.936,2.454,3.572,no,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
F14D2.5,803.7595293,17.577,14.718,21.311,no,F14D2.5,WBGene00017453,Public name for WBGene00017453. History: N.A.
Y87G2A.17,802.6396019,12.956,13.303,14.108,no,Y87G2A.17,WBGene00013603,Sequence name for WBGene00013603(soem-1). History: N.A.
Y43F8C.9,798.8178525,34.933,40.274,28.39,no,Y43F8C.9,WBGene00012831,Public name for WBGene00012831. History: N.A.
Y102A5C.36,796.3348437,70.131,41.699,34.882,no,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
Y32G9A.2,793.0375722,8.832,10.19,3.453,no,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
T02G5.4,792.9654789,45.805,6.749,9.225,yes,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
fbxa-218,792.2376956,41.215,33.349,44.747,no,fbxa-218,WBGene00013036,Public name for WBGene00013036. History: N.A.
Y110A7A.21,789.1031844,4.092,3.02,1.489,no,Y110A7A.21,WBGene00045212,Public name for WBGene00045212. History: N.A.
Y71A12B.17,788.9196222,359.66,329.153,310.996,no,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
F34H10.3,773.007877,7.144,8.68,3.93,no,F34H10.3,WBGene00009380,Public name for WBGene00009380. History: N.A.
rcn-1,767.4609298,4.548,3.242,2.913,no,rcn-1,WBGene00004321,Other name for WBGene00004321(rcan-1). History: Renamed on 2015-09-03
R166.3,767.0271203,1.689,1.888,1.311,no,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
fbxa-203,766.35613,62.939,15.039,32.407,no,fbxa-203,WBGene00021037,Public name for WBGene00021037. History: N.A.
K09H11.11,763.171984,20.2,11.928,8.768,no,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
F49F1.8,759.1022843,366.105,127.926,163.334,yes,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
Y57A10A.3,726.4464561,20.196,4.624,8.572,yes,Y57A10A.3,WBGene00013248,Public name for WBGene00013248. History: N.A.
F26E4.6,721.2270834,0.65,1.133,2.382,no,F26E4.6,WBGene00009161,Sequence name for WBGene00009161(cox-7C). History: N.A.
C18D11.1,718.4607615,29.142,20.96,25.266,no,C18D11.1,WBGene00007679,Public name for WBGene00007679. History: N.A.
ZK856.16,714.5161582,0.65,0.567,0.596,no,ZK856.16,WBGene00050936,Public name for WBGene00050936. History: N.A.
F37H8.2,714.0123418,159.695,5.504,27.156,yes,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
qdpr-1,712.927931,10.91,4.152,12.62,no,qdpr-1,WBGene00011398,Public name for WBGene00011398. History: N.A.
fbxa-149,712.4921559,72.728,30.378,26.311,yes,fbxa-149,WBGene00012623,Public name for WBGene00012623. History: N.A.
T07D3.3,709.5982758,113.842,124.263,100.23,no,T07D3.3,WBGene00020306,Public name for WBGene00020306. History: N.A.
K10C8.1,702.9950055,104.868,7.006,6.712,yes,K10C8.1,WBGene00010734,Sequence name for WBGene00010734(parn-1). History: N.A.
T11F9.10,697.5057427,40.867,17.611,18.314,yes,T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
F28B4.1,692.9227693,5.326,7.548,4.168,no,F28B4.1,WBGene00017890,Public name for WBGene00017890. History: N.A.
math-1,685.8014389,36.643,12.896,15.184,yes,math-1,WBGene00015015,Public name for WBGene00015015. History: N.A.
bath-23,670.2035046,30.65,21.888,24.168,no,bath-23,WBGene00021727,Public name for WBGene00021727. History: N.A.
C38D9.2,666.183939,562.145,288.592,220.502,no,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
T09A5.7,665.2770901,0.78,0.567,0.715,no,T09A5.7,WBGene00011635,Sequence name for WBGene00011635(mdmh-35). History: N.A.
Y56A3A.5,663.8142927,119.669,98.758,116.696,no,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
Y47D3B.11,655.3412721,35.919,25.193,27.002,no,Y47D3B.11,WBGene00023404,Sequence name for WBGene00023404(plr-1). History: N.A.
zip-2,652.8147471,56.624,16.982,20.477,yes,zip-2,WBGene00019327,Public name for WBGene00019327. History: N.A.
ZK512.4,647.1864552,0.52,0.378,1.668,no,ZK512.4,WBGene00013984,Public name for WBGene00013984. History: N.A.
Y53F4B.11,647.0167897,17.353,19.362,25.703,no,Y53F4B.11,WBGene00013158,Public name for WBGene00013158. History: N.A.
iff-2,633.4975283,3.767,5.284,5.12,no,iff-2,WBGene00002065,Public name for WBGene00002065. History: N.A.
puf-4,631.4917829,2917.892,1773.216,1232.985,no,puf-4,WBGene00004240,Public name for WBGene00004240. History: N.A.
K10F12.6,631.4255847,47.897,27.775,30.253,no,K10F12.6,WBGene00019638,Public name for WBGene00019638. History: N.A.
mif-2,628.5662713,2.293,1.867,4.089,no,mif-2,WBGene00003235,Public name for WBGene00003235. History: N.A.
Y48A6B.9,624.8925784,12.894,7.273,12.984,no,Y48A6B.9,WBGene00012970,Public name for WBGene00012970. History: N.A.
tag-303,622.2925241,24.687,20.661,21.82,no,tag-303,WBGene00016871,Other name for WBGene00016871(inso-1). History: Renamed on 2013-04-16
nhr-1,618.7028177,54.932,36.448,40.064,no,nhr-1,WBGene00003600,Public name for WBGene00003600. History: N.A.
K11H3.6,617.5190204,0.261,0.567,0.715,no,K11H3.6,WBGene00010783,Sequence name for WBGene00010783(mrpl-36). History: N.A.
F02E11.4,612.2647183,7.404,7.359,7.739,no,F02E11.4,WBGene00017182,Public name for WBGene00017182. History: N.A.
Y34D9A.8,604.3504907,10.744,11.719,14.683,no,Y34D9A.8,WBGene00021333,Public name for WBGene00021333. History: N.A.
C24H10.4,604.0529354,1.559,1.322,1.787,no,C24H10.4,WBGene00016070,Public name for WBGene00016070. History: N.A.
dnj-24,601.846829,5.326,5.473,5.834,no,dnj-24,WBGene00001042,Public name for WBGene00001042. History: N.A.
Y73B6BL.16,601.5294942,41.841,33.036,23.126,no,Y73B6BL.16,,Sequence name for Suppressed gene WBGene00022239. Molecular name for Suppressed gene WBGene00022239. Public name for Suppressed gene WBGene00022239. History of WBGene00022239: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W03C9.1,599.3871339,8.832,5.473,11.191,no,W03C9.1,WBGene00012219,Public name for WBGene00012219. History: N.A.
Y53F4B.6,595.0359751,41.819,3.492,10.418,yes,Y53F4B.6,WBGene00013153,Public name for WBGene00013153. History: N.A.
F41G4.7,594.5012102,253.313,280.001,62.322,no,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
pqn-96,591.79258,3.688,5.469,5.835,no,pqn-96,WBGene00004175,Public name for WBGene00004175. History: N.A.
W03H9.2,589.9954047,122.431,63.42,73.586,no,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
Y61A9LA.9,582.9398558,31.473,39.246,37.223,no,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
R02D5.1,577.3878878,7.144,8.68,7.977,no,R02D5.1,WBGene00010976,Public name for WBGene00010976. History: N.A.
C16C10.3,575.8756688,8.962,13.209,11.072,no,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C16A11.9,575.4388472,35.802,8.429,13.255,yes,C16A11.9,WBGene00045297,Sequence name for WBGene00045297(fbxc-43). History: N.A.
Y67D8C.4,568.9271466,44.411,12.395,18.874,yes,Y67D8C.4,WBGene00022067,"Public name for Dead gene WBGene00022068. History of WBGene00022068: Merged into ""WBGene00022067"" on 2013-09-27"
T27E9.6,568.7078495,7.144,14.152,18.691,no,T27E9.6,WBGene00012096,Public name for WBGene00012096. History: N.A.
pab-2,566.7582185,27.274,44.341,32.382,no,pab-2,WBGene00003903,Public name for WBGene00003903. History: N.A.
Y53F4B.16,566.6784227,28.28,30.581,29.982,no,Y53F4B.16,WBGene00013162,Public name for WBGene00013162. History: N.A.
W03G9.3,561.6820415,71.391,20.124,31.064,yes,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
K01A11.3,560.7850484,326.852,56.808,115.791,yes,K01A11.3,WBGene00010451,Public name for WBGene00010451. History: N.A.
B0348.5,557.4526421,8.313,22.076,12.977,no,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
Y67D8B.4,556.9962962,23.145,24.754,34.248,no,Y67D8B.4,WBGene00022063,Sequence name for WBGene00022063(nlp-81). History: N.A.
K02E7.12,555.5165749,12.259,4.325,9.207,no,K02E7.12,WBGene00019316,Public name for WBGene00019316. History: N.A.
C44C1.1,554.8668458,11.43,7.548,3.691,no,C44C1.1,WBGene00016641,Public name for WBGene00016641. History: N.A.
ddl-1,554.3868333,0.65,2.076,0.715,no,ddl-1,WBGene00019125,Public name for WBGene00019125. History: N.A.
