# Dataset S2. List of spermatogenesis genes with expression changes in rsd-2 and rsd-6 mutants at different temperatures. Genes upregulated in spr-5 mutants are also marked(2).
...1,rsd-2_pk3307_25C,rsd-2_yp10_25C,rsd-2_yp10_20C,rsd-2_pk3307_20C,rsd-6_pk3300_25C,rsd-6_pk3300_20C,spr-5_upregulated,Input,Suggested Match,History
C10G11.9,0.0704688,1.90571,0.931559,0.135873,0.368829,-1.1963,1,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
C10H11.7,-0.614473,-0.55346,0.587273,0.778196,-0.0138749,-0.010743,1,C10H11.7,WBGene00015696,Public name for WBGene00015696. History: N.A.
C15A11.2,-0.342976,-1.22259,0.209985,0.0676826,-0.100039,0.503065,0,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
C15C6.2,0.650662,-0.476536,0.911769,1.01449,-0.58596,0.646829,1,C15C6.2,WBGene00007601,Public name for WBGene00007601. History: N.A.
C17D12.5,1.11268,0.468451,-0.207235,-0.257764,1.28036,1.35223,0,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17E4.1,0.555439,0.415574,0.020603,-0.180264,0.0312569,-0.649568,0,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
C17F3.3,1.16834,1.88674,0.582107,-0.0692927,0.130835,-0.868794,0,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
C18E3.1,-0.582339,0.217699,0.114309,0.116508,-0.246935,0.215349,0,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
C24A11.1,-0.477145,-0.570285,0.306703,0.1122,-0.0562129,0.780675,0,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C26C6.6,0.00982453,0.420364,-0.145834,-0.352187,-0.768163,-0.368673,0,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
C32E12.1,0.29947,0.326052,0.864038,1.01573,-0.141057,0.672187,0,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
C32E8.4,0.348656,0.393453,0.772924,0.589661,0.0423153,0.332124,1,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
C34B2.3,0.312049,-0.036381,0.688064,0.296519,-0.331111,0.781716,1,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
C34G6.3,-0.501823,-0.397597,0.31527,0.271668,-0.0617499,-0.181214,1,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
C35E7.9,-0.186832,0.764858,-0.631179,0.183962,0.0252912,-1.11051,1,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C43E11.5,0.175999,1.15925,0.243548,0.646757,0.276544,-0.49301,0,C43E11.5,WBGene00016605,Public name for WBGene00016605. History: N.A.
C46H11.6,0.0765372,0.396717,-0.269751,-0.050261,-0.280571,0.301284,0,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
C48B6.4,0.146971,-0.0148215,-0.264708,-0.0991199,0.229195,-0.88713,0,C48B6.4,WBGene00016742,Public name for WBGene00016742. History: N.A.
C48E7.7,0.153334,-0.027475,-0.130878,-0.327609,-0.317837,0.1848,1,C48E7.7,WBGene00016752,Public name for WBGene00016752. History: N.A.
C54G4.3,0.680388,1.15317,-0.506896,-1.11759,1.28216,-1.32952,0,C54G4.3,WBGene00008313,Public name for WBGene00008313. History: N.A.
C55B7.10,0.963388,0.237488,-0.861651,-0.760595,-0.0129917,-0.106819,0,C55B7.10,WBGene00016946,Public name for WBGene00016946. History: N.A.
D1081.10,-0.211747,0.748644,-0.702545,-1.15808,-0.137707,-0.923678,0,D1081.10,WBGene00045508,Public name for WBGene00045508. History: N.A.
D1081.5,0.14612,1.87862,-0.251991,-0.662438,0.192191,-1.52033,0,D1081.5,WBGene00008383,Public name for WBGene00008383. History: N.A.
F02E9.3,0.144397,1.69686,0.699517,-0.221284,0.638284,-1.09658,0,F02E9.3,WBGene00008529,Public name for WBGene00008529. History: N.A.
F10D11.3,0.758994,1.81358,0.0471802,-0.458201,1.00245,-0.933574,0,F10D11.3,WBGene00008649,Public name for WBGene00008649. History: N.A.
F15D3.4,0.520376,0.945026,-0.911862,-1.01328,1.02119,-1.07989,0,F15D3.4,WBGene00008854,Public name for WBGene00008854. History: N.A.
F21F3.2,-0.243776,1.61487,-0.130016,-0.600748,0.360914,-0.995728,0,F21F3.2,WBGene00017672,Public name for WBGene00017672. History: N.A.
F21F3.3,-0.343902,1.39234,0.652139,-0.454096,0.974386,-1.39426,0,F21F3.3,WBGene00017673,Sequence name for WBGene00017673(icmt-1). History: Renamed on 2015-04-29
F22D6.9,-0.0195216,1.0379,-0.0634832,0.372835,-0.129913,-0.739718,0,F22D6.9,WBGene00009054,Public name for WBGene00009054. History: N.A.
F23C8.1,0.423075,0.592835,-0.31501,-0.543856,0.292417,0.0825091,0,F23C8.1,WBGene00017731,Public name for WBGene00017731. History: N.A.
F23C8.7,0.610979,0.192619,-0.318353,-0.172602,1.15915,-0.876029,0,F23C8.7,WBGene00017736,Public name for WBGene00017736. History: N.A.
F23C8.8,0.759113,1.86941,-0.293255,-0.712892,0.721026,-0.801607,0,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
F25H5.7,0.256956,1.56763,0.134726,-0.592779,0.46809,-1.04084,0,F25H5.7,WBGene00009129,Public name for WBGene00009129. History: N.A.
F26A3.5,0.313794,2.40099,0.0198132,-0.921525,-0.108935,-1.63539,1,F26A3.5,WBGene00009143,Public name for WBGene00009143. History: N.A.
F26B1.5,0.413989,1.43342,-0.988222,-1.01735,0.421004,-1.31933,0,F26B1.5,WBGene00017817,Public name for WBGene00017817. History: N.A.
F26E4.5,0.424712,1.80237,0.272628,-0.467851,0.454048,-1.02102,0,F26E4.5,WBGene00009160,Public name for WBGene00009160. History: N.A.
F27C1.1,0.853244,2.49448,1.29547,0.424642,0.609899,-0.896675,1,F27C1.1,WBGene00017851,Public name for WBGene00017851. History: N.A.
F29D10.1,0.474302,1.16559,-0.60498,-0.676033,0.323251,-0.433655,0,F29D10.1,WBGene00009250,Public name for WBGene00009250. History: N.A.
F32B4.2,0.229505,2.23455,0.389752,-0.430435,0.35993,-1.6252,0,F32B4.2,WBGene00009313,Public name for WBGene00009313. History: N.A.
F32B5.4,1.53472,2.2501,-0.0642331,-0.42229,0.616586,-1.0302,1,F32B5.4,WBGene00017978,Sequence name for WBGene00017978(msrp-1). History: N.A.
F32H2.7,0.14392,1.91422,0.738579,-0.0719649,-0.261873,-1.18644,1,F32H2.7,WBGene00009344,Public name for WBGene00009344. History: N.A.
F33D11.1,1.25764,1.20367,-1.15316,-0.835156,0.572043,-1.04996,0,F33D11.1,WBGene00018000,Public name for WBGene00018000. History: N.A.
F33D11.2,0.689676,1.91844,-0.762724,-0.697798,1.08393,-1.04624,0,F33D11.2,WBGene00018001,Public name for WBGene00018001. History: N.A.
F35E2.5,1.08934,0.445944,-0.803952,-0.950656,0.631204,-1.25373,0,F35E2.5,WBGene00009412,Public name for WBGene00009412. History: N.A.
F35E2.9,0.530244,1.11343,-0.132252,-0.449471,0.908552,-1.0786,0,F35E2.9,WBGene00009416,"Public name for WBGene00009416. History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
F36A2.11,1.04325,1.39831,0.083876,-0.594293,0.223591,-0.897111,0,F36A2.11,WBGene00009458,Public name for WBGene00009458. History: N.A.
F36A2.14,0.494574,1.57718,0.246424,-0.187401,0.796729,-0.995705,0,F36A2.14,WBGene00023490,Public name for WBGene00023490. History: N.A.
F36D1.4,0.857778,1.86772,-0.0404535,-0.1855,-0.116154,-0.898709,1,F36D1.4,WBGene00009463,Public name for WBGene00009463. History: N.A.
F42H11.1,1.00686,2.0971,-0.163101,-0.381009,1.23415,-0.910471,0,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
F44F1.3,0.564946,1.66193,-0.308972,-1.1374,0.808978,-1.14203,0,F44F1.3,WBGene00009695,Sequence name for WBGene00009695(clp-8). History: N.A.
F46A9.1,0.259797,1.94573,1.03672,-0.300498,0.915589,-1.19296,0,F46A9.1,WBGene00009754,Public name for WBGene00009754. History: N.A.
F46A9.2,-0.21465,2.26616,0.679535,-0.503323,0.596168,-1.11445,0,F46A9.2,WBGene00009755,Public name for WBGene00009755. History: N.A.
F47B3.4,1.70178,1.7952,-0.436144,-0.579351,1.59188,-1.42037,0,F47B3.4,WBGene00018528,Public name for WBGene00018528. History: N.A.
F47B3.5,1.51759,2.23858,0.241541,-0.654526,1.92902,-1.44682,0,F47B3.5,WBGene00018529,Public name for WBGene00018529. History: N.A.
F47B3.6,0.826893,2.33972,0.0814792,-0.829187,1.29881,-1.27994,0,F47B3.6,WBGene00018530,Public name for WBGene00018530. History: N.A.
F47B3.7,0.0258451,2.52282,0.531417,-0.19999,1.18827,-1.2157,0,F47B3.7,WBGene00018531,Public name for WBGene00018531. History: N.A.
F52F12.5,1.3392,2.78362,1.14229,0.0638972,0.599931,-0.771091,0,F52F12.5,WBGene00009938,Public name for WBGene00009938. History: N.A.
F53B6.4,0.0598256,1.98623,1.11844,0.0303911,0.142761,-0.960173,1,F53B6.4,WBGene00009959,Public name for WBGene00009959. History: N.A.
F53B6.7,0.794756,2.01871,0.0577905,-0.437148,0.110318,-0.794792,0,F53B6.7,WBGene00009962,Public name for WBGene00009962. History: N.A.
F53G12.13,0.96065,1.16599,-0.337182,-0.0528998,0.599922,0.00993815,0,F53G12.13,WBGene00018774,"Public name for Dead gene WBGene00045049. History of WBGene00045049: Merged into ""WBGene00018774"" on 2013-10-17"
F54C1.8,1.36789,1.80115,0.0346166,-0.444936,0.843633,-0.755728,0,F54C1.8,WBGene00018792,Public name for WBGene00018792. History: N.A.
F55D12.6,1.02445,2.01108,0.178642,-0.340476,1.19012,-0.984925,0,F55D12.6,WBGene00010114,Public name for WBGene00010114. History: N.A.
F55F8.7,0.3802,1.41169,-0.0786293,-0.715645,0.580656,-1.14949,0,F55F8.7,WBGene00018895,Public name for WBGene00018895. History: N.A.
F55H12.5,0.430508,1.42093,-0.0470776,-0.167875,-0.298266,-0.866012,0,F55H12.5,WBGene00010136,Public name for WBGene00010136. History: N.A.
F56H1.3,-0.0259284,0.572025,-0.824336,-0.858404,-0.358751,-0.868937,0,F56H1.3,WBGene00018994,Public name for WBGene00018994. History: N.A.
F58D5.8,0.559923,1.01532,-0.414763,-0.647796,0.495999,-0.677678,0,F58D5.8,WBGene00010247,Public name for WBGene00010247. History: N.A.
F59A3.8,0.42136,1.94995,-0.4142,-1.013,0.939826,-1.14889,0,F59A3.8,WBGene00019081,Public name for WBGene00019081. History: N.A.
F59C6.2,0.706711,2.24366,0.383265,-0.440874,0.701126,-0.97209,0,F59C6.2,WBGene00010323,Sequence name for WBGene00010323(dhhc-12). History: N.A.
H05L14.1,0.214466,1.33304,-0.266015,-0.827019,0.895261,-1.31557,0,H05L14.1,WBGene00010366,Public name for WBGene00010366. History: N.A.
K06A5.2,0.611953,2.63193,0.878704,-0.103356,0.768393,-1.40592,1,K06A5.2,WBGene00019430,Public name for WBGene00019430. History: N.A.
K06A5.3,1.64324,1.71206,-0.448916,-0.619756,0.558158,-0.804011,0,K06A5.3,WBGene00019431,Public name for WBGene00019431. History: N.A.
K07A1.4,0.86702,1.54241,-0.00557125,-0.383809,0.409835,-0.547165,0,K07A1.4,WBGene00010611,"Public name for WBGene00010611. History: Split into K07A1.21(WBGene00305018). History of WBGene00010611: Split into ""WBGene00305018"" on 2019-09-26"
K07A12.5,0.507912,1.45299,-0.291012,-0.330399,0.294303,-0.92036,0,K07A12.5,WBGene00010623,Public name for WBGene00010623. History: N.A.
K08C9.1,0.929728,1.64994,-0.0757717,-0.645168,0.721387,-1.22053,0,K08C9.1,WBGene00010650,Public name for WBGene00010650. History: N.A.
K08C9.2,0.374963,1.86805,0.839512,-0.112806,-0.312798,-1.14721,1,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
M04F3.3,0.711786,1.40563,0.0940946,-0.324389,1.17791,0.247322,0,M04F3.3,WBGene00019769,Sequence name for WBGene00019769(kin-35). History: N.A.
M05B5.1,0.784788,2.18161,0.0849207,-0.686863,0.635627,-0.994861,0,M05B5.1,WBGene00010869,Public name for WBGene00010869. History: N.A.
M05B5.3,-0.315491,0.887292,0.0391828,-0.0637339,0.344651,-0.648065,0,M05B5.3,WBGene00010871,Public name for WBGene00010871. History: N.A.
R05D7.2,0.524888,1.22651,-0.626461,-0.794161,0.378864,-0.405687,0,R05D7.2,WBGene00011027,Public name for WBGene00011027. History: N.A.
T02E1.6,0.371264,1.83366,0.544988,-0.36328,0.274823,-1.2483,1,T02E1.6,WBGene00011378,Public name for WBGene00011378. History: N.A.
T02E1.7,1.45304,1.82145,-0.513825,-0.977064,0.991191,-1.34158,0,T02E1.7,WBGene00011379,Public name for WBGene00011379. History: N.A.
T05F1.5,0.381781,1.63609,0.157963,-0.538328,0.82488,-1.09372,0,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
T05F1.8,0.0932926,1.65129,0.0289648,-0.363978,0.842571,-0.944404,1,T05F1.8,WBGene00011493,Public name for WBGene00011493. History: N.A.
T08B2.11,0.149166,1.2497,-1.34109,-0.56497,0.315653,-1.36522,1,T08B2.11,WBGene00020349,Public name for WBGene00020349. History: N.A.
T08B2.12,1.38089,2.79492,1.22689,0.695983,1.36014,-0.850666,1,T08B2.12,WBGene00020350,Public name for WBGene00020350. History: N.A.
T08G11.2,0.295968,2.02876,0.539767,-0.476531,0.736485,-0.965503,0,T08G11.2,WBGene00044684,"Public name for WBGene00044684. History: Split into ""WBGene00001198"" on 2005-11-29"
T09B4.7,1.25284,1.10527,-0.334548,-0.491406,1.65799,-0.721977,0,T09B4.7,WBGene00020381,Public name for WBGene00020381. History: N.A.
T10E9.4,0.000979401,1.97023,0.804746,-0.261498,0.397454,-1.80646,1,T10E9.4,WBGene00020414,Public name for WBGene00020414. History: N.A.
T10E9.6,0.550819,1.91542,-0.599534,-0.814576,0.639896,-0.870709,0,T10E9.6,WBGene00020416,Public name for WBGene00020416. History: N.A.
T20F5.5,0.845489,1.05592,-0.187679,-0.160311,1.50926,-1.05168,1,T20F5.5,WBGene00020627,Public name for WBGene00020627. History: N.A.
T21E12.5,0.232659,0.774124,0.0891333,-0.237804,-1.00912,-0.524672,0,T21E12.5,WBGene00020656,Public name for WBGene00020656. History: N.A.
T21G5.1,0.205903,1.31944,-0.13761,-0.675997,0.162591,-1.10487,0,T21G5.1,WBGene00020659,Public name for WBGene00020659. History: N.A.
T21G5.4,0.818564,2.33323,0.903736,0.375167,0.484887,-1.05575,1,T21G5.4,WBGene00020661,Sequence name for WBGene00020661(smz-2). History: N.A.
T22A3.6,0.651817,1.20854,-0.857479,-1.13991,0.0491975,-1.07166,0,T22A3.6,WBGene00011909,"Public name for WBGene00011909. History: Split into T22A3.12(WBGene00206474). History of WBGene00011909: Split into ""WBGene00206474"" on 2011-04-11"
T22C1.8,0.096328,1.44168,-0.0167515,-0.999068,0.58836,-1.40061,0,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
T23B3.5,1.25379,2.62081,1.09078,-0.0474729,0.739673,-1.38181,1,T23B3.5,WBGene00020713,Public name for WBGene00020713. History: N.A.
T27A3.4,0.566469,2.70164,1.41388,0.0492691,0.75718,-0.866944,1,T27A3.4,WBGene00020840,Sequence name for WBGene00020840(spch-3). History: N.A.
T27A3.5,0.105819,2.79197,0.459944,-0.433254,1.13133,-1.46021,1,T27A3.5,WBGene00020841,Public name for WBGene00020841. History: N.A.
T27F6.1,0.544221,1.07969,-0.865623,-0.865069,0.832691,-0.557963,0,T27F6.1,WBGene00012102,Public name for WBGene00012102. History: N.A.
T28F4.3,0.910529,1.61034,-0.394159,-0.290951,0.487877,-1.3059,0,T28F4.3,WBGene00012138,Public name for WBGene00012138. History: N.A.
W03D8.10,0.553867,2.42888,0.958198,-0.0480835,0.917776,-1.4139,0,W03D8.10,WBGene00020991,Public name for WBGene00020991. History: N.A.
W03D8.5,0.880533,2.17291,0.504634,-0.460222,1.5772,-1.30874,0,W03D8.5,WBGene00020987,Public name for WBGene00020987. History: N.A.
W03F11.4,0.239514,1.24446,-0.429484,-0.846271,1.02419,-1.63623,0,W03F11.4,WBGene00021007,Public name for WBGene00021007. History: N.A.
W03G9.5,0.762995,2.01879,-0.569023,-1.14883,1.0594,-1.39548,0,W03G9.5,WBGene00021016,Public name for WBGene00021016. History: N.A.
W06D4.2,0.303576,1.79296,0.548521,-0.296745,0.602841,-1.09139,0,W06D4.2,WBGene00012296,Sequence name for WBGene00012296(spe-46). History: N.A.
W09C3.1,0.802509,1.51283,-0.0839464,-0.50957,1.48569,0.0374326,0,W09C3.1,WBGene00021109,Public name for WBGene00021109. History: N.A.
W09C3.2,1.13621,1.34889,-0.140801,-0.789517,1.27994,-1.37507,0,W09C3.2,WBGene00021110,Public name for WBGene00021110. History: N.A.
W09C3.7,0.414831,1.57286,0.695236,1.46149,0.212568,-0.374509,0,W09C3.7,WBGene00021114,Public name for WBGene00021114. History: N.A.
Y106G6A.4,1.0294,2.08662,1.26867,0.186504,0.355666,-0.565917,1,Y106G6A.4,WBGene00013696,Public name for WBGene00013696. History: N.A.
Y106G6D.3,0.246948,1.84039,0.619463,-0.370041,0.789986,-1.04467,0,Y106G6D.3,WBGene00013700,Public name for WBGene00013700. History: N.A.
Y106G6G.1,0.419585,1.80074,0.240892,-0.434624,0.290984,-0.862375,0,Y106G6G.1,WBGene00013710,Public name for WBGene00013710. History: N.A.
Y106G6G.4,0.76454,1.77197,0.820096,-0.0759817,0.677394,-1.31518,1,Y106G6G.4,WBGene00013713,Public name for WBGene00013713. History: N.A.
Y106G6H.13,0.869981,2.0387,0.272389,-0.507985,0.926702,-1.01792,1,Y106G6H.13,WBGene00013723,Public name for WBGene00013723. History: N.A.
Y18D10A.21,0.969374,2.38645,-0.635136,-0.683761,0.697489,-1.20664,0,Y18D10A.21,WBGene00012486,Public name for WBGene00012486. History: N.A.
Y39G10AR.15,0.810973,1.31057,-0.354956,-0.693711,0.357197,-0.979928,0,Y39G10AR.15,WBGene00021471,"Public name for WBGene00021471. History: Split into Y39G10AR.32(WBGene00219275). History of WBGene00021471: Split into ""WBGene00219275"" on 2011-10-03"
Y39G10AR.16,0.938038,2.30377,-0.0203725,-0.540266,1.45684,-1.16889,0,Y39G10AR.16,WBGene00021472,Public name for WBGene00021472. History: N.A.
Y47D9A.3,1.44317,1.28072,-0.811625,-0.725838,1.19003,-0.919432,0,Y47D9A.3,WBGene00021630,Public name for WBGene00021630. History: N.A.
Y47D9A.5,0.55874,0.477662,-0.898008,-0.537306,0.329348,-1.03949,0,Y47D9A.5,WBGene00021632,Public name for WBGene00021632. History: N.A.
Y47G6A.26,0.640332,2.12604,0.516035,-0.133243,0.315816,-1.07955,0,Y47G6A.26,WBGene00021650,Public name for WBGene00021650. History: N.A.
Y47G6A.3,0.619245,1.46048,0.396167,-0.480197,0.535452,-0.787667,1,Y47G6A.3,WBGene00021633,Public name for WBGene00021633. History: N.A.
Y53C10A.10,1.50112,1.02148,-1.30351,-1.30138,1.72423,-0.977415,0,Y53C10A.10,WBGene00013138,"Public name for WBGene00013138. History: Split into Y53C10A.24(WBGene00305049). History of WBGene00013138: Split into ""WBGene00305049"" on 2019-10-21"
Y53C10A.2,0.877591,1.08097,-1.5851,-0.902392,0.815165,-0.557302,0,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y65B4A.9,1.03314,1.42714,-0.375367,-0.903107,1.18552,-1.13622,0,Y65B4A.9,WBGene00022032,Public name for WBGene00022032. History: N.A.
Y67A6A.1,1.17933,2.07241,-0.00389122,-0.322486,0.211257,-0.580577,1,Y67A6A.1,WBGene00013449,Public name for WBGene00013449. History: N.A.
Y71G12B.27,1.19385,2.42407,0.679047,-0.0807291,0.285569,-1.14315,0,Y71G12B.27,WBGene00022162,Public name for WBGene00022162. History: N.A.
ZC581.2,0.318129,1.72813,0.0254321,-0.576457,0.731538,-1.06876,0,ZC581.2,WBGene00022632,Public name for WBGene00022632. History: N.A.
ZC581.7,0.654432,1.4566,0.0347277,-0.667295,0.255004,-0.920339,0,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
ZK1225.4,-0.109865,1.97462,-0.123397,-0.855034,0.679902,-1.33012,0,ZK1225.4,WBGene00014238,Public name for WBGene00014238. History: N.A.
ZK1225.5,0.786245,1.13169,-0.719071,-1.0861,0.582849,-0.872879,0,ZK1225.5,WBGene00014239,Public name for WBGene00014239. History: N.A.
ZK265.3,-0.000851118,2.27175,1.18949,0.0765384,0.566659,-1.22516,1,ZK265.3,WBGene00013956,Sequence name for WBGene00013956(nsph-2). History: N.A.
ZK484.5,1.03868,2.64932,1.13339,0.306139,0.829128,-1.08971,1,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
ZK484.6,0.858337,1.32789,-0.7813,-0.506644,0.491514,-0.505337,0,ZK484.6,WBGene00022752,Public name for WBGene00022752. History: N.A.
ZK484.7,0.562018,1.43764,0.145369,-0.864633,0.539634,-1.16878,1,ZK484.7,WBGene00022753,Public name for WBGene00022753. History: N.A.
ZK858.8,0.588989,1.9246,0.497121,-0.0389187,0.456937,-1.14478,0,ZK858.8,WBGene00014121,Public name for WBGene00014121. History: N.A.
ZK973.8,0.519958,0.560398,-0.558443,-0.676969,0.514399,-0.532681,0,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
abt-5,0.678098,0.158333,-1.14061,-1.07221,1.06485,-1.06912,0,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
ahr-1,0.187646,-0.0303124,0.0793804,-0.413483,-0.299879,1.23386,0,ahr-1,WBGene00000096,Public name for WBGene00000096. History: N.A.
fbxa-125,0.545513,1.99888,-0.193657,-0.899433,0.244389,-0.964983,0,fbxa-125,WBGene00015229,Public name for WBGene00015229. History: N.A.
fer-1,0.677312,1.16678,-1.40497,-1.28489,1.28428,-1.1833,0,fer-1,WBGene00001414,Public name for WBGene00001414. History: N.A.
gska-3,-0.24841,2.28062,0.4538,-0.383697,1.31055,-1.10638,1,gska-3,WBGene00007977,Other name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
gsp-3,0.148766,2.07793,0.912461,-0.0622678,0.445088,-1.27616,1,gsp-3,WBGene00021113,Public name for WBGene00021113. History: N.A.
gsp-4,-0.104956,2.19267,0.97315,-0.012142,0.847995,-1.08907,1,gsp-4,WBGene00020187,Public name for WBGene00020187. History: N.A.
nspd-1,1.40126,2.57937,2.53634,1.14732,0.46042,-0.367965,1,nspd-1,WBGene00022754,Public name for WBGene00022754. History: N.A.
nspd-8,1.00659,1.50018,0.517649,-0.288597,0.831772,-0.0750601,1,nspd-8,WBGene00021280,Public name for WBGene00021280. History: N.A.
scrm-6,0.945684,2.15211,-0.170767,-0.679398,1.49182,-1.0062,0,scrm-6,WBGene00009753,Public name for WBGene00009753. History: N.A.
snf-2,0.577353,1.13065,-0.51796,-1.04853,0.966884,-1.14681,0,snf-2,WBGene00004901,Public name for WBGene00004901. History: N.A.
spe-11,0.474761,2.22135,0.732116,-0.41529,0.181602,-1.22727,1,spe-11,WBGene00004965,Public name for WBGene00004965. History: N.A.
spe-15,0.0436607,0.431585,0.268084,-0.11986,0.227915,-0.46825,1,spe-15,WBGene00004969,Public name for WBGene00004969. History: N.A.
spe-8,0.745544,1.6724,-0.475791,-0.999464,0.935335,-1.3175,0,spe-8,WBGene00004962,Public name for WBGene00004962. History: N.A.
ssp-16,1.46913,2.32996,0.417442,-0.206939,0.125413,-0.763321,1,ssp-16,WBGene00006044,Public name for WBGene00006044. History: N.A.
ssp-19,2.16736,2.3707,0.642155,0.117648,1.63408,-0.790279,1,ssp-19,WBGene00006047,Public name for WBGene00006047. History: N.A.
ssp-31,1.49231,1.94674,0.117326,0.0391861,1.11796,-0.694932,1,ssp-31,WBGene00006048,Public name for WBGene00006048. History: N.A.
sulp-6,0.717072,1.07653,-0.908055,-0.986792,1.24186,-1.16473,0,sulp-6,WBGene00020914,Public name for WBGene00020914. History: N.A.
tag-300,-0.184428,0.771601,-0.34591,0.302923,0.38574,-0.636939,0,tag-300,WBGene00004959,"Other name for WBGene00004959(spe-5). History: Renamed on 2012-04-24. Public name for Dead gene WBGene00022461. History of WBGene00022461: Merged into ""WBGene00004959"" on 2012-04-24"
tag-344,0.628199,1.28262,-0.146714,-0.497751,0.351276,-1.01159,0,tag-344,WBGene00015230,Public name for WBGene00015230. History: N.A.
tba-6,0.244605,-0.210602,-0.0406049,0.0988956,-0.456692,0.412932,0,tba-6,WBGene00006532,Public name for WBGene00006532. History: N.A.
try-7,0.8678,1.06782,-0.346858,-0.798925,0.209643,-1.00751,0,try-7,WBGene00006625,"Public name for WBGene00006625. History: Split into ZC581.10(WBGene00195178). History of WBGene00006625: Split into ""WBGene00195178"" on 2010-06-23"
tsp-19,-0.238031,0.923994,-0.345492,-0.832094,-0.134703,-1.26252,0,tsp-19,WBGene00006645,Public name for WBGene00006645. History: N.A.
AH6.3,0.726711,1.98142,-0.0100242,-0.561894,1.23819,-1.2817,0,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
B0252.5,-0.0241919,-0.502112,0.669214,0.33973,0.0222577,0.640304,0,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
