# Table S1. Genes Enriched or Depleted for Antisense 22G-RNAs in glp-4(bn2),,,,,,,,,,
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.,,,,,,,,,
# Reads - norm = reads per million, excluding reads considered to be degradation products,,,,,,,,,
# Ratio is calculated as: glp-4(bn2) / (glp-4(bn2) + wild-type) using the normalized read-norm value,,,,,,,,,,
# enriched / depleted - genes with a ratio <0.333 (2-fold or more depletion) are considered depleted. Genes with a ratio > 0.666 (2 fold or more enrichment) are considered enriched.,,,,,,,,,,
gene name,cosmid ID,wild-type - reads,glp-4(bn2) - reads,wild-type reads - norm,glp-4(bn2) reads - norm,RATIO,enriched / depleted,Input,Suggested Match,History
F55C9.5,F55C9.5,1908.25,1987.8333,487.9886887,1517.379035,0.75665875,enriched,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
F22F1.2,F22F1.2,37,40,9.46185326,30.5333256,0.763425154,enriched,F22F1.2,WBGene00017714,Public name for WBGene00017714. History: N.A.
haf-9,ZK484.2,50.8333,55,12.99938447,41.9833227,0.763573219,enriched,haf-9,WBGene00001819,Public name for WBGene00001819. History: N.A.
fat-2,W02A2.1,60,65,15.34354583,49.6166541,0.763800822,enriched,fat-2,WBGene00001394,Public name for WBGene00001394. History: N.A.
CD4.8,CD4.8,2203.6635,2426.331,563.5335317,1852.098861,0.76671387,enriched,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
nhr-64,C45E1.1,92,104,23.52677027,79.38664656,0.771392584,enriched,nhr-64,WBGene00003654,Public name for WBGene00003654. History: N.A.
W05H12.2,W05H12.2,2539.5,2880,649.4155771,2198.399443,0.771960056,enriched,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
W02B8.2,W02B8.2,717,830.5,183.3553726,633.9481727,0.77565817,enriched,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
F07B7.12,F07B7.12,47.75,56.75,12.21090522,43.31915569,0.780102794,enriched,F07B7.12,WBGene00017190,Public name for WBGene00017190. History: N.A.
ugt-44,F01D4.2,38,47,9.717579024,35.87665758,0.786868259,enriched,ugt-44,WBGene00008486,Public name for WBGene00008486. History: N.A.
D2045.9,D2045.9,229,285.5,58.56119991,217.9316115,0.788199919,enriched,D2045.9,WBGene00008426,Public name for WBGene00008426. History: N.A.
sma-3,R13F6.9,92,118,23.52677027,90.07331051,0.792898296,enriched,sma-3,WBGene00004857,Public name for WBGene00004857. History: N.A.
F47G4.2,F47G4.2,59,76,15.08782006,58.01331864,0.793603488,enriched,F47G4.2,WBGene00009823,Sequence name for WBGene00009823(gadr-6). History: N.A.
B0284.1,B0284.1,27.0665,35.4999,6.921601385,27.09825014,0.796542281,enriched,B0284.1,WBGene00007131,Sequence name for WBGene00007131(pals-26). History: N.A.
C18D4.4,C18D4.4,200.5,264,51.27301564,201.5199489,0.797173882,enriched,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
C40A11.7,C40A11.7,32,46,8.183224441,35.11332444,0.810995919,enriched,C40A11.7,WBGene00016550,Public name for WBGene00016550. History: N.A.
tir-1,F13B10.1,74,112,18.92370652,85.49331168,0.818767986,enriched,tir-1,WBGene00006575,Public name for WBGene00006575. History: Renamed on 2005-11-09
C44B11.6,C44B11.6,20568.1778,31361.7499,5259.812978,23939.46303,0.819864952,enriched,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
C39B5.2,C39B5.2,48,74,12.27483666,56.48665236,0.821486753,enriched,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
H09G03.1,H09G03.1,386.4166,652.6,98.81668017,498.1512071,0.834469019,enriched,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
cdh-1,R10F2.1,56,96.5,14.32064277,73.66164801,0.837232668,enriched,cdh-1,WBGene00019994,Public name for WBGene00019994. History: N.A.
R102.4,R102.4,110.5,194.5,28.2576969,148.4682957,0.840104466,enriched,R102.4,WBGene00011291,Public name for WBGene00011291. History: N.A.
T12D8.9,T12D8.9,18.5833,32.8333,4.752228586,25.06274598,0.840609336,enriched,T12D8.9,WBGene00011736,Public name for WBGene00011736. History: N.A.
T25C12.3,T25C12.3,19,35,4.858789512,26.7166599,0.846121287,enriched,T25C12.3,WBGene00012018,Public name for WBGene00012018. History: N.A.
lim-9,F25H5.1,26,48.5,6.648869858,37.02165729,0.847749265,enriched,lim-9,WBGene00006407,Public name for WBGene00006407. History: Renamed on 2007-02-02
Y17D7C.1,Y17D7C.1,296.1666,559.2917,75.73742999,426.9258895,0.849327717,enriched,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
F55A4.4,F55A4.4,300.5,570.8333,76.84559202,435.7359753,0.850081242,enriched,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
fbxa-61,Y119D3B.8,259.8334,499.1667,66.44609467,381.0304845,0.851509335,enriched,fbxa-61,WBGene00022486,Public name for WBGene00022486. History: N.A.
fbxa-53,F07G6.7,51.9722,102.0666,13.29063054,77.91081826,0.854271717,enriched,fbxa-53,WBGene00017226,Public name for WBGene00017226. History: N.A.
R10F2.5,R10F2.5,20,42,5.114515276,32.05999188,0.862418747,enriched,R10F2.5,WBGene00019996,Public name for WBGene00019996. History: N.A.
arl-13,Y37E3.5,54,120.5,13.80919124,91.98164336,0.869467036,enriched,arl-13,WBGene00021349,Public name for WBGene00021349. History: N.A.
F19G12.4,F19G12.4,20,45.2499,5.114515276,34.54074825,0.871025563,enriched,F19G12.4,WBGene00017612,Public name for WBGene00017612. History: N.A.
F39E9.7,F39E9.7,2424.5,5653.1666,620.0071143,4315.249411,0.874371857,enriched,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F14F7.5,F14F7.5,125.0714,292.5,31.98397929,223.2749434,0.874699858,enriched,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
Y47H10A.5,Y47H10A.5,13815,32874,3532.851427,25093.81364,0.876588788,enriched,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
Y105C5A.14,Y105C5A.14,4346.5,10376.4166,1111.512032,7920.662665,0.876938603,enriched,Y105C5A.14,WBGene00013638,"Public name for WBGene00013638. History: Split into Y105C5A.1268(WBGene00185102). History of WBGene00013638: Split into ""WBGene00185102"" on 2009-03-13"
C04A2.1,C04A2.1,69,169,17.6450777,129.0033007,0.879677649,enriched,C04A2.1,WBGene00015410,Sequence name for WBGene00015410(tbc-6). History: N.A.
Y43F8B.9,Y43F8B.9,269.5,682.8333,68.91809334,521.229287,0.883218844,enriched,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
ZK402.5,ZK402.5,791.0505,2271.8087,202.2919933,1734.146868,0.895534015,enriched,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
Y110A2AL.1,Y110A2AL.1,31,93,7.927498677,70.98998202,0.899546987,enriched,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
ZK287.4,ZK287.4,14,44,3.580160693,33.58665816,0.903673201,enriched,ZK287.4,WBGene00013965,Public name for WBGene00013965. History: N.A.
F31A9.2,F31A9.2,48.8333,156.3333,12.48793294,119.3343888,0.905266932,enriched,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
F53A2.9,F53A2.9,14,48,3.580160693,36.63999072,0.910985897,enriched,F53A2.9,WBGene00009953,Public name for WBGene00009953. History: N.A.
Y17D7B.4,Y17D7B.4,1790.25,6225.2143,457.8130486,4751.912379,0.912123383,enriched,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
H16D19.4,H16D19.4,547.0104,2006.5833,139.8846523,1531.691531,0.916315718,enriched,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
Y39A1A.9,Y39A1A.9,29.3333,112,7.501280547,85.49331168,0.919336379,enriched,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
C36A4.10,C36A4.10,17,65,4.347337984,49.6166541,0.919440023,enriched,C36A4.10,WBGene00007970,Public name for WBGene00007970. History: N.A.
W04B5.2,W04B5.2,3066.5,12596.5286,784.1830546,9615.347729,0.924594381,enriched,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
ZK402.3,ZK402.3,975.1642,4373.0798,249.3746099,3338.116735,0.930487746,enriched,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
E01G4.7,E01G4.7,3836.3333,18350.5,981.0492633,14007.54478,0.934546945,enriched,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
ZK380.5,ZK380.5,698.7486,3465.9154,178.6880194,2645.648085,0.936732735,enriched,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
T25G12.1,T25G12.1,8,40,2.04580611,30.5333256,0.937205014,enriched,T25G12.1,WBGene00020809,Public name for WBGene00020809. History: N.A.
ZK402.2,ZK402.2,191.9991,971.249,49.09911649,741.3865488,0.937887404,enriched,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
K02E2.6,K02E2.6,6185.1,32238.5166,1581.689422,24608.7281,0.939608087,enriched,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C36A4.11,C36A4.11,1392.3333,7564.5,356.0554966,5774.233537,0.941918645,enriched,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
fbxa-52,F07G6.6,674.5,3700.8165,172.4870277,2824.955879,0.942455275,enriched,fbxa-52,WBGene00017225,Public name for WBGene00017225. History: N.A.
fbxa-57,C29F9.10,7.8834,43.7,2.015988486,33.35765822,0.943008746,enriched,fbxa-57,WBGene00016224,Public name for WBGene00016224. History: N.A.
K06B9.6,K06B9.6,1445.8333,8092.25,369.7368249,6177.082602,0.943524206,enriched,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
Y82E9BR.6,Y82E9BR.6,11,64,2.812983402,48.85332096,0.945554778,enriched,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
Y46D2A.1,Y46D2A.1,327.7192,1936.8666,83.80624273,1478.474463,0.946356476,enriched,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
Y37E11B.2,Y37E11B.2,6358.333,38329.8328,1625.989563,29258.43163,0.947352435,enriched,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
W04B5.1,W04B5.1,4704.3651,30247.6316,1203.027358,23089.01961,0.950476493,enriched,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
cdh-5,F08B4.2,37,276.8333,9.46185326,211.3160321,0.957143111,enriched,cdh-5,WBGene00000397,"Public name for WBGene00000397. History: Split into F08B4.8(WBGene00255375). History of WBGene00000397: Split into ""WBGene00255375"" on 2014-02-26"
T08B6.2,T08B6.2,647.5,10889,165.582432,8311.934561,0.980468051,enriched,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
Y43F8B.6,Y43F8B.6,9,157,2.301531874,119.843303,0.981157354,enriched,Y43F8B.6,WBGene00012817,Public name for WBGene00012817. History: N.A.
