# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
cdh-1,-1.792126345,,cdh-1,WBGene00019994,Public name for WBGene00019994. History: N.A.
mab-5,-1.786748769,-1.0417830673698,mab-5,WBGene00003102,Public name for WBGene00003102. History: N.A.
inx-13,-1.786507527,,inx-13,WBGene00002135,Public name for WBGene00002135. History: Renamed on 2015-03-05
ZK1053.2,-1.776421237,,ZK1053.2,WBGene00014197,Public name for WBGene00014197. History: N.A.
unc-87,-1.749532275,-0.8073006085270769,unc-87,WBGene00006819,Public name for WBGene00006819. History: N.A.
nas-28,-1.741126699,,nas-28,WBGene00003546,Public name for WBGene00003546. History: N.A.
str-238,-1.739981101,,str-238,WBGene00006266,Public name for WBGene00006266. History: N.A.
T26G10.9,-1.731174497,,T26G10.9,WBGene00206422,Public name for WBGene00206422. History: N.A.
nhr-239,-1.722325515,,nhr-239,WBGene00021848,Public name for WBGene00021848. History: N.A.
F09F7.6,-1.706557077,-0.718359531068323,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
ZK930.5,-1.689323878,,ZK930.5,WBGene00014155,Public name for WBGene00014155. History: N.A.
F58A4.1,-1.68567531,-1.16036787718725,F58A4.1,WBGene00010226,Public name for WBGene00010226. History: N.A.
egl-8,-1.680429635,,egl-8,WBGene00001177,Public name for WBGene00001177. History: N.A.
ZC190.8,-1.671785694,,ZC190.8,WBGene00022542,Public name for WBGene00022542. History: N.A.
F15G9.1,-1.655150984,-0.6098021514257939,F15G9.1,WBGene00008865,Public name for WBGene00008865. History: N.A.
mlp-1,-1.652090065,-1.17533306980078,mlp-1,WBGene00003375,Public name for WBGene00003375. History: N.A.
ZK1055.5,-1.636310221,,ZK1055.5,WBGene00022846,Public name for WBGene00022846. History: N.A.
anoh-1,-1.6053382,,anoh-1,WBGene00010138,Public name for WBGene00010138. History: Split into F56A8.9(WBGene00185001). History of WBGene00010138: N.A.
C27D8.2,-1.603738037,,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
Y17D7C.6,-1.582806631,-0.910511155361186,Y17D7C.6,WBGene00194680,Public name for WBGene00194680. History: N.A.
T28F2.2,-1.564557652,,T28F2.2,WBGene00020901,Public name for WBGene00020901. History: N.A.
T26G10.8,-1.548655029,,T26G10.8,WBGene00206421,Public name for WBGene00206421. History: N.A.
aldo-1,-1.546223324,-1.16935881688426,aldo-1,WBGene00011474,Public name for WBGene00011474. History: N.A.
R03H10.6,-1.505012202,,R03H10.6,WBGene00019858,Public name for WBGene00019858. History: N.A.
sru-17,-1.493851651,,sru-17,WBGene00005680,Public name for WBGene00005680. History: N.A.
cutl-18,-1.492176448,,cutl-18,WBGene00009830,Public name for WBGene00009830. History: N.A.
W09C3.3,-1.491732068,,W09C3.3,WBGene00021111,Public name for WBGene00021111. History: N.A.
nlp-24,-1.486377087,,nlp-24,WBGene00003762,Public name for WBGene00003762. History: N.A.
C29H12.6,-1.484467265,-1.13532485139253,C29H12.6,WBGene00016237,Public name for WBGene00016237. History: N.A.
R11G10.3,-1.48205022,,R11G10.3,WBGene00044045,Public name for WBGene00044045. History: N.A.
F22F1.2,-1.481326305,-1.10937896375714,F22F1.2,WBGene00017714,Public name for WBGene00017714. History: N.A.
clec-163,-1.481114998,,clec-163,WBGene00012661,Public name for WBGene00012661. History: N.A.
F21A9.2,-1.478626787,,F21A9.2,WBGene00017651,Public name for WBGene00017651. History: N.A.
let-756,-1.477937463,-0.845398589769312,let-756,WBGene00002881,Public name for WBGene00002881. History: N.A.
F53A2.9,-1.465633263,,F53A2.9,WBGene00009953,Public name for WBGene00009953. History: N.A.
B0284.2,-1.461741247,,B0284.2,WBGene00007132,Sequence name for WBGene00007132(pals-27). History: N.A.
fbxa-79,-1.457802869,-0.7079810480235689,fbxa-79,WBGene00022329,Public name for WBGene00022329. History: N.A.
ptr-22,-1.452608093,,ptr-22,WBGene00004236,Public name for WBGene00004236. History: N.A.
Y6B3B.1,-1.45173308,,Y6B3B.1,WBGene00012387,Public name for WBGene00012387. History: N.A.
B0024.3,-1.447695815,,B0024.3,WBGene00007096,Public name for WBGene00007096. History: N.A.
R186.1,-1.445326342,-0.6593869641536079,R186.1,WBGene00011305,Sequence name for WBGene00011305(hrg-9). History: N.A.
Y43F4A.1,-1.44197904,,Y43F4A.1,WBGene00012796,Public name for WBGene00012796. History: N.A.
Y49E10.7,-1.435579181,,Y49E10.7,WBGene00013031,Public name for WBGene00013031. History: N.A.
klc-2,-1.429685445,-0.8598508042774319,klc-2,WBGene00002215,Public name for WBGene00002215. History: N.A.
duxl-1,-1.429091226,,duxl-1,WBGene00022554,Public name for WBGene00022554. History: Renamed on 2011-09-30; Renamed on 2011-10-14
T16G12.1,-1.428244682,,T16G12.1,WBGene00011803,Public name for WBGene00011803. History: N.A.
D1054.8,-1.423867468,,D1054.8,WBGene00008375,Public name for WBGene00008375. History: N.A.
fat-2,-1.416506692,,fat-2,WBGene00001394,Public name for WBGene00001394. History: N.A.
gnrr-2,-1.414245579,,gnrr-2,WBGene00007614,Public name for WBGene00007614. History: N.A.
F54B8.4,-1.410450861,,F54B8.4,WBGene00010019,Public name for WBGene00010019. History: N.A.
sid-2,-1.395166433,-0.93134580708809,sid-2,WBGene00004796,Public name for WBGene00004796. History: N.A.
Y47G6A.32,-1.394198343,,Y47G6A.32,WBGene00044437,Public name for WBGene00044437. History: N.A.
str-214,-1.38263818,,str-214,WBGene00006247,Public name for WBGene00006247. History: N.A.
T23F6.1,-1.376061436,,T23F6.1,WBGene00011949,Sequence name for WBGene00011949(idpp-7). History: N.A.
C01H6.2,-1.375799553,-0.658863408283466,C01H6.2,WBGene00007252,Sequence name for WBGene00007252(mlt-2). History: N.A.
vglu-2,-1.371564709,,vglu-2,WBGene00010755,Public name for WBGene00010755. History: N.A.
R02F2.2,-1.364189499,-0.927442500712432,R02F2.2,WBGene00019832,Sequence name for WBGene00019832(osg-1). History: N.A.
W06F12.2,-1.340824028,,W06F12.2,WBGene00012306,Public name for WBGene00012306. History: N.A.
F27C1.13,-1.320891943,,F27C1.13,WBGene00017860,Public name for WBGene00017860. History: N.A.
Y77E11A.2,-1.313614628,,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
ZC190.10,-1.313089354,,ZC190.10,WBGene00022544,Public name for WBGene00022544. History: N.A.
K08E4.7,-1.312126917,,K08E4.7,WBGene00045036,Public name for WBGene00045036. History: N.A.
C01B10.3,-1.312121543,,C01B10.3,WBGene00015278,Public name for WBGene00015278. History: N.A.
ZC449.1,-1.306745809,,ZC449.1,WBGene00022611,Public name for WBGene00022611. History: N.A.
T25F10.6,-1.299074706,-0.7150414901513829,T25F10.6,WBGene00020808,Sequence name for WBGene00020808(clik-1). History: N.A.
W03A5.2,-1.291313971,,W03A5.2,WBGene00020967,Public name for WBGene00020967. History: N.A.
Y119D3B.21,-1.28420315,-0.672432033346471,Y119D3B.21,WBGene00022497,Public name for WBGene00022497. History: N.A.
frpr-3,-1.283481405,,frpr-3,WBGene00016149,Public name for WBGene00016149. History: N.A.
Y49A3A.4,-1.280040439,,Y49A3A.4,WBGene00013027,Public name for WBGene00013027. History: N.A.
B0348.5,-1.276541531,-0.572729550816634,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
gcy-8,-1.268376733,-0.84248700622976,gcy-8,WBGene00001535,Public name for WBGene00001535. History: N.A.
F56D2.3,-1.260783877,-0.771753622745864,F56D2.3,WBGene00018965,Public name for WBGene00018965. History: N.A.
Y11D7A.1,-1.260613566,,Y11D7A.1,WBGene00012426,Public name for WBGene00012426. History: N.A.
Y48C3A.1,-1.255716819,-0.50577003626767,Y48C3A.1,WBGene00012985,Public name for WBGene00012985. History: N.A.
T10B5.4,-1.255548915,-0.902829885190304,T10B5.4,WBGene00020390,Public name for WBGene00020390. History: N.A.
Y69H2.15,-1.25178787,,Y69H2.15,WBGene00050884,Public name for WBGene00050884. History: N.A.
glt-3,-1.251114708,-0.81068000938265,glt-3,WBGene00001621,Public name for WBGene00001621. History: N.A.
pdl-1,-1.244929224,-0.994973157507708,pdl-1,WBGene00003966,Public name for WBGene00003966. History: N.A.
nab-1,-1.239149328,,nab-1,WBGene00003516,Public name for WBGene00003516. History: N.A.
F56D5.3,-1.234811022,,F56D5.3,WBGene00010148,Public name for WBGene00010148. History: N.A.
tag-196,-1.22820732,,tag-196,WBGene00007055,Public name for WBGene00007055. History: N.A.
nlp-12,-1.218688116,,nlp-12,WBGene00003750,Public name for WBGene00003750. History: N.A.
Y54E2A.4,-1.218073764,,Y54E2A.4,WBGene00013189,Public name for WBGene00013189. History: N.A.
EGAP1.1,-1.217474294,-0.8909716912545609,EGAP1.1,WBGene00017146,Public name for WBGene00017146. History: N.A.
Y39A1A.9,-1.210744678,-0.8232978162716659,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
T21G5.2,-1.209890557,-1.15610663280313,T21G5.2,WBGene00020660,Public name for WBGene00020660. History: N.A.
C46G7.3,-1.206192248,,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
ZK177.9,-1.204246455,,ZK177.9,WBGene00022674,Public name for WBGene00022674. History: N.A.
B0361.4,-1.196569332,,B0361.4,WBGene00015158,Public name for WBGene00015158. History: N.A.
dos-3,-1.186067453,,dos-3,WBGene00019331,Public name for WBGene00019331. History: N.A.
R05H11.2,-1.184903108,-0.857505588071052,R05H11.2,WBGene00019908,Public name for WBGene00019908. History: N.A.
F23H11.7,-1.182897483,,F23H11.7,WBGene00017762,Public name for WBGene00017762. History: N.A.
phg-1,-1.180674406,,phg-1,WBGene00004017,Public name for WBGene00004017. History: N.A.
K06A5.8,-1.179081953,-0.7187610355539759,K06A5.8,WBGene00019434,Sequence name for WBGene00019434(nmtn-1). History: N.A.
F47B3.3,-1.175768969,,F47B3.3,WBGene00018527,Public name for WBGene00018527. History: N.A.
D2030.12,-1.174833497,-1.1758653031215,D2030.12,WBGene00008421,Public name for WBGene00008421. History: N.A.
T21G5.6,-1.170735198,-0.905921373567696,T21G5.6,WBGene00044898,Sequence name for WBGene00044898(let-383). History: N.A.
lin-31,-1.167926506,-0.8354441539050799,lin-31,WBGene00003017,Public name for WBGene00003017. History: N.A.
str-245,-1.161995967,,str-245,WBGene00006272,Public name for WBGene00006272. History: N.A.
C37C3.11,-1.160407693,,C37C3.11,WBGene00016503,Public name for WBGene00016503. History: N.A.
M117.4,-1.157555666,,M117.4,WBGene00010920,Public name for WBGene00010920. History: N.A.
ZC190.7,-1.156947999,-0.7417465579496269,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
T13A10.2,-1.153122134,,T13A10.2,WBGene00020469,Public name for WBGene00020469. History: N.A.
Y38F1A.8,-1.150966289,,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
dpf-6,-1.147752702,,dpf-6,WBGene00001059,Public name for WBGene00001059. History: N.A.
fbxa-60,-1.143893783,,fbxa-60,WBGene00020456,Public name for WBGene00020456. History: N.A.
F32B5.7,-1.143833217,-1.14399401719871,F32B5.7,WBGene00017980,Public name for WBGene00017980. History: N.A.
F21C3.6,-1.143608068,-0.630353219513997,F21C3.6,WBGene00009005,Public name for WBGene00009005. History: N.A.
pho-14,-1.142932607,,pho-14,WBGene00020471,Public name for WBGene00020471. History: N.A.
nhr-58,-1.141827825,,nhr-58,WBGene00003648,Public name for WBGene00003648. History: N.A.
nhr-179,-1.140684905,,nhr-179,WBGene00017512,Public name for WBGene00017512. History: N.A.
tax-4,-1.137800095,,tax-4,WBGene00006526,Public name for WBGene00006526. History: N.A.
col-104,-1.134285742,,col-104,WBGene00000678,Public name for WBGene00000678. History: N.A.
ZC412.10,-1.13403442,,ZC412.10,WBGene00050943,Public name for WBGene00050943. History: N.A.
W02D9.10,-1.131732499,-1.34095290885709,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
R10E11.5,-1.129610895,,R10E11.5,WBGene00011217,Public name for WBGene00011217. History: N.A.
K01C8.1,-1.122694569,,K01C8.1,WBGene00010456,Sequence name for WBGene00010456(srdh-1). History: N.A.
lea-1,-1.116656744,,lea-1,WBGene00002263,Public name for WBGene00002263. History: N.A.
Y70C5A.2,-1.111430018,,Y70C5A.2,WBGene00013490,"Public name for WBGene00013490. History: Split into Y70C5A.3(WBGene00050904). History of WBGene00013490: Split into ""WBGene00050904"" on 2007-09-27"
F40F12.9,-1.110251935,-0.61665055425086,F40F12.9,WBGene00043995,Public name for WBGene00043995. History: N.A.
Y37E11B.1,-1.107305108,,Y37E11B.1,WBGene00021374,Public name for WBGene00021374. History: N.A.
pept-3,-1.10583559,,pept-3,WBGene00003878,Public name for WBGene00003878. History: Renamed on 2009-04-29
C17H1.7,-1.102958811,,C17H1.7,WBGene00007660,Sequence name for WBGene00007660(pals-6). History: N.A.
abu-8,-1.099755996,,abu-8,WBGene00000031,Public name for WBGene00000031. History: N.A.
acr-5,-1.09932364,,acr-5,WBGene00000044,Public name for WBGene00000044. History: N.A.
F57G9.7,-1.09840997,,F57G9.7,WBGene00044048,Public name for WBGene00044048. History: N.A.
cutl-27,-1.097929282,,cutl-27,WBGene00007802,Public name for WBGene00007802. History: N.A.
F42G4.2,-1.093764135,,F42G4.2,WBGene00009641,Public name for WBGene00009641. History: N.A.
srt-45,-1.088233217,,srt-45,WBGene00010929,Public name for WBGene00010929. History: N.A.
C06E4.5,-1.087829802,,C06E4.5,WBGene00015534,Public name for WBGene00015534. History: N.A.
T13B5.9,-1.087415211,,T13B5.9,WBGene00020476,Public name for WBGene00020476. History: N.A.
C24A3.4,-1.086500817,,C24A3.4,WBGene00016034,Public name for WBGene00016034. History: N.A.
AC3.5,-1.082785981,,AC3.5,WBGene00007071,Public name for WBGene00007071. History: N.A.
F28H1.4,-1.082689592,,F28H1.4,WBGene00017909,Public name for WBGene00017909. History: N.A.
sod-4,-1.082175745,-0.4441005154862989,sod-4,WBGene00004933,Public name for WBGene00004933. History: N.A.
ZC116.1,-1.081371474,-0.913873792795735,ZC116.1,WBGene00013853,Public name for WBGene00013853. History: N.A.
F49E8.6,-1.080259899,,F49E8.6,WBGene00018637,Public name for WBGene00018637. History: N.A.
W01B6.3,-1.079918834,,W01B6.3,WBGene00012170,Public name for WBGene00012170. History: N.A.
R13H4.2,-1.07973594,,R13H4.2,WBGene00014826,Public name for WBGene00014826. History: N.A.
oac-7,-1.079267187,,oac-7,WBGene00007835,Public name for WBGene00007835. History: N.A.
T28F3.9,-1.076436147,,T28F3.9,WBGene00012135,Public name for WBGene00012135. History: N.A.
ZK836.3,-1.076046964,-1.0056118442151,ZK836.3,WBGene00014099,Public name for WBGene00014099. History: N.A.
C55C3.3,-1.074880001,,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
tbb-6,-1.074145425,-0.6277905729413499,tbb-6,WBGene00006539,Public name for WBGene00006539. History: N.A.
F59A7.12,-1.071072987,-0.7739079980477739,F59A7.12,WBGene00044520,Public name for WBGene00044520. History: N.A.
clec-157,-1.06990545,,clec-157,WBGene00017810,Public name for WBGene00017810. History: N.A.
F21C10.4,-1.066592211,,F21C10.4,WBGene00017654,Public name for WBGene00017654. History: N.A.
ZK546.3,-1.0641401,,ZK546.3,WBGene00022760,Public name for WBGene00022760. History: N.A.
eva-1,-1.062962099,,eva-1,WBGene00009304,Public name for WBGene00009304. History: Renamed on 2007-10-09
drh-2,-1.062949501,-1.01715266056278,drh-2,WBGene00001091,Public name for WBGene00001091. History: N.A.
clec-69,-1.057787685,,clec-69,WBGene00044642,Public name for WBGene00044642. History: N.A.
math-46,-1.057057045,,math-46,WBGene00021175,Public name for WBGene00021175. History: N.A.
F42C5.3,-1.056080315,,F42C5.3,WBGene00018345,Public name for WBGene00018345. History: N.A.
C45G9.11,-1.054732532,,C45G9.11,WBGene00016682,Public name for WBGene00016682. History: N.A.
F22G12.1,-1.050918152,,F22G12.1,WBGene00009061,"Sequence name for WBGene00009061(pals-14). History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
dgn-1,-1.049766279,,dgn-1,WBGene00000961,Public name for WBGene00000961. History: N.A.
T28A8.2,-1.049299011,-1.05480366529686,T28A8.2,WBGene00012108,Public name for WBGene00012108. History: N.A.
alh-5,-1.049035347,,alh-5,WBGene00000111,Public name for WBGene00000111. History: N.A.
F36F12.1,-1.048377922,,F36F12.1,WBGene00018092,Public name for WBGene00018092. History: N.A.
W02B8.1,-1.0479163,,W02B8.1,WBGene00012197,Public name for WBGene00012197. History: N.A.
C54E10.1,-1.04558273,,C54E10.1,WBGene00008306,Public name for WBGene00008306. History: N.A.
T15B12.1,-1.044987697,,T15B12.1,WBGene00020530,Public name for WBGene00020530. History: N.A.
lips-13,-1.0417224,,lips-13,WBGene00020474,Public name for WBGene00020474. History: N.A.
Y23H5A.4,-1.039671741,,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
nhr-149,-1.037536289,,nhr-149,WBGene00015397,Public name for WBGene00015397. History: N.A.
nlp-18,-1.034265227,,nlp-18,WBGene00003756,Public name for WBGene00003756. History: N.A.
ptr-11,-1.029834541,,ptr-11,WBGene00004225,Public name for WBGene00004225. History: N.A.
asic-2,-1.028200057,,asic-2,WBGene00012137,Public name for WBGene00012137. History: N.A.
ceh-26,-1.027839456,,ceh-26,WBGene00000448,Other name for WBGene00000448(pros-1). History: Renamed on 2013-02-08; Renamed on 2017-10-13
clec-185,-1.026967188,,clec-185,WBGene00007729,"Public name for WBGene00007729. History: Split into C25G4.17(WBGene00255469). History of WBGene00007729: Split into ""WBGene00255469"" on 2014-05-28"
K01B6.3,-1.022677447,,K01B6.3,WBGene00010454,Public name for WBGene00010454. History: N.A.
K09H9.8,-1.020116201,,K09H9.8,WBGene00045387,Public name for WBGene00045387. History: N.A.
dnj-24,-1.019696676,,dnj-24,WBGene00001042,Public name for WBGene00001042. History: N.A.
C35E7.4,-1.014056687,-0.736062309468068,C35E7.4,WBGene00016456,Public name for WBGene00016456. History: N.A.
E03A3.10,-1.012498325,,E03A3.10,WBGene00189944,Public name for WBGene00189944. History: N.A.
pxl-1,-1.010240295,-0.8476552826815849,pxl-1,WBGene00016197,Public name for WBGene00016197. History: N.A.
nhr-132,-1.009611356,,nhr-132,WBGene00003722,Public name for WBGene00003722. History: N.A.
Y54G2A.45,-1.008590726,,Y54G2A.45,WBGene00044488,Public name for WBGene00044488. History: N.A.
dmsr-6,-1.006757136,,dmsr-6,WBGene00013222,Public name for WBGene00013222. History: N.A.
frpr-15,-1.004872215,,frpr-15,WBGene00010735,Public name for WBGene00010735. History: N.A.
F55G11.10,-1.002736312,,F55G11.10,WBGene00010129,Public name for WBGene00010129. History: N.A.
gst-24,-1.002157882,,gst-24,WBGene00001772,Public name for WBGene00001772. History: N.A.
F23H12.7,-1.00049921,,F23H12.7,WBGene00009095,Public name for WBGene00009095. History: N.A.
Y57A10A.23,-1.000375914,-0.7901260803616839,Y57A10A.23,WBGene00013263,Sequence name for WBGene00013263(txdc-12.1). History: N.A.
ugt-51,-0.997920802,,ugt-51,WBGene00015369,Public name for WBGene00015369. History: N.A.
R09B5.12,-0.996584607,,R09B5.12,WBGene00019980,Sequence name for WBGene00019980(chil-14). History: N.A.
T01D3.7,-0.99562756,,T01D3.7,WBGene00011326,"Public name for Dead gene WBGene00045409. History of WBGene00045409: Merged into ""WBGene00011326"" on 2012-01-23"
madf-4,-0.993137506,-0.872741008847695,madf-4,WBGene00011575,Public name for WBGene00011575. History: N.A.
pgp-1,-0.988437106,,pgp-1,WBGene00003995,Public name for WBGene00003995. History: N.A.
nekl-4,-0.987800642,,nekl-4,WBGene00017033,Public name for WBGene00017033. History: N.A.
F26F2.1,-0.987337923,,F26F2.1,WBGene00009166,Public name for WBGene00009166. History: N.A.
Y9C2UA.1,-0.986102057,,Y9C2UA.1,WBGene00012421,Public name for WBGene00012421. History: N.A.
W05B2.4,-0.97912769,,W05B2.4,WBGene00012272,Sequence name for WBGene00012272(dhc-4). History: N.A.
B0205.5,-0.979080228,,B0205.5,WBGene00015020,Public name for WBGene00015020. History: N.A.
arrd-15,-0.977869259,,arrd-15,WBGene00014033,Public name for WBGene00014033. History: N.A.
nhr-180,-0.971148405,,nhr-180,WBGene00017961,Public name for WBGene00017961. History: N.A.
duox-2,-0.968905199,,duox-2,WBGene00018771,Public name for WBGene00018771. History: N.A.
calf-1,-0.968051506,,calf-1,WBGene00007119,Public name for WBGene00007119. History: N.A.
Y57G11C.5,-0.967651819,,Y57G11C.5,WBGene00013303,Public name for WBGene00013303. History: N.A.
Y45G12C.3,-0.966448759,,Y45G12C.3,WBGene00021566,Public name for WBGene00021566. History: N.A.
tag-80,-0.964768622,-0.572134854085725,tag-80,WBGene00018468,Other name for WBGene00018468(cla-1). History: Renamed on 2014-01-06; Renamed on 2017-04-28
T27F7.12,-0.964212342,,T27F7.12,WBGene00206517,Public name for WBGene00206517. History: N.A.
F13H8.15,-0.963022381,,F13H8.15,WBGene00219306,Sequence name for WBGene00219306(linc-4). History: N.A.
twk-46,-0.962192824,,twk-46,WBGene00006696,Public name for WBGene00006696. History: N.A.
D1086.2,-0.959360308,,D1086.2,WBGene00008389,Public name for WBGene00008389. History: N.A.
H37A05.2,-0.958872465,,H37A05.2,WBGene00010426,Public name for WBGene00010426. History: N.A.
R17.3,-0.958314103,,R17.3,WBGene00011269,Sequence name for WBGene00011269(sbsp-1). History: N.A.
clec-82,-0.957486586,,clec-82,WBGene00021873,Public name for WBGene00021873. History: N.A.
pxn-1,-0.956811963,,pxn-1,WBGene00004256,Public name for WBGene00004256. History: N.A.
unc-120,-0.956732113,,unc-120,WBGene00006844,Public name for WBGene00006844. History: N.A.
nhr-139,-0.954034187,,nhr-139,WBGene00016365,Public name for WBGene00016365. History: N.A.
F56A4.4,-0.951839096,,F56A4.4,WBGene00018912,Public name for WBGene00018912. History: N.A.
Y32H12A.8,-0.948503398,,Y32H12A.8,WBGene00021316,Public name for WBGene00021316. History: N.A.
madd-4,-0.946868832,,madd-4,WBGene00009958,Public name for WBGene00009958. History: N.A.
mltn-12,-0.946130487,,mltn-12,WBGene00008277,Public name for WBGene00008277. History: N.A.
Y44A6D.5,-0.944796082,0.5854429478871969,Y44A6D.5,WBGene00012855,Public name for WBGene00012855. History: N.A.
F35H10.10,-0.944790608,,F35H10.10,WBGene00018073,Public name for WBGene00018073. History: N.A.
col-93,-0.941764475,,col-93,WBGene00000668,Public name for WBGene00000668. History: N.A.
clp-3,-0.940043068,,clp-3,WBGene00000544,Public name for WBGene00000544. History: N.A.
acs-16,-0.939616543,,acs-16,WBGene00018579,Public name for WBGene00018579. History: N.A.
nex-3,-0.937487726,,nex-3,WBGene00003590,Public name for WBGene00003590. History: N.A.
W05F2.4,-0.937166323,,W05F2.4,WBGene00021036,"Public name for WBGene00021036. History: Merged into ""WBGene00019363"" on 2004-12-23; Resurrected on 2005-09-13. History of Dead gene WBGene00019363: Killed on 2005-09-13; Merged into ""WBGene00021036"" on 2005-09-13. Remark: Killed in favour of W05F2.4 (WBGene00021036) which has an isoform (W05F2.4b) located entirely in clone W05F2 and therefore should be named with respect to the clone in which it appears."
arf-1.1,-0.935710074,,arf-1.1,WBGene00000190,Other name for WBGene00000190(warf-1). History: Renamed on 2020-09-10
F28D1.6,-0.934994438,-0.802637133329933,F28D1.6,WBGene00009216,Public name for WBGene00009216. History: N.A.
C05D12.7,-0.933472014,,C05D12.7,WBGene00044029,Public name for WBGene00044029. History: N.A.
Y20C6A.3,-0.931609044,,Y20C6A.3,WBGene00012493,Public name for WBGene00012493. History: N.A.
F35C11.7,-0.928183748,,F35C11.7,WBGene00009406,Public name for WBGene00009406. History: N.A.
Y51H4A.25,-0.925023267,,Y51H4A.25,WBGene00013119,Public name for WBGene00013119. History: N.A.
