WormBase Gene,GeneName,ratio,LogRatio,Pvalue,Qvalue,>1.2&SigQ,csr-1 reg (Campbell 2015),Pgran reg (Campbell 2015),CSR-1 Targ (Claycomb 2009),Germline enriched (Reinke 2004),Soma enriched (Reinke 2004),RNAi,Input,Suggested Match,History
WBGene00219595; Dscr: none available; Molecule: F58D2.6; Class: Antisense Non-coding RNA ...,anr-31,0.603978597962955,-0.730837781809627,0.0002873311869799,0.0205664502194276,Yes,No,No,No,No,No,No,anr-31,,"Public name for Dead gene WBGene00219595. History of WBGene00219595: Killed on 2014-05-28. Remark: [120803 pad] Created as part of a lincRNA and anti-sense RNA data submission from Nam JW, et al 2012....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....It overlaps with a pre-existing CDS gene (F58D2.4) so has been retired."
"WBGene00000147; Dscr: aph-1 encodes an unfamiliar protein predicted to have seven transmembrane domains; APH-1 is a component of the GLP-1/LIN-12 (Notch) pathway, is required maternally for embryonic viability, and also affects morphogenesis, egg laying, germ line proliferation, and translocation of APH-2 to the cell surface; with PEN-2, APH-1 is required for Notch pathway signaling, gamma-secretase cleavage of beta-amyloid precursor protein, and presenilin protein accumulation.; Molecule: V ...",aph-1,0.884700543685122,-0.177125220557587,0.000571884071773,0.0298279025607613,No,No,No,Yes,Yes,No,No,aph-1,WBGene00000147,Public name for WBGene00000147. History: N.A.
"WBGene00000148; Dscr: aph-2 encodes an ortholog of nicastrin, which associates with presenilin and membrane-bound Notchl in aph-2 mutants, the specification of pi-cells is compromised.; Molecule: ZC434.6a; Class: Anterior PHarynx defective ...",aph-2,1.24212209521605,0.310489643204528,0.0007768325307956,0.0354871566783847,Yes,No,No,Yes,No,No,No,aph-2,WBGene00000148,Public name for WBGene00000148. History: N.A.
WBGene00000155; Dscr: none available; Molecule: W03G9.4; Class: AminoPeptidase P ...,app-1,1.18695243440762,0.246870495411498,3.90712165516458e-05,0.0072447880202732,No,No,No,Yes,No,No,No,app-1,WBGene00000155,Public name for WBGene00000155. History: N.A.
WBGene00016158; Dscr: none available; Molecule: C27A12.8; Class: ARI (ubiquitin ligase Ariadne) homolog ...,ari-1,0.871493916879425,-0.198727096786195,0.0009146478183187,0.0389142574048568,No,No,No,Yes,No,No,No,ari-1,WBGene00016158,Other name for WBGene00016158(ari-1.1). History: N.A.
"WBGene00011279; Dscr: asd-1 encodes an ortholog of human RBM9 et al., and paralog of FOX-1 and SPN-4; ASD-1 isoforms have an RNA recognition motif and 1-2 glutamine/asparagine-rich domains; ASD-1 and FOX-1 both bind a site in egl-15 mRNA that is required to repress exon 5B splicing into mature mRNA; ASD-1 alone is partly required for exon 5A expression in muscle cells, while FOX-1 alone is dispensable for it; double asd-1;fox-1 mutants completely fail to express exon 5A in muscle cells, and  ...",asd-1,0.814978562113246,-0.294678917283983,0.0005750567419219,0.0297954042145633,Yes,No,No,Yes,Yes,No,No,asd-1,WBGene00011279,Public name for WBGene00011279. History: N.A.
"WBGene00000212; Dscr: asm-2 encodes a protein similar to human acid sphingomyelinase (ASM) or sphingomyelin phosphodiesterase 1; the ASM-2 protein has a putative secretory signal peptide at the N-terminus, saposin-like and proline-rich domains and putative N-linked glycosylation sites; asm-2 shows phosphodiesterase activity when expressed in COS-7 cells; like mammalian ASM, asm-2 is probably both intracellular and secreted; northern blot analysis indicates that asm-2 is expressed during post ...",asm-2,0.620498329435503,-0.689252780527941,1.63460184111969e-05,0.0048116548445659,Yes,No,No,No,No,No,No,asm-2,WBGene00000212,Public name for WBGene00000212. History: N.A.
"WBGene00014025; Dscr: asna-1 encodes a putative membrane transporter that is required, non-cell-autonomously, for L1 larvae to proceed through development when fed, and is also required for normal insulin (DAF-28) secretion; the human ASNA1 ortholog stimulates insulin secretion in pancreatic beta cells, and can transgenically rescue asna-1 mutant C. elegans, suggesting that ASNA-1's function is conserved among metazoa; asna-1 mutants only progress to adulthood when rescued by maternal ASNA-1 ...",asna-1,0.87914942163979,-0.185954704102194,1.94676491296204e-05,0.0052999268133344,No,No,No,Yes,No,No,No,asna-1,WBGene00014025,Public name for WBGene00014025. History: Renamed on 2007-02-16
WBGene00019104; Dscr: none available; Molecule: F59D6.2; Class: ASpartyl Protease ...,asp-7,0.504371171160518,-0.982682171747784,0.0003230854047432,0.0218944984066158,Yes,No,No,No,No,No,No,asp-7,WBGene00019104,Public name for WBGene00019104. History: N.A.
WBGene00019105; Dscr: none available; Molecule: F59D6.3; Class: ASpartyl Protease ...,asp-8,0.508594946921829,-0.977096130821307,0.0003915525528929,0.0243289474091723,Yes,No,No,No,No,No,No,asp-8,WBGene00019105,Public name for WBGene00019105. History: N.A.
"WBGene00014080; Dscr: atg-4.2 encodes a putative cysteine protease orthologous to the autophagic budding yeast protein Apg4p, and to human ATG4C (OMIM:611339) and ATG4D (OMIM:611340); ATG-4.2 is paralogous to ATG-4.1 and to human ATG4A and ATG4B; unlike C. elegans orthologs of other yeast autophagic proteins, ATG-4.2 is not required for normal dauer formation, and it has no obvious functions in mass RNAi assays.; Molecule: ZK792.8; Class: AuTophaGy (yeast Atg homolog) ...",atg-4.2,0.780148059672535,-0.359829733162881,0.0003980955531454,0.0244134171380778,Yes,No,No,No,No,No,No,atg-4.2,WBGene00014080,Public name for WBGene00014080. History: N.A.
"WBGene00000226; Dscr: The atl-1 gene encodes a large, 2514-residue protein of the ATM family, homologous to human AT (OMIM:208900, mutated in ataxia telangiectasia); the C-terminal sequence of ATL-1 contains a PI-3 kinase-like domain; ATL-1 is required for survival through early embryogenesis and normal chromosomal segregation; atl-1 is expressed in both the mitotic and meiotic cells of adult gonads.; Molecule: T06E4.3a; Class: ATM (ataxia telangectasia mutated)-Like ...",atl-1,1.45609638093092,0.542337637371185,1.28742335153724e-05,0.004300359220617,Yes,No,No,Yes,No,No,No,atl-1,WBGene00000226,Public name for WBGene00000226. History: N.A.
WBGene00007087; Dscr: none available; Molecule: B0001.2; Class: not known ...,B0001.2,1.64302486261988,0.717380994140864,7.64336674355661e-07,0.001124960271525,Yes,No,No,Yes,Yes,Yes,No,B0001.2,WBGene00007087,Public name for WBGene00007087. History: N.A.
WBGene00007090; Dscr: none available; Molecule: B0001.5; Class: not known ...,B0001.5,1.47527120940654,0.557565326529319,0.0001294685949089,0.0133721751820661,Yes,No,No,No,No,No,No,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
WBGene00007100; Dscr: none available; Molecule: B0024.10; Class: not known ...,B0024.10,1.23126535038755,0.301096668609597,0.0005411635297162,0.0288649149746024,Yes,No,No,Yes,Yes,No,No,B0024.10,WBGene00007100,Sequence name for WBGene00007100(asps-1). History: N.A.
WBGene00015002; Dscr: none available; Molecule: B0034.1; Class: not known ...,B0034.1,0.773066407577689,-0.371360749882006,2.36819103808209e-05,0.0056617797721619,Yes,No,No,No,No,No,No,B0034.1,WBGene00015002,Public name for WBGene00015002. History: N.A.
WBGene00007110; Dscr: none available; Molecule: B0035.11; Class: not known ...,B0035.11,1.10742450551696,0.147643361664326,0.0012265142878288,0.0462130959425285,No,No,No,Yes,Yes,No,No,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
WBGene00007111; Dscr: none available; Molecule: B0035.12; Class: not known ...,B0035.12,1.39663424457966,0.481173932936853,3.22045302468975e-05,0.0065097380496497,Yes,No,No,Yes,Yes,No,No,B0035.12,WBGene00007111,Sequence name for WBGene00007111(sart-3). History: N.A.
WBGene00007112; Dscr: none available; Molecule: B0035.13; Class: not known ...,B0035.13,0.602971915875866,-0.73578725509509,0.0003317928425859,0.0223879359600468,Yes,No,No,No,No,No,No,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
WBGene00015009; Dscr: B0041.5 encodes a predicted transmembrane transporter that displays similarity to members of the F5 subfamily of solute carrier family 35 (SLC35F5) proteins that function as nucleotide sugar transporters; loss of B0041.5 activity via RNAi results in decreased intestinal dipeptide uptake and a slight reduction in fat droplet diameter compared to control animals; loss of B0041.5 activity has also been reported to affect axon guidance and fasciculation.; Molecule: B0041.5; ...,B0041.5,1.15777420557863,0.212358333346433,0.0013617024242857,0.0492198471059164,No,No,No,No,No,No,No,B0041.5,WBGene00015009,"Public name for WBGene00015009. History: Split into B0041.12(WBGene00303032). History of WBGene00015009: Split into ""WBGene00303032"" on 2018-03-02"
WBGene00015030; Dscr: none available; Molecule: B0207.7; Class: not known ...,B0207.7,1.84223781003659,0.891593043344537,0.000446211555356,0.0261064246387096,Yes,No,No,No,Yes,No,No,B0207.7,WBGene00015030,Public name for WBGene00015030. History: N.A.
WBGene00015075; Dscr: none available; Molecule: B0238.11; Class: not known ...,B0238.11,0.852428840969844,-0.230646461439486,0.0002481091092368,0.0189698747188938,No,No,No,Yes,Yes,No,No,B0238.11,WBGene00015075,Public name for WBGene00015075. History: N.A.
WBGene00196688; Dscr: none available; Molecule: B0250.15; Class: not known ...,B0250.15,3.6352500092207,1.79504212096584,0.0005138966798445,0.0279486210477128,Yes,No,No,No,No,No,No,B0250.15,WBGene00196688,Public name for WBGene00196688. History: N.A.
WBGene00015093; Dscr: none available; Molecule: B0261.5; Class: not known ...,B0261.5,2.02076495495248,1.02793418378312,0.0001288678161795,0.0133393767174126,Yes,No,No,No,No,No,No,B0261.5,WBGene00015093,Public name for WBGene00015093. History: N.A.
WBGene00199390; Dscr: none available; Molecule: B0273.111; Class: not known ...,B0273.111,1.58970755941975,0.682152702792208,0.0012538645790241,0.0468686618594262,Yes,No,No,No,No,No,No,B0273.111,WBGene00199390,Public name for WBGene00199390. History: N.A.
WBGene00007149; Dscr: none available; Molecule: B0334.13; Class: not known ...,B0334.13,0.513093700496113,-0.968895457257442,6.63266213538746e-05,0.009409190399171,Yes,No,No,No,No,No,No,B0334.13,WBGene00007149,Public name for WBGene00007149. History: N.A.
WBGene00007165; Dscr: none available; Molecule: B0391.10; Class: not known ...,B0391.10,0.57574137478115,-0.795336824081208,6.48478172838988e-05,0.0093115929830398,Yes,No,No,No,No,No,No,B0391.10,WBGene00007165,Public name for WBGene00007165. History: N.A.
WBGene00007170; Dscr: none available; Molecule: B0393.5; Class: not known ...,B0393.5,0.610684019967641,-0.705885565956289,0.0005564923319679,0.0292192595886558,Yes,No,No,No,No,No,No,B0393.5,WBGene00007170,Public name for WBGene00007170. History: N.A.
WBGene00044636; Dscr: none available; Molecule: B0393.9a; Class: not known ...,B0393.9,0.882204176792524,-0.180508136842223,0.0006637271631103,0.0321607221483249,No,No,No,No,No,No,No,B0393.9,WBGene00044636,Public name for WBGene00044636. History: N.A.
WBGene00007186; Dscr: none available; Molecule: B0464.6; Class: not known ...,B0464.6,0.775197546164683,-0.367942802730129,0.0006485184125559,0.0317174664533351,Yes,No,No,Yes,Yes,No,No,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
WBGene00015207; Dscr: none available; Molecule: B0495.8a; Class: not known ...,B0495.8,1.17152808010448,0.227572141839326,0.0010516584884298,0.0420824226746541,No,No,No,Yes,No,No,No,B0495.8,WBGene00015207,Sequence name for WBGene00015207(luc-7L). History: N.A.
WBGene00015228; Dscr: none available; Molecule: B0511.2; Class: not known ...,B0511.2,1.23992726711744,0.31146759967482,0.0001952898454349,0.0166324794580348,Yes,No,No,No,No,No,No,B0511.2,WBGene00015228,Public name for WBGene00015228. History: N.A.
"WBGene00007195; Dscr: B0513.2 encodes the C. elegans ortholog of mammalian THOC7, a subunit of the THO complex involved in mRNP biogenesis as part of transcription elongation, mRNA maturation, and export.; Molecule: B0513.2a; Class: not known ...",B0513.2,1.67450430149551,0.749589585581257,8.95626111895217e-05,0.0109564152254652,Yes,No,No,Yes,No,No,No,B0513.2,WBGene00007195,Sequence name for WBGene00007195(thoc-7). History: N.A.
WBGene00007199; Dscr: none available; Molecule: B0513.7; Class: not known ...,B0513.7,1.25065907240594,0.324754907448645,0.0005671515686517,0.0296467309437953,Yes,No,No,No,No,No,No,B0513.7,WBGene00007199,Public name for WBGene00007199. History: N.A.
"WBGene00050875; Dscr: bah-1 encodes a protein with a DUF23 domain, a domain found in insects, plants, bacteria and two vertebrates, the frog and the fish, Tetraodon, but absent from mammalian genomes; bah-1 normally functions to contribute to the integrity of the nematode cuticle; bah-1 is also required for the surface characteristics of the elegans cuticle that are required for the binding of bacterial biofilms; bah-1 expression is down-regulated in mutants of the TGF-beta pathway, like daf ...",bah-1,0.542342377186028,-0.890483981700098,7.39280482210592e-05,0.0096718422642095,Yes,No,No,No,No,No,No,bah-1,WBGene00050875,Public name for WBGene00050875. History: N.A.
WBGene00019139; Dscr: none available; Molecule: F59H6.9; Class: BTB and MATH domain containing ...,bath-1,0.36771546579559,-1.4290688891364,7.01339540566925e-05,0.009519218928421,Yes,No,No,No,Yes,No,No,bath-1,WBGene00019139,Public name for WBGene00019139. History: N.A.
WBGene00018223; Dscr: none available; Molecule: F40B1.1; Class: BTB and MATH domain containing ...,bath-13,0.720958292558305,-0.467505396866015,0.0004758096359659,0.0270975601387259,Yes,Yes,No,No,Yes,No,No,bath-13,WBGene00018223,Public name for WBGene00018223. History: N.A.
WBGene00015016; Dscr: none available; Molecule: B0047.5; Class: BTB and MATH domain containing ...,bath-14,0.790088008464202,-0.340029259343837,0.0001622669485421,0.0154081627871731,Yes,No,No,No,No,No,No,bath-14,WBGene00015016,Public name for WBGene00015016. History: N.A.
WBGene00018224; Dscr: none available; Molecule: F40B1.2; Class: BTB and MATH domain containing ...,bath-18,0.327963208120319,-1.58621201887706,0.0001477560124969,0.0146814613429987,Yes,No,No,No,No,No,No,bath-18,WBGene00018224,Public name for WBGene00018224. History: N.A.
WBGene00019132; Dscr: none available; Molecule: F59H6.1; Class: BTB and MATH domain containing ...,bath-19,0.434313541415207,-1.18096118636638,0.001264796458837,0.0470532256068774,Yes,No,No,No,Yes,No,No,bath-19,WBGene00019132,Public name for WBGene00019132. History: N.A.
WBGene00018668; Dscr: none available; Molecule: F52C6.11; Class: BTB and MATH domain containing ...,bath-2,0.597536238884796,-0.743690949333088,0.0007064452849793,0.03347299802008,Yes,No,No,Yes,Yes,No,No,bath-2,WBGene00018668,Public name for WBGene00018668. History: N.A.
WBGene00015014; Dscr: none available; Molecule: B0047.3; Class: BTB and MATH domain containing ...,bath-24,0.27369751198271,-1.86906265406648,1.63123936947958e-06,0.001707291373861,Yes,No,No,No,Yes,No,No,bath-24,WBGene00015014,Public name for WBGene00015014. History: N.A.
WBGene00019140; Dscr: none available; Molecule: F59H6.10; Class: BTB and MATH domain containing ...,bath-3,0.515665101249405,-0.947251599504708,6.9439128014985e-05,0.0095071048001446,Yes,No,No,No,Yes,No,No,bath-3,WBGene00019140,Public name for WBGene00019140. History: N.A.
WBGene00018665; Dscr: none available; Molecule: F52C6.8; Class: BTB and MATH domain containing ...,bath-4,0.538346573102351,-0.889159260990574,7.59917691231623e-05,0.0098869070225488,Yes,No,No,No,Yes,No,No,bath-4,WBGene00018665,Public name for WBGene00018665. History: N.A.
WBGene00009247; Dscr: none available; Molecule: F29C12.5; Class: BTB and MATH domain containing ...,bath-45,0.494514546570895,-1.00061098347033,0.000307783063895,0.0212239630209824,Yes,No,No,No,No,No,No,bath-45,WBGene00009247,Public name for WBGene00009247. History: N.A.
WBGene00006464; Dscr: none available; Molecule: T07H3.1; Class: BTB and MATH domain containing ...,bath-47,1.29633432558373,0.37695980283731,0.0004042781780881,0.0246003793689883,Yes,No,No,No,No,No,No,bath-47,WBGene00006464,Public name for WBGene00006464. History: N.A.
WBGene00019141; Dscr: none available; Molecule: F59H6.11; Class: BTB and MATH domain containing ...,bath-5,0.372985620871142,-1.41974881158319,4.28916468049722e-05,0.0073996731912841,Yes,No,No,Yes,Yes,No,No,bath-5,WBGene00019141,Public name for WBGene00019141. History: N.A.
WBGene00018666; Dscr: none available; Molecule: F52C6.9; Class: BTB and MATH domain containing ...,bath-6,0.402980038738454,-1.30558233033528,8.91335334571283e-06,0.0037819920349223,Yes,No,No,No,No,No,No,bath-6,WBGene00018666,Public name for WBGene00018666. History: N.A.
WBGene00018667; Dscr: none available; Molecule: F52C6.10; Class: BTB and MATH domain containing ...,bath-7,0.36815326617967,-1.44806136421386,4.26306917335911e-06,0.0025097753990858,Yes,No,No,No,Yes,No,No,bath-7,WBGene00018667,Public name for WBGene00018667. History: N.A.
WBGene00013520; Dscr: none available; Molecule: Y73F8A.11; Class: BESTrophin (chloride channel) homolog ...,best-21,0.751663148220606,-0.411638632189792,7.4313588428694e-05,0.0096953501047496,Yes,No,No,No,No,No,No,best-21,WBGene00013520,Public name for WBGene00013520. History: N.A.
"WBGene00000249; Dscr: bir-1 encodes a homolog of the baculoviral inhibitor-of-apoptosis (IAP) repeat (BIR) proteins (BIRPs) family; bir-1 is required for meiotic and mitotic chromosome segregation and for cytokinesis; BIR-1 localizes to meiotic and mitotic chromosomes and to the spindle midzone; BIR-1 forms a protein complex with CSC-1, ICP-1 and AIR-2.; Molecule: T27F2.3; Class: BIR (baculovirus inhibitory repeat) family ...",bir-1,0.826005008745071,-0.273769832553864,0.0012647430406712,0.0470884329877755,Yes,No,No,Yes,No,No,No,bir-1,WBGene00000249,Public name for WBGene00000249. History: N.A.
WBGene00000252; Dscr: A cuticle collagen involved in strut assembly in the adult cuticle.; Molecule: F59E12.12; Class: BLIstered cuticle ...,bli-2,0.642863666622413,-0.626810849216474,0.0012219090412609,0.0461873772273757,Yes,No,No,No,No,No,No,bli-2,WBGene00000252,Public name for WBGene00000252. History: N.A.
WBGene00000255; Dscr: bli-5 encodes a protease inhibitor that affects the integrity of the cuticle and the development of the bursa in the adult male.; Molecule: F45G2.5; Class: BLIstered cuticle ...,bli-5,0.619125429427343,-0.691114176724962,0.0001194836640613,0.0128187735990005,Yes,No,No,No,No,No,No,bli-5,WBGene00000255,Public name for WBGene00000255. History: N.A.
"WBGene00017757; Dscr: The bra-2 gene encodes a homolog of the human BMP receptor-associated molecule (BRAM1), paralogous to bra-1, that may act upon the SMA-6 TGF-beta signalling pathway; Molecule: F23H11.1; Class: BMP Receptor Associated protein family ...",bra-2,0.855924914197661,-0.224204792606411,0.0001786872593415,0.0161222462461101,No,No,No,Yes,Yes,No,No,bra-2,WBGene00017757,Public name for WBGene00017757. History: Renamed on 2005-05-06
WBGene00013275; Dscr: none available; Molecule: Y57A10B.3; Class: BTB (Broad/complex/Tramtrack/Bric a brac) domain protein ...,btb-14,1.11029068288198,0.151149726033065,0.0012736479825087,0.0472332855749578,No,No,No,No,No,No,No,btb-14,WBGene00013275,Public name for WBGene00013275. History: N.A.
WBGene00015013; Dscr: none available; Molecule: B0047.2; Class: BTB (Broad/complex/Tramtrack/Bric a brac) domain protein ...,btb-3,0.519983829051927,-0.938614966353794,7.67162554739042e-05,0.0098991293159176,Yes,No,No,No,No,No,No,btb-3,WBGene00015013,Public name for WBGene00015013. History: N.A.
WBGene00019142; Dscr: none available; Molecule: F59H6.12; Class: BTB (Broad/complex/Tramtrack/Bric a brac) domain protein ...,btb-4,0.397605938328034,-1.34810144354449,8.99709703741517e-05,0.0109212700069119,Yes,No,No,No,No,No,No,btb-4,WBGene00019142,Public name for WBGene00019142. History: N.A.
WBGene00007214; Dscr: none available; Molecule: C01A2.2a; Class: not known ...,C01A2.2,0.871389478220559,-0.199135672488371,0.0002877427444727,0.0205646552036061,No,No,No,No,No,No,No,C01A2.2,WBGene00007214,Public name for WBGene00007214. History: N.A.
WBGene00015284; Dscr: none available; Molecule: C01B10.10; Class: not known ...,C01B10.10,0.35531611164121,-1.49544599495661,3.46496620335922e-06,0.0023313282606544,Yes,No,No,No,No,Yes,No,C01B10.10,WBGene00015284,Sequence name for WBGene00015284(cest-5.2). History: N.A.
WBGene00015280; Dscr: none available; Molecule: C01B10.6a; Class: not known ...,C01B10.6,2.34168003849027,1.22929278156993,1.27394008986249e-06,0.0015384623167267,Yes,No,No,No,No,No,No,C01B10.6,WBGene00015280,Public name for WBGene00015280. History: N.A.
"ref Caenorhabditis elegans Protein C01B10.6, isoform a (C01B10.6) mRNA, complete cds [NM_171366] ...",C01B10.6a.2,2.32823523016408,1.22494487015602,5.31644390991609e-06,0.0028134143288677,Yes,No,No,No,No,No,No,,,
