FeatureNum,ProbeName,accessions,GeneName,SystematicName,slide17.txt:chr_coord,slide17.txt:Description,slide17.txt_slide18.txt_Dyeswap.signal,Input,Suggested Match,History
16507,A_12_P109618,wb|K04F10.6a|wb|K04F10.6b,K04F10.6a,K04F10.6a,chrI:6365266-6365207,Unknown,-2.8715844,K04F10.6a,WBGene00003499,Molecule name for WBGene00003499(mut-2). History: Renamed on 2006-07-10
6337,A_12_P102322,wb|ZK1320.4,ZK1320.4,ZK1320.4,chrII:9660887-9660828,cytochrome P450 [ZK1320.4],-2.8448014,ZK1320.4,WBGene00014254,Sequence name for WBGene00014254(cyp-13A10). History: N.A.
19852,A_12_P119037,wb|F18A1.2.1|wb|F18A1.2.3|wb|F18A1.2.2,F18A1.2.1,F18A1.2.1,chrII:7684473-7684532,transcription factor [F18A1.2.1],-2.8372874,,,
13315,A_12_P115870,wb|F19H6.4,F19H6.4,F19H6.4,chrX:12366689-12366748,3-oxo-5-alpha-steroid 4-dehydrogenase [F19H6.4],-2.8275595,F19H6.4,WBGene00008959,Public name for WBGene00008959. History: N.A.
21594,A_12_P100592,wb|R107.6.1|wb|R107.6.3|wb|R107.6.2,R107.6.1,R107.6.1,chrIII:9058432-9058491,Unknown,-2.8183234,,,
19686,A_12_P110006,wb|Y80D3A.2,Y80D3A.2,Y80D3A.2,chrV:18863434-18863375,Unknown,-2.789106,Y80D3A.2,WBGene00001258,"Sequence name for WBGene00001258(emb-4). History: Renamed on 2006-10-16. Public name for Dead gene WBGene00013582. History of WBGene00013582: Merged into ""WBGene00001258"" on 2006-10-16"
17231,A_12_P109401,wb|F55B11.3|wb|F55B11.5,F55B11.3,F55B11.3,chrIV:14425421-14425480,Unknown,-2.7652097,F55B11.3,WBGene00010085,Public name for WBGene00010085. History: N.A.
17074,A_12_P102400,wb|K07C5.2,K07C5.2,K07C5.2,chrV:10343293-10343398,reductase [K07C5.2],-2.7526743,K07C5.2,WBGene00010625,Public name for WBGene00010625. History: N.A.
7272,A_12_P113478,wb|F44E2.7b.3|wb|F44E2.7b.4|wb|F44E2.7b.1|wb|F44E2.7b.2,F44E2.7b.3,F44E2.7b.3,chrIII:8846106-8846047,Unknown,-2.7413697,,,
22072,A_12_P101151,wb|T25C12.3.3|wb|T25C12.3.2|wb|T25C12.3.1,T25C12.3.3,T25C12.3.3,chrX:11491208-11491104,EGF-repeats [T25C12.3.3],-2.7301612,,,
12154,A_12_P106515,wb|F47C10.6,F47C10.6,F47C10.6,chrV:3841912-3841795,UDP-glucuronosyltransferase [F47C10.6],-2.6933603,F47C10.6,WBGene00018543,Sequence name for WBGene00018543(ugt-32). History: N.A.
12561,A_12_P117047,wb|R05F9.9,R05F9.9,R05F9.9,chrII:4900691-4900250,Unknown,-2.6870275,R05F9.9,WBGene00019892,Public name for WBGene00019892. History: N.A.
1262,A_12_P108274,wb|ZK353.7.2|wb|ZK353.7.1,ZK353.7.2,ZK353.7.2,chrIII:8402513-8402454,Unknown,-2.6630332,,,
12575,A_12_P104956,wb|Y57A10A.5,Y57A10A.5,Y57A10A.5,chrII:12156295-12156354,Unknown,-2.6403036,Y57A10A.5,WBGene00013250,Public name for WBGene00013250. History: N.A.
18998,A_12_P116696,wb|H19N07.2a|wb|H19N07.2c|wb|H19N07.2b,H19N07.2a,H19N07.2a,chrV:11120664-11120723,ubiquitin carboxyl-terminal hydrolase [H19N07.2a],-2.6332264,H19N07.2a,WBGene00010406,Molecule name for WBGene00010406(math-33). History: N.A.
4678,A_12_P111034,wb|ZK353.1b|wb|ZK353.1a,ZK353.1b,ZK353.1b,chrIII:8408065-8408700,Unknown,-2.610176,ZK353.1b,WBGene00022697,Molecule name for WBGene00022697(cyy-1). History: N.A.
15913,A_12_P105339,wb|F13H10.3b|wb|F13H10.3a,F13H10.3b,F13H10.3b,chrIV:11012578-11012519,Yeast YEH4 like protein [F13H10.3b],-2.5837998,F13H10.3b,WBGene00008774,Molecule name for WBGene00008774(F13H10.3). History: N.A.
16174,A_12_P108815,wb|ZK593.4,ZK593.4,ZK593.4,chrIV:10925689-10926127,Human XE169 like [ZK593.4],-2.5786037,ZK593.4,WBGene00004319,Sequence name for WBGene00004319(rbr-2). History: N.A.
21178,A_12_P113957,wb|Y39B6A.40,Y39B6A.40,Y39B6A.40,chrV:18982053-18981994,Unknown,-2.5696368,Y39B6A.40,WBGene00012698,Sequence name for WBGene00012698(sws-1). History: N.A.
15678,A_12_P114222,wb|Y73B3A.16|wb|C16A11.3,Y73B3A.16,Y73B3A.16,chrX:80338-80397,protein kinase [C16A11.3],-2.5556617,Y73B3A.16,WBGene00022218,Public name for WBGene00022218. History: N.A.
20643,A_12_P113094,wb|F46F3.4,F46F3.4,F46F3.4,chrV:11687331-11687437,P53-binding protein like [F46F3.4],-2.5522914,F46F3.4,WBGene00000146,Sequence name for WBGene00000146(ape-1). History: N.A.
15416,A_12_P105650,wb|T07F8.3b.1|wb|T07F8.3b.2,T07F8.3b.1,T07F8.3b.1,chrII:7134999-7135058,Unknown,-2.5385923,T07F8.3b.1,WBGene00001597,Molecule name for WBGene00001597(gld-3). History: N.A.
14535,A_12_P108598,wb|T22C1.3,T22C1.3,T22C1.3,chrI:7948052-7948111,cell division control protein [T22C1.3],-2.531247,T22C1.3,WBGene00011914,Sequence name for WBGene00011914(pigu-1). History: N.A.
3406,A_12_P114575,wb|K08H10.1.1|wb|K08H10.1.3|wb|K08H10.1.2,K08H10.1.1,K08H10.1.1,chrV:10025706-10025765,Unknown,-2.4850018,,,
4793,A_12_P113506,wb|C50E3.11,C50E3.11,C50E3.11,chrV:7605285-7605226,folate transporter [C50E3.11],-2.4698257,C50E3.11,WBGene00016822,Public name for WBGene00016822. History: N.A.
6810,A_12_P100352,wb|ZK856.12,ZK856.12,ZK856.12,chrV:10217680-10217739,Unknown,-2.4601321,ZK856.12,WBGene00014113,Sequence name for WBGene00014113(hpo-40). History: N.A.
5088,A_12_P109836,wb|K11G9.6,K11G9.6,K11G9.6,chrV:6694061-6694002,Unknown,-2.4534621,K11G9.6,WBGene00003473,Sequence name for WBGene00003473(mtl-1). History: N.A.
14744,A_12_P113693,wb|ZK616.5|wb|Y73B6BL.23,ZK616.5,ZK616.5,chrIV:5392946-5393005,Unknown,-2.4268103,ZK616.5,WBGene00022775,Public name for WBGene00022775. History: N.A.
7939,A_12_P114572,wb|R07G3.7a|wb|R07G3.7b.1|wb|R07G3.7b.3|wb|R07G3.7b.2,R07G3.7a,R07G3.7a,chrII:7611562-7611503,Unknown,-2.4027345,R07G3.7a,WBGene00019943,Molecule name for WBGene00019943(R07G3.7). History: N.A.
18163,A_12_P114943,wb|ZK970.7,ZK970.7,ZK970.7,chrII:10312670-10312729,OV-17 antigen precursor [ZK970.7],-2.3879542,ZK970.7,WBGene00014173,Public name for WBGene00014173. History: N.A.
20528,A_12_P117405,wb|F16D3.2.2|wb|F16D3.2.1,F16D3.2.2,F16D3.2.2,chrI:8366860-8366801,Unknown,-2.387013,F16D3.2.2,WBGene00004684,Molecule name for WBGene00004684(rsd-6). History: N.A.
16633,A_12_P109862,wb|R11A5.2,R11A5.2,R11A5.2,chrI:7866268-7866209,Unknown,-2.385263,R11A5.2,WBGene00011230,Sequence name for WBGene00011230(nud-2). History: N.A.
15170,A_12_P100281,wb|M03D4.1a|wb|M03D4.1c,M03D4.1a,M03D4.1a,chrIV:6120712-6121355,kinesin-like protein [M03D4.1a],-2.3752725,M03D4.1a,WBGene00006974,Molecule name for WBGene00006974(zen-4). History: N.A.
934,A_12_P100564,wb|Y37H2A.4,Y37H2A.4,Y37H2A.4,chrV:18127643-18127702,Unknown,-2.3546193,Y37H2A.4,WBGene00012564,Sequence name for WBGene00012564(fbxa-107). History: N.A.
2063,A_12_P107054,wb|C16C10.3,C16C10.3,C16C10.3,chrIII:4172809-4172750,Unknown,-2.3534784,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
1144,A_12_P101786,wb|F55F8.9.2|wb|F55F8.9.1,F55F8.9.2,F55F8.9.2,chrI:5670595-5670536,Unknown,-2.335969,,,
13698,A_12_P115882,wb|F28B3.7.3|wb|F28B3.7.2|wb|F28B3.7.1,F28B3.7.3,F28B3.7.3,chrI:4951881-4951822,Unknown,-2.3236063,,,
5484,A_12_P100839,wb|T12A2.15a|wb|T12A2.15b,T12A2.15a,T12A2.15a,chrIII:6224617-6224558,Unknown,-2.3227615,,,
5409,A_12_P112097,wb|F56A6.1a|wb|F56A6.1b|wb|C18E3.7c,F56A6.1a,F56A6.1a,chrI:620604-620663,Unknown,-2.3120728,F56A6.1a,WBGene00018921,Molecule name for WBGene00018921(sago-2). History: Renamed on 2014-03-26
7128,A_12_P116028,wb|F17E9.4,F17E9.4,F17E9.4,chrIV:8348937-8349044,Unknown,-2.3120503,F17E9.4,WBGene00017541,Public name for WBGene00017541. History: N.A.
20833,A_12_P119931,wb|K02A11.1a|wb|K02A11.1b.3|wb|K02A11.1b.1|wb|K02A11.1b.2,K02A11.1a,K02A11.1a,chrI:9751439-9751498,ankyrin motifs [K02A11.1a],-2.3094337,K02A11.1a,WBGene00001582,Molecule name for WBGene00001582(gfi-2). History: N.A.
3793,A_12_P117531,wb|C16C2.3,C16C2.3,C16C2.3,chrI:9723793-9723734,"inositol-1,4,5-triphosphate 5-phosphatase [C16C2.3]",-2.307014,C16C2.3,WBGene00007620,Sequence name for WBGene00007620(ocrl-1). History: N.A.
21569,A_12_P107354,wb|F46F11.7,F46F11.7,F46F11.7,chrI:5622828-5622887,Unknown,-2.3058372,F46F11.7,WBGene00018510,Public name for WBGene00018510. History: N.A.
17321,A_12_P100537,wb|F52B5.2,F52B5.2,F52B5.2,chrI:8324379-8324320,serine/threonine kinase (2 domains) [F52B5.2],-2.2853603,F52B5.2,WBGene00009921,Public name for WBGene00009921. History: N.A.
9905,A_12_P118054,wb|K07F5.13a|wb|K07F5.13b.2|wb|K07F5.13b.1|wb|K07F5.13c,K07F5.13a,K07F5.13a,chrIV:9861656-9861715,Unknown,-2.2384715,K07F5.13a,WBGene00003787,Molecule name for WBGene00003787(npp-1). History: N.A.
16366,A_12_P113136,wb|F52E4.5,F52E4.5,F52E4.5,chrX:3086111-3086052,Unknown,-2.2262344,F52E4.5,WBGene00018702,Public name for WBGene00018702. History: N.A.
9355,A_12_P111148,wb|B0280.5.2|wb|B0280.5.1,B0280.5.2,B0280.5.2,chrIII:7102126-7102067,Unknown,-2.1952534,,,
14552,A_12_P103703,wb|F59A1.9,F59A1.9,F59A1.9,chrV:17656219-17656160,Unknown,-2.1920636,F59A1.9,WBGene00010295,Sequence name for WBGene00010295(fbxa-193). History: N.A.
20020,A_12_P118464,wb|H20J04.2,H20J04.2,H20J04.2,chrII:4350473-4350532,Unknown,-2.1874213,H20J04.2,WBGene00019217,Sequence name for WBGene00019217(athp-2). History: N.A.
7462,A_12_P105981,wb|B0035.10|wb|F54E12.1|wb|F22B3.2,B0035.10,B0035.10,chrIV:11326708-11326767,histone H3 [B0035.10],-2.167656,B0035.10,WBGene00001919,Sequence name for WBGene00001919(his-45). History: N.A.
4888,A_12_P114159,wb|C17E4.6,C17E4.6,C17E4.6,chrI:9438512-9438571,YL-1 protein like [C17E4.6],-2.1603076,C17E4.6,WBGene00007645,Public name for WBGene00007645. History: N.A.
21001,A_12_P102103,wb|F25F2.2,F25F2.2,F25F2.2,chrIII:4536532-4536591,"Approximately 25 cadherin-repeats, 3 EGF domains and one Laminin G domain [F25F2.2]",-2.143505,F25F2.2,WBGene00000396,Sequence name for WBGene00000396(cdh-4). History: N.A.
6041,A_12_P104319,wb|Y73B6BL.23,Y73B6BL.23,Y73B6BL.23,chrIV:6418337-6418232,Unknown,-2.123423,Y73B6BL.23,WBGene00022244,Public name for WBGene00022244. History: N.A.
12358,A_12_P108562,wb|T07D4.4b.1|wb|T07D4.4b.2,T07D4.4b.1,T07D4.4b.1,chrII:8889433-8889492,ATP-dependent helicase [T07D4.4b.1],-2.113018,T07D4.4b.1,WBGene00011580,Molecule name for WBGene00011580(ddx-19). History: N.A.
12622,A_12_P110283,wb|ZK328.4,ZK328.4,ZK328.4,chrIII:6006562-6006503,Unknown,-2.1043456,ZK328.4,WBGene00022694,Sequence name for WBGene00022694(gcna-1). History: N.A.
4662,A_12_P114626,wb|C30F12.2.1|wb|C30F12.2.2,C30F12.2.1,C30F12.2.1,chrI:6976051-6975992,Unknown,-2.0909758,C30F12.2.1,WBGene00016261,Molecule name for WBGene00016261(C30F12.2). History: N.A.
20175,A_12_P109198,wb|C02A12.4.1|wb|C02A12.4.2,C02A12.4.1,C02A12.4.1,chrV:3481374-3481315,Unknown,-2.087692,C02A12.4.1,WBGene00003096,Molecule name for WBGene00003096(lys-7). History: N.A.
18536,A_12_P119087,wb|B0336.1,B0336.1,B0336.1,chrIII:5726631-5726690,Unknown,-2.0667496,B0336.1,WBGene00006943,Sequence name for WBGene00006943(wrm-1). History: N.A.
12965,A_12_P103769,wb|C34D4.4,C34D4.4,C34D4.4,chrIV:7150281-7150340,Unknown,-2.063941,C34D4.4,WBGene00016400,Public name for WBGene00016400. History: N.A.
1173,A_12_P109265,wb|K04G2.2.1|wb|K04G2.2.2,K04G2.2.1,K04G2.2.1,chrI:8040137-8040196,BEM-1/BUD5 suppressor-like [K04G2.2.1],-2.056757,K04G2.2.1,WBGene00045192,Molecule name for WBGene00045192(aho-3). History: N.A.
21429,A_12_P118533,wb|ZK1128.6.3|wb|ZK1128.6.1|wb|ZK1128.6.2,ZK1128.6.3,ZK1128.6.3,chrIII:10132038-10132097,tubulin tyrosine ligase [ZK1128.6.3],-2.053724,,,
18289,A_12_P113134,wb|F12F6.1,F12F6.1,F12F6.1,chrIV:11587924-11587983,Unknown,-2.044911,F12F6.1,WBGene00008720,Public name for WBGene00008720. History: N.A.
770,A_12_P106340,wb|C44B7.5,C44B7.5,C44B7.5,chrII:6871604-6871461,Unknown,-2.0176992,C44B7.5,WBGene00016627,Public name for WBGene00016627. History: N.A.
22481,A_12_P115167,wb|B0213.17,B0213.17,B0213.17,chrV:3978732-3978673,Unknown,-2.0174053,B0213.17,WBGene00015046,Sequence name for WBGene00015046(nlp-34). History: N.A.
15592,A_12_P119761,wb|D2089.1b.3|wb|D2089.1b.2|wb|D2089.1a,D2089.1b.3,D2089.1b.3,chrII:10660039-10660098,RNA binding protein [D2089.1b.3],-2.0104222,,,
14461,A_12_P119901,wb|F40G12.11,F40G12.11,F40G12.11,chrV:14290325-14290384,Unknown,-1.999502,F40G12.11,WBGene00009606,Public name for WBGene00009606. History: N.A.
7365,A_12_P100042,wb|T24H10.1,T24H10.1,T24H10.1,chrII:9100242-9100301,transcription factor S-II [T24H10.1],-1.9739558,T24H10.1,WBGene00012000,Public name for WBGene00012000. History: N.A.
19056,A_12_P106016,wb|C39E9.14a,C39E9.14a,C39E9.14a,chrIV:13097878-13097775,Unknown,-1.9652107,C39E9.14a,WBGene00001007,Molecule name for WBGene00001007(dli-1). History: N.A.
5776,A_12_P100023,wb|F49E8.7.3|wb|F49E8.7.1|wb|F49E8.7.2,F49E8.7.3,F49E8.7.3,chrIV:7554704-7554645,Unknown,-1.9579691,,,
1939,A_12_P103073,wb|C28H8.9a,C28H8.9a,C28H8.9a,chrIII:5903925-5903866,Unknown,-1.9564865,C28H8.9a,WBGene00016200,Molecule name for WBGene00016200(dpff-1). History: N.A.
8398,A_12_P116295,wb|C01G8.3,C01G8.3,C01G8.3,chrI:5279146-5279087,oxidoreductase [C01G8.3],-1.9540766,C01G8.3,WBGene00000965,Sequence name for WBGene00000965(dhs-1). History: N.A.
21801,A_12_P117231,wb|T23D8.7,T23D8.7,T23D8.7,chrI:10001504-10001563,Unknown,-1.9333835,T23D8.7,WBGene00011945,Sequence name for WBGene00011945(alg-5). History: N.A.
6349,A_12_P120379,,A_12_P120379,A_12_P120379,chrIII:005320570-005320629,Unknown,-1.9302186,,,
13974,A_12_P101823,wb|T26A5.7a|wb|T26A5.7b.1|wb|T26A5.7b.2,T26A5.7a,T26A5.7a,chrIII:6451356-6451297,Unknown,-1.9250224,T26A5.7a,WBGene00004781,Molecule name for WBGene00004781(set-1). History: N.A.
21408,A_12_P101992,wb|Y50E8A.4a|wb|Y50E8A.4b,Y50E8A.4a,Y50E8A.4a,chrV:14734168-14734109,Unknown,-1.9209685,Y50E8A.4a,WBGene00006795,Molecule name for WBGene00006795(unc-61). History: N.A.
9420,A_12_P106128,wb|H04M03.3,H04M03.3,H04M03.3,chrIV:5893116-5893175,Unknown,-1.913112,H04M03.3,WBGene00019153,Public name for WBGene00019153. History: N.A.
11409,A_12_P111560,wb|B0511.10,B0511.10,B0511.10,chrI:10648949-10648890,Unknown,-1.9058521,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
21452,A_12_P116139,wb|F55G1.2,F55G1.2,F55G1.2,chrIV:7488412-7488471,Histone [F55G1.2],-1.8803521,F55G1.2,WBGene00001933,Sequence name for WBGene00001933(his-59). History: N.A.
18346,A_12_P109086,wb|ZK1128.5,ZK1128.5,ZK1128.5,chrIII:10122195-10122587,D15Kz1 protein homolog [ZK1128.5],-1.8728595,ZK1128.5,WBGene00044072,"Sequence name for WBGene00044072(ham-3). History: Renamed on 2011-02-11; Renamed on 2012-07-20. Public name for Dead gene WBGene00014231. History of WBGene00014231: Merged into ""WBGene00044072"" on 2006-06-29"
21307,A_12_P118686,wb|H27M09.4.2|wb|H27M09.4.1,H27M09.4.2,H27M09.4.2,chrI:6853064-6853123,Unknown,-1.8714042,,,
17212,A_12_P102100,wb|K04C1.5,K04C1.5,K04C1.5,chrX:14249436-14249495,serine/threonine kinase [K04C1.5],-1.8682387,K04C1.5,WBGene00010555,Public name for WBGene00010555. History: N.A.
2372,A_12_P116603,wb|F52H3.4,F52H3.4,F52H3.4,chrII:10042138-10042241,Unknown,-1.862146,F52H3.4,WBGene00009946,Sequence name for WBGene00009946(ogr-2). History: N.A.
4471,A_12_P113063,wb|T20F5.6.1|wb|T20F5.6.3|wb|T20F5.6.4|wb|T20F5.6.2,T20F5.6.1,T20F5.6.1,chrI:3920833-3920774,zinc finger protein [T20F5.6.1],-1.8532364,T20F5.6.1,WBGene00020628,Molecule name for WBGene00020628(T20F5.6). History: N.A.
15792,A_12_P105791,wb|ZK1058.2.1|wb|ZK1058.2.2,ZK1058.2.1,ZK1058.2.1,chrIII:3909449-3909337,beta integrin [ZK1058.2.1],-1.8521162,ZK1058.2.1,WBGene00003930,Molecule name for WBGene00003930(pat-3). History: N.A.
3883,A_12_P120204,wb|F59A2.1a|wb|F59A2.1b.1|wb|F59A2.1b.3|wb|F59A2.1b.2,F59A2.1a,F59A2.1a,chrIII:3401240-3401181,Nucleoporin [F59A2.1a],-1.8441429,F59A2.1a,WBGene00003795,Molecule name for WBGene00003795(npp-9). History: N.A.
2943,A_12_P119053,wb|F08H9.1,F08H9.1,F08H9.1,chrV:14462395-14462454,Unknown,-1.842282,F08H9.1,WBGene00000592,Sequence name for WBGene00000592(coh-3). History: N.A.
20444,A_12_P106968,wb|T23G11.5.3|wb|T23G11.5.2|wb|T23G11.5.1,T23G11.5.3,T23G11.5.3,chrI:7701682-7701741,Unknown,-1.841068,,,
15201,A_12_P106008,wb|C03E10.6,C03E10.6,C03E10.6,chrV:11274939-11274998,Unknown,-1.8228871,C03E10.6,WBGene00007283,Sequence name for WBGene00007283(clec-222). History: N.A.
10685,A_12_P110014,wb|H21P03.3b|wb|H21P03.3a.1|wb|H21P03.3a.2,H21P03.3b,H21P03.3b,chrIV:11483079-11483020,Unknown,-1.820807,H21P03.3b,WBGene00004892,Molecule name for WBGene00004892(sms-1). History: N.A.
9464,A_12_P103779,wb|F27D4.7,F27D4.7,F27D4.7,chrI:7732114-7732055,Unknown,-1.8139236,F27D4.7,WBGene00009191,Public name for WBGene00009191. History: N.A.
2118,A_12_P115999,wb|R05D3.2.1|wb|R05D3.2.2,R05D3.2.1,R05D3.2.1,chrIII:8374547-8374653,Unknown,-1.8080299,R05D3.2.1,WBGene00019877,Molecule name for WBGene00019877(R05D3.2). History: N.A.
17507,A_12_P117678,wb|C14C10.6,C14C10.6,C14C10.6,chrV:12610487-12610546,Unknown,-1.8061464,C14C10.6,WBGene00007589,Sequence name for WBGene00007589(erg-28). History: N.A.
17484,A_12_P120265,wb|T22D1.10,T22D1.10,T22D1.10,chrIV:6917338-6917279,Unknown,-1.8010305,T22D1.10,WBGene00020687,Sequence name for WBGene00020687(ruvb-2). History: N.A.
10100,A_12_P117493,wb|F44C4.4a.1|wb|F44C4.4b|wb|F44C4.4a.2,F44C4.4a.1,F44C4.4a.1,chrV:6609473-6609414,Unknown,-1.8006322,F44C4.4a.1,WBGene00002148,Molecule name for WBGene00002148(gon-14). History: Renamed on 2006-03-22
6443,A_12_P118757,wb|R05G9.3,R05G9.3,R05G9.3,chrII:6500811-6500707,Unknown,-1.7954504,R05G9.3,WBGene00019905,Public name for WBGene00019905. History: N.A.
7903,A_12_P119052,wb|F19B10.2,F19B10.2,F19B10.2,chrII:3676531-3676590,Unknown,-1.7949421,F19B10.2,WBGene00017584,Public name for WBGene00017584. History: N.A.
8345,A_12_P102398,wb|Y119C1B.4,Y119C1B.4,Y119C1B.4,chrI:4509538-4509479,Unknown,-1.793699,Y119C1B.4,WBGene00022470,Sequence name for WBGene00022470(mrpl-19). History: N.A.
12271,A_12_P104186,wb|F39H2.4,F39H2.4,F39H2.4,chrI:8671367-8671308,Unknown,-1.7875361,F39H2.4,WBGene00006377,Sequence name for WBGene00006377(syp-3). History: N.A.
17858,A_12_P104690,wb|C23H3.3,C23H3.3,C23H3.3,chrII:59819-59878,Unknown,-1.7872185,C23H3.3,WBGene00016019,Sequence name for WBGene00016019(ascc-1). History: N.A.
7265,A_12_P104229,wb|C14B1.6,C14B1.6,C14B1.6,chrIII:3718485-3718544,Unknown,-1.7765124,C14B1.6,WBGene00007577,Sequence name for WBGene00007577(nrde-1). History: N.A.
16821,A_12_P118203,wb|T18H9.6,T18H9.6,T18H9.6,chrV:9212353-9212294,Unknown,-1.7648121,T18H9.6,WBGene00007023,Sequence name for WBGene00007023(mdt-27). History: N.A.
19987,A_12_P111817,wb|C18E3.5,C18E3.5,C18E3.5,chrI:4197195-4197254,beta transducin [C18E3.5],-1.7642251,C18E3.5,WBGene00015974,Sequence name for WBGene00015974(snrp-40.2). History: N.A.
394,A_12_P108311,wb|F54H12.1a.2|wb|F54H12.1a.1,F54H12.1a.2,F54H12.1a.2,chrIII:7976999-7977058,Aconitate hydratase [F54H12.1a.2],-1.7571125,,,
22381,A_12_P102370,wb|F55C5.8,F55C5.8,F55C5.8,chrV:12291979-12291920,signal recognition particle 68 KD protein [F55C5.8],-1.7534957,F55C5.8,WBGene00010097,Sequence name for WBGene00010097(srpa-68). History: N.A.
17151,A_12_P118553,wb|R09A1.1,R09A1.1,R09A1.1,chrV:1017826-1017885,Unknown,-1.751601,R09A1.1,WBGene00019971,Sequence name for WBGene00019971(ergo-1). History: N.A.
7510,A_12_P116662,wb|Y110A7A.1a,Y110A7A.1a,Y110A7A.1a,chrI:5171065-5171173,Unknown,-1.7503703,Y110A7A.1a,WBGene00001833,Molecule name for WBGene00001833(hcp-6). History: Renamed on 2015-03-05; Renamed on 2015-03-05
12849,A_12_P118384,wb|D1009.2a,D1009.2a,D1009.2a,chrX:8913957-8914016,Unknown,-1.7423313,,,
14539,A_12_P101155,wb|B0361.10,B0361.10,B0361.10,chrIII:7286518-7286459,synaptobrevin [B0361.10],-1.7388343,B0361.10,WBGene00015164,Sequence name for WBGene00015164(ykt-6). History: N.A.
12049,A_12_P112699,wb|K01D12.6.2|wb|K01D12.6.1,K01D12.6.2,K01D12.6.2,chrV:12401621-12401562,Unknown,-1.7366645,,,
314,A_12_P119977,wb|F12F6.6.2|wb|F12F6.6.1,F12F6.6.2,F12F6.6.2,chrIV:11562478-11562419,Yeast hypothetical YIK9 protein like [F12F6.6.2],-1.7260529,,,
3579,A_12_P108557,wb|R09B5.3.2|wb|R09B5.3.1,R09B5.3.2,R09B5.3.2,chrV:1449709-1449650,Unknown,-1.7224715,,,
2148,A_12_P108850,wb|F54D5.8.1|wb|F54D5.8.2,F54D5.8.1,F54D5.8.1,chrII:11546804-11546863,DNAJ protein [F54D5.8.1],-1.7207458,F54D5.8.1,WBGene00001031,Molecule name for WBGene00001031(dnj-13). History: N.A.
