# Table S5. WAGO 22G-RNA Targets,Related to Experimental Procedures,,,
Gene Name,Gene ID,Input,Suggested Match,History
Y62F5A.9,Y62F5A.9,Y62F5A.9,WBGene00013387,Public name for WBGene00013387. History: N.A.
2L52.1,2L52.1,2L52.1,WBGene00007063,Public name for WBGene00007063. History: N.A.
Y11D7A.19,Y11D7A.19,Y11D7A.19,WBGene00077756,Public name for WBGene00077756. History: N.A.
abt-5,Y53C10A.9,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
Y73B3A.20,Y73B3A.20,Y73B3A.20,WBGene00022221,Public name for WBGene00022221. History: N.A.
F47E1.1,F47E1.1,F47E1.1,WBGene00018565,Public name for WBGene00018565. History: N.A.
K10C8.2,K10C8.2,K10C8.2,WBGene00010735,Sequence name for WBGene00010735(frpr-15). History: N.A.
rpl-34,C42C1.14,rpl-34,WBGene00004448,Public name for WBGene00004448. History: N.A.
C47F8.1,C47F8.1,C47F8.1,WBGene00008157,Public name for WBGene00008157. History: N.A.
Y24F12A.3,Y24F12A.3,Y24F12A.3,WBGene00012498,Public name for WBGene00012498. History: N.A.
pstk-1,Y49E10.22,pstk-1,WBGene00013041,Public name for WBGene00013041. History: N.A.
Y39G10AR.10,Y39G10AR.10,Y39G10AR.10,WBGene00021468,Sequence name for WBGene00021468(epg-2). History: N.A.
T22F3.12,T22F3.12,T22F3.12,WBGene00044705,Public name for WBGene00044705. History: N.A.
ZK402.3,ZK402.3,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
pes-1,T28H11.4,pes-1,WBGene00003976,Public name for WBGene00003976. History: N.A.
srx-12,Y55F3AM.2,srx-12,WBGene00005903,Public name for WBGene00005903. History: N.A.
npr-11,C25G6.5,npr-11,WBGene00016110,Public name for WBGene00016110. History: N.A.
W03D8.7,W03D8.7,W03D8.7,WBGene00020988,Public name for WBGene00020988. History: N.A.
Y57G11C.38,Y57G11C.38,Y57G11C.38,WBGene00013327,Public name for WBGene00013327. History: N.A.
T22B7.3,T22B7.3,T22B7.3,WBGene00020672,Public name for WBGene00020672. History: N.A.
fbxb-39,M01D1.7,fbxb-39,WBGene00019702,Public name for WBGene00019702. History: N.A.
F57B10.5,F57B10.5,F57B10.5,WBGene00019003,Sequence name for WBGene00019003(tmed-3). History: N.A.
T16H12.1,T16H12.1,T16H12.1,WBGene00011811,"Public name for WBGene00011811. History: Split into T16H12.13(WBGene00194725). History of WBGene00011811: Split into ""WBGene00194725"" on 2009-08-17"
F10E7.2,F10E7.2,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
tbc-19,C31E10.8,tbc-19,WBGene00007849,Public name for WBGene00007849. History: N.A.
C53B4.3,C53B4.3,C53B4.3,WBGene00008273,Public name for WBGene00008273. History: N.A.
F15D3.8,F15D3.8,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
Y37H9A.5,Y37H9A.5,Y37H9A.5,WBGene00014871,Public name for WBGene00014871. History: N.A.
lips-12,T13B5.6,lips-12,WBGene00020473,Public name for WBGene00020473. History: N.A.
fbxc-52,C46E10.4,fbxc-52,WBGene00016710,Public name for WBGene00016710. History: N.A.
F57A10.4,F57A10.4,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
Y7A5A.1,Y7A5A.1,Y7A5A.1,WBGene00012407,Public name for WBGene00012407. History: N.A.
srt-23,Y55F3C.2,srt-23,WBGene00021947,Public name for WBGene00021947. History: N.A.
F20G2.2,F20G2.2,F20G2.2,WBGene00008986,Public name for WBGene00008986. History: N.A.
H32K16.1,H32K16.1,H32K16.1,WBGene00010421,Sequence name for WBGene00010421(slc-36.4). History: N.A.
C06H5.7,C06H5.7,C06H5.7,WBGene00007395,Sequence name for WBGene00007395(dcar-1). History: N.A.
K07E3.2,K07E3.2,K07E3.2,WBGene00019491,Public name for WBGene00019491. History: N.A.
R11A5.3,R11A5.3,R11A5.3,WBGene00011231,Public name for WBGene00011231. History: N.A.
ZK688.7,ZK688.7,ZK688.7,WBGene00022802,"Public name for WBGene00022802. History: Split into ZK688.12(WBGene00044763). History of WBGene00022802: Split into ""WBGene00044763"" on 2006-02-24"
W09G10.3,W09G10.3,W09G10.3,WBGene00021116,Sequence name for WBGene00021116(ncs-6). History: N.A.
C43H6.4,C43H6.4,C43H6.4,WBGene00016617,Public name for WBGene00016617. History: N.A.
duo-2,F29C4.5,duo-2,WBGene00001111,Public name for WBGene00001111. History: N.A.
F23B12.4,F23B12.4,F23B12.4,WBGene00009081,Public name for WBGene00009081. History: N.A.
C13F10.2,C13F10.2,C13F10.2,WBGene00015742,Sequence name for WBGene00015742(kxd-1). History: N.A.
K01G5.3,K01G5.3,K01G5.3,WBGene00010477,Sequence name for WBGene00010477(enu-3.6). History: N.A.
Y40A1A.1,Y40A1A.1,Y40A1A.1,WBGene00021483,Public name for WBGene00021483. History: N.A.
Y87G2A.2,Y87G2A.2,Y87G2A.2,WBGene00013594,Public name for WBGene00013594. History: N.A.
Y39G10AL.1,Y39G10AL.1,Y39G10AL.1,WBGene00021458,Public name for WBGene00021458. History: N.A.
F53G12.4,F53G12.4,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
C35D6.4,C35D6.4,C35D6.4,WBGene00007961,Public name for WBGene00007961. History: N.A.
rib-2,K01G5.6,rib-2,WBGene00004361,Public name for WBGene00004361. History: N.A.
R12C12.7,R12C12.7,R12C12.7,WBGene00020027,Public name for WBGene00020027. History: N.A.
C17E7.12,C17E7.12,C17E7.12,WBGene00015905,Public name for WBGene00015905. History: N.A.
C48D1.9,C48D1.9,C48D1.9,WBGene00194643,Public name for WBGene00194643. History: N.A.
tbc-8,C38H2.1,tbc-8,WBGene00008018,Public name for WBGene00008018. History: N.A.
T28C6.10,T28C6.10,T28C6.10,WBGene00045183,Public name for WBGene00045183. History: N.A.
ZK262.9,ZK262.9,ZK262.9,WBGene00013954,Public name for WBGene00013954. History: N.A.
fbxa-107,Y37H2A.4,fbxa-107,WBGene00012564,Public name for WBGene00012564. History: N.A.
exc-7,F35H8.5,exc-7,WBGene00001368,Public name for WBGene00001368. History: Renamed on 2004-11-09
fbxc-18,C32B5.14,fbxc-18,WBGene00016307,Public name for WBGene00016307. History: N.A.
F20B6.5,F20B6.5,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
C44C10.11,C44C10.11,C44C10.11,WBGene00043985,Public name for WBGene00043985. History: N.A.
F41G4.7,F41G4.7,F41G4.7,WBGene00018310,"Public name for WBGene00018310. History: Split into F41G4.13(WBGene00304806). History of WBGene00018310: Split into ""WBGene00304806"" on 2019-05-20"
snt-2,F42G9.7,snt-2,WBGene00004922,Public name for WBGene00004922. History: N.A.
fbxa-211,Y37H2A.6,fbxa-211,WBGene00012566,Public name for WBGene00012566. History: N.A.
mlt-8,W08F4.6,mlt-8,WBGene00021095,Public name for WBGene00021095. History: Renamed on 2005-03-17
T19B10.9,T19B10.9,T19B10.9,WBGene00011836,Sequence name for WBGene00011836(mam-4). History: N.A.
C29G2.1,C29G2.1,C29G2.1,WBGene00016230,"Public name for Dead gene WBGene00016229. History of WBGene00016229: Merged into ""WBGene00016230"" on 2015-09-09"
R03H10.1,R03H10.1,R03H10.1,WBGene00019854,"Public name for WBGene00019854. History: Split into R03H10.11(WBGene00271824). History of WBGene00019854: Split into ""WBGene00271824"" on 2017-09-21"
ercc-1,F10G8.7,ercc-1,WBGene00008665,Public name for WBGene00008665. History: N.A.
C10A4.5,C10A4.5,C10A4.5,WBGene00015666,Sequence name for WBGene00015666(gad-2). History: N.A.
F36A2.3,F36A2.3,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
B0303.7,B0303.7,B0303.7,WBGene00015128,Public name for WBGene00015128. History: N.A.
gly-9,Y47D3A.23,gly-9,WBGene00012934,Public name for WBGene00012934. History: Renamed on 2005-09-28
Y67D8C.6,Y67D8C.6,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
ZK673.5,ZK673.5,ZK673.5,WBGene00014061,Public name for WBGene00014061. History: N.A.
fbxa-76,Y119D3B.22,fbxa-76,WBGene00044675,Public name for WBGene00044675. History: N.A.
Y37F4.6,Y37F4.6,Y37F4.6,WBGene00021387,Public name for WBGene00021387. History: N.A.
Y56A3A.2,Y56A3A.2,Y56A3A.2,WBGene00013225,Public name for WBGene00013225. History: N.A.
C05D2.8,C05D2.8,C05D2.8,WBGene00015469,Public name for WBGene00015469. History: N.A.
C16C8.21,C16C8.21,C16C8.21,WBGene00195071,Public name for WBGene00195071. History: N.A.
Y54G2A.20,Y54G2A.20,Y54G2A.20,WBGene00021885,Public name for WBGene00021885. History: N.A.
T07F10.5,T07F10.5,T07F10.5,WBGene00011591,Public name for WBGene00011591. History: N.A.
F47G4.2,F47G4.2,F47G4.2,WBGene00009823,Sequence name for WBGene00009823(gadr-6). History: N.A.
Y67D8C.4,Y67D8C.4,Y67D8C.4,WBGene00022067,"Public name for Dead gene WBGene00022068. History of WBGene00022068: Merged into ""WBGene00022067"" on 2013-09-27"
F38E9.1,F38E9.1,F38E9.1,WBGene00018184,Public name for WBGene00018184. History: N.A.
F39B2.5,F39B2.5,F39B2.5,WBGene00009556,Public name for WBGene00009556. History: N.A.
ida-1,B0244.2,ida-1,WBGene00002048,Public name for WBGene00002048. History: N.A.
rpa-1,F18A1.5,rpa-1,WBGene00017546,Public name for WBGene00017546. History: N.A.
C15C7.5,C15C7.5,C15C7.5,WBGene00015791,Sequence name for WBGene00015791(bbln-1). History: Renamed on 2021-01-02
F11F1.1,F11F1.1,F11F1.1,WBGene00008714,Public name for WBGene00008714. History: N.A.
Y71A12B.17,Y71A12B.17,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
gst-12,F37B1.2,gst-12,WBGene00001760,Public name for WBGene00001760. History: N.A.
C36C9.6,C36C9.6,C36C9.6,WBGene00044560,Public name for WBGene00044560. History: N.A.
tsp-21,C17G1.8,tsp-21,WBGene00023491,Public name for WBGene00023491. History: N.A.
F44F1.4,F44F1.4,F44F1.4,WBGene00009696,Public name for WBGene00009696. History: N.A.
chw-1,F22E12.2,chw-1,WBGene00009059,Public name for WBGene00009059. History: N.A.
Y48G1C.5,Y48G1C.5,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
pab-2,F18H3.3,pab-2,WBGene00003903,Public name for WBGene00003903. History: N.A.
F02E11.3,F02E11.3,F02E11.3,WBGene00017181,Public name for WBGene00017181. History: N.A.
aqp-9,K07A1.16,aqp-9,WBGene00000177,Public name for WBGene00000177. History: N.A.
sknr-1,W02H5.7,sknr-1,WBGene00020961,Public name for WBGene00020961. History: N.A.
stim-1,Y55B1BM.1,stim-1,WBGene00021910,Public name for WBGene00021910. History: N.A.
Y54G11A.14,Y54G11A.14,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
F54F7.6,F54F7.6,F54F7.6,WBGene00010066,Public name for WBGene00010066. History: N.A.
F35B12.4,F35B12.4,F35B12.4,WBGene00009384,Sequence name for WBGene00009384(piit-1). History: N.A.
vps-41,F32A6.3,vps-41,WBGene00017974,Public name for WBGene00017974. History: N.A.
C01G5.9,C01G5.9,C01G5.9,WBGene00015311,Public name for WBGene00015311. History: N.A.
ttn-1,W06H8.8,ttn-1,WBGene00006436,Public name for WBGene00006436. History: Renamed on 2005-12-13
kap-1,F08F8.3,kap-1,WBGene00002182,Public name for WBGene00002182. History: N.A.. Other name for WBGene00000101(aka-1). History: N.A.
F53E10.5,F53E10.5,F53E10.5,WBGene00018761,Public name for WBGene00018761. History: N.A.
Y105C5A.24,Y105C5A.24,Y105C5A.24,WBGene00013643,Public name for WBGene00013643. History: N.A.
ltd-1,K02C4.4,ltd-1,WBGene00003089,Public name for WBGene00003089. History: N.A.
nhr-95,Y39B6A.17,nhr-95,WBGene00003685,Public name for WBGene00003685. History: N.A.
nhr-90,ZK488.2,nhr-90,WBGene00003680,Public name for WBGene00003680. History: N.A.
C41C4.3,C41C4.3,C41C4.3,WBGene00008051,Sequence name for WBGene00008051(lron-4). History: N.A.
ZK154.4,ZK154.4,ZK154.4,WBGene00022666,Public name for WBGene00022666. History: N.A.
Y67D8A.3,Y67D8A.3,Y67D8A.3,WBGene00022060,Sequence name for WBGene00022060(dmd-9). History: N.A.
B0205.5,B0205.5,B0205.5,WBGene00015020,Public name for WBGene00015020. History: N.A.
Y66D12A.14,Y66D12A.14,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
sdz-33,Y56A3A.14,sdz-33,WBGene00013233,Public name for WBGene00013233. History: Renamed on 2005-12-13
Y17G9B.8,Y17G9B.8,Y17G9B.8,WBGene00021205,Public name for WBGene00021205. History: N.A.
fmo-5,H24K24.5,fmo-5,WBGene00001480,Public name for WBGene00001480. History: N.A.
tpa-1,B0545.1,tpa-1,WBGene00006599,Public name for WBGene00006599. History: Renamed on 2011-03-29
mltn-8,Y39D8B.3,mltn-8,WBGene00021451,Public name for WBGene00021451. History: N.A.
H05C05.3,H05C05.3,H05C05.3,WBGene00019159,Public name for WBGene00019159. History: N.A.
ZK287.4,ZK287.4,ZK287.4,WBGene00013965,Public name for WBGene00013965. History: N.A.
Y116A8C.26,Y116A8C.26,Y116A8C.26,WBGene00013803,Sequence name for WBGene00013803(snx-13). History: N.A.
Y71G12B.11,Y71G12B.11,Y71G12B.11,WBGene00006771,"Sequence name for WBGene00006771(tln-1). History: Renamed on 2011-08-12. Public name for Dead gene WBGene00022151. History of WBGene00022151: Merged into ""WBGene00006771"" on 2013-01-31"
C49F8.2,C49F8.2,C49F8.2,WBGene00008214,"Sequence name for WBGene00008214(gem-1). History: Split into C49F8.14(WBGene00303047). History of WBGene00008214: Split into ""WBGene00303047"" on 2018-03-02"
F14D12.1,F14D12.1,F14D12.1,WBGene00017463,Public name for WBGene00017463. History: N.A.
M03B6.4,M03B6.4,M03B6.4,WBGene00010836,Public name for WBGene00010836. History: N.A.
Y38H8A.5,Y38H8A.5,Y38H8A.5,WBGene00012639,Sequence name for WBGene00012639(fezf-1). History: N.A.
srx-118,T21B4.12,srx-118,WBGene00006009,Public name for WBGene00006009. History: N.A.
skr-10,Y105C5B.13,skr-10,WBGene00004816,Public name for WBGene00004816. History: N.A.
skr-20,R12H7.5,skr-20,WBGene00004826,Public name for WBGene00004826. History: N.A.
Y61A9LA.1,Y61A9LA.1,Y61A9LA.1,WBGene00022014,Public name for WBGene00022014. History: N.A.
DC2.5,DC2.5,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
F55H2.5,F55H2.5,F55H2.5,WBGene00010131,Public name for WBGene00010131. History: N.A.
col-38,F54C9.4,col-38,WBGene00000615,Public name for WBGene00000615. History: N.A.
W04A8.3,W04A8.3,W04A8.3,WBGene00012238,Public name for WBGene00012238. History: N.A.
F54D11.3,F54D11.3,F54D11.3,WBGene00018813,Public name for WBGene00018813. History: N.A.
eor-2,C44H4.7,eor-2,WBGene00001325,Public name for WBGene00001325. History: N.A.
F36A2.7,F36A2.7,F36A2.7,WBGene00009454,Public name for WBGene00009454. History: N.A.
gst-32,Y53F4B.37,gst-32,WBGene00001780,Public name for WBGene00001780. History: N.A.
K04C1.3,K04C1.3,K04C1.3,WBGene00010553,Public name for WBGene00010553. History: N.A.
gst-16,F37B1.5,gst-16,WBGene00001764,Public name for WBGene00001764. History: N.A.
F44E2.6,F44E2.6,F44E2.6,WBGene00018419,Public name for WBGene00018419. History: N.A.
hsp-16.48,T27E4.3,hsp-16.48,WBGene00002019,Public name for WBGene00002019. History: N.A.
Y39A1A.16,Y39A1A.16,Y39A1A.16,WBGene00012654,Public name for WBGene00012654. History: N.A.
Y6B3B.3,Y6B3B.3,Y6B3B.3,WBGene00012388,Public name for WBGene00012388. History: N.A.
F58D5.3,F58D5.3,F58D5.3,WBGene00010243,Public name for WBGene00010243. History: N.A.
sdz-14,F14B6.1,sdz-14,WBGene00008782,Public name for WBGene00008782. History: N.A.
obr-2,F14H8.1,obr-2,WBGene00008832,Public name for WBGene00008832. History: N.A.
R04B3.1,R04B3.1,R04B3.1,WBGene00019866,Public name for WBGene00019866. History: N.A.
H25P06.4,H25P06.4,H25P06.4,WBGene00010417,"Sequence name for WBGene00010417(clpr-3). History: Split into H25P06.5(WBGene00219319). History of WBGene00010417: Split into ""WBGene00219319"" on 2011-11-29"
F54F7.7,F54F7.7,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
mks-1,R148.1,mks-1,WBGene00020100,"Public name for WBGene00020100. History: Split into R148.8(WBGene00305998). History of WBGene00020100: Split into ""WBGene00305998"" on 2020-01-20"
AC8.10,AC8.10,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
daf-2,Y55D5A.5,daf-2,WBGene00000898,Public name for WBGene00000898. History: N.A.
D2096.5,D2096.5,D2096.5,WBGene00017072,Public name for WBGene00017072. History: N.A.
anc-1,ZK973.6,anc-1,WBGene00000140,Public name for WBGene00000140. History: N.A.
ceh-39,T26C11.7,ceh-39,WBGene00000460,Public name for WBGene00000460. History: N.A.
ZK858.8,ZK858.8,ZK858.8,WBGene00014121,Public name for WBGene00014121. History: N.A.
ZC204.14,ZC204.14,ZC204.14,WBGene00022564,Public name for WBGene00022564. History: N.A.
Y70G10A.3,Y70G10A.3,Y70G10A.3,WBGene00013499,Public name for WBGene00013499. History: N.A.
C34B2.9,C34B2.9,C34B2.9,WBGene00016394,Public name for WBGene00016394. History: N.A.
math-6,C16C4.11,math-6,WBGene00015835,Public name for WBGene00015835. History: N.A.
fbxb-69,F09C3.5,fbxb-69,WBGene00008613,Public name for WBGene00008613. History: N.A.
dct-10,Y38H6C.5,dct-10,WBGene00012618,Public name for WBGene00012618. History: N.A.
K02B12.2,K02B12.2,K02B12.2,WBGene00010495,Public name for WBGene00010495. History: N.A.
ins-13,C17C3.18,ins-13,WBGene00002096,Public name for WBGene00002096. History: N.A.
C16C8.20,C16C8.20,C16C8.20,WBGene00195070,Public name for WBGene00195070. History: N.A.
F28H7.8,F28H7.8,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
Y55F3BL.1,Y55F3BL.1,Y55F3BL.1,WBGene00021935,Sequence name for WBGene00021935(mrpl-46). History: Split into Y55F3BL.4(WBGene00185088). History of WBGene00021935: N.A.
Y38H6C.20,Y38H6C.20,Y38H6C.20,WBGene00012632,Public name for WBGene00012632. History: N.A.
uig-1,F32F2.1,uig-1,WBGene00009337,Public name for WBGene00009337. History: N.A.
F47B10.2,F47B10.2,F47B10.2,WBGene00009813,Sequence name for WBGene00009813(haly-1). History: N.A.
gyg-1,F56B6.4,gyg-1,WBGene00006863,Public name for WBGene00006863. History: N.A.
F48E3.6,F48E3.6,F48E3.6,WBGene00018606,Public name for WBGene00018606. History: N.A.
gon-1,F25H8.3,gon-1,WBGene00001650,Public name for WBGene00001650. History: N.A.
nhr-122,Y41D4B.9,nhr-122,WBGene00003712,Public name for WBGene00003712. History: N.A.
