# Note: In the following rows commas have been replaced with semicolons to work better with r
# Random 4000 genes
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,11718901,11719781,F35E2.8,1692,+,F35E2.8,WBGene00009415,Public name for WBGene00009415. History: N.A.
chrI,14720575,14721968,K05C4.2,250,-,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
chrI,5627819,5637620,F46F11.1,665,+,F46F11.1,WBGene00018508,Public name for WBGene00018508. History: N.A.
chrI,12728161,12729861,pfd-3,153,+,pfd-3,WBGene00006889,Public name for WBGene00006889. History: Renamed on 2006-08-02
chrI,7512182,7512203,21ur-12969,1775,-,21ur-12969,WBGene00170426,Public name for WBGene00170426. History: N.A.
chrI,5020876,5023166,C46H11.6,1835,+,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
chrI,4964667,4967330,app-1,240,-,app-1,WBGene00000155,Public name for WBGene00000155. History: N.A.
chrI,14043518,14045682,Y71A12C.3,1202,-,Y71A12C.3,WBGene00050878,Public name for WBGene00050878. History: N.A.
chrI,11717044,11717107,F35E2.12,2239,+,F35E2.12,WBGene00196754,Public name for WBGene00196754. History: N.A.
chrI,4343631,4343781,ZK973.16,1365,-,ZK973.16,WBGene00196671,Public name for WBGene00196671. History: N.A.
chrI,6640653,6642644,try-7,1126,-,try-7,WBGene00006625,"Public name for WBGene00006625. History: Split into ZC581.10(WBGene00195178). History of WBGene00006625: Split into ""WBGene00195178"" on 2010-06-23"
chrI,9930967,9931871,Y106G6A.4,1059,+,Y106G6A.4,WBGene00013696,Public name for WBGene00013696. History: N.A.
chrI,8137250,8137271,21ur-14822,2392,-,21ur-14822,WBGene00171280,Public name for WBGene00171280. History: N.A.
chrI,8442719,8444925,F10D11.5,2165,-,F10D11.5,WBGene00008651,Public name for WBGene00008651. History: N.A.
chrI,14806317,14806462,Y54E5B.7,2284,+,Y54E5B.7,WBGene00200067,Public name for WBGene00200067. History: N.A.
chrI,11493025,11495070,K08C9.8,836,-,K08C9.8,WBGene00045218,Public name for WBGene00045218. History: N.A.
chrI,10927573,10927656,F49D11.12,1953,-,F49D11.12,WBGene00196718,Public name for WBGene00196718. History: N.A.
chrI,5317493,5318129,F48C1.5,486,-,F48C1.5,WBGene00018598,Public name for WBGene00018598. History: N.A.
chrI,7559832,7562347,T25G3.3,188,+,T25G3.3,WBGene00012030,Public name for WBGene00012030. History: N.A.
chrI,10422888,10429017,F25D7.5,1687,-,F25D7.5,WBGene00009114,Public name for WBGene00009114. History: N.A.
chrI,6847509,6849923,syp-4,417,+,syp-4,WBGene00019247,Public name for WBGene00019247. History: N.A.
chrI,9407166,9408275,C17E4.12,1021,-,C17E4.12,WBGene00044769,Public name for WBGene00044769. History: N.A.
chrI,318542,323353,xpo-2,284,-,xpo-2,WBGene00002079,Public name for WBGene00002079. History: Renamed on 2008-01-30
chrI,10016767,10018105,fog-3,1571,+,fog-3,WBGene00001483,Public name for WBGene00001483. History: N.A.
chrI,10553100,10553902,ndk-1,382,-,ndk-1,WBGene00009119,Public name for WBGene00009119. History: N.A.
chrI,4005437,4006022,F55C7.2,2321,+,F55C7.2,WBGene00018868,Public name for WBGene00018868. History: N.A.
chrI,6845178,6846953,H27M09.5,2126,-,H27M09.5,WBGene00019248,Public name for WBGene00019248. History: N.A.
chrI,8602115,8605157,edc-3,272,+,edc-3,WBGene00011036,Public name for WBGene00011036. History: N.A.
chrI,9020937,9025546,tax-2,1557,+,tax-2,WBGene00006525,Public name for WBGene00006525. History: N.A.
chrI,5842716,5844060,col-54,2069,+,col-54,WBGene00000631,Public name for WBGene00000631. History: N.A.
chrI,9327628,9327700,C12C8.t2,1996,+,C12C8.t2,WBGene00012653,Public name for WBGene00012653. History: N.A.
chrI,5818481,5821111,nhr-2,535,-,nhr-2,WBGene00003601,Public name for WBGene00003601. History: N.A.
chrI,10366611,10371674,sptf-1,1104,+,sptf-1,WBGene00009743,Public name for WBGene00009743. History: N.A.
chrI,12459488,12460893,clec-11,2325,-,clec-11,WBGene00008294,Public name for WBGene00008294. History: N.A.
chrI,3827210,3828146,F53F10.3,902,+,F53F10.3,WBGene00018765,Sequence name for WBGene00018765(mpc-2). History: N.A.
chrI,6992716,6992852,C30F12.9,2390,+,C30F12.9,WBGene00198651,Public name for WBGene00198651. History: N.A.
chrI,6550533,6552647,F57B10.9,258,-,F57B10.9,WBGene00019006,Sequence name for WBGene00019006(spg-20). History: N.A.
chrI,14852806,14854596,str-245,1274,+,str-245,WBGene00006272,Public name for WBGene00006272. History: N.A.
chrI,7837058,7840016,F30F8.9,541,+,F30F8.9,WBGene00009276,Public name for WBGene00009276. History: N.A.
chrI,6758168,6760168,F08B6.3,1095,-,F08B6.3,WBGene00017240,Sequence name for WBGene00017240(calu-2). History: N.A.
chrI,12528301,12532172,pri-2,479,-,pri-2,WBGene00004181,Public name for WBGene00004181. History: N.A.
chrI,8255339,8256309,ZK265.6,655,+,ZK265.6,WBGene00013958,Sequence name for WBGene00013958(nol-16). History: N.A.
chrI,4114735,4116371,cyb-2.2,549,+,cyb-2.2,WBGene00000867,Public name for WBGene00000867. History: N.A.
chrI,14046120,14048005,Y71A12C.2,1050,-,Y71A12C.2,WBGene00013513,Public name for WBGene00013513. History: N.A.
chrI,13795264,13795855,Y37H9A.4,1566,+,Y37H9A.4,WBGene00014870,Public name for WBGene00014870. History: N.A.
chrI,5008772,5013374,F54C1.1,2410,+,F54C1.1,WBGene00018789,Public name for WBGene00018789. History: N.A.
chrI,11623105,11626553,Y47H9A.1,1890,+,Y47H9A.1,WBGene00012945,Public name for WBGene00012945. History: N.A.
chrI,14018790,14019674,ins-29,1447,+,ins-29,WBGene00002112,Public name for WBGene00002112. History: N.A.
chrI,8214403,8217998,gla-3,224,+,gla-3,WBGene00011376,Public name for WBGene00011376. History: N.A.
chrI,8406836,8407641,F02E9.1,1028,+,F02E9.1,WBGene00008528,Public name for WBGene00008528. History: N.A.
chrI,8945465,8946193,fip-6,1627,-,fip-6,WBGene00009964,Public name for WBGene00009964. History: N.A.
chrI,7172249,7174134,M05B5.2,2118,-,M05B5.2,WBGene00010870,Sequence name for WBGene00010870(let-522). History: N.A.
chrI,6148101,6149143,ttr-58,2044,+,ttr-58,WBGene00018978,"Public name for WBGene00018978. History: Split into F56F4.8(WBGene00045498). History of WBGene00018978: Split into ""WBGene00045498"" on 2007-07-20; Renamed on 2010-08-03"
chrI,4951334,4957670,him-1,274,-,him-1,WBGene00001860,Public name for WBGene00001860. History: N.A.
chrI,10300598,10302936,T20F10.5,2059,-,T20F10.5,WBGene00013711,"Public name for Dead gene WBGene00011866. History of WBGene00011866: Merged into ""WBGene00013711"" on 2018-05-16"
chrI,5104971,5105106,Y110A7A.23,2058,+,Y110A7A.23,WBGene00201165,Public name for WBGene00201165. History: N.A.
chrI,10491185,10491329,F37D6.10,2471,+,F37D6.10,WBGene00199737,Public name for WBGene00199737. History: N.A.
chrI,5659499,5661215,F55F8.7,1843,-,F55F8.7,WBGene00018895,Public name for WBGene00018895. History: N.A.
chrI,6682368,6683698,C17F3.3,1427,+,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
chrI,10374142,10374163,21ur-14951,1359,+,21ur-14951,WBGene00174311,Public name for WBGene00174311. History: N.A.
chrI,6888742,6888883,C48B6.11,2387,+,C48B6.11,WBGene00195861,Public name for WBGene00195861. History: N.A.
chrI,13663472,13674952,W04A4.5,430,+,W04A4.5,WBGene00012234,Sequence name for WBGene00012234(ints-4). History: N.A.
chrI,9056286,9057815,W06D4.2,1925,+,W06D4.2,WBGene00012296,Sequence name for WBGene00012296(spe-46). History: N.A.
chrI,11572080,11577481,F15D3.6,661,-,F15D3.6,WBGene00008856,Public name for WBGene00008856. History: N.A.
chrI,9642334,9643785,T05F1.8,2178,+,T05F1.8,WBGene00011493,Public name for WBGene00011493. History: N.A.
chrI,7857816,7859412,nud-2,40,-,nud-2,WBGene00011230,Public name for WBGene00011230. History: N.A.
chrI,10644272,10645606,tag-344,2435,+,tag-344,WBGene00015230,Public name for WBGene00015230. History: N.A.
chrI,5874424,5878957,noah-1,1023,-,noah-1,WBGene00016422,Public name for WBGene00016422. History: N.A.
chrI,10579399,10580879,F29C6.1,1915,+,F29C6.1,WBGene00009243,Public name for WBGene00009243. History: N.A.
chrI,7899031,7903329,unc-55,1448,-,unc-55,WBGene00006790,Public name for WBGene00006790. History: N.A.
chrI,13331135,13331207,T04D3.t2,1553,-,T04D3.t2,WBGene00014501,Public name for WBGene00014501. History: N.A.
chrI,8245715,8250890,ceh-8,1937,-,ceh-8,WBGene00000433,Public name for WBGene00000433. History: N.A.
chrI,9956141,9958349,T24D1.5,817,-,T24D1.5,WBGene00011988,Sequence name for WBGene00011988(har-2). History: N.A.
chrI,10732530,10733674,mrpl-9,562,-,mrpl-9,WBGene00015025,Public name for WBGene00015025. History: N.A.
chrI,6660448,6662315,ZC581.7,2451,-,ZC581.7,WBGene00022634,Public name for WBGene00022634. History: N.A.
chrI,7103992,7104057,F22D6.18,1709,+,F22D6.18,WBGene00197772,"Public name for WBGene00197772. History: N.A.. Other name for Dead gene WBGene00077774. History of WBGene00077774: Merged into ""WBGene00077767"" on 2008-06-10"
chrI,9854223,9854373,K10C3.10,1444,+,K10C3.10,WBGene00198838,Public name for WBGene00198838. History: N.A.
chrI,12867059,12869546,Y18D10A.23,1734,-,Y18D10A.23,WBGene00012487,Public name for WBGene00012487. History: N.A.
chrI,11798831,11802992,T02G6.2,1146,-,T02G6.2,WBGene00006876,"Public name for Dead gene WBGene00011385. History of WBGene00011385: Merged into ""WBGene00006876"" on 2019-11-21"
chrI,7075921,7079481,kin-14,1167,-,kin-14,WBGene00002198,Public name for WBGene00002198. History: N.A.
chrI,14657343,14661403,Y105E8B.5,619,+,Y105E8B.5,WBGene00013690,Sequence name for WBGene00013690(hprt-1). History: N.A.
chrI,8852818,8852910,F29D10.6,1473,+,F29D10.6,WBGene00197140,Public name for WBGene00197140. History: N.A.
chrI,12458017,12458986,C54C8.8,2591,+,C54C8.8,WBGene00014714,Public name for WBGene00014714. History: N.A.
chrI,12921990,12923535,pfn-1,26,+,pfn-1,WBGene00003989,Public name for WBGene00003989. History: N.A.
chrI,7246075,7246812,R06C7.6,675,-,R06C7.6,WBGene00011065,Public name for WBGene00011065. History: N.A.
chrI,7492783,7494696,T28F4.6,1172,-,T28F4.6,WBGene00012139,"Public name for Dead gene WBGene00012141. History of WBGene00012141: Merged into ""WBGene00012139"" on 2017-03-03"
chrI,6862395,6870900,T21G5.6,1101,+,T21G5.6,WBGene00044898,Sequence name for WBGene00044898(let-383). History: N.A.
chrI,7376604,7383194,unc-15,901,-,unc-15,WBGene00006754,Public name for WBGene00006754. History: N.A.
chrI,8363947,8369911,F16D3.4,336,-,F16D3.4,WBGene00008887,Sequence name for WBGene00008887(tbcd-1). History: N.A.
chrI,10066781,10066858,B0379.8,1686,+,B0379.8,WBGene00195400,Public name for WBGene00195400. History: N.A.
chrI,4771491,4773048,M04F3.4,1655,-,M04F3.4,WBGene00019770,Public name for WBGene00019770. History: N.A.
chrI,10162378,10163542,C25A1.1,435,+,C25A1.1,WBGene00007705,Public name for WBGene00007705. History: N.A.
chrI,221063,221575,Y48G1BL.6,1547,-,Y48G1BL.6,WBGene00021664,"Public name for Dead gene WBGene00021665. History of WBGene00021665: Merged into ""WBGene00021664"" on 2013-10-17"
chrI,10072570,10074376,B0379.7,1994,-,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
chrI,12968909,12970227,eif-6,79,+,eif-6,WBGene00001234,Public name for WBGene00001234. History: N.A.
chrI,12988219,12995462,nlp-15,2149,+,nlp-15,WBGene00003753,Public name for WBGene00003753. History: N.A.
chrI,11473207,11475652,nhr-113,1591,-,nhr-113,WBGene00003703,Public name for WBGene00003703. History: N.A.
chrI,5434809,5435789,F27C1.1,2276,+,F27C1.1,WBGene00017851,Public name for WBGene00017851. History: N.A.
chrI,6900947,6913578,smg-1,979,-,smg-1,WBGene00004879,Public name for WBGene00004879. History: N.A.
chrI,7954814,7955076,T22C1.13,2377,+,T22C1.13,WBGene00195833,Sequence name for WBGene00195833(mir-8209). History: N.A.
chrI,7050040,7051711,W01A8.7,1603,-,W01A8.7,WBGene00044764,Public name for WBGene00044764. History: N.A.
chrI,12008615,12009616,fbxa-123,1645,+,fbxa-123,WBGene00014918,Public name for WBGene00014918. History: N.A.
chrI,14634445,14642642,exoc-8,473,-,exoc-8,WBGene00013687,Public name for WBGene00013687. History: N.A.
chrI,3901434,3905203,C50F2.8,2527,-,C50F2.8,WBGene00016841,Sequence name for WBGene00016841(magu-3). History: N.A.
chrI,3713139,3721160,lin-59,454,-,lin-59,WBGene00003040,Public name for WBGene00003040. History: N.A.
chrI,9118107,9121754,gld-4,929,+,gld-4,WBGene00014115,Public name for WBGene00014115. History: N.A.
chrI,10319659,10321484,Y106G6G.6,2298,-,Y106G6G.6,WBGene00013711,"Public name for Dead gene WBGene00013715. History of WBGene00013715: Merged into ""WBGene00013711"" on 2018-05-16"
chrI,12195258,12195325,R05D7.9,1919,+,R05D7.9,WBGene00200888,Public name for WBGene00200888. History: N.A.
chrI,9884701,9884722,21ur-13318,1840,+,21ur-13318,WBGene00172021,Public name for WBGene00172021. History: N.A.
chrI,9940967,9941023,Y106G6A.8,2177,+,Y106G6A.8,WBGene00195909,Public name for WBGene00195909. History: N.A.
chrI,7251938,7255223,bub-1,275,+,bub-1,WBGene00000275,Public name for WBGene00000275. History: N.A.
chrI,13066955,13069030,hpo-2,1858,+,hpo-2,WBGene00012500,Public name for WBGene00012500. History: N.A.
chrI,13156345,13156418,F22G12.t2,1790,-,F22G12.t2,WBGene00014345,Public name for WBGene00014345. History: N.A.
chrI,12918708,12919282,fkb-2,3,+,fkb-2,WBGene00001427,Public name for WBGene00001427. History: N.A.
chrI,14774850,14776654,F39B2.5,882,-,F39B2.5,WBGene00009556,Public name for WBGene00009556. History: N.A.
chrI,9633169,9635928,T05F1.5,1564,-,T05F1.5,WBGene00011491,Public name for WBGene00011491. History: N.A.
chrI,8605254,8606547,F43G9.13,873,+,F43G9.13,WBGene00009673,Public name for WBGene00009673. History: N.A.
chrI,14725284,14726120,K05C4.10,1242,+,K05C4.10,WBGene00010586,Public name for WBGene00010586. History: N.A.
chrI,12551527,12552360,W02D9.10,2375,+,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
chrI,357238,363904,R119.1,990,-,R119.1,WBGene00020087,Public name for WBGene00020087. History: N.A.
chrI,11629631,11629923,W04G5.3,2140,+,W04G5.3,WBGene00012264,Public name for WBGene00012264. History: N.A.
chrI,8767012,8768022,hlh-16,1604,-,hlh-16,WBGene00001960,Public name for WBGene00001960. History: N.A.
chrI,4821930,4824915,F57C9.6,1322,+,F57C9.6,WBGene00019012,Public name for WBGene00019012. History: N.A.
chrI,8481152,8482530,D1081.5,2231,+,D1081.5,WBGene00008383,Public name for WBGene00008383. History: N.A.
chrI,4824909,4826634,F57C9.7,96,-,F57C9.7,WBGene00019013,Sequence name for WBGene00019013(tofu-4). History: N.A.
chrI,4373663,4379352,cec-10,118,+,cec-10,WBGene00022831,Public name for WBGene00022831. History: N.A.
chrI,10432805,10435813,pab-1,777,-,pab-1,WBGene00003902,Public name for WBGene00003902. History: N.A.
chrI,8867790,8868293,F55H12.2,1490,+,F55H12.2,WBGene00010133,Public name for WBGene00010133. History: N.A.
chrI,12655213,12655960,T26E3.7,49,-,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
chrI,10014720,10015487,C03C11.1,1174,+,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
chrI,6991753,6999522,C30F12.5,980,-,C30F12.5,WBGene00016264,Public name for WBGene00016264. History: N.A.
chrI,6497439,6499559,acdh-1,758,+,acdh-1,WBGene00016943,Public name for WBGene00016943. History: Renamed on 2004-08-25
chrI,13127140,13127865,C17H1.12,2250,+,C17H1.12,WBGene00044722,Public name for WBGene00044722. History: N.A.
chrI,11628588,11628657,Y47H9A.3,1347,-,Y47H9A.3,WBGene00195924,Public name for WBGene00195924. History: N.A.
chrI,9305741,9306838,F26H9.4,442,-,F26H9.4,WBGene00009176,Sequence name for WBGene00009176(nmat-2). History: N.A.
chrI,8394721,8398622,ngp-1,305,+,ngp-1,WBGene00003596,Public name for WBGene00003596. History: N.A.
chrI,8808768,8813294,phip-1,1035,+,phip-1,WBGene00009455,Public name for WBGene00009455. History: N.A.
chrI,6951133,6951972,pcbd-1,648,+,pcbd-1,WBGene00020397,Public name for WBGene00020397. History: N.A.
chrI,12853067,12858262,Y18D10A.9,458,-,Y18D10A.9,WBGene00012479,Sequence name for WBGene00012479(ciao-1). History: N.A.
chrI,4444719,4446594,eif-3.H,127,+,eif-3.H,WBGene00001231,Public name for WBGene00001231. History: N.A.
chrI,8139462,8142532,del-4,2394,-,del-4,WBGene00012116,Public name for WBGene00012116. History: N.A.
chrI,6611990,6615979,D2092.4,1237,-,D2092.4,WBGene00017065,Public name for WBGene00017065. History: N.A.
chrI,4607282,4608210,C44E4.8,995,+,C44E4.8,,Sequence name for Suppressed gene WBGene00045479. Molecular name for Suppressed gene WBGene00045479. Public name for Suppressed gene WBGene00045479. History of WBGene00045479: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
chrI,13184900,13188286,F17B5.1,2577,+,F17B5.1,WBGene00008905,Public name for WBGene00008905. History: N.A.
chrI,14012429,14013600,ins-28,1664,-,ins-28,WBGene00002111,Public name for WBGene00002111. History: N.A.
chrI,12703424,12704717,sra-23,2350,+,sra-23,WBGene00005049,Public name for WBGene00005049. History: N.A.
chrI,9571912,9572086,C36F7.13,2129,+,C36F7.13,WBGene00197305,Public name for WBGene00197305. History: N.A.
chrI,13232145,13234673,ZK1053.2,1907,+,ZK1053.2,WBGene00014197,Public name for WBGene00014197. History: N.A.
chrI,7166929,7168682,K07G5.4,2100,-,K07G5.4,WBGene00010643,Public name for WBGene00010643. History: N.A.
chrI,8057756,8060554,K04G2.10,699,+,K04G2.10,WBGene00010568,Public name for WBGene00010568. History: N.A.
chrI,14961489,14965344,ces-2,1257,+,ces-2,WBGene00000469,Public name for WBGene00000469. History: N.A.
chrI,15005596,15013863,F33H2.5,369,-,F33H2.5,WBGene00009368,Sequence name for WBGene00009368(pole-1). History: N.A.
chrI,11905947,11907475,R09B3.6,1061,+,R09B3.6,WBGene00014820,Public name for WBGene00014820. History: N.A.
chrI,5951137,5951744,B0207.8,2420,-,B0207.8,,Public name for Dead gene WBGene00015031. History of WBGene00015031: Killed on 2019-09-26. Remark: No evidence for this gene.
chrI,8697520,8701965,tlf-1,101,-,tlf-1,WBGene00006577,Public name for WBGene00006577. History: N.A.
chrI,12267489,12268119,F41D3.8,2475,-,F41D3.8,WBGene00009613,Public name for WBGene00009613. History: N.A.
chrI,9988335,9988786,his-67,999,-,his-67,WBGene00001941,Public name for WBGene00001941. History: N.A.
chrI,5868260,5870117,vpr-1,82,-,vpr-1,WBGene00018008,Public name for WBGene00018008. History: N.A.
chrI,4094611,4098331,C24G7.4,1253,+,C24G7.4,WBGene00016066,Sequence name for WBGene00016066(acd-2). History: N.A.
chrI,11243827,11244995,F46A8.6,1567,-,F46A8.6,WBGene00009749,Public name for WBGene00009749. History: N.A.
chrI,7940909,7942182,T22C1.5,609,+,T22C1.5,WBGene00011916,Public name for WBGene00011916. History: N.A.
chrI,14621163,14625426,lev-11,892,-,lev-11,WBGene00002978,Public name for WBGene00002978. History: N.A.
chrI,4147246,4148257,E01A2.8,2056,-,E01A2.8,WBGene00017090,"Public name for WBGene00017090. History: Split into poml-3(WBGene00077701). History of WBGene00017090: Split into ""WBGene00077701"" on 2008-03-27"
chrI,7580932,7581626,D2030.4,597,-,D2030.4,WBGene00008414,Public name for WBGene00008414. History: N.A.
chrI,11911314,11912040,ubc-12,130,+,ubc-12,WBGene00006707,Public name for WBGene00006707. History: N.A.
chrI,5609312,5610279,vha-10,561,-,vha-10,WBGene00006919,Public name for WBGene00006919. History: N.A.
chrI,7295411,7297057,F13G3.12,2152,+,F13G3.12,WBGene00008770,Public name for WBGene00008770. History: N.A.
chrI,7122603,7128422,unc-14,1017,-,unc-14,WBGene00006753,Public name for WBGene00006753. History: N.A.
chrI,6271982,6273770,C10G11.8,2327,-,C10G11.8,WBGene00015688,Public name for WBGene00015688. History: N.A.
chrI,14037137,14037791,ins-26,2424,-,ins-26,WBGene00002109,Public name for WBGene00002109. History: N.A.
chrI,8591205,8591989,ran-4,154,+,ran-4,WBGene00004305,Public name for WBGene00004305. History: N.A.
chrI,13360663,13366877,sptf-3,877,-,sptf-3,WBGene00012735,Public name for WBGene00012735. History: N.A.
chrI,7937666,7938481,glb-26,975,-,glb-26,WBGene00011913,Public name for WBGene00011913. History: N.A.
chrI,7294035,7296771,srd-53,1613,+,srd-53,WBGene00005131,Public name for WBGene00005131. History: N.A.
chrI,10785116,10787852,F55A3.7,801,-,F55A3.7,WBGene00018852,Public name for WBGene00018852. History: N.A.
chrI,8783868,8784028,DY3.9,2087,+,DY3.9,WBGene00199648,Public name for WBGene00199648. History: N.A.
chrI,5590348,5603377,tag-163,1133,-,tag-163,WBGene00006508,Other name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
chrI,5282085,5283944,dnj-4,837,-,dnj-4,WBGene00001022,Public name for WBGene00001022. History: N.A.
chrI,9016789,9017987,F36F2.2,2264,+,F36F2.2,WBGene00009476,Public name for WBGene00009476. History: N.A.
chrI,12783347,12784968,Y18D10A.26,2510,+,Y18D10A.26,WBGene00023459,Public name for WBGene00023459. History: N.A.
chrI,8035880,8037154,K04G2.4,766,+,K04G2.4,WBGene00010563,Public name for WBGene00010563. History: N.A.
