# Supplemental Table S2 - Genes targeted by 26G-RNAs in the alg-3; alg-4 double mutant worms
# Reads = number of reads antisense to and overlaping exon-exon juntions of the indicated gene, normalized to the number of times each sequence perfectly matches the genome.
# Reads - norm = reads per million, excluding reads considered to be degradation products
Gene ID,Cosmid Name,Antisense Reads,Reads - norm,Input,Suggested Match,History
F14F7.5,F14F7.5,6.0,2.650208284,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
C09B9.4,C09B9.4,6.0,2.650208284,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
Y39A1A.24,Y39A1A.24,6.0,2.650208284,Y39A1A.24,WBGene00012660,Public name for WBGene00012660. History: N.A.
W04B5.2,W04B5.2,6.0,2.650208284,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
C32E8.4,C32E8.4,6.0,2.650208284,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
F37C12.18,F37C12.18,6.0,2.650208284,F37C12.18,WBGene00044005,Public name for WBGene00044005. History: N.A.
F49C12.11,F49C12.11,6.0,2.650208284,F49C12.11,WBGene00009880,Public name for WBGene00009880. History: N.A.
C30G7.3,C30G7.3,5.0,2.208506904,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
F17C11.9,F17C11.9,5.0,2.208506904,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
ZK973.8,ZK973.8,5.0,2.208506904,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
F43E2.7,F43E2.7,5.0,2.208506904,F43E2.7,WBGene00018395,Sequence name for WBGene00018395(mtch-1). History: N.A.
fbxb-37,T16A1.8,5.0,2.208506904,fbxb-37,WBGene00020537,"Public name for WBGene00020537. History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
B0205.10,B0205.10,5.0,2.208506904,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
E01G4.5,E01G4.5,5.0,2.208506904,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
C06G4.4,C06G4.4,5.0,2.208506904,C06G4.4,WBGene00015558,Public name for WBGene00015558. History: N.A.
Y82E9BR.6,Y82E9BR.6,5.0,2.208506904,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
C42C1.9,C42C1.9,5.0,2.208506904,C42C1.9,WBGene00016587,Public name for WBGene00016587. History: N.A.
ssp-31,ZK1225.6,5.0,2.208506904,ssp-31,WBGene00006048,Public name for WBGene00006048. History: N.A.
H09G03.1,H09G03.1,5.0,2.208506904,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y38F1A.1,Y38F1A.1,5.0,2.208506904,Y38F1A.1,WBGene00012605,Public name for WBGene00012605. History: N.A.
T27C10.8,T27C10.8,5.0,2.208506904,T27C10.8,WBGene00077519,Public name for WBGene00077519. History: N.A.
bre-3,B0464.4,5.0,2.208506904,bre-3,WBGene00000268,Public name for WBGene00000268. History: N.A.
cdc-25.4,R05H5.2,5.0,2.208506904,cdc-25.4,WBGene00000389,Public name for WBGene00000389. History: N.A.
C17C3.1,C17C3.1,5.0,2.208506904,C17C3.1,WBGene00015887,Public name for WBGene00015887. History: N.A.
enol-1,T21B10.2,5.0,2.208506904,enol-1,WBGene00011884,Public name for WBGene00011884. History: N.A.
rpn-8,R12E2.3,5.0,2.208506904,rpn-8,WBGene00004464,Public name for WBGene00004464. History: N.A.
B0244.9,B0244.9,5.0,2.208506904,B0244.9,WBGene00015084,Public name for WBGene00015084. History: N.A.
Y57E12AL.6,Y57E12AL.6,5.0,2.208506904,Y57E12AL.6,WBGene00021959,Public name for WBGene00021959. History: N.A.
C38C10.3,C38C10.3,4.5,1.987656213,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
F36H12.4,F36H12.4,4.0,1.766805523,F36H12.4,WBGene00018120,Public name for WBGene00018120. History: N.A.
C16C10.3,C16C10.3,4.0,1.766805523,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
msp-142,K05F1.2,4.0,1.766805523,msp-142,WBGene00003469,Public name for WBGene00003469. History: N.A.
hmg-12,Y17G7A.1,4.0,1.766805523,hmg-12,WBGene00001977,Public name for WBGene00001977. History: N.A.
ssq-2,T28H11.5,4.0,1.766805523,ssq-2,WBGene00006051,Public name for WBGene00006051. History: N.A.
W08E3.4,W08E3.4,4.0,1.766805523,W08E3.4,WBGene00012345,Public name for WBGene00012345. History: N.A.
ssq-4,T28H11.1,4.0,1.766805523,ssq-4,WBGene00006053,Public name for WBGene00006053. History: N.A.
F44D12.6,F44D12.6,4.0,1.766805523,F44D12.6,WBGene00009683,Public name for WBGene00009683. History: N.A.
Y26D4A.17,Y26D4A.17,4.0,1.766805523,Y26D4A.17,WBGene00045234,Public name for WBGene00045234. History: N.A.
C35E7.9,C35E7.9,4.0,1.766805523,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
nspd-1,ZK484.8,4.0,1.766805523,nspd-1,WBGene00022754,Public name for WBGene00022754. History: N.A.
Y69E1A.8,Y69E1A.8,4.0,1.766805523,Y69E1A.8,WBGene00013478,Public name for WBGene00013478. History: N.A.
C28C12.1,C28C12.1,4.0,1.766805523,C28C12.1,WBGene00016177,Public name for WBGene00016177. History: N.A.
T22C1.8,T22C1.8,4.0,1.766805523,T22C1.8,WBGene00011918,Public name for WBGene00011918. History: N.A.
Y69E1A.1,Y69E1A.1,4.0,1.766805523,Y69E1A.1,WBGene00013473,Public name for WBGene00013473. History: N.A.
ZK1127.2,ZK1127.2,4.0,1.766805523,ZK1127.2,WBGene00022849,Sequence name for WBGene00022849(acs-6). History: N.A.
W10C8.5,W10C8.5,4.0,1.766805523,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
ncl-1,ZK112.2,4.0,1.766805523,ncl-1,WBGene00003559,Public name for WBGene00003559. History: N.A.
tag-164,Y76A2A.1,4.0,1.766805523,tag-164,WBGene00006509,Public name for WBGene00006509. History: N.A.
F31A9.2,F31A9.2,4.0,1.766805523,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
Y82E9BR.20,Y82E9BR.20,4.0,1.766805523,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
C55A6.3,C55A6.3,4.0,1.766805523,C55A6.3,WBGene00008332,Public name for WBGene00008332. History: N.A.
F49F1.12,F49F1.12,3.5,1.545954833,F49F1.12,WBGene00018652,Public name for WBGene00018652. History: N.A.
M04G7.2,M04G7.2,3.5,1.545954833,M04G7.2,WBGene00019773,Public name for WBGene00019773. History: N.A.
gpd-4,F33H1.2,3.5,1.545954833,gpd-4,WBGene00001686,Public name for WBGene00001686. History: N.A.
nspd-5,F11G11.8,3.5,1.545954833,nspd-5,WBGene00017386,Public name for WBGene00017386. History: N.A.
nspd-3,C24D10.7,3.5,1.545954833,nspd-3,WBGene00016058,Public name for WBGene00016058. History: N.A.
C04G2.8,C04G2.8,3.3333,1.472323212,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
msp-33,R05F9.8,3.3111,1.462517442,msp-33,WBGene00003431,Public name for WBGene00003431. History: N.A.
msp-81,K07F5.1,3.2,1.413444418,msp-81,WBGene00003467,Public name for WBGene00003467. History: N.A.
F35H10.2,F35H10.2,3.0,1.325104142,F35H10.2,WBGene00018068,Public name for WBGene00018068. History: N.A.
F46A9.1,F46A9.1,3.0,1.325104142,F46A9.1,WBGene00009754,Public name for WBGene00009754. History: N.A.
Y116A8B.1,Y116A8B.1,3.0,1.325104142,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
C15H11.13,C15H11.13,3.0,1.325104142,C15H11.13,WBGene00077576,Public name for WBGene00077576. History: N.A.
msp-45,F58A6.8,3.0,1.325104142,msp-45,WBGene00003438,Public name for WBGene00003438. History: N.A.
mel-32,C05D11.11,3.0,1.325104142,mel-32,WBGene00003214,Public name for WBGene00003214. History: N.A.
Y17D7B.4,Y17D7B.4,3.0,1.325104142,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
R31.2,R31.2,3.0,1.325104142,R31.2,WBGene00011270,Public name for WBGene00011270. History: N.A.
F55A11.11,F55A11.11,3.0,1.325104142,F55A11.11,WBGene00010082,Public name for WBGene00010082. History: N.A.
arl-1,F54C9.10,3.0,1.325104142,arl-1,WBGene00000187,Public name for WBGene00000187. History: N.A.
Y40H4A.2,Y40H4A.2,3.0,1.325104142,Y40H4A.2,WBGene00012741,Public name for WBGene00012741. History: N.A.
F23H11.5,F23H11.5,3.0,1.325104142,F23H11.5,WBGene00000263,Public name for WBGene00000263. History: N.A.
bre-1,C53B4.7,3.0,1.325104142,bre-1,WBGene00000266,Public name for WBGene00000266. History: Renamed on 2006-12-15
Y51B9A.3,Y51B9A.3,3.0,1.325104142,Y51B9A.3,WBGene00013085,Sequence name for WBGene00013085(mpz-6). History: N.A.
W03D8.2,W03D8.2,3.0,1.325104142,W03D8.2,WBGene00020985,Public name for WBGene00020985. History: N.A.
ZK666.8,ZK666.8,3.0,1.325104142,ZK666.8,WBGene00014048,Public name for WBGene00014048. History: N.A.
F14H8.8,F14H8.8,3.0,1.325104142,F14H8.8,WBGene00077582,Public name for WBGene00077582. History: N.A.
Y7A5A.8,Y7A5A.8,3.0,1.325104142,Y7A5A.8,WBGene00012414,Public name for WBGene00012414. History: N.A.
C50F7.4,C50F7.4,3.0,1.325104142,C50F7.4,WBGene00016844,Sequence name for WBGene00016844(sucg-1). History: N.A.
C53D6.10,C53D6.10,3.0,1.325104142,C53D6.10,WBGene00023424,Public name for WBGene00023424. History: N.A.
rga-3,K09H11.3,3.0,1.325104142,rga-3,WBGene00019600,Public name for WBGene00019600. History: N.A.
Y45G5AM.9,Y45G5AM.9,3.0,1.325104142,Y45G5AM.9,WBGene00021561,Public name for WBGene00021561. History: N.A.
ZK1098.6,ZK1098.6,3.0,1.325104142,ZK1098.6,WBGene00014223,Public name for WBGene00014223. History: N.A.
nspd-4,T23B7.1,3.0,1.325104142,nspd-4,WBGene00020715,Public name for WBGene00020715. History: N.A.
pup-2,K10D2.2,3.0,1.325104142,pup-2,WBGene00019628,Public name for WBGene00019628. History: N.A.
tag-32,T13A10.11,3.0,1.325104142,tag-32,WBGene00006416,Other name for WBGene00006416(sams-5). History: Renamed on 2008-09-10
C17H12.3,C17H12.3,3.0,1.325104142,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
wht-5,F19B6.4,3.0,1.325104142,wht-5,WBGene00008950,Public name for WBGene00008950. History: N.A.
C41G7.3,C41G7.3,3.0,1.325104142,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
C01G12.13,C01G12.13,3.0,1.325104142,C01G12.13,WBGene00044333,Public name for WBGene00044333. History: N.A.
W02B12.15,W02B12.15,3.0,1.325104142,W02B12.15,WBGene00044026,Sequence name for WBGene00044026(cisd-1). History: N.A.
htz-1,R08C7.3,3.0,1.325104142,htz-1,WBGene00019947,Public name for WBGene00019947. History: N.A.
T28C6.5,T28C6.5,3.0,1.325104142,T28C6.5,WBGene00012120,Public name for WBGene00012120. History: N.A.
F31A9.4,F31A9.4,3.0,1.325104142,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
rer-1,F46C5.8,3.0,1.325104142,rer-1,WBGene00009783,Public name for WBGene00009783. History: N.A.
msp-49,C34F11.6,3.0,1.325104142,msp-49,WBGene00003442,Public name for WBGene00003442. History: N.A.
fkb-2,Y18D10A.19,3.0,1.325104142,fkb-2,WBGene00001427,Public name for WBGene00001427. History: N.A.
C16A11.7,C16A11.7,3.0,1.325104142,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C56G2.7,C56G2.7,3.0,1.325104142,C56G2.7,WBGene00016981,Sequence name for WBGene00016981(rpn-13). History: N.A.
C34F11.1,C34F11.1,3.0,1.325104142,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
Y41E3.10,Y41E3.10,3.0,1.325104142,Y41E3.10,WBGene00012768,Sequence name for WBGene00012768(eef-1B.2). History: N.A.
F16C3.4,F16C3.4,3.0,1.325104142,F16C3.4,WBGene00044243,Public name for WBGene00044243. History: N.A.
K04H4.5,K04H4.5,3.0,1.325104142,K04H4.5,WBGene00010574,Public name for WBGene00010574. History: N.A.
C34D4.4,C34D4.4,3.0,1.325104142,C34D4.4,WBGene00016400,Public name for WBGene00016400. History: N.A.
cyk-4,K08E3.6,3.0,1.325104142,cyk-4,WBGene00000875,Public name for WBGene00000875. History: N.A.
T16A9.5,T16A9.5,3.0,1.325104142,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
ZC132.4,ZC132.4,3.0,1.325104142,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
R09A1.2,R09A1.2,3.0,1.325104142,R09A1.2,WBGene00019972,Sequence name for WBGene00019972(pei-2). History: N.A.
F13E9.5,F13E9.5,3.0,1.325104142,F13E9.5,WBGene00008754,Public name for WBGene00008754. History: N.A.
F35G2.2,F35G2.2,3.0,1.325104142,F35G2.2,WBGene00009436,Sequence name for WBGene00009436(marb-1). History: N.A.
K01D12.15,K01D12.15,3.0,1.325104142,K01D12.15,WBGene00010474,Public name for WBGene00010474. History: N.A.
R12C12.1,R12C12.1,3.0,1.325104142,R12C12.1,WBGene00020022,Sequence name for WBGene00020022(gldc-1). History: N.A.
F07F6.1,F07F6.1,3.0,1.325104142,F07F6.1,WBGene00017215,Public name for WBGene00017215. History: N.A.
sqv-1,D2096.4,3.0,1.325104142,sqv-1,WBGene00005019,Public name for WBGene00005019. History: N.A.
pabp-2,C17E4.5,3.0,1.325104142,pabp-2,WBGene00003904,Public name for WBGene00003904. History: Renamed on 2007-02-23
F01D5.8,F01D5.8,3.0,1.325104142,F01D5.8,WBGene00008498,Public name for WBGene00008498. History: N.A.
ife-5,Y57A10A.30,3.0,1.325104142,ife-5,WBGene00002063,Public name for WBGene00002063. History: N.A.
Y43F8B.9,Y43F8B.9,3.0,1.325104142,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
F56D5.2,F56D5.2,3.0,1.325104142,F56D5.2,WBGene00010147,Public name for WBGene00010147. History: N.A.
T03F1.1,T03F1.1,3.0,1.325104142,T03F1.1,WBGene00020184,Sequence name for WBGene00020184(uba-5). History: N.A.
ncr-2,F09G8.4,3.0,1.325104142,ncr-2,WBGene00003562,Public name for WBGene00003562. History: N.A.
Y39A1A.2,Y39A1A.2,3.0,1.325104142,Y39A1A.2,WBGene00012642,Public name for WBGene00012642. History: N.A.
F13D12.9,F13D12.9,3.0,1.325104142,F13D12.9,WBGene00008743,Sequence name for WBGene00008743(fcmt-1). History: N.A.
ubc-24,F49E12.4,3.0,1.325104142,ubc-24,WBGene00006719,Public name for WBGene00006719. History: N.A.
C07H6.9,C07H6.9,3.0,1.325104142,C07H6.9,WBGene00015582,Public name for WBGene00015582. History: N.A.
cdk-9,H25P06.2,3.0,1.325104142,cdk-9,WBGene00000410,Public name for WBGene00000410. History: N.A.
ZK1127.10,ZK1127.10,3.0,1.325104142,ZK1127.10,WBGene00022856,Sequence name for WBGene00022856(cth-2). History: N.A.
R11F4.1,R11F4.1,3.0,1.325104142,R11F4.1,WBGene00020007,Public name for WBGene00020007. History: N.A.
F10D11.5,F10D11.5,3.0,1.325104142,F10D11.5,WBGene00008651,Public name for WBGene00008651. History: N.A.
Y53C10A.15,Y53C10A.15,3.0,1.325104142,Y53C10A.15,WBGene00044805,Public name for WBGene00044805. History: N.A.
C50F4.10,C50F4.10,2.5,1.104253452,C50F4.10,WBGene00008235,Public name for WBGene00008235. History: N.A.
K01D12.7,K01D12.7,2.5,1.104253452,K01D12.7,WBGene00010466,Public name for WBGene00010466. History: N.A.
C39H7.1,C39H7.1,2.5,1.104253452,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
ZK402.3,ZK402.3,2.25,0.993828107,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
B0284.1,B0284.1,2.2499,0.993783936,B0284.1,WBGene00007131,Sequence name for WBGene00007131(pals-26). History: N.A.
nspa-1,H12D21.1,2.2222,0.981548808,nspa-1,WBGene00010377,Public name for WBGene00010377. History: N.A.
T21C12.4,T21C12.4,2.0,0.883402761,T21C12.4,WBGene00011900,"Public name for WBGene00011900. History: Split into T21C12.8(WBGene00043998). History of WBGene00011900: Split into ""WBGene00043998"" on 2004-11-08"
K04D7.2,K04D7.2,2.0,0.883402761,K04D7.2,WBGene00010557,Sequence name for WBGene00010557(mspn-1). History: N.A.
F07A5.2,F07A5.2,2.0,0.883402761,F07A5.2,WBGene00008541,Public name for WBGene00008541. History: N.A.
fum-1,H14A12.2,2.0,0.883402761,fum-1,WBGene00001503,Public name for WBGene00001503. History: N.A.
C16C10.13,C16C10.13,2.0,0.883402761,C16C10.13,WBGene00007632,Public name for WBGene00007632. History: N.A.
clic-1,T05B11.3,2.0,0.883402761,clic-1,WBGene00020246,Public name for WBGene00020246. History: Renamed on 2008-04-30
D2062.4,D2062.4,2.0,0.883402761,D2062.4,WBGene00017056,Public name for WBGene00017056. History: N.A.
ZC168.6,ZC168.6,2.0,0.883402761,ZC168.6,WBGene00013858,Sequence name for WBGene00013858(ssp-34). History: N.A.
C01F6.1,C01F6.1,2.0,0.883402761,C01F6.1,WBGene00007221,Sequence name for WBGene00007221(cpna-3). History: N.A.
K08C9.2,K08C9.2,2.0,0.883402761,K08C9.2,WBGene00010651,Public name for WBGene00010651. History: N.A.
T08G11.2,T08G11.2,2.0,0.883402761,T08G11.2,WBGene00044684,"Public name for WBGene00044684. History: Split into ""WBGene00001198"" on 2005-11-29"
rpl-32,T24B8.1,2.0,0.883402761,rpl-32,WBGene00004446,Public name for WBGene00004446. History: N.A.
let-70,M7.1,2.0,0.883402761,let-70,WBGene00002344,Public name for WBGene00002344. History: N.A.
emo-1,F32D8.6,2.0,0.883402761,emo-1,WBGene00001303,Other name for WBGene00001303(sec-61.G). History: Renamed on 2019-05-20
C46C2.3,C46C2.3,2.0,0.883402761,C46C2.3,WBGene00008111,Public name for WBGene00008111. History: N.A.
atp-3,F27C1.7,2.0,0.883402761,atp-3,WBGene00000230,Public name for WBGene00000230. History: N.A.
ZK596.2,ZK596.2,2.0,0.883402761,ZK596.2,WBGene00014007,Public name for WBGene00014007. History: N.A.
sod-1,C15F1.7,2.0,0.883402761,sod-1,WBGene00004930,Public name for WBGene00004930. History: N.A.
dnj-28,Y54E10BL.4,2.0,0.883402761,dnj-28,WBGene00001046,Public name for WBGene00001046. History: N.A.
F55C5.1,F55C5.1,2.0,0.883402761,F55C5.1,WBGene00010091,Sequence name for WBGene00010091(ssp-35). History: N.A.
C31H1.1,C31H1.1,2.0,0.883402761,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
F36A2.12,F36A2.12,2.0,0.883402761,F36A2.12,WBGene00009459,"Public name for WBGene00009459. History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
F59B2.5,F59B2.5,2.0,0.883402761,F59B2.5,WBGene00010309,"Sequence name for WBGene00010309(rpn-6.2). History: Split into F59B2.15(WBGene00185006). History of WBGene00010309: Split into ""WBGene00185006"" on 2009-02-27"
cpi-2,R01B10.1,2.0,0.883402761,cpi-2,WBGene00000534,Public name for WBGene00000534. History: Renamed on 2006-01-04
F10G7.12,F10G7.12,2.0,0.883402761,F10G7.12,WBGene00044744,Public name for WBGene00044744. History: N.A.
C18H7.4,C18H7.4,2.0,0.883402761,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
acs-4,F37C12.7,2.0,0.883402761,acs-4,WBGene00018152,Public name for WBGene00018152. History: N.A.
trap-4,Y56A3A.21,2.0,0.883402761,trap-4,WBGene00013238,Public name for WBGene00013238. History: N.A.
Y17D7C.1,Y17D7C.1,2.0,0.883402761,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
ZK945.7,ZK945.7,2.0,0.883402761,ZK945.7,WBGene00014169,Public name for WBGene00014169. History: N.A.
ZK546.4,ZK546.4,2.0,0.883402761,ZK546.4,WBGene00022761,Public name for WBGene00022761. History: N.A.
Y47H10A.5,Y47H10A.5,2.0,0.883402761,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
pab-1,Y106G6H.2,2.0,0.883402761,pab-1,WBGene00003902,Public name for WBGene00003902. History: N.A.
B0252.5,B0252.5,2.0,0.883402761,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
Y57G7A.6,Y57G7A.6,2.0,0.883402761,Y57G7A.6,WBGene00021969,Public name for WBGene00021969. History: N.A.
K03H1.12,K03H1.12,2.0,0.883402761,K03H1.12,WBGene00010547,Public name for WBGene00010547. History: N.A.
F21H7.2,F21H7.2,2.0,0.883402761,F21H7.2,WBGene00009028,Public name for WBGene00009028. History: N.A.
cyn-5,F31C3.1,2.0,0.883402761,cyn-5,WBGene00000881,Public name for WBGene00000881. History: N.A.
ZK484.5,ZK484.5,2.0,0.883402761,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
C10G11.10,C10G11.10,2.0,0.883402761,C10G11.10,WBGene00015690,Public name for WBGene00015690. History: N.A.
rpt-5,F56H1.4,2.0,0.883402761,rpt-5,WBGene00004505,Public name for WBGene00004505. History: N.A.
F29D11.2,F29D11.2,2.0,0.883402761,F29D11.2,WBGene00009254,Sequence name for WBGene00009254(capg-1). History: N.A.
F48E8.6,F48E8.6,2.0,0.883402761,F48E8.6,WBGene00018612,Sequence name for WBGene00018612(disl-2). History: Renamed on 2017-03-13
tag-277,ZK652.3,2.0,0.883402761,tag-277,WBGene00044324,Other name for WBGene00044324(ufm-1). History: Renamed on 2013-03-15
fer-1,F43G9.6,2.0,0.883402761,fer-1,WBGene00001414,Public name for WBGene00001414. History: N.A.
F25H2.5,F25H2.5,2.0,0.883402761,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
act-3,T04C12.4,2.0,0.883402761,act-3,WBGene00000065,Public name for WBGene00000065. History: N.A.
rpt-1,C52E4.4,2.0,0.883402761,rpt-1,WBGene00004501,Public name for WBGene00004501. History: N.A.
Y41C4A.17,Y41C4A.17,2.0,0.883402761,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
Y39E4B.11,Y39E4B.11,2.0,0.883402761,Y39E4B.11,WBGene00012720,Public name for WBGene00012720. History: N.A.
pan-1,M88.6,2.0,0.883402761,pan-1,WBGene00003915,Public name for WBGene00003915. History: N.A.
B0361.10,B0361.10,2.0,0.883402761,B0361.10,WBGene00015164,Sequence name for WBGene00015164(ykt-6). History: N.A.
gdi-1,Y57G11C.10,2.0,0.883402761,gdi-1,WBGene00001558,Public name for WBGene00001558. History: N.A.
ZC21.8,ZC21.8,2.0,0.883402761,ZC21.8,WBGene00022507,Public name for WBGene00022507. History: N.A.
hil-5,B0414.3,2.0,0.883402761,hil-5,WBGene00001856,Public name for WBGene00001856. History: Renamed on 2010-11-12
