# Genes Up in Xrn2 KD Fc >1.5  ( 50 % increase) AND  up in lsm8  mutant FDR<0.05 and Fc>4,,,
# xrn-2 data from: Miki et al.,,,
# genes enriched in H3K27me3,,,
# 81 on 88 genes,,,
# 92.04545455,,,
# 92%,,,
WBGene00015598,Input,Suggested Match,History
WBGene00022561,WBGene00022561,WBGene00022561,History: N.A.
WBGene00022674,WBGene00022674,WBGene00022674,History: N.A.
WBGene00013065,WBGene00013065,WBGene00007440,"History: Merged into ""WBGene00007440"" on 2008-07-18"
WBGene00045475,WBGene00045475,WBGene00045475,History: N.A.
WBGene00015223,WBGene00015223,WBGene00015223,"History: Split into B0507.15(WBGene00202499). History of WBGene00015223: Split into ""WBGene00202499"" on 2010-10-29"
WBGene00021520,WBGene00021520,WBGene00021520,History: N.A.
WBGene00021703,WBGene00021703,WBGene00021703,History: N.A.
WBGene00016063,WBGene00016063,WBGene00016063,History: N.A.
WBGene00015537,WBGene00015537,WBGene00015537,History: N.A.
WBGene00015080,WBGene00015080,WBGene00015080,History: N.A.
WBGene00009892,WBGene00009892,WBGene00009892,History: N.A.
WBGene00000627,WBGene00000627,WBGene00000627,History: N.A.
WBGene00018696,WBGene00018696,WBGene00018696,History: N.A.
WBGene00016669,WBGene00016669,WBGene00016669,History: N.A.
WBGene00044293,WBGene00044293,WBGene00044293,History: N.A.
WBGene00000851,WBGene00000851,WBGene00000851,History: N.A.
WBGene00008097,WBGene00008097,WBGene00008097,History: N.A.
WBGene00008862,WBGene00008862,WBGene00008862,History: N.A.
WBGene00001728,WBGene00001728,WBGene00001728,History: N.A.
WBGene00044193,WBGene00044193,WBGene00044193,History: N.A.
WBGene00044402,WBGene00044402,WBGene00044402,"History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
WBGene00019379,WBGene00019379,WBGene00019379,History: N.A.
WBGene00000617,WBGene00000617,WBGene00000617,History: N.A.
WBGene00017465,WBGene00017465,WBGene00017465,History: N.A.
WBGene00007181,WBGene00007181,WBGene00007181,History: N.A.
WBGene00009630,WBGene00009630,WBGene00009630,History: N.A.
WBGene00007946,WBGene00007946,WBGene00007946,History: N.A.
WBGene00000622,WBGene00000622,WBGene00000622,History: N.A.
WBGene00019016,WBGene00019016,WBGene00019016,History: N.A.
WBGene00012329,WBGene00012329,WBGene00012329,History: N.A.
WBGene00000648,WBGene00000648,WBGene00000648,History: N.A.
WBGene00022096,WBGene00022096,WBGene00022096,History: N.A.
WBGene00022083,WBGene00022083,WBGene00022083,History: N.A.
WBGene00006419,WBGene00006419,WBGene00006419,History: Renamed on 2008-07-18
WBGene00020472,WBGene00020472,WBGene00020472,History: N.A.
WBGene00018225,WBGene00018225,WBGene00018225,History: N.A.
WBGene00001726,WBGene00001726,WBGene00001726,History: N.A.
WBGene00022546,WBGene00022546,WBGene00022546,History: N.A.
