# Table S3. The Overlaps Between Heritable Dysregulated Genes and P Granule Bound Transcripts
P Granule Bound Transcripts,Input,Suggested Match,History
C30C11.4,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
ZK112.2,ZK112.2,WBGene00003559,Sequence name for WBGene00003559(ncl-1). History: N.A.
F26D10.3,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
C10C6.1,C10C6.1,WBGene00002192,Sequence name for WBGene00002192(kin-4). History: N.A.
F48A11.5,F48A11.5,WBGene00018586,Sequence name for WBGene00018586(ubxn-3). History: N.A.
F21G4.2,F21G4.2,WBGene00003410,Sequence name for WBGene00003410(mrp-4). History: N.A.
T04A8.7,T04A8.7,WBGene00011409,Public name for WBGene00011409. History: N.A.
T26A5.9,T26A5.9,WBGene00001005,Sequence name for WBGene00001005(dlc-1). History: N.A.
F44C4.4,F44C4.4,WBGene00002148,Sequence name for WBGene00002148(gon-14). History: Renamed on 2006-03-22
W03C9.7,W03C9.7,WBGene00003228,Sequence name for WBGene00003228(mex-1). History: N.A.
Y47D3A.16,Y47D3A.16,WBGene00012929,Sequence name for WBGene00012929(rsks-1). History: N.A.
F53G12.5,F53G12.5,WBGene00003229,Sequence name for WBGene00003229(mex-3). History: N.A.
C37H5.8,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
F53G12.1,F53G12.1,WBGene00004274,Sequence name for WBGene00004274(rab-11.1). History: N.A.
F44A2.1,F44A2.1,WBGene00006499,"Sequence name for WBGene00006499(tag-153). History: N.A.. Public name for Dead gene WBGene00018401. History of WBGene00018401: Merged into ""WBGene00006499"" on 2004-05-28"
Y59A8A.3,Y59A8A.3,WBGene00013340,Sequence name for WBGene00013340(tcc-1). History: N.A.
K10B2.5,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
C28D4.3,C28D4.3,WBGene00001607,Sequence name for WBGene00001607(gln-6). History: N.A.
F43G6.9,F43G6.9,WBGene00009661,Sequence name for WBGene00009661(patr-1). History: N.A.
K02B2.1,K02B2.1,WBGene00019295,Sequence name for WBGene00019295(pfkb-1.2). History: N.A.
B0280.5,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
ZK632.7,ZK632.7,WBGene00014015,Sequence name for WBGene00014015(panl-3). History: N.A.
T24C4.6,T24C4.6,WBGene00020762,Sequence name for WBGene00020762(zer-1). History: N.A.
W02D3.9,W02D3.9,WBGene00006773,Sequence name for WBGene00006773(unc-37). History: N.A.
T10F2.1,T10F2.1,WBGene00001744,Sequence name for WBGene00001744(gars-1). History: Renamed on 2010-01-29
F57C7.1,F57C7.1,WBGene00010199,Sequence name for WBGene00010199(bet-2). History: N.A.
C05C10.5,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
F37C12.7,F37C12.7,WBGene00018152,Sequence name for WBGene00018152(acs-4). History: N.A.
C03C10.3,C03C10.3,WBGene00004392,Sequence name for WBGene00004392(rnr-2). History: N.A.
T18H9.6,T18H9.6,WBGene00007023,Sequence name for WBGene00007023(mdt-27). History: N.A.
F07F6.4,F07F6.4,WBGene00017217,Public name for WBGene00017217. History: N.A.
B0457.1,B0457.1,WBGene00002251,Sequence name for WBGene00002251(lat-1). History: N.A.
F01F1.8,F01F1.8,WBGene00000381,Sequence name for WBGene00000381(cct-6). History: N.A.
C41C4.7,C41C4.7,WBGene00008052,Sequence name for WBGene00008052(ctns-1). History: Renamed on 2017-02-17
T05G11.1,T05G11.1,WBGene00011505,Sequence name for WBGene00011505(pzf-1). History: N.A.
C26E6.5,C26E6.5,WBGene00001499,"Sequence name for WBGene00001499(fsn-1). History: N.A.. Public name for Dead gene WBGene00016141. History of WBGene00016141: Merged into ""WBGene00001499"" on 2004-07-01"
R06C7.1,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
Y39E4B.5,Y39E4B.5,WBGene00012716,Public name for WBGene00012716. History: N.A.
Y49E10.19,Y49E10.19,WBGene00013038,Sequence name for WBGene00013038(ani-1). History: N.A.
T17E9.2,T17E9.2,WBGene00020549,Sequence name for WBGene00020549(nmt-1). History: N.A.
Y45F10A.2,Y45F10A.2,WBGene00004239,Sequence name for WBGene00004239(puf-3). History: N.A.
C32D5.11,C32D5.11,WBGene00016318,Public name for WBGene00016318. History: N.A.
F14B4.2,F14B4.2,WBGene00008780,Sequence name for WBGene00008780(hxk-1). History: N.A.
F19B6.1,F19B6.1,WBGene00008948,Public name for WBGene00008948. History: N.A.
T04C12.5,T04C12.5,WBGene00000064,Sequence name for WBGene00000064(act-2). History: N.A.
W06A7.3,W06A7.3,WBGene00004336,Sequence name for WBGene00004336(ret-1). History: N.A.
H19N07.1,H19N07.1,WBGene00010405,Sequence name for WBGene00010405(erfa-3). History: N.A.
F56F3.1,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
ZK1127.1,ZK1127.1,WBGene00003784,Sequence name for WBGene00003784(nos-2). History: N.A.
R119.7,R119.7,WBGene00020091,Sequence name for WBGene00020091(rnp-8). History: N.A.
F01G4.1,F01G4.1,WBGene00004204,Sequence name for WBGene00004204(swsn-4). History: Renamed on 2011-02-11
T01C3.9,T01C3.9,WBGene00011324,Sequence name for WBGene00011324(hrde-2). History: Renamed on 2019-05-20
T22B11.5,T22B11.5,WBGene00020679,Sequence name for WBGene00020679(ogdh-1). History: N.A.
F59G1.5,F59G1.5,WBGene00004214,Sequence name for WBGene00004214(ptp-2). History: N.A.
T12A2.2,T12A2.2,WBGene00020437,Sequence name for WBGene00020437(stt-3). History: N.A.
Y76A2B.1,Y76A2B.1,WBGene00004075,Sequence name for WBGene00004075(pod-1). History: N.A.
C04A2.7,C04A2.7,WBGene00001023,Sequence name for WBGene00001023(dnj-5). History: N.A.
C56C10.8,C56C10.8,WBGene00002045,Sequence name for WBGene00002045(icd-1). History: N.A.
F44F4.2,F44F4.2,WBGene00009701,Sequence name for WBGene00009701(egg-3). History: N.A.
R05F9.10,R05F9.10,WBGene00019893,Sequence name for WBGene00019893(sgt-1). History: N.A.
CD4.17,CD4.17,WBGene00235159,Public name for WBGene00235159. History: N.A.
K07G5.6,K07G5.6,WBGene00010645,Sequence name for WBGene00010645(fecl-1). History: N.A.
Y23H5A.7,Y23H5A.7,WBGene00000800,Sequence name for WBGene00000800(cars-1). History: Renamed on 2010-01-29
Y71H2AM.23,Y71H2AM.23,WBGene00007000,"Sequence name for WBGene00007000(tufm-1). History: N.A.. Public name for Dead gene WBGene00022187. History of WBGene00022187: Merged into ""WBGene00007000"" on 2004-05-28"
F53C11.5,F53C11.5,WBGene00009975,Public name for WBGene00009975. History: N.A.
W08E3.3,W08E3.3,WBGene00012344,Sequence name for WBGene00012344(ola-1). History: Renamed on 2012-12-21
C03C10.1,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
ZK829.7,ZK829.7,WBGene00014096,Public name for WBGene00014096. History: N.A.
C18D11.3,C18D11.3,WBGene00007681,Public name for WBGene00007681. History: N.A.
Y57G11C.13,Y57G11C.13,WBGene00000192,"Sequence name for WBGene00000192(arl-8). History: N.A.. Public name for Dead gene WBGene00013309. History of WBGene00013309: Merged into ""WBGene00000192"" on 2006-09-21"
C03A3.2,C03A3.2,WBGene00007267,Public name for WBGene00007267. History: N.A.
K10B2.3,K10B2.3,WBGene00019606,Sequence name for WBGene00019606(clec-88). History: Renamed on 2006-06-15
C04F12.1,C04F12.1,WBGene00007297,Sequence name for WBGene00007297(vsra-1). History: Renamed on 2022-10-03
Y17G7B.20,Y17G7B.20,WBGene00012471,Public name for WBGene00012471. History: N.A.
Y46G5A.18,Y46G5A.18,WBGene00012908,"Public name for WBGene00012908. History: Split into Y46G5A.47(WBGene00303089). History of WBGene00012908: Split into ""WBGene00303089"" on 2018-03-02"
F26E4.4,F26E4.4,WBGene00009159,Public name for WBGene00009159. History: N.A.
Y18D10A.11,Y18D10A.11,WBGene00012481,Public name for WBGene00012481. History: N.A.
C10F3.1,C10F3.1,WBGene00015677,Sequence name for WBGene00015677(cpg-4). History: N.A.
ZK632.6,ZK632.6,WBGene00000567,Sequence name for WBGene00000567(cnx-1). History: N.A.
K01C8.10,K01C8.10,WBGene00000379,Sequence name for WBGene00000379(cct-4). History: N.A.
F57B9.6,F57B9.6,WBGene00002083,Sequence name for WBGene00002083(inf-1). History: N.A.
T04C10.2,T04C10.2,WBGene00001329,Sequence name for WBGene00001329(epn-1). History: N.A.
C49H3.5,C49H3.5,WBGene00003827,Sequence name for WBGene00003827(ntl-4). History: N.A.
F57B10.7,F57B10.7,WBGene00006607,Sequence name for WBGene00006607(tre-1). History: N.A.
D1081.7,D1081.7,WBGene00008385,Sequence name for WBGene00008385(lotr-1). History: N.A.
T21C9.13,T21C9.13,WBGene00011898,Public name for WBGene00011898. History: N.A.
F28D1.10,F28D1.10,WBGene00001580,Sequence name for WBGene00001580(gex-3). History: N.A.
T02G5.9,T02G5.9,WBGene00002238,Sequence name for WBGene00002238(kars-1). History: Renamed on 2010-01-29
C26D10.1,C26D10.1,WBGene00004304,Sequence name for WBGene00004304(ran-3). History: N.A.
T23G11.3,T23G11.3,WBGene00001595,Sequence name for WBGene00001595(gld-1). History: N.A.
T12D8.1,T12D8.1,WBGene00011729,Sequence name for WBGene00011729(set-16). History: Renamed on 2007-05-03
F26B1.3,F26B1.3,WBGene00002073,Sequence name for WBGene00002073(ima-2). History: N.A.
F09E5.1,F09E5.1,WBGene00004034,Sequence name for WBGene00004034(pkc-3). History: N.A.
K01G5.5,K01G5.5,WBGene00010478,Sequence name for WBGene00010478(dkc-1). History: N.A.
Y46G5A.17,Y46G5A.17,WBGene00012907,Sequence name for WBGene00012907(cpt-1). History: N.A.
C13B9.3,C13B9.3,WBGene00015734,Sequence name for WBGene00015734(copd-1). History: N.A.
AH6.5,AH6.5,WBGene00003231,Sequence name for WBGene00003231(mex-6). History: N.A.
F44E2.8,F44E2.8,WBGene00018421,Public name for WBGene00018421. History: N.A.
T22F3.2,T22F3.2,WBGene00020695,Public name for WBGene00020695. History: N.A.
C13F10.7,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
T19B4.7,T19B4.7,WBGene00006776,Sequence name for WBGene00006776(unc-40). History: Renamed on 2010-05-19; Renamed on 2010-08-27
K07H8.2,K07H8.2,WBGene00019504,Public name for WBGene00019504. History: N.A.
D2045.1,D2045.1,WBGene00000231,Sequence name for WBGene00000231(atx-2). History: N.A.
Y55F3AR.3,Y55F3AR.3,WBGene00021934,Sequence name for WBGene00021934(cct-8). History: N.A.
C14B1.9,C14B1.9,WBGene00007580,Sequence name for WBGene00007580(gldi-5). History: N.A.
T19B4.2,T19B4.2,WBGene00003793,Sequence name for WBGene00003793(npp-7). History: N.A.
T03D8.1,T03D8.1,WBGene00003830,Sequence name for WBGene00003830(num-1). History: N.A.
F25H5.3,F25H5.3,WBGene00009126,Sequence name for WBGene00009126(pyk-1). History: N.A.
C50C3.6,C50C3.6,WBGene00004187,Sequence name for WBGene00004187(prp-8). History: N.A.
C41C4.8,C41C4.8,WBGene00008053,Sequence name for WBGene00008053(cdc-48.2). History: N.A.
Y37D8A.10,Y37D8A.10,WBGene00012550,Sequence name for WBGene00012550(spcs-2). History: Renamed on 2018-11-12
Y37A1B.2,Y37A1B.2,WBGene00003086,Sequence name for WBGene00003086(lst-4). History: N.A.
C39F7.4,C39F7.4,WBGene00004266,Sequence name for WBGene00004266(rab-1). History: N.A.
F48E8.7,F48E8.7,WBGene00018613,Sequence name for WBGene00018613(skpt-1). History: N.A.
T09A5.11,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
F33A8.3,F33A8.3,WBGene00000472,Sequence name for WBGene00000472(cey-1). History: N.A.
H15N14.2,H15N14.2,WBGene00003818,Sequence name for WBGene00003818(nsf-1). History: N.A.
F22D6.2,F22D6.2,WBGene00009050,Sequence name for WBGene00009050(mstr-1). History: N.A.
W10D5.3,W10D5.3,WBGene00001574,Sequence name for WBGene00001574(gei-17). History: N.A.
M110.4,M110.4,WBGene00002066,Sequence name for WBGene00002066(ifg-1). History: N.A.
Y41E3.1,Y41E3.1,WBGene00012762,Public name for WBGene00012762. History: N.A.
C07G2.1,C07G2.1,WBGene00000465,Sequence name for WBGene00000465(cpg-1). History: Renamed on 2006-06-16; Renamed on 2008-01-14
R09F10.8,R09F10.8,WBGene00019989,Public name for WBGene00019989. History: N.A.
F30F8.3,F30F8.3,WBGene00009272,Sequence name for WBGene00009272(gras-1). History: N.A.
C32D5.3,C32D5.3,WBGene00016311,Sequence name for WBGene00016311(efr-3). History: N.A.
ZK353.7,ZK353.7,WBGene00022702,Sequence name for WBGene00022702(cutc-1). History: N.A.
T05B9.1,T05B9.1,WBGene00011464,Public name for WBGene00011464. History: N.A.
F54F2.8,F54F2.8,WBGene00004201,Sequence name for WBGene00004201(prx-19). History: N.A.
R05G6.7,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
T05C12.7,T05C12.7,WBGene00000377,Sequence name for WBGene00000377(cct-1). History: N.A.
C27D9.1,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
R13F6.10,R13F6.10,WBGene00020068,Sequence name for WBGene00020068(cra-1). History: N.A.
Y38F2AR.2,Y38F2AR.2,WBGene00021420,Sequence name for WBGene00021420(trap-3). History: N.A.
R13H4.4,R13H4.4,WBGene00001978,Sequence name for WBGene00001978(hmp-1). History: N.A.
R07E5.7,R07E5.7,WBGene00011115,Public name for WBGene00011115. History: N.A.
T23D8.7,T23D8.7,WBGene00011945,Sequence name for WBGene00011945(alg-5). History: N.A.
F31E3.5,F31E3.5,WBGene00001168,Sequence name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
F18C12.2,F18C12.2,WBGene00004378,Sequence name for WBGene00004378(rme-8). History: N.A.
Y71F9AL.9,Y71F9AL.9,WBGene00022114,Public name for WBGene00022114. History: N.A.
F26G5.9,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
ZK616.5,ZK616.5,WBGene00022775,Public name for WBGene00022775. History: N.A.
B0001.1,B0001.1,WBGene00003010,"Sequence name for WBGene00003010(lin-24). History: N.A.. Public name for Dead gene WBGene00007086. History of WBGene00007086: Merged into ""WBGene00003010"" on 2007-02-05"
F07A5.1,F07A5.1,WBGene00002136,Sequence name for WBGene00002136(inx-14). History: N.A.
C09H6.3,C09H6.3,WBGene00003136,"Sequence name for WBGene00003136(mau-2). History: N.A.. Public name for Dead gene WBGene00007498. History of WBGene00007498: Merged into ""WBGene00003136"" on 2005-02-15"
F10F2.1,F10F2.1,WBGene00004760,"Sequence name for WBGene00004760(sel-2). History: N.A.. Public name for Dead gene WBGene00008653. History of WBGene00008653: Merged into ""WBGene00004760"" on 2007-02-05"
Y46E12BL.3,Y46E12BL.3,WBGene00021596,Sequence name for WBGene00021596(spsb-2). History: N.A.
T24B8.7,T24B8.7,WBGene00011980,Public name for WBGene00011980. History: N.A.
M117.2,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
C14B1.1,C14B1.1,WBGene00003962,Sequence name for WBGene00003962(pdi-1). History: N.A.
B0273.2,B0273.2,WBGene00004243,Sequence name for WBGene00004243(puf-7). History: N.A.
C06H2.1,C06H2.1,WBGene00007385,Sequence name for WBGene00007385(atp-5). History: N.A.
F20H11.3,F20H11.3,WBGene00003162,Sequence name for WBGene00003162(mdh-2). History: Renamed on 2010-08-18
C24F3.1,C24F3.1,WBGene00007696,Sequence name for WBGene00007696(tram-1). History: N.A.
C07G2.3,C07G2.3,WBGene00000380,Sequence name for WBGene00000380(cct-5). History: N.A.
F55C5.8,F55C5.8,WBGene00010097,Sequence name for WBGene00010097(srpa-68). History: N.A.
T13C2.6,T13C2.6,WBGene00020481,Sequence name for WBGene00020481(gldi-2). History: N.A.
F20B6.8,F20B6.8,WBGene00001994,"Sequence name for WBGene00001994(hpk-1). History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into ""WBGene00303101"" on 2018-03-06"
F53F10.4,F53F10.4,WBGene00006833,Sequence name for WBGene00006833(unc-108). History: Renamed on 2008-11-18
F57C2.6,F57C2.6,WBGene00010198,Sequence name for WBGene00010198(spat-1). History: N.A.
T23B12.4,T23B12.4,WBGene00020719,Sequence name for WBGene00020719(natc-1). History: N.A.
K08H10.1,K08H10.1,WBGene00002263,Sequence name for WBGene00002263(lea-1). History: N.A.
B0261.7,B0261.7,WBGene00015095,Public name for WBGene00015095. History: N.A.
Y97E10AL.2,Y97E10AL.2,WBGene00022393,Sequence name for WBGene00022393(abhd-12). History: N.A.
B0464.1,B0464.1,WBGene00001094,Sequence name for WBGene00001094(dars-1). History: Renamed on 2010-01-29
F41E6.13,F41E6.13,WBGene00018294,Sequence name for WBGene00018294(atg-18). History: Renamed on 2006-04-27; Renamed on 2007-10-19; Renamed on 2008-02-29
Y42G9A.4,Y42G9A.4,WBGene00021534,Sequence name for WBGene00021534(mvk-1). History: N.A.
F56C9.3,F56C9.3,WBGene00018948,Public name for WBGene00018948. History: N.A.
F43E2.8,F43E2.8,WBGene00002008,Sequence name for WBGene00002008(hsp-4). History: N.A.
R12E2.2,R12E2.2,WBGene00020031,Sequence name for WBGene00020031(suco-1). History: Renamed on 2015-02-09
D2023.6,D2023.6,WBGene00008410,Public name for WBGene00008410. History: N.A.
F26E4.1,F26E4.1,WBGene00006352,Sequence name for WBGene00006352(sur-6). History: N.A.
T09B4.1,T09B4.1,WBGene00020375,Sequence name for WBGene00020375(pigv-1). History: Renamed on 2013-11-11
W06H8.1,W06H8.1,WBGene00004373,Sequence name for WBGene00004373(rme-1). History: N.A.
F54F2.2,F54F2.2,WBGene00006975,Sequence name for WBGene00006975(zfp-1). History: N.A.
C50B6.2,C50B6.2,WBGene00008218,Sequence name for WBGene00008218(nasp-2). History: N.A.
F46B6.7,F46B6.7,WBGene00009772,Sequence name for WBGene00009772(ztf-7). History: N.A.
C45B11.1,C45B11.1,WBGene00006443,Sequence name for WBGene00006443(pak-2). History: Renamed on 2005-09-08; Renamed on 2006-12-04
C04B4.2,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
T05G5.7,T05G5.7,WBGene00011501,Sequence name for WBGene00011501(rmd-1). History: N.A.
F32D1.5,F32D1.5,WBGene00017984,Sequence name for WBGene00017984(gmpr-1). History: N.A.
F57A10.3,F57A10.3,WBGene00001813,Sequence name for WBGene00001813(haf-3). History: N.A.
C55A6.1,C55A6.1,WBGene00008330,"Public name for WBGene00008330. History: Split into C55A6.12(WBGene00044019). History of WBGene00008330: Split into ""WBGene00044018"" on 2004-12-03; Split into ""WBGene00044019"" on 2004-12-03"
Y76A2B.6,Y76A2B.6,WBGene00013578,Sequence name for WBGene00013578(scav-2). History: N.A.
F18A1.6,F18A1.6,WBGene00017547,Sequence name for WBGene00017547(alfa-1). History: N.A.
R119.4,R119.4,WBGene00004143,Sequence name for WBGene00004143(pqn-59). History: N.A.
Y55H10A.1,Y55H10A.1,WBGene00021952,Sequence name for WBGene00021952(vha-19). History: N.A.
F15B9.4,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
F52E4.1,F52E4.1,WBGene00018701,Sequence name for WBGene00018701(pccb-1). History: N.A.
T26A8.1,T26A8.1,WBGene00020824,Sequence name for WBGene00020824(pdtf-1). History: N.A.
T21B10.7,T21B10.7,WBGene00000378,"Sequence name for WBGene00000378(cct-2). History: N.A.. Public name for Dead gene WBGene00011889. History of WBGene00011889: Merged into ""WBGene00000378"" on 2007-10-09"
T05E11.5,T05E11.5,WBGene00011481,Sequence name for WBGene00011481(imp-2). History: N.A.
F56D1.1,F56D1.1,WBGene00018959,Public name for WBGene00018959. History: N.A.
ZK1307.6,ZK1307.6,WBGene00001510,Sequence name for WBGene00001510(fzr-1). History: N.A.
Y104H12BR.1,Y104H12BR.1,WBGene00022425,Sequence name for WBGene00022425(plst-1). History: N.A.
T13H2.4,T13H2.4,WBGene00004148,Sequence name for WBGene00004148(pqn-65). History: N.A.
C32A3.3,C32A3.3,WBGene00007860,Sequence name for WBGene00007860(rilp-1). History: N.A.
H38K22.2,H38K22.2,WBGene00010428,Sequence name for WBGene00010428(dcn-1). History: N.A.
F52C9.8,F52C9.8,WBGene00004095,Sequence name for WBGene00004095(pqe-1). History: N.A.
T10B10.3,T10B10.3,WBGene00011680,Sequence name for WBGene00011680(pkhm-2). History: N.A.
C26E6.3,C26E6.3,WBGene00016139,Sequence name for WBGene00016139(ntl-9). History: N.A.
Y54F10BM.2,Y54F10BM.2,WBGene00021857,Sequence name for WBGene00021857(iffb-1). History: N.A.
F59E12.9,F59E12.9,WBGene00019124,Public name for WBGene00019124. History: N.A.
F16B4.8,F16B4.8,WBGene00000387,Sequence name for WBGene00000387(cdc-25.2). History: Renamed on 2015-03-06
F56D2.1,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
T13F2.8,T13F2.8,WBGene00000301,Sequence name for WBGene00000301(cav-1). History: N.A.
C08B11.1,C08B11.1,WBGene00006996,Sequence name for WBGene00006996(zyg-11). History: N.A.
W01A8.1,W01A8.1,WBGene00007024,Sequence name for WBGene00007024(plin-1). History: N.A.
F08D12.1,F08D12.1,WBGene00017245,Sequence name for WBGene00017245(srpa-72). History: N.A.
R12E2.11,R12E2.11,WBGene00020036,Public name for WBGene00020036. History: N.A.
T08B2.7,T08B2.7,WBGene00020347,Sequence name for WBGene00020347(ech-1.2). History: N.A.
F54E7.3,F54E7.3,WBGene00003918,Sequence name for WBGene00003918(par-3). History: N.A.
R11A5.4,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
