Gene_Name,SX1316_1,SX1316_2,SX1316_3,SX1636_1,SX1636_2,SX1636_3,SX1888_1,SX1888_2,SX1888_3,SX3249_1,SX3249_2,SX3249_3,wt_avg,mut16_avg,prg1_avg,deps1_avg,Input,Suggested Match,History
C24G6.3,0,0.353321362,0.234310986,1.01422369,1.106957634,0.990116177,-0.135621883,0.003894671,-0.433076945,0.677086662,0.389154845,0.421250783,0.282591425,1.496217825,-0.271613385,0.715332583,C24G6.3,WBGene00016060,Sequence name for WBGene00016060(mms-19). History: N.A.
CD4.8,0,0.146739469,0.21385525,-0.582769671,-0.574028213,-0.545079451,-0.28410451,-0.155763917,0.11906309,-0.017877176,-0.011577149,0.207345229,0.173409404,-0.818429997,-0.154274756,0.085547442,CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
C14C11.6,0,0.609302864,0.446512003,1.137219005,1.19229558,1.216641983,0.424887269,0.574543307,0.072312558,0.782323313,0.706247987,0.744258141,0.507739624,1.705340832,0.515399502,1.073763987,C14C11.6,WBGene00003507,Sequence name for WBGene00003507(mut-14). History: N.A.
F25B4.5,0,0.546526727,0.35190407,1.166395357,1.275500632,1.239163799,0.473536329,0.697162026,0.388890382,0.555787838,0.361114253,0.435831383,0.432053885,1.770215567,0.750003646,0.650527292,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
F25B4.6,0,0.818013892,0.719863785,1.789923291,1.901203124,1.813877169,0.851023501,0.942358652,0.549901313,1.460760057,1.132061693,1.223995177,0.739562833,2.647347124,1.126881145,1.835500951,F25B4.6,WBGene00017769,Sequence name for WBGene00017769(hmgs-1). History: Renamed on 2005-03-17
K09H11.3,0,0.617593457,0.544713591,1.413182869,1.444391691,1.38911706,0.571462341,0.704718351,0.26900515,0.915498571,0.70104109,0.937421929,0.558951538,2.04222698,0.743077317,1.228195907,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
K09H11.11,0,-0.200408013,-0.199532775,-2.802027819,-2.680108752,-2.734691561,-0.408093816,-0.479404523,-0.263127415,0.730858048,0.755203648,0.959491316,-0.192330864,-3.951459066,-0.553334023,1.176062401,K09H11.11,WBGene00044541,Public name for WBGene00044541. History: N.A.
F26F12.7,0,0.620456124,0.494031159,1.420343285,1.437738289,1.364215645,0.299097955,0.515605497,-0.082284328,0.713221787,0.296664858,0.389753287,0.535955092,2.030495753,0.352219146,0.67308453,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
C10F3.1,0,0.638129146,0.421835468,1.239712239,1.373974931,1.329036532,0.141665232,0.367834204,-0.004042034,0.765708391,0.508135733,0.570837426,0.509735231,1.896049311,0.243073629,0.887104308,C10F3.1,WBGene00015677,Sequence name for WBGene00015677(cpg-4). History: N.A.
F29G9.5,0,0.538916532,0.444850183,1.442990551,1.368537899,1.379478075,0.183849261,0.42130133,-0.139580161,0.779412274,0.628402833,0.46092543,0.473091787,2.01544811,0.22389205,0.898674235,F29G9.5,WBGene00004502,Sequence name for WBGene00004502(rpt-2). History: N.A.
F29G9.1,0,0.180984772,0.279576091,-4.424543392,-4.378783306,-4.402073692,-0.683971243,-0.684409815,0.433010208,-1.260043112,-1.31401269,-0.753301524,0.221482958,-6.350455219,-0.449818296,-1.600120638,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
R01B10.5,0,0.59206529,0.440315027,1.14530228,1.323896205,1.283371535,0.461671374,0.570042666,0.388226527,1.060352193,0.90635732,0.717165255,0.496469988,1.804604719,0.682847071,1.290670939,R01B10.5,WBGene00019807,Sequence name for WBGene00019807(jamp-1). History: N.A.
Y38A10A.7,0,0.303392029,0.080977911,0.346269102,0.349441813,0.40411599,-0.524150041,-0.254635395,-0.942480916,0.705319572,0.752083792,0.299970616,0.184842869,0.528904941,-0.827754143,0.845118242,Y38A10A.7,WBGene00021392,Public name for WBGene00021392. History: N.A.
Y38A10A.6,0,0.251481358,0.079783211,-0.958839425,-0.737580237,-1.058769312,-2.351257493,-1.846623104,-2.258762744,0.446642009,0.312871983,0.133221167,0.159304584,-1.324965823,-3.10498911,0.429314862,Y38A10A.6,WBGene00021391,Sequence name for WBGene00021391(smut-1). History: N.A.
T05H4.14,0,1.103664749,1.016813733,2.037529381,2.014225313,2.056863338,0.98294502,1.245842932,0.344971451,1.108381947,0.7160427,0.84145159,1.019734597,2.937624314,1.237716642,1.282015476,T05H4.14,WBGene00001513,Sequence name for WBGene00001513(gad-1). History: N.A.
T05H4.1,0,0.094072377,0.160013062,-0.242103609,-0.180456351,-0.082266841,-1.320490775,-1.052301453,-1.508406829,0.454528876,0.215111361,0.783066934,0.122189268,-0.242770374,-1.866462211,0.698604477,T05H4.1,WBGene00020264,Sequence name for WBGene00020264(acl-8). History: N.A.
Y40G12A.2,0,-0.094761143,-0.139630875,-0.661460171,-0.510150187,-0.522993149,-2.002142564,-1.860951528,-2.030678721,0.450276319,0.571284835,0.695557129,-0.112718734,-0.814932025,-2.834305603,0.825759344,Y40G12A.2,WBGene00006722,Sequence name for WBGene00006722(ubh-2). History: N.A.
ZK1055.1,0,0.836143829,0.661890616,1.450660901,1.587313935,1.483759923,0.468926919,0.73285016,0.210139663,1.172331364,0.674220909,0.909877143,0.720402288,2.174494771,0.678988427,1.32556235,ZK1055.1,WBGene00001829,Sequence name for WBGene00001829(hcp-1). History: N.A.
ZK1055.7,0,-0.115710027,-0.150557333,-6.106368715,-6.197484212,-6.06539315,0.054106457,0.063151153,0.06417981,-3.272221739,-3.486103274,-3.106606029,-0.128047533,-8.833740073,0.087252955,-4.744029031,ZK1055.7,WBGene00022848,Public name for WBGene00022848. History: N.A.
T10H9.7b,0,-0.956692706,-0.332030791,0.914205409,1.500515024,0.82909823,0.239150364,0.386011435,-0.120459941,-0.226300463,-0.286372407,-0.894282957,-0.619744999,1.559947033,0.242710289,-0.676602731,T10H9.7b,WBGene00003298,Molecule name for WBGene00003298(mir-70). History: N.A.
ZC404.2,0,-0.444418109,-0.277138109,-3.088314622,-4.296391546,-3.80762554,0.184077676,0.027686684,0.071243684,-3.984713808,-4.293060809,-4.149952342,-0.346995192,-5.382373817,0.136098101,-5.976473351,ZC404.2,WBGene00043952,Public name for WBGene00043952. History: Killed on 2004-10-04; Resurrected on 2010-07-09
ZC404.9,0,0.442961814,0.366349495,1.172138227,1.2901838,1.242618892,0.197129669,0.443912776,0.168811099,0.904115752,0.65874355,0.735592135,0.389196471,1.781699964,0.389457231,1.105321497,ZC404.9,WBGene00022603,Sequence name for WBGene00022603(gck-2). History: N.A.
T15B7.15,0,-0.071792183,-0.098791624,-5.128918333,-5.22003383,-5.647558555,-3.995607757,-4.338271228,-4.553700574,-2.075971591,-2.202866466,-2.399445976,-0.082033471,-7.692695561,-6.197615706,-3.211575752,T15B7.15,WBGene00020527,Public name for WBGene00020527. History: N.A.
F20A1.9,0,0.291812082,0.117970034,0.132103461,0.174519357,-0.01005919,-1.368854776,-1.07328397,-1.585785129,1.39661144,1.522570976,0.912442088,0.197063542,0.142616958,-1.937021933,1.84262189,F20A1.9,WBGene00017620,Sequence name for WBGene00017620(tofu-2). History: N.A.
F09G2.4,0,0.541448106,0.377861063,0.923635986,0.96586677,0.906847381,-0.159614809,0.097745338,-0.562005355,0.412080014,0.195143315,0.173075952,0.44209426,1.344760158,-0.300020373,0.375244634,F09G2.4,WBGene00017313,Sequence name for WBGene00017313(cpsf-2). History: N.A.
F09G2.9,0,0.48415979,0.282015513,0.821437885,0.819662401,0.692665574,-0.179903812,0.018395435,-0.741626397,0.362243773,0.253266104,-0.063626691,0.368452437,1.122304144,-0.43431602,0.265399712,F09G2.9,WBGene00017317,Sequence name for WBGene00017317(attf-2). History: N.A.
F09G2.2,0,-0.376704692,-0.395308218,-0.843785499,-0.73892735,-0.793450898,-1.865433347,-1.706619626,-2.22084227,1.343278662,1.500454186,0.621731846,-0.371259732,-1.142693218,-2.785793746,1.666536243,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
F09G2.1,0,-0.55995562,-0.720668152,-7.454520981,-5.466194936,-5.958258182,-4.452489894,-4.024816546,-4.046089877,-2.847365084,-3.143592187,-2.531662823,-0.615849855,-9.078867437,-6.022480587,-4.098513915,F09G2.1,WBGene00017310,Public name for WBGene00017310. History: N.A.
