Gene Symbol,Ratio(endu-2_tm4977 vs. endu-2_GFP),log2FC,Input,Suggested Match,History
spp-23,2.45341,2.45341,spp-23,WBGene00021335,Public name for WBGene00021335. History: N.A.
ifp-1,2.44977,2.44977,ifp-1,WBGene00002067,Public name for WBGene00002067. History: N.A.
T10B5.7,2.43766,2.43766,T10B5.7,WBGene00020393,Public name for WBGene00020393. History: N.A.
gst-4,2.42556,2.42556,gst-4,WBGene00001752,Public name for WBGene00001752. History: N.A.
ugt-63,2.39395,2.39395,ugt-63,WBGene00015449,Public name for WBGene00015449. History: N.A.
K03H6.2,2.3876,2.3876,K03H6.2,WBGene00019368,Sequence name for WBGene00019368(txt-4). History: N.A.
fbxa-27,2.37794,2.37794,fbxa-27,WBGene00022333,Public name for WBGene00022333. History: N.A.
ppat-1,2.3756,2.3756,ppat-1,WBGene00011407,Public name for WBGene00011407. History: N.A.
ZC239.6,2.37163,2.37163,ZC239.6,WBGene00022569,Public name for WBGene00022569. History: N.A.
T12B5.15,2.36022,2.36022,T12B5.15,WBGene00050914,Public name for WBGene00050914. History: N.A.
C44B7.11,2.34409,2.34409,C44B7.11,WBGene00016631,Public name for WBGene00016631. History: N.A.
F45E1.4,2.34247,2.34247,F45E1.4,WBGene00018465,Public name for WBGene00018465. History: N.A.
M163.15,2.33959,2.33959,M163.15,WBGene00045371,Public name for WBGene00045371. History: N.A.
ZK228.4,2.33926,2.33926,ZK228.4,WBGene00013947,Public name for WBGene00013947. History: N.A.
C14A4.9,2.32767,2.32767,C14A4.9,WBGene00007560,Public name for WBGene00007560. History: N.A.
C09B8.4,2.31696,2.31696,C09B8.4,WBGene00015623,Public name for WBGene00015623. History: N.A.
ndg-4,2.31344,2.31344,ndg-4,WBGene00003577,Public name for WBGene00003577. History: N.A.
C11H1.9,2.30751,2.30751,C11H1.9,WBGene00023500,Public name for WBGene00023500. History: N.A.
D1054.8,2.30057,2.30057,D1054.8,WBGene00008375,Public name for WBGene00008375. History: N.A.
hum-8,2.29999,2.29999,hum-8,WBGene00002041,Public name for WBGene00002041. History: N.A.
F10D7.3,2.29732,2.29732,F10D7.3,WBGene00017340,Public name for WBGene00017340. History: N.A.
aagr-1,2.29587,2.29587,aagr-1,WBGene00017071,Public name for WBGene00017071. History: N.A.
C30G12.2,2.29452,2.29452,C30G12.2,WBGene00016274,Public name for WBGene00016274. History: N.A.
acl-7,2.29293,2.29293,acl-7,WBGene00012911,Public name for WBGene00012911. History: N.A.
pgp-9,2.29135,2.29135,pgp-9,WBGene00004003,Public name for WBGene00004003. History: N.A.
plc-2,2.2903,2.2903,plc-2,WBGene00004037,Public name for WBGene00004037. History: N.A.
lbp-5,2.29029,2.29029,lbp-5,WBGene00002257,Public name for WBGene00002257. History: N.A.
amt-1,2.28738,2.28738,amt-1,WBGene00000133,Public name for WBGene00000133. History: N.A.
bus-8,2.28378,2.28378,bus-8,WBGene00044623,"Public name for WBGene00044623. History: Split into T23F2.13(WBGene00303081). History of WBGene00044623: Renamed on 2008-04-18; Renamed on 2008-04-18; Split into ""WBGene00303081"" on 2018-03-02"
F38B7.2,2.27878,2.27878,F38B7.2,WBGene00009533,Public name for WBGene00009533. History: N.A.
ifd-1,2.27627,2.27627,ifd-1,WBGene00002057,Public name for WBGene00002057. History: N.A.
nhr-92,2.27609,2.27609,nhr-92,WBGene00003682,Public name for WBGene00003682. History: N.A.
Y71H2AM.15,2.27496,2.27496,Y71H2AM.15,WBGene00022180,Public name for WBGene00022180. History: N.A.
wrt-4,2.26773,2.26773,wrt-4,WBGene00006950,Public name for WBGene00006950. History: N.A.
F53B3.6,2.26629,2.26629,F53B3.6,WBGene00018744,Public name for WBGene00018744. History: N.A.
F08A8.4,2.26136,2.26136,F08A8.4,WBGene00008567,Sequence name for WBGene00008567(acox-1.4). History: Renamed on 2017-01-05
pyk-2,2.25802,2.25802,pyk-2,WBGene00014001,Public name for WBGene00014001. History: N.A.
tap-1,2.25754,2.25754,tap-1,WBGene00006524,Public name for WBGene00006524. History: N.A.
skpo-2,2.25613,2.25613,skpo-2,WBGene00015841,Public name for WBGene00015841. History: N.A.
T15B12.1,2.25471,2.25471,T15B12.1,WBGene00020530,Public name for WBGene00020530. History: N.A.
dhs-2,2.25242,2.25242,dhs-2,WBGene00000966,Public name for WBGene00000966. History: N.A.
nnt-1,2.25152,2.25152,nnt-1,WBGene00003778,Public name for WBGene00003778. History: N.A.
T16G12.1,2.25028,2.25028,T16G12.1,WBGene00011803,Public name for WBGene00011803. History: N.A.
pgp-1,2.23775,2.23775,pgp-1,WBGene00003995,Public name for WBGene00003995. History: N.A.
K02E7.6,2.22944,2.22944,K02E7.6,WBGene00019311,Public name for WBGene00019311. History: N.A.
F10A3.4,2.22706,2.22706,F10A3.4,WBGene00008634,Public name for WBGene00008634. History: N.A.
Y43F4A.1,2.22692,2.22692,Y43F4A.1,WBGene00012796,Public name for WBGene00012796. History: N.A.
odc-1,2.22353,2.22353,odc-1,WBGene00003844,Public name for WBGene00003844. History: N.A.
acd-3,2.22235,2.22235,acd-3,WBGene00007775,Public name for WBGene00007775. History: Renamed on 2012-02-24
B0403.3,2.21943,2.21943,B0403.3,WBGene00015167,Public name for WBGene00015167. History: N.A.
ugt-6,2.21569,2.21569,ugt-6,WBGene00013904,Public name for WBGene00013904. History: N.A.
ftn-1,2.2152,2.2152,ftn-1,WBGene00001500,Public name for WBGene00001500. History: N.A.
F25B4.8,2.21504,2.21504,F25B4.8,WBGene00017771,Public name for WBGene00017771. History: N.A.
asm-2,2.20995,2.20995,asm-2,WBGene00000212,Public name for WBGene00000212. History: N.A.
tsp-10,2.20816,2.20816,tsp-10,WBGene00006636,Public name for WBGene00006636. History: N.A.
dod-17,2.20471,2.20471,dod-17,WBGene00010745,Public name for WBGene00010745. History: N.A.
pcp-2,2.20337,2.20337,pcp-2,WBGene00003957,Public name for WBGene00003957. History: N.A.
W06A7.4,2.20271,2.20271,W06A7.4,WBGene00012293,Public name for WBGene00012293. History: N.A.
F58G6.7,2.20054,2.20054,F58G6.7,WBGene00010277,Public name for WBGene00010277. History: N.A.
C39B5.5,2.1872,2.1872,C39B5.5,WBGene00016523,"Public name for WBGene00016523. History: Split into C39B5.14(WBGene00189950). History of WBGene00016523: Split into ""WBGene00189950"" on 2009-04-15"
spp-4,2.18312,2.18312,spp-4,WBGene00004989,Public name for WBGene00004989. History: N.A.
C46H11.2,2.17296,2.17296,C46H11.2,WBGene00016728,Public name for WBGene00016728. History: N.A.
F18E3.12,2.17181,2.17181,F18E3.12,WBGene00045275,Public name for WBGene00045275. History: N.A.
flr-1,2.16933,2.16933,flr-1,WBGene00001465,Public name for WBGene00001465. History: N.A.
parg-2,2.16763,2.16763,parg-2,WBGene00004052,Public name for WBGene00004052. History: Renamed on 2014-11-18
Y54G2A.10,2.16565,2.16565,Y54G2A.10,WBGene00021875,Public name for WBGene00021875. History: N.A.
poml-2,2.16501,2.16501,poml-2,WBGene00017089,Public name for WBGene00017089. History: N.A.
C23H4.3,2.15968,2.15968,C23H4.3,WBGene00007692,Sequence name for WBGene00007692(cest-9.1). History: N.A.
pgp-3,2.15836,2.15836,pgp-3,WBGene00003997,Public name for WBGene00003997. History: N.A.
nas-20,2.15751,2.15751,nas-20,WBGene00003539,Public name for WBGene00003539. History: N.A.
C35A5.3,2.15363,2.15363,C35A5.3,WBGene00007947,"Public name for WBGene00007947. History: Split into C35A5.11(WBGene00044024). History of WBGene00007947: Split into ""WBGene00044024"" on 2004-12-13"
ZC374.2,2.15272,2.15272,ZC374.2,WBGene00013872,Public name for WBGene00013872. History: N.A.
C18B2.5,2.15196,2.15196,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
hgo-1,2.15017,2.15017,hgo-1,WBGene00001843,Public name for WBGene00001843. History: N.A.
C30H6.5,2.13917,2.13917,C30H6.5,WBGene00007823,Public name for WBGene00007823. History: N.A.
Y73E7A.8,2.13796,2.13796,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
pud-3,2.13499,2.13499,pud-3,WBGene00017501,Public name for WBGene00017501. History: N.A.
F56A4.13,2.13457,2.13457,F56A4.13,WBGene00195293,Public name for WBGene00195293. History: N.A.
B0035.13,2.13401,2.13401,B0035.13,WBGene00007112,Public name for WBGene00007112. History: N.A.
T03G6.1,2.13204,2.13204,T03G6.1,WBGene00020194,Public name for WBGene00020194. History: N.A.
F35E12.9,2.1316,2.1316,F35E12.9,WBGene00009433,Public name for WBGene00009433. History: N.A.
ZK1025.2,2.13138,2.13138,ZK1025.2,WBGene00014182,Public name for WBGene00014182. History: N.A.
F55C5.13,2.13022,2.13022,F55C5.13,WBGene00196123,Public name for WBGene00196123. History: N.A.
sym-2,2.12881,2.12881,sym-2,WBGene00006367,Public name for WBGene00006367. History: N.A.
twk-34,2.12463,2.12463,twk-34,WBGene00006686,Public name for WBGene00006686. History: N.A.
ptr-11,2.12268,2.12268,ptr-11,WBGene00004225,Public name for WBGene00004225. History: N.A.
acox-1.1,2.11643,2.11643,acox-1.1,WBGene00008564,Public name for WBGene00008564. History: Renamed on 2017-01-05
F17C11.6,2.11056,2.11056,F17C11.6,WBGene00008917,Public name for WBGene00008917. History: N.A.
tag-147(ivns-1),2.10409,2.10409,,,
nid-1,2.10401,2.10401,nid-1,WBGene00003738,Public name for WBGene00003738. History: N.A.
R09H10.5,2.10252,2.10252,R09H10.5,WBGene00011182,Public name for WBGene00011182. History: N.A.
atgp-1,2.10226,2.10226,atgp-1,WBGene00000224,Public name for WBGene00000224. History: Renamed on 2008-02-28
ZK1025.4,2.10039,2.10039,ZK1025.4,WBGene00014184,Public name for WBGene00014184. History: N.A.
alh-12,2.09835,2.09835,alh-12,WBGene00000118,Public name for WBGene00000118. History: N.A.
mboa-1,2.09645,2.09645,mboa-1,WBGene00007174,Public name for WBGene00007174. History: N.A.
cht-4,2.0954,2.0954,cht-4,WBGene00021252,Public name for WBGene00021252. History: N.A.
F44E2.4,2.09391,2.09391,F44E2.4,WBGene00018418,Public name for WBGene00018418. History: N.A.
C39D10.8,2.0939,2.0939,C39D10.8,WBGene00016535,Public name for WBGene00016535. History: N.A.
srv-1,2.09229,2.09229,srv-1,WBGene00005712,Public name for WBGene00005712. History: N.A.
Y102A11A.5,2.09195,2.09195,Y102A11A.5,WBGene00022415,Public name for WBGene00022415. History: N.A.
T26C5.2,2.09017,2.09017,T26C5.2,WBGene00012032,Public name for WBGene00012032. History: N.A.
M03F4.6,2.08516,2.08516,M03F4.6,WBGene00019759,Public name for WBGene00019759. History: Renamed on 2005-03-17
C40H1.7,2.08449,2.08449,C40H1.7,WBGene00008042,Public name for WBGene00008042. History: N.A.
ZC123.1,2.08289,2.08289,ZC123.1,WBGene00022517,Public name for WBGene00022517. History: N.A.
ZK1193.3,2.08187,2.08187,ZK1193.3,WBGene00022858,"Public name for Dead gene WBGene00022859. History of WBGene00022859: Merged into ""WBGene00022858"" on 2017-04-28"
F13B12.3,2.08178,2.08178,F13B12.3,WBGene00008731,Public name for WBGene00008731. History: N.A.
C05E7.1,2.08068,2.08068,C05E7.1,WBGene00007343,Public name for WBGene00007343. History: N.A.
fshr-1,2.07886,2.07886,fshr-1,WBGene00008239,Public name for WBGene00008239. History: N.A.
W04G3.5,2.0775,2.0775,W04G3.5,WBGene00012258,Public name for WBGene00012258. History: N.A.
Y47G6A.33,2.07637,2.07637,Y47G6A.33,WBGene00045399,Public name for WBGene00045399. History: N.A.
Y43F8A.5,2.07563,2.07563,Y43F8A.5,WBGene00012811,Sequence name for WBGene00012811(slcr-46.2). History: N.A.
Y119D3B.21,2.07155,2.07155,Y119D3B.21,WBGene00022497,Public name for WBGene00022497. History: N.A.
F01G10.9,2.06984,2.06984,F01G10.9,WBGene00008511,Public name for WBGene00008511. History: N.A.
F23H12.5,2.06787,2.06787,F23H12.5,WBGene00009094,Public name for WBGene00009094. History: N.A.
Y56A3A.6,2.06632,2.06632,Y56A3A.6,WBGene00013227,Public name for WBGene00013227. History: N.A.
spds-1,2.06597,2.06597,spds-1,WBGene00012909,Public name for WBGene00012909. History: N.A.
F09B12.3,2.06304,2.06304,F09B12.3,WBGene00008607,Public name for WBGene00008607. History: N.A.
F45D11.1,2.06287,2.06287,F45D11.1,WBGene00018448,Public name for WBGene00018448. History: N.A.
pho-13,2.05884,2.05884,pho-13,WBGene00008560,Public name for WBGene00008560. History: N.A.
ptr-24,2.05594,2.05594,ptr-24,WBGene00004238,Public name for WBGene00004238. History: N.A.
clec-178,2.05258,2.05258,clec-178,WBGene00020585,Public name for WBGene00020585. History: N.A.
C45B2.1,2.05041,2.05041,C45B2.1,WBGene00016658,Public name for WBGene00016658. History: N.A.
clec-227,2.05038,2.05038,clec-227,WBGene00008593,Public name for WBGene00008593. History: N.A.
ugt-65,2.04874,2.04874,ugt-65,WBGene00008583,"Public name for WBGene00008583. History: Split into clec-184(WBGene00023502). History of WBGene00008583: Split into ""WBGene00023502"" on 2004-08-26"
F08F1.3,2.04615,2.04615,F08F1.3,WBGene00017257,Public name for WBGene00017257. History: N.A.
F41D9.2,2.0444,2.0444,F41D9.2,WBGene00018282,Public name for WBGene00018282. History: N.A.
mlt-10,2.04267,2.04267,mlt-10,WBGene00015646,Public name for WBGene00015646. History: N.A.
hprt-1,2.04038,2.04038,hprt-1,WBGene00013690,Public name for WBGene00013690. History: N.A.
smp-2,2.04023,2.04023,smp-2,WBGene00004890,Public name for WBGene00004890. History: N.A.
nspc-18,2.03999,2.03999,nspc-18,WBGene00008358,Public name for WBGene00008358. History: N.A.
H06A10.1,2.03762,2.03762,H06A10.1,WBGene00010368,Public name for WBGene00010368. History: N.A.
K11D9.3,2.03663,2.03663,K11D9.3,WBGene00010772,Public name for WBGene00010772. History: N.A.
dpy-8,2.03575,2.03575,dpy-8,WBGene00001070,Public name for WBGene00001070. History: N.A.
F19H8.2,2.03571,2.03571,F19H8.2,WBGene00008963,Public name for WBGene00008963. History: N.A.
pmp-2,2.03478,2.03478,pmp-2,WBGene00004059,Public name for WBGene00004059. History: N.A.
C14H10.3,2.03385,2.03385,C14H10.3,WBGene00007593,Public name for WBGene00007593. History: N.A.
pud-1.2,2.03213,2.03213,pud-1.2,WBGene00021236,Public name for WBGene00021236. History: N.A.
F35D2.1,2.03012,2.03012,F35D2.1,WBGene00018039,"Public name for WBGene00018039. History: Split into F35D2.6(WBGene00194916). History of WBGene00018039: Split into ""WBGene00194916"" on 2010-01-20"
clec-160,2.02842,2.02842,clec-160,WBGene00017322,Public name for WBGene00017322. History: N.A.
ugt-48,2.02839,2.02839,ugt-48,WBGene00015965,Public name for WBGene00015965. History: N.A.
C49A9.2,2.02761,2.02761,C49A9.2,WBGene00016756,Public name for WBGene00016756. History: N.A.
F45D11.14,2.02043,2.02043,F45D11.14,WBGene00018459,Public name for WBGene00018459. History: N.A.
C24B5.4,2.01885,2.01885,C24B5.4,WBGene00016046,Public name for WBGene00016046. History: N.A.
ifc-1,2.01875,2.01875,ifc-1,WBGene00002055,Public name for WBGene00002055. History: N.A.
cuti-1,2.01848,2.01848,cuti-1,WBGene00022591,Public name for WBGene00022591. History: Renamed on 2015-03-05
cysl-1,2.01616,2.01616,cysl-1,WBGene00007653,Public name for WBGene00007653. History: N.A.
F22F4.1,2.01551,2.01551,F22F4.1,WBGene00017716,Sequence name for WBGene00017716(sups-1). History: N.A.
cpt-6,2.01433,2.01433,cpt-6,WBGene00020911,Public name for WBGene00020911. History: N.A.
W03F11.5,2.01142,2.01142,W03F11.5,WBGene00021008,Public name for WBGene00021008. History: N.A.
R10H1.1,2.01124,2.01124,R10H1.1,WBGene00019998,Public name for WBGene00019998. History: N.A.
B0302.5,2.00795,2.00795,B0302.5,WBGene00015122,Public name for WBGene00015122. History: N.A.
nrfl-1,2.0073,2.0073,nrfl-1,WBGene00006438,Public name for WBGene00006438. History: Renamed on 2012-02-07; Renamed on 2012-07-20
acdh-2,2.00662,2.00662,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
F43C1.5,2.0058,2.0058,F43C1.5,WBGene00009649,Public name for WBGene00009649. History: N.A.
F33D4.6,2.00512,2.00512,F33D4.6,WBGene00017998,Public name for WBGene00017998. History: N.A.
C52D10.3,2.0042,2.0042,C52D10.3,WBGene00016877,Public name for WBGene00016877. History: N.A.
