gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
F28D9.4b,4,"21UR-15746,21UR-15738,21UR-15745,21UR-15973",6,"21UR-15745,21UR-15728,21UR-15982,21UR-15738,21UR-15717",11,"21UR-15789,21UR-15944,21UR-12681,21UR-11360,21UR-2821,21UR-11382,21UR-15893,21UR-15825,21UR-13797,21UR-12679,21UR-15824",47,"21UR-12250,21UR-7505,21UR-5439,21UR-9547,21UR-8205,21UR-8072,21UR-8974,21UR-8803,21UR-2057,21UR-7761,21UR-12936,21UR-11429,21UR-11821,21UR-2018,21UR-12644,21UR-7504,21UR-13638,21UR-15728,21UR-11296,21UR-12856,21UR-5589,21UR-14636,21UR-15903,21UR-13787,21UR-15093,21UR-15346,21UR-7884,21UR-13744,21UR-7281,21UR-11953,21UR-15757,21UR-15733,21UR-15738,21UR-10502,21UR-14764,21UR-2632,21UR-15062,21UR-15790,21UR-11744,21UR-12600,21UR-12591,21UR-14290,21UR-9190,21UR-15890,21UR-8814",164,8.0,1768,43,,,
F28D9.3,0,,0,,0,,1,21UR-8072,132,3.0,1458,24,F28D9.3,,"Public name for Dead gene WBGene00014747. History of WBGene00014747: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y116F11B.10,0,,0,,0,,4,"21UR-10494,21UR-6397,21UR-7390,21UR-12604",176,16.0,1441,111,Y116F11B.10,WBGene00013826,Public name for WBGene00013826. History: N.A.
K03D7.1,0,,0,,0,,14,"21UR-15809,21UR-12649,21UR-7986,21UR-10530,21UR-13674,21UR-7389,21UR-8259,21UR-2253,21UR-7486,21UR-15595,21UR-12679",87,1.0,785,22,K03D7.1,,Sequence name for Suppressed gene WBGene00014795. Molecular name for Suppressed gene WBGene00014795. Public name for Suppressed gene WBGene00014795. History of WBGene00014795: N.A.. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y75B8A.41,0,,0,,1,21UR-9641,2,"21UR-256,21UR-6697",65,0.0,186,1,Y75B8A.41,WBGene00044000,Public name for WBGene00044000. History: N.A.
F54D10.6,0,,0,,0,,6,"21UR-12855,21UR-11319,21UR-13956,21UR-7757,21UR-12230,21UR-14101",46,0.0,300,1,F54D10.6,WBGene00018807,Sequence name for WBGene00018807(fbxa-146). History: N.A.
C25G4.9,0,,0,,0,,1,21UR-1799,45,0.0,864,8,C25G4.9,,"Public name for Dead gene WBGene00014687. History of WBGene00014687: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
M117.5,0,,0,,0,,2,"21UR-9795,21UR-7981",60,3.0,324,30,M117.5,WBGene00010921,Sequence name for WBGene00010921(fbxb-4). History: N.A.
B0047.5,0,,0,,0,,2,"21UR-2084,21UR-12980",44,1.0,131,4,B0047.5,WBGene00015016,Sequence name for WBGene00015016(bath-14). History: N.A.
B0344.1,0,,0,,0,,2,"21UR-629,21UR-4673",26,0.0,77,0,B0344.1,WBGene00023226,Public name for WBGene00023226. History: N.A.
F23D12.9,0,,0,,0,,1,21UR-1451,26,0.0,75,0,F23D12.9,WBGene00044217,Public name for WBGene00044217. History: N.A.
C01G6.10,1,21UR-8602,0,,0,,3,"21UR-8474,21UR-3329,21UR-9263",24,0.0,568,1,C01G6.10,WBGene00014663,Public name for WBGene00014663. History: N.A.
R13D11.5,0,,1,21UR-15899,1,21UR-15738,12,"21UR-2270,21UR-13896,21UR-15878,21UR-8945,21UR-13228,21UR-9988,21UR-14908,21UR-13346,21UR-8959,21UR-15745,21UR-8012,21UR-12026",23,0.0,43,2,R13D11.5,WBGene00020059,Sequence name for WBGene00020059(srab-15). History: N.A.
Y45F10B.7,0,,0,,0,,4,"21UR-6595,21UR-15905,21UR-629,21UR-4673",22,0.0,44,0,Y45F10B.7,,"Public name for Dead gene WBGene00014900. History of WBGene00014900: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T09F5.12,0,,0,,0,,2,"21UR-3359,21UR-336",114,37.0,2068,1173,T09F5.12,WBGene00014836,Public name for WBGene00014836. History: N.A.
ZC47.10,0,,0,,2,"21UR-15733,21UR-15855",4,"21UR-12681,21UR-14636,21UR-11280,21UR-15760",30,1.0,32,1,ZC47.10,WBGene00013842,Sequence name for WBGene00013842(fbxa-34). History: N.A.
Y50E8A.14,0,,0,,0,,3,"21UR-7040,21UR-1364,21UR-3131",34,2.0,859,4,Y50E8A.14,WBGene00013056,Public name for WBGene00013056. History: N.A.
T06A10.2,0,,0,,0,,1,21UR-8279,19,0.0,141,4,T06A10.2,WBGene00020285,Public name for WBGene00020285. History: N.A.
K07E8.12,0,,1,21UR-15899,5,"21UR-15878,21UR-15946,21UR-15892,21UR-15808,21UR-15735",13,"21UR-11222,21UR-7073,21UR-12148,21UR-5586,21UR-8408,21UR-12644,21UR-13103,21UR-11319,21UR-11939,21UR-4933,21UR-9271,21UR-15788",32,2.0,34,3,K07E8.12,WBGene00005556,Sequence name for WBGene00005556(sri-44). History: N.A.
K03D3.13,2,"21UR-15575,21UR-9320",0,,2,"21UR-9114,21UR-15892",11,"21UR-5509,21UR-1044,21UR-2363,21UR-15892,21UR-1560,21UR-15993,21UR-8810,21UR-8892,21UR-15788,21UR-14290",119,46.0,3572,1839,K03D3.13,WBGene00044670,Sequence name for WBGene00044670(rac-3). History: N.A.
W09C5.3,0,,0,,0,,2,"21UR-11207,21UR-13374",34,3.0,481,18,W09C5.3,WBGene00014858,Public name for WBGene00014858. History: N.A.
F59H5.3,0,,0,,0,,2,"21UR-7787,21UR-3117",15,0.0,212,3,F59H5.3,WBGene00019131,Sequence name for WBGene00019131(bath-12). History: N.A.
Y102A5C.11,0,,0,,0,,1,21UR-11775,15,0.0,111,1,Y102A5C.11,WBGene00014956,Public name for WBGene00014956. History: N.A.
Y102A5C.37,0,,0,,0,,1,21UR-11775,15,0.0,24,0,Y102A5C.37,WBGene00045290,Public name for WBGene00045290. History: N.A.
Y102A5C.3,0,,0,,1,21UR-13785,4,"21UR-9907,21UR-7298,21UR-9487,21UR-2544",14,0.0,84,3,Y102A5C.3,WBGene00013612,Sequence name for WBGene00013612(fbxa-207). History: N.A.
C44C3.4,1,21UR-14769,0,,0,,3,"21UR-10565,21UR-10905,21UR-7097",12,0.0,12,0,C44C3.4,WBGene00005307,Sequence name for WBGene00005307(srh-86). History: N.A.
Y105C5A.27,10,"21UR-15840,21UR-8757,21UR-3443,21UR-1364,21UR-15778,21UR-7999,21UR-1321,21UR-11031,21UR-15922",3,"21UR-7776,21UR-1897,21UR-15922",2,"21UR-15738,21UR-15745",5,"21UR-15778,21UR-1897,21UR-15986,21UR-2521,21UR-12664",43,10.0,54,11,Y105C5A.27,WBGene00013639,"Public name for Dead gene WBGene00044740. History of WBGene00044740: Merged into ""WBGene00013639"" on 2010-02-23"
F55H2.4,0,,0,,0,,1,21UR-4003,18,1.0,413,57,F55H2.4,WBGene00003067,Sequence name for WBGene00003067(lrg-1). History: N.A.
T07C12.3,0,,0,,0,,7,"21UR-7681,21UR-10847,21UR-11770,21UR-10797,21UR-7870,21UR-15735,21UR-8424",14,0.33,51,2,T07C12.3,WBGene00005620,Sequence name for WBGene00005620(srj-35). History: N.A.
K08E7.10,0,,0,,2,"21UR-5367,21UR-13023",0,,9,0.0,384,0,K08E7.10,WBGene00044907,Public name for WBGene00044907. History: N.A.
Y40H7A.7,0,,0,,0,,4,"21UR-766,21UR-15825,21UR-2842,21UR-11384",9,0.0,335,61,Y40H7A.7,WBGene00012745,Public name for WBGene00012745. History: N.A.
K01D12.2,0,,0,,0,,3,"21UR-5269,21UR-1465,21UR-15449",8,0.0,15,0,K01D12.2,,Sequence name for Suppressed gene WBGene00010462. Molecular name for Suppressed gene WBGene00010462. Public name for Suppressed gene WBGene00010462. History of WBGene00010462: Killed on 2012-07-16; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y52B11A.11,5,"21UR-15780,21UR-15864",6,"21UR-15864,21UR-15780",7,"21UR-15864,21UR-15761,21UR-15742,21UR-15825,21UR-15888,21UR-15762",8,"21UR-15780,21UR-13077,21UR-12390,21UR-7936,21UR-14227,21UR-9304,21UR-10866",8,0.0,146,6,Y52B11A.11,WBGene00014914,Public name for WBGene00014914. History: N.A.
ZK250.10,0,,0,,0,,3,"21UR-6949,21UR-9773,21UR-7132",8,0.0,71,1,ZK250.10,WBGene00022693,Public name for WBGene00022693. History: N.A.
Y53C10A.1,0,,0,,0,,3,"21UR-8243,21UR-11873,21UR-3683",7,0.0,44,4,Y53C10A.1,WBGene00014915,Public name for WBGene00014915. History: N.A.
Y38C1AA.13,1,21UR-3928,2,"21UR-4256,21UR-15870",2,"21UR-11821,21UR-11267",10,"21UR-10031,21UR-9117,21UR-9907,21UR-13742,21UR-11814,21UR-5509,21UR-15971,21UR-10404,21UR-8621,21UR-12591",19,3.0,34,11,Y38C1AA.13,WBGene00044736,"Sequence name for WBGene00044736(gfrp-1). History: Split into coa-1(WBGene00195063). History of WBGene00044736: Split into ""WBGene00195063"" on 2010-03-24"
Y48G1BM.2,0,,0,,0,,8,"21UR-6546,21UR-15217,21UR-9364,21UR-15902,21UR-9746,21UR-13048,21UR-14858,21UR-15515",15,2.0,225,56,Y48G1BM.2,WBGene00021668,Public name for WBGene00021668. History: N.A.
T23D5.5,0,,3,"21UR-2512,21UR-15799,21UR-15781",2,"21UR-7313,21UR-15712",5,"21UR-9916,21UR-14218,21UR-3557,21UR-3237,21UR-11262",6,0.0,535,353,T23D5.5,WBGene00014844,Public name for WBGene00014844. History: N.A.
T27E7.10,2,"21UR-8966,21UR-13971",0,,0,,0,,6,0.0,13,0,T27E7.10,WBGene00044268,Public name for WBGene00044268. History: N.A.
Y73B3B.5,0,,4,"21UR-15738,21UR-15825,21UR-15745,21UR-15762",4,"21UR-6325,21UR-6157,21UR-15730,21UR-9641",39,"21UR-15738,21UR-10133,21UR-15745,21UR-15890,21UR-4760,21UR-7313,21UR-11207,21UR-9235,21UR-15725,21UR-7063,21UR-12382,21UR-15946,21UR-15742,21UR-2586,21UR-14316,21UR-6609,21UR-5776,21UR-5463,21UR-8752,21UR-12765,21UR-9807,21UR-5478,21UR-15735,21UR-5849,21UR-11516,21UR-14105,21UR-11320,21UR-13004,21UR-11278,21UR-15888,21UR-14097,21UR-12640,21UR-9325",6,0.0,25,6,Y73B3B.5,WBGene00022227,Public name for WBGene00022227. History: N.A.
D1065.2,2,"21UR-15761,21UR-15762",1,21UR-15825,1,21UR-12708,24,"21UR-15723,21UR-3110,21UR-7859,21UR-15808,21UR-12084,21UR-12618,21UR-12708,21UR-15488,21UR-7409,21UR-9063,21UR-10699,21UR-13477,21UR-12534,21UR-8662,21UR-15768,21UR-8443,21UR-5159,21UR-15892,21UR-10808,21UR-14324,21UR-15515,21UR-6132,21UR-15903,21UR-10866",17,3.0,18,5,D1065.2,WBGene00023264,Public name for WBGene00023264. History: N.A.
F57G4.7,0,,0,,0,,7,"21UR-6041,21UR-14233,21UR-13834,21UR-13798,21UR-725,21UR-9807,21UR-8725",11,1.0,41,9,F57G4.7,,"Sequence name for Suppressed gene WBGene00014774. Molecular name for Suppressed gene WBGene00014774. Public name for Suppressed gene WBGene00014774. History of WBGene00014774: Killed on 2010-07-09; Suppressed on 2013-07-30. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
Y102A5C.20,0,,0,,0,,9,"21UR-12991,21UR-15899,21UR-15878,21UR-12146,21UR-2066,21UR-7425,21UR-5312,21UR-11951,21UR-1281",11,1.0,11,1,Y102A5C.20,WBGene00013624,Sequence name for WBGene00013624(srbc-80). History: N.A.
F42A6.3,0,,0,,1,21UR-6226,8,"21UR-10580,21UR-8459,21UR-6595,21UR-10758,21UR-14925,21UR-3921,21UR-12679,21UR-799",5,0.0,463,91,F42A6.3,WBGene00018325,Public name for WBGene00018325. History: N.A.
Y46G5A.6,0,,1,21UR-15723,0,,1,21UR-10031,5,0.0,115,6,Y46G5A.6,WBGene00012898,"Public name for WBGene00012898. History: Split into Y46G5A.42(WBGene00077635), Y46G5A.43(WBGene00077636). History of WBGene00012898: Renamed on 2005-03-17; Split into ""WBGene00077636"" on 2008-02-22"
Y59A8B.5,0,,1,21UR-15782,0,,1,21UR-8509,5,0.0,12,0,Y59A8B.5,WBGene00005511,Sequence name for WBGene00005511(srh-307). History: N.A.
Y61A9LA.5,0,,1,21UR-14304,0,,1,21UR-7834,5,0.0,27,7,Y61A9LA.5,WBGene00022017,Public name for WBGene00022017. History: N.A.
Y39E4B.14,0,,0,,0,,8,"21UR-1460,21UR-7397,21UR-11956,21UR-11770,21UR-7506,21UR-9558,21UR-11776,21UR-5958",29,10.0,2742,1259,Y39E4B.14,WBGene00014884,Public name for WBGene00014884. History: N.A.
K08F11.6,0,,1,21UR-8112,1,21UR-1948,3,"21UR-14069,21UR-4710,21UR-11725",10,1.0,56,6,K08F11.6,WBGene00023323,Public name for WBGene00023323. History: N.A.
C33A12.16,1,21UR-15715,0,,0,,2,"21UR-13982,21UR-13252",14,3.0,37,5,C33A12.16,WBGene00007889,Public name for WBGene00007889. History: N.A.
F11D11.13,6,"21UR-15780,21UR-15715",8,"21UR-15864,21UR-15780",5,"21UR-15864,21UR-15780",6,"21UR-15780,21UR-15864,21UR-11816,21UR-13982",14,3.0,40,5,F11D11.13,WBGene00045363,Public name for WBGene00045363. History: N.A.
ZK1225.10,1,21UR-15715,0,,0,,3,"21UR-11242,21UR-3699,21UR-10501",14,3.0,38,5,ZK1225.10,WBGene00044714,Public name for WBGene00044714. History: N.A.
AC8.1,2,"21UR-15741,21UR-15827",0,,8,"21UR-5949,21UR-15985,21UR-15860,21UR-15829,21UR-6157,21UR-15855,21UR-15986,21UR-11516",36,"21UR-15738,21UR-15909,21UR-10076,21UR-10547,21UR-9547,21UR-11949,21UR-7184,21UR-13744,21UR-15905,21UR-9587,21UR-15735,21UR-7063,21UR-9564,21UR-15809,21UR-3913,21UR-7841,21UR-12550,21UR-15417,21UR-15946,21UR-13738,21UR-15728,21UR-10886,21UR-15971,21UR-12650,21UR-8133,21UR-5472,21UR-15745,21UR-5582,21UR-11319,21UR-8211,21UR-15959,21UR-11068",18,5.0,183,16,AC8.1,WBGene00004054,Public name for WBGene00004054. History: Renamed on 2014-12-04
B0250.7,0,,0,,2,"21UR-10833,21UR-4993",8,"21UR-10500,21UR-7479,21UR-5542,21UR-9732,21UR-11303,21UR-3358,21UR-91,21UR-7699",4,0.0,76,6,B0250.7,WBGene00007124,Public name for WBGene00007124. History: N.A.
C08B6.15,0,,0,,0,,1,21UR-9604,4,0.0,13,0,C08B6.15,WBGene00077449,Public name for WBGene00077449. History: N.A.
C23H5.5,0,,0,,0,,3,"21UR-15962,21UR-11765,21UR-8410",4,0.0,4,0,C23H5.5,WBGene00023241,Public name for WBGene00023241. History: N.A.
C28D4.11,0,,0,,0,,5,"21UR-10810,21UR-6501,21UR-6963,21UR-6171,21UR-3455",4,0.0,15,0,C28D4.11,WBGene00014689,Public name for WBGene00014689. History: N.A.
R04D3.11,1,21UR-15712,1,21UR-3237,0,,6,"21UR-2512,21UR-14550,21UR-4623,21UR-15799,21UR-9733,21UR-15781",4,0.0,340,223,R04D3.11,WBGene00005115,Sequence name for WBGene00005115(srd-37). History: N.A.
W05B2.3,0,,0,,0,,1,21UR-2721,4,0.0,8,3,W05B2.3,WBGene00014854,Public name for WBGene00014854. History: N.A.
Y102A5C.10,0,,0,,0,,1,21UR-2544,4,0.0,106,9,Y102A5C.10,WBGene00013617,Sequence name for WBGene00013617(fbxa-204). History: N.A.
Y102A5C.12,0,,0,,0,,1,21UR-2544,4,0.0,106,9,Y102A5C.12,WBGene00013618,Sequence name for WBGene00013618(fbxa-205). History: N.A.
Y11D7A.17,0,,0,,3,"21UR-1515,21UR-14507,21UR-11246",6,"21UR-10579,21UR-11121,21UR-3455,21UR-13961,21UR-6840,21UR-13117",4,0.0,4,0,Y11D7A.17,,"Public name for Dead gene WBGene00005209. History of WBGene00005209: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T08D2.3,0,,0,,0,,1,21UR-2131,17,5.0,107,110,T08D2.3,WBGene00011608,Public name for WBGene00011608. History: N.A.
Y111B2A.25,7,"21UR-15738,21UR-15745,21UR-15973,21UR-15782",14,"21UR-15745,21UR-15738,21UR-15813,21UR-15890",30,"21UR-15745,21UR-15738,21UR-15813,21UR-15985,21UR-15986,21UR-15890,21UR-12594,21UR-15811,21UR-7289",49,"21UR-15890,21UR-15813,21UR-15745,21UR-15986,21UR-15985,21UR-15738,21UR-12800,21UR-10580,21UR-9117,21UR-9364,21UR-9561,21UR-3337,21UR-9540,21UR-6184,21UR-14656,21UR-7279,21UR-11267,21UR-14764,21UR-2401,21UR-14227,21UR-13595,21UR-8675,21UR-11836,21UR-8799,21UR-7340,21UR-14572",18,6.0,30,10,Y111B2A.25,WBGene00014613,Public name for WBGene00014613. History: N.A.
T04B2.1,0,,0,,1,21UR-13206,4,"21UR-12994,21UR-10356,21UR-3455,21UR-2632",10,2.0,13,2,T04B2.1,WBGene00011421,Public name for WBGene00011421. History: N.A.
Y68A4A.5,1,21UR-15715,1,21UR-15715,1,21UR-7317,11,"21UR-10475,21UR-13982,21UR-13252,21UR-12689,21UR-14076,21UR-9229,21UR-9533,21UR-13117,21UR-5542,21UR-8992,21UR-9845",14,4.0,49,6,Y68A4A.5,WBGene00013467,Public name for WBGene00013467. History: N.A.
B0457.3,0,,0,,0,,2,"21UR-10279,21UR-8864",3,0.0,157,0,B0457.3,WBGene00014660,Public name for WBGene00014660. History: N.A.
C01G12.4,0,,0,,0,,8,"21UR-10490,21UR-14420,21UR-5509,21UR-10983,21UR-14907,21UR-526,21UR-2822,21UR-10866",3,0.0,17,0,C01G12.4,WBGene00006939,Sequence name for WBGene00006939(wee-1.2). History: N.A.
F19B2.4,0,,1,21UR-15973,2,"21UR-15808,21UR-15892",8,"21UR-10833,21UR-7884,21UR-13807,21UR-10077,21UR-3337,21UR-15946,21UR-15556,21UR-15788",3,0.0,11,1,F19B2.4,WBGene00008943,Sequence name for WBGene00008943(srz-36). History: N.A.
F46B3.20,0,,0,,0,,7,"21UR-8743,21UR-6859,21UR-12650,21UR-5589,21UR-7163,21UR-6096,21UR-8071",3,0.0,11,0,F46B3.20,WBGene00077434,Public name for WBGene00077434. History: N.A.
F47H4.12,0,,0,,0,,3,"21UR-3776,21UR-5947",3,0.0,12,1,F47H4.12,WBGene00043053,Public name for WBGene00043053. History: N.A.
Y105C5A.28,0,,0,,0,,3,"21UR-5735,21UR-5037,21UR-13803",3,0.0,156,1,Y105C5A.28,WBGene00044995,Public name for WBGene00044995. History: N.A.
Y71A12B.13a,1,21UR-15738,6,"21UR-15890,21UR-15745,21UR-15738",6,"21UR-15738,21UR-15745,21UR-15890",18,"21UR-9117,21UR-12618,21UR-14054,21UR-7329,21UR-6365,21UR-15811,21UR-8738,21UR-11319,21UR-14350,21UR-10183,21UR-12309,21UR-15738,21UR-13738,21UR-13836,21UR-7115,21UR-14858,21UR-15961",7,1.0,29,53,Y71A12B.13a,WBGene00013510,Molecule name for WBGene00013510(Y71A12B.13). History: N.A.
F41H8.3,1,21UR-15973,3,"21UR-15921,21UR-15965,21UR-15744",1,21UR-15892,14,"21UR-15764,21UR-15758,21UR-10186,21UR-3337,21UR-15946,21UR-15887,21UR-7289,21UR-15945,21UR-9474,21UR-15990,21UR-15808,21UR-14764,21UR-8521,21UR-15788",10,3.0,10,4,F41H8.3,WBGene00005921,Sequence name for WBGene00005921(srx-30). History: N.A.
C04H5.9,0,,0,,0,,3,"21UR-1194,21UR-6794,21UR-4323",2,0.0,5,0,C04H5.9,WBGene00044054,Public name for WBGene00044054. History: N.A.
C23H5.6,0,,0,,0,,2,"21UR-15962,21UR-8410",2,0.0,3,0,C23H5.6,WBGene00023242,Public name for WBGene00023242. History: N.A.
F19B2.1,0,,0,,0,,8,"21UR-7401,21UR-6431,21UR-13863,21UR-11325,21UR-14002,21UR-12387,21UR-12650,21UR-15124",2,0.0,158,2180,F19B2.1,WBGene00008941,"Sequence name for WBGene00008941(srz-33). History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
F23C8.10,0,,0,,1,21UR-6226,1,21UR-13589,2,0.0,4,0,F23C8.10,WBGene00023274,Public name for WBGene00023274. History: N.A.
F27D4.3,0,,0,,0,,2,"21UR-10021,21UR-14422",2,0.0,204,13,F27D4.3,WBGene00014746,Public name for WBGene00014746. History: N.A.
F29C4.3,0,,0,,0,,3,"21UR-9170,21UR-2755,21UR-6120",2,0.0,7,1,F29C4.3,WBGene00023277,Public name for WBGene00023277. History: N.A.
F57G9.6,18,21UR-15745,11,21UR-15745,31,"21UR-15738,21UR-9580,21UR-15985,21UR-15745",10,"21UR-15738,21UR-15745,21UR-647,21UR-9222,21UR-9122,21UR-15986,21UR-15890",2,0.0,2,0,F57G9.6,WBGene00044041,Public name for WBGene00044041. History: N.A.
H31G24.2,0,,0,,0,,2,"21UR-8045,21UR-10174",2,0.0,89,17,H31G24.2,WBGene00023314,Public name for WBGene00023314. History: N.A.
H37A05.3,0,,0,,2,"21UR-15899,21UR-11384",2,"21UR-3484,21UR-7854",2,0.0,14,0,H37A05.3,,"Public name for Dead gene WBGene00014792. History of WBGene00014792: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
K08C9.8,0,,0,,0,,3,"21UR-13449,21UR-8783,21UR-11199",2,0.0,7,0,K08C9.8,WBGene00045218,Public name for WBGene00045218. History: N.A.
K10G4.7,1,21UR-15735,0,,2,"21UR-15808,21UR-15735",6,"21UR-647,21UR-7409,21UR-3337,21UR-15892,21UR-3765,21UR-15555",2,0.0,13,2,K10G4.7,WBGene00005468,Sequence name for WBGene00005468(srh-262). History: N.A.
M01G12.16,0,,0,,1,21UR-13825,4,"21UR-7459,21UR-11093,21UR-11303,21UR-13941",2,0.0,5,1,M01G12.16,WBGene00305048,"Public name for WBGene00305048. History: N.A.. Public name for Dead gene WBGene00077554. History of WBGene00077554: Merged into ""WBGene00010822"" on 2010-03-17"
T07C12.4,0,,0,,2,"21UR-5433,21UR-2227",5,"21UR-1683,21UR-12104,21UR-7738,21UR-7989,21UR-10199",2,0.0,7,0,T07C12.4,WBGene00014833,Public name for WBGene00014833. History: N.A.
T07D10.8,0,,0,,0,,3,"21UR-9364,21UR-5776,21UR-6502",2,0.0,9,6,T07D10.8,WBGene00045509,Public name for WBGene00045509. History: N.A.
Y116A8A.10,0,,0,,2,"21UR-5647,21UR-5776",3,"21UR-5776,21UR-13882,21UR-13889",2,0.0,18,0,Y116A8A.10,WBGene00014975,Public name for WBGene00014975. History: N.A.
Y60A3A.11,0,,0,,0,,2,"21UR-1586,21UR-2213",2,0.0,13,0,Y60A3A.11,WBGene00014933,Public name for WBGene00014933. History: N.A.
Y62E10A.15,0,,0,,0,,12,"21UR-7040,21UR-16003,21UR-11044,21UR-8834,21UR-10823,21UR-6157,21UR-12545,21UR-8518,21UR-14764,21UR-9721,21UR-15153,21UR-15958",2,0.0,14,6,Y62E10A.15,WBGene00013381,Sequence name for WBGene00013381(cyp-31A5). History: N.A.
