Germline specific,Input,Suggested Match,History
F57A10.4,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
F57B1.2,F57B1.2,WBGene00006311,Sequence name for WBGene00006311(sun-1). History: N.A.
F57B1.4,F57B1.4,WBGene00000733,Sequence name for WBGene00000733(col-160). History: N.A.
F57C2.4,F57C2.4,WBGene00010196,Public name for WBGene00010196. History: N.A.
F57C9.7,F57C9.7,WBGene00019013,Sequence name for WBGene00019013(tofu-4). History: N.A.
F58A3.5,F58A3.5,WBGene00010225,Sequence name for WBGene00010225(ttr-31). History: N.A.
F58A6.9,F58A6.9,WBGene00019026,Public name for WBGene00019026. History: N.A.
F58G1.1,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F59A1.8,F59A1.8,WBGene00010294,Sequence name for WBGene00010294(fbxa-129). History: N.A.
F59A1.9,F59A1.9,WBGene00010295,Sequence name for WBGene00010295(fbxa-193). History: N.A.
F59A7.7,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
F59A7.8,F59A7.8,WBGene00019095,Public name for WBGene00019095. History: N.A.
F59D12.5,F59D12.5,WBGene00010332,Public name for WBGene00010332. History: N.A.
F59D8.2,F59D8.2,WBGene00006928,Sequence name for WBGene00006928(vit-4). History: N.A.
F59H6.11,F59H6.11,WBGene00019141,Sequence name for WBGene00019141(bath-5). History: N.A.
H02I12.8,H02I12.8,WBGene00010354,Sequence name for WBGene00010354(cyp-31A2). History: N.A.
H12C20.3,H12C20.3,WBGene00003658,Sequence name for WBGene00003658(nhr-68). History: N.A.
H12I13.4,H12I13.4,WBGene00001401,Sequence name for WBGene00001401(fbf-1). History: N.A.
H14N18.4,H14N18.4,WBGene00019204,Public name for WBGene00019204. History: N.A.
H36L18.2,H36L18.2,WBGene00010424,Sequence name for WBGene00010424(lep-5). History: N.A.
H43I07.1,H43I07.1,WBGene00019274,Public name for WBGene00019274. History: N.A.
JC8.13,JC8.13,WBGene00006466,Sequence name for WBGene00006466(tag-115). History: N.A.
K01C8.6,K01C8.6,WBGene00010458,Sequence name for WBGene00010458(mrpl-10). History: N.A.
K01D12.13,K01D12.13,WBGene00010472,Sequence name for WBGene00010472(cdr-7). History: N.A.
K02B9.2,K02B9.2,WBGene00010493,Sequence name for WBGene00010493(meg-2). History: N.A.
K02D7.3,K02D7.3,WBGene00000675,Sequence name for WBGene00000675(col-101). History: N.A.
K02F2.4,K02F2.4,WBGene00006740,Sequence name for WBGene00006740(ulp-5). History: Renamed on 2014-03-28; Renamed on 2014-09-02
K02F6.7,K02F6.7,WBGene00019341,Public name for WBGene00019341. History: N.A.
K03B4.1,K03B4.1,WBGene00019353,Public name for WBGene00019353. History: N.A.
K06H7.6,K06H7.6,WBGene00000143,Sequence name for WBGene00000143(apc-2). History: N.A.
K07A1.13,K07A1.13,WBGene00010617,Public name for WBGene00010617. History: N.A.
K07A12.2,K07A12.2,WBGene00010621,Sequence name for WBGene00010621(egg-6). History: N.A.
K07F5.5,K07F5.5,WBGene00010633,Sequence name for WBGene00010633(nspd-2). History: N.A.
K07H8.6,K07H8.6,WBGene00006930,Sequence name for WBGene00006930(vit-6). History: N.A.
K08C7.1,K08C7.1,WBGene00010646,Public name for WBGene00010646. History: N.A.
K08D10.7,K08D10.7,WBGene00019530,Sequence name for WBGene00019530(scrm-8). History: N.A.
K08D10.8,K08D10.8,WBGene00019531,Sequence name for WBGene00019531(scrm-5). History: N.A.
K08E3.3,K08E3.3,WBGene00010663,"Sequence name for WBGene00010663(toca-2). History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
K08E4.5,K08E4.5,WBGene00010669,"Sequence name for WBGene00010669(bath-37). History: Split into K08E4.7(WBGene00045036). History of WBGene00010669: Split into ""WBGene00045036"" on 2006-09-19"
K08E7.3,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
K08F4.8,K08F4.8,WBGene00003434,Sequence name for WBGene00003434(msp-38). History: N.A.
K08H2.3,K08H2.3,WBGene00010690,Public name for WBGene00010690. History: N.A.
K08H2.8,K08H2.8,WBGene00003626,Sequence name for WBGene00003626(nhr-32). History: N.A.
K09B11.2,K09B11.2,WBGene00010709,Sequence name for WBGene00010709(nol-9). History: N.A.
K09D9.12,K09D9.12,WBGene00019569,Public name for WBGene00019569. History: N.A.
K09H11.3,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
K09H9.5,K09H9.5,WBGene00019597,"Public name for WBGene00019597. History: Split into K09H9.8(WBGene00045387). History of WBGene00019597: Split into ""WBGene00045387"" on 2007-04-27"
K09H9.7,K09H9.7,WBGene00019598,Public name for WBGene00019598. History: N.A.
K10D2.3,K10D2.3,WBGene00019629,Sequence name for WBGene00019629(cid-1). History: Renamed on 2007-05-15; Renamed on 2010-02-04
K11D12.13,K11D12.13,WBGene00044535,Public name for WBGene00044535. History: N.A.
K11D2.2,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
K11D2.5,K11D2.5,WBGene00010771,Sequence name for WBGene00010771(mter-4). History: N.A.
K12D12.5,K12D12.5,WBGene00010787,Public name for WBGene00010787. History: N.A.
M01A10.1,M01A10.1,WBGene00019692,Sequence name for WBGene00019692(fubl-4). History: Renamed on 2017-12-07
M01E11.3,M01E11.3,WBGene00019712,Sequence name for WBGene00019712(rmh-1). History: N.A.
M01E11.5,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
M01E11.6,M01E11.6,WBGene00002225,Sequence name for WBGene00002225(klp-15). History: N.A.
M03B6.1,M03B6.1,WBGene00010833,Public name for WBGene00010833. History: N.A.
M03C11.2,M03C11.2,WBGene00010839,Sequence name for WBGene00010839(chl-1). History: N.A.
M04F3.2,M04F3.2,WBGene00019768,Public name for WBGene00019768. History: N.A.
M110.3,M110.3,WBGene00010913,Public name for WBGene00010913. History: N.A.
M162.8,M162.8,WBGene00010934,Sequence name for WBGene00010934(fbxa-118). History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
M199.4,M199.4,WBGene00010953,Sequence name for WBGene00010953(clec-190). History: N.A.
