Gene,eri-1(mg366);dpy-13(e458);GFP::NRDE-3;(dpy-13 RNAi)_No. of Reads,eri-1(mg366);dpy-13(e458);GFP::NRDE-3;(dpy-13 RNAi)_Reads per million,GFP::NRDE-3_No. of Reads,GFP::NRDE-3_Reads per million,Enrichment,fold change,Input,Suggested Match,History
Y17D7B.4,2.0,6.885084497,4516.0,6408.964603,930.8476324,930.8476324,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
C01A2.1c,9.0,30.98288024,4364.0,6193.251003,199.8926812,199.8926812,C01A2.1c,WBGene00007213,Molecule name for WBGene00007213(C01A2.1). History: N.A.
Y43F8B.17,17.0,58.52321823,4329.0,6143.580108,104.9767989,104.9767989,Y43F8B.17,WBGene00050910,"Public name for WBGene00050910. History: Split into Y43F8B.28(WBGene00219302). History of WBGene00050910: Split into ""WBGene00219302"" on 2011-10-17"
Y37E11B.2,4.0,13.77016899,4046.0,5741.955444,416.9851108,416.9851108,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
Y116F11A.1,11.0,37.86796473,4024.5,5711.443323,150.8251992,150.8251992,Y116F11A.1,WBGene00013816,Public name for WBGene00013816. History: N.A.
F52D2.8b,2.5,8.606355621,3642.419456,5169.206679,600.6266654,600.6266654,,,
Y116A8B.1,56.0,192.7823659,3566.0,5060.7546,26.25112819,26.25112819,Y116A8B.1,WBGene00013779,Public name for WBGene00013779. History: N.A.
Y106G6H.2a,61.83333333,212.8638624,2406.75,3415.583605,16.04585939,16.04585939,,,
Y106G6H.2c,49.83333333,171.5533554,2402.25,3409.197347,19.87251919,19.87251919,,,
Y106G6H.2b,48.08333333,165.5289065,2401.25,3407.778178,20.58720891,20.58720891,,,
F39F10.4,10.0,34.42542249,2364.0,3354.914155,97.45455283,97.45455283,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
Y13C8A.2,4.166666667,14.34392604,2279.216667,3234.592325,225.5025798,225.5025798,Y13C8A.2,,Public name for Dead gene WBGene00021189. History of WBGene00021189: Killed on 2018-11-14. Remark: 192mer repeat region only
T25G12.11,2.0,6.885084497,2199.5,3121.460949,453.3656704,453.3656704,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
Y51A2A.16,4.0,13.77016899,2144.0,3042.697101,220.9629455,220.9629455,Y51A2A.16,WBGene00206507,Public name for WBGene00206507. History: N.A.
B0001.6,3.0,10.32762675,2117.0,3004.379554,290.907062,290.907062,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
K02E2.6,2.0,6.885084497,1728.0,2452.323037,356.1790763,356.1790763,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C11G6.2,3.0,10.32762675,1650.5,2342.337484,226.8030731,226.8030731,C11G6.2,WBGene00007523,Public name for WBGene00007523. History: N.A.
ZK402.3,6.833333333,23.5240387,1525.25,2164.586639,92.01594448,92.01594448,ZK402.3,WBGene00022730,Public name for WBGene00022730. History: N.A.
ZK402.5,11.33333333,39.01547882,1507.083333,2138.805079,54.81939845,54.81939845,ZK402.5,WBGene00022731,Public name for WBGene00022731. History: N.A.
F52D2.8a,0.5,1.721271124,1344.0,1907.362362,1108.112682,1108.112682,,,
C02B8.2,10.5,36.14669361,1334.5,1893.880262,52.39428763,52.39428763,C02B8.2,WBGene00015321,Sequence name for WBGene00015321(fbxc-38). History: N.A.
Y43F8B.28,16.0,55.08067598,1274.5,1808.730156,32.83783513,32.83783513,Y43F8B.28,WBGene00219302,Public name for WBGene00219302. History: N.A.
W04A8.4,4.0,13.77016899,1179.0,1673.199572,121.5090078,121.5090078,W04A8.4,WBGene00012239,Public name for WBGene00012239. History: N.A.
W04B5.1,3.0,10.32762675,1170.5,1661.13664,160.8439849,160.8439849,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
Y71A12B.2,83.5,287.4522778,1060.833333,1505.50117,5.237395166,5.237395166,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
Y71A12B.3,83.5,287.4522778,1060.833333,1505.50117,5.237395166,5.237395166,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
ZK380.5,2.0,6.885084497,934.0,1325.503308,192.5180887,192.5180887,ZK380.5,WBGene00044559,Public name for WBGene00044559. History: N.A.
Y9D1A.2,3.5,12.04889787,826.365873,1172.752354,97.33274913,97.33274913,Y9D1A.2,WBGene00021187,Public name for WBGene00021187. History: N.A.
T05E12.10,15.0,51.63813373,691.25,981.0001731,18.99759155,18.99759155,T05E12.10,WBGene00077787,Public name for WBGene00077787. History: N.A.
Y43F8B.9,1.0,3.442542249,683.5,970.0016179,281.76898,281.76898,Y43F8B.9,WBGene00012819,Public name for WBGene00012819. History: N.A.
F07G6.6,2.666666667,9.180112663,681.9269231,967.7691568,105.420183,105.420183,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
F40H3.6,0.0,0.0,632.0,896.914444,,,F40H3.6,WBGene00018252,Public name for WBGene00018252. History: N.A.
Y43F8B.18,69.0,237.5354152,575.0,816.0218438,3.435369178,3.435369178,Y43F8B.18,WBGene00050911,Public name for WBGene00050911. History: N.A.
Y43F8B.22,2.0,6.885084497,564.0,800.4109912,116.252893,116.252893,Y43F8B.22,WBGene00194699,Public name for WBGene00194699. History: N.A.
R01B10.2,4.0,13.77016899,553.3333333,785.2731947,57.02712835,57.02712835,R01B10.2,WBGene00019804,Public name for WBGene00019804. History: N.A.
ZK402.2,2.666666667,9.180112663,512.75,727.6786094,79.26684956,79.26684956,ZK402.2,WBGene00022729,Public name for WBGene00022729. History: N.A.
T12B5.11,77.33333333,266.2232672,507.8178322,720.6790326,2.70704751,2.70704751,T12B5.11,WBGene00020457,Sequence name for WBGene00020457(fbxa-67). History: N.A.
F07G6.7,1.666666667,5.737570414,507.3519231,720.0178291,125.4917634,125.4917634,F07G6.7,WBGene00017226,Sequence name for WBGene00017226(fbxa-53). History: N.A.
F31A9.4,11.5,39.58923586,498.5,707.4554594,17.86989428,17.86989428,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
K02E2.11,13.0,44.75304923,473.5,671.9762488,15.0152059,15.0152059,K02E2.11,WBGene00185118,Public name for WBGene00185118. History: N.A.
C07H6.4,11.0,37.86796473,414.0,587.5357276,15.51537643,15.51537643,C07H6.4,WBGene00015581,Sequence name for WBGene00015581(sap-140). History: N.A.
T12B5.8,3.616666667,12.4505278,409.9861222,581.8393589,46.73210392,46.73210392,T12B5.8,WBGene00020455,Sequence name for WBGene00020455(fbxa-59). History: N.A.
Y17D7B.10,0.0,0.0,331.0,469.7447484,,,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
T28A11.21,3.0,10.32762675,311.4,441.9290473,42.79095848,42.79095848,T28A11.21,WBGene00020883,Sequence name for WBGene00020883(fbxa-64). History: N.A.
C44B11.6,2.0,6.885084497,306.0,434.2655378,63.0733781,63.0733781,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
T28A8.6,44.5,153.1931301,295.0,418.6546851,2.732855481,2.732855481,T28A8.6,WBGene00012112,Public name for WBGene00012112. History: N.A.
F11D11.21,0.0,0.0,284.0,403.0438324,,,F11D11.21,WBGene00206492,Public name for WBGene00206492. History: N.A.
C17B7.11,6.0,20.65525349,275.025,390.3067958,18.89624816,18.89624816,C17B7.11,WBGene00015885,Sequence name for WBGene00015885(fbxa-65). History: N.A.
R05C11.3,20.0,68.85084497,263.0,373.2412955,5.421012562,5.421012562,R05C11.3,WBGene00019875,Sequence name for WBGene00019875(mca-2). History: N.A.
Y54F10BM.5,0.0,0.0,260.0,368.9837903,,,Y54F10BM.5,WBGene00021860,Sequence name for WBGene00021860(fbxa-9). History: N.A.
T12B5.2,1.0,3.442542249,254.9333333,361.7933369,105.0948139,105.0948139,T12B5.2,WBGene00020449,Sequence name for WBGene00020449(fbxa-54). History: N.A.
Y57G11C.1134,0.0,0.0,254.5,361.1783639,,,Y57G11C.1134,WBGene00194923,Sequence name for WBGene00194923(linc-121). History: N.A.
ZK402.1,8.833333333,30.4091232,250.3333333,355.2651622,11.68284794,11.68284794,ZK402.1,WBGene00022728,Public name for WBGene00022728. History: N.A.
T05E12.8,0.0,0.0,243.0,344.857927,,,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
H09G03.1,1.0,3.442542249,239.0,339.1812534,98.52638802,98.52638802,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
Y82E9BR.20,0.0,0.0,233.0,330.6662428,,,Y82E9BR.20,WBGene00022352,Public name for WBGene00022352. History: N.A.
F58F9.1,0.5,1.721271124,231.5,328.5374902,190.8691115,190.8691115,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
Y105C5A.1268,4.0,13.77016899,230.0,326.4087375,23.70404733,23.70404733,Y105C5A.1268,WBGene00185102,Public name for WBGene00185102. History: N.A.
Y82E9BL.10,2.666666667,9.180112663,222.8333333,316.2380305,34.44816443,34.44816443,Y82E9BL.10,WBGene00022326,Sequence name for WBGene00022326(fbxa-14). History: N.A.
K01A2.8d,4.316666667,14.86030737,221.1333333,313.8254442,21.1183683,21.1183683,K01A2.8d,WBGene00019282,Molecule name for WBGene00019282(mps-2). History: N.A.
Y119D3B.7,14.0,48.19559148,201.6333333,286.1516599,5.937299473,5.937299473,Y119D3B.7,WBGene00022485,Sequence name for WBGene00022485(fbxa-63). History: N.A.
T12B5.1,0.45,1.549144012,196.3861222,278.7049836,179.9090216,179.9090216,T12B5.1,WBGene00020448,Sequence name for WBGene00020448(fbxa-51). History: N.A.
F28A10.6,0.0,0.0,179.0,254.0311479,,,F28A10.6,WBGene00017874,Sequence name for WBGene00017874(acdh-9). History: N.A.
F54D10.2,3.0,10.32762675,178.4833333,253.2979109,24.52624568,24.52624568,F54D10.2,WBGene00018803,Sequence name for WBGene00018803(fbxa-24). History: N.A.
K01A2.8a,4.316666667,14.86030737,169.6333333,240.7382703,16.20008687,16.20008687,K01A2.8a,WBGene00019282,Molecule name for WBGene00019282(mps-2). History: N.A.
F22E5.3,11.0,37.86796473,155.5,220.6806899,5.827635351,5.827635351,F22E5.3,WBGene00001546,Sequence name for WBGene00001546(gcy-21). History: N.A.
Y57G11C.1131,0.0,0.0,154.5,219.2615215,,,Y57G11C.1131,WBGene00194661,Public name for WBGene00194661. History: N.A.
C18D4.6c,17.25,59.38385379,149.75,212.5204715,3.5787585,3.5787585,C18D4.6c,WBGene00007675,Molecule name for WBGene00007675(C18D4.6). History: N.A.
Y17D7C.1,0.0,0.0,149.0,211.4560952,,,Y17D7C.1,WBGene00012455,"Public name for WBGene00012455. History: Split into Y17D7C.6(WBGene00194680). History of WBGene00012455: Split into ""WBGene00194680"" on 2009-06-15"
K06B9.6,0.0,0.0,148.5,210.746511,,,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C36A4.11,0.0,0.0,147.5,209.3273426,,,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
T12B5.10,6.25,21.51588905,145.5527889,206.563922,9.600529241,9.600529241,T12B5.10,WBGene00020456,Sequence name for WBGene00020456(fbxa-60). History: N.A.
K01A2.8c,4.4,15.14718589,142.6333333,202.4207229,13.3635861,13.3635861,K01A2.8c,WBGene00019282,Molecule name for WBGene00019282(mps-2). History: N.A.
B0041.11,1.0,3.442542249,140.0,198.6835794,57.71420219,57.71420219,B0041.11,WBGene00206362,Public name for WBGene00206362. History: N.A.
T24D5.6,0.0,0.0,131.1666667,186.1475916,,,T24D5.6,WBGene00044149,"Public name for WBGene00044149. History: Split into T24D5.11(WBGene00219279). History of WBGene00044149: Split into ""WBGene00219279"" on 2011-10-03"
Y73B6BL.9a,16.0,55.08067598,130.3333333,184.9649513,3.358073371,3.358073371,Y73B6BL.9a,WBGene00001853,Molecule name for WBGene00001853(hil-2). History: Renamed on 2010-11-12
K01A2.12,3.483333333,11.99152217,115.3,163.6301193,13.64548362,13.64548362,K01A2.12,WBGene00086561,Public name for WBGene00086561. History: N.A.
K01A2.9,3.483333333,11.99152217,115.3,163.6301193,13.64548362,13.64548362,K01A2.9,WBGene00019283,Public name for WBGene00019283. History: N.A.
F31E9.6,18.25,62.82639604,109.75,155.7537345,2.47911299,2.47911299,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
C18D4.6a,14.25,49.05622704,104.75,148.6578924,3.030357233,3.030357233,C18D4.6a,WBGene00007675,Molecule name for WBGene00007675(C18D4.6). History: N.A.
C29F9.11,1.2,4.131050698,94.30278888,133.8315403,32.39648943,32.39648943,C29F9.11,WBGene00016225,Sequence name for WBGene00016225(fbxa-58). History: N.A.
F55A4.5,3.0,10.32762675,93.5,132.6922477,12.84828072,12.84828072,F55A4.5,WBGene00018857,Sequence name for WBGene00018857(stau-1). History: N.A.
C36A4.10,0.0,0.0,92.0,130.563495,,,C36A4.10,WBGene00007970,Public name for WBGene00007970. History: N.A.
F52D2.4,12.5,43.03177811,91.0,129.1443266,3.001138514,3.001138514,F52D2.4,WBGene00001569,Sequence name for WBGene00001569(meg-3). History: Renamed on 2014-08-15
Y43F8B.6,1.0,3.442542249,90.0,127.7251582,37.10198712,37.10198712,Y43F8B.6,WBGene00012817,Public name for WBGene00012817. History: N.A.
Y73B6BL.9b,13.0,44.75304923,89.33333333,126.7790459,2.832858276,2.832858276,Y73B6BL.9b,WBGene00001853,Molecule name for WBGene00001853(hil-2). History: Renamed on 2010-11-12
F20B6.7,0.0,0.0,86.0,122.0484845,,,F20B6.7,WBGene00017631,Public name for WBGene00017631. History: N.A.
Y54F10BL.1,1.0,3.442542249,81.00874126,114.9650477,33.39539194,33.39539194,Y54F10BL.1,WBGene00044676,Sequence name for WBGene00044676(fbxa-42). History: N.A.
Y119D3B.8,2.666666667,9.180112663,77.83333333,110.458609,12.03238055,12.03238055,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
Y54F10BM.15,0.0,0.0,74.0,105.0184634,,,Y54F10BM.15,WBGene00044403,Sequence name for WBGene00044403(fbxa-219). History: N.A.
K07C6.7,1.0,3.442542249,59.0,83.73093702,24.32241378,24.32241378,K07C6.7,WBGene00005955,Sequence name for WBGene00005955(srx-64). History: N.A.
F42G2.8,1.0,3.442542249,56.0,79.47343175,23.08568087,23.08568087,F42G2.8,WBGene00044672,Sequence name for WBGene00044672(fbxa-4). History: N.A.
K01A2.4,4.0,13.77016899,53.0,75.21592648,5.462236993,5.462236993,K01A2.4,WBGene00019279,Public name for WBGene00019279. History: N.A.
F38A1.5,0.0,0.0,52.0,73.79675805,,,F38A1.5,WBGene00009518,Sequence name for WBGene00009518(clec-166). History: N.A.
T08E11.7,1.0,3.442542249,50.0,70.9584212,20.61221507,20.61221507,T08E11.7,WBGene00020363,Sequence name for WBGene00020363(fbxa-3). History: N.A.
C31C9.4,2.0,6.885084497,47.5,67.41050014,9.790802157,9.790802157,C31C9.4,WBGene00007838,"Sequence name for WBGene00007838(fbxa-168). History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
Y82E9BL.11,0.0,0.0,47.45833333,67.35136813,,,Y82E9BL.11,WBGene00022327,Sequence name for WBGene00022327(fbxa-15). History: N.A.
Y43F8C.3,2.666666667,9.180112663,46.95,66.62995751,7.25807623,7.25807623,Y43F8C.3,WBGene00012825,Public name for WBGene00012825. History: N.A.
T25G12.1,0.0,0.0,46.5,65.99133172,,,T25G12.1,WBGene00020809,Public name for WBGene00020809. History: N.A.
F14F7.5,0.0,0.0,46.0,65.28174751,,,F14F7.5,WBGene00008812,"Public name for WBGene00008812. History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
C39B5.9,0.0,0.0,37.76945554,53.6012187,,,C39B5.9,WBGene00016527,Sequence name for WBGene00016527(fbxa-47). History: N.A.
C29F9.10,0.45,1.549144012,36.78333333,52.2017452,33.69715456,33.69715456,C29F9.10,WBGene00016224,Sequence name for WBGene00016224(fbxa-57). History: N.A.
ZC239.7,1.0,3.442542249,36.5,51.79964748,15.046917,15.046917,ZC239.7,WBGene00001541,Sequence name for WBGene00001541(gcy-15). History: N.A.
ZK1053.3,0.0,0.0,34.0,48.25172642,,,ZK1053.3,WBGene00014198,Public name for WBGene00014198. History: N.A.
T12B5.6b,0.7,2.409779574,31.85,45.20051431,18.75711571,18.75711571,T12B5.6b,WBGene00020453,Molecule name for WBGene00020453(fbxa-55). History: N.A.
Y119D3A.4,0.0,0.0,31.83333333,45.1768615,,,Y119D3A.4,WBGene00022479,Sequence name for WBGene00022479(fbxa-36). History: N.A.
Y119D3A.3,0.0,0.0,31.66666667,44.94033343,,,Y119D3A.3,WBGene00022478,Sequence name for WBGene00022478(fbxa-35). History: N.A.
K11H12.11,0.0,0.0,27.5,39.02713166,,,K11H12.11,WBGene00044723,Public name for WBGene00044723. History: N.A.
Y82E9BR.6,0.0,0.0,24.0,34.06004218,,,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
T12B5.13,0.0,0.0,23.33333333,33.11392989,,,T12B5.13,WBGene00020459,"Sequence name for WBGene00020459(fbxa-23). History: Split into T12B5.18(WBGene00306000). History of WBGene00020459: Split into ""WBGene00306000"" on 2020-01-20"
ZC47.6,0.0,0.0,23.0,32.64087375,,,ZC47.6,WBGene00013839,Sequence name for WBGene00013839(fbxa-32). History: N.A.
F55C9.6,1.0,3.442542249,22.5,31.93128954,9.27549678,9.27549678,F55C9.6,WBGene00010103,Public name for WBGene00010103. History: N.A.
C40D2.2,0.0,0.0,22.0,31.22170533,,,C40D2.2,WBGene00016555,Sequence name for WBGene00016555(math-20). History: N.A.
T08E11.3,0.333333333,1.147514083,21.5,30.51212112,26.58975744,26.58975744,T08E11.3,WBGene00020359,Sequence name for WBGene00020359(math-40). History: N.A.
Y38E10A.14,1.0,3.442542249,20.0,28.38336848,8.244886027,8.244886027,Y38E10A.14,WBGene00012592,Public name for WBGene00012592. History: N.A.
Y46D2A.1,0.0,0.0,20.0,28.38336848,,,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
C39B5.4,0.0,0.0,19.54166667,27.73291629,,,C39B5.4,WBGene00016522,Sequence name for WBGene00016522(fbxa-38). History: N.A.
Y37H2C.1,1.0,3.442542249,19.0,26.96420006,7.832641725,7.832641725,Y37H2C.1,WBGene00012573,Public name for WBGene00012573. History: N.A.
F45C12.13,0.0,0.0,19.0,26.96420006,,,F45C12.13,WBGene00018444,Sequence name for WBGene00018444(fbxb-48). History: N.A.
T08E11.2,0.333333333,1.147514083,17.0,24.12586321,21.02445937,21.02445937,T08E11.2,WBGene00020358,Sequence name for WBGene00020358(math-39). History: N.A.
F23H12.5,0.5,1.721271124,16.33333333,23.17975093,13.46664718,13.46664718,F23H12.5,WBGene00009094,Public name for WBGene00009094. History: N.A.
Y39B6A.40,3.0,10.32762675,16.0,22.70669479,2.198636274,2.198636274,Y39B6A.40,WBGene00012698,Sequence name for WBGene00012698(sws-1). History: N.A.
F44E2.2c,3.0,10.32762675,15.0,21.28752636,2.061221507,2.061221507,F44E2.2c,,Molecular name for Suppressed gene WBGene00018416. History of WBGene00018416: Renamed on 2021-06-14. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
Y43F8B.3c,0.428571429,1.475375249,14.53571429,20.62862674,13.98195255,13.98195255,Y43F8B.3c,WBGene00012814,Molecule name for WBGene00012814(Y43F8B.3). History: N.A.
Y43F8B.3f,0.428571429,1.475375249,14.53571429,20.62862674,13.98195255,13.98195255,Y43F8B.3f,WBGene00012814,Molecule name for WBGene00012814(Y43F8B.3). History: N.A.
Y43F8B.3g,0.428571429,1.475375249,14.53571429,20.62862674,13.98195255,13.98195255,Y43F8B.3g,WBGene00012814,Molecule name for WBGene00012814(Y43F8B.3). History: N.A.
Y43F8B.3a,0.428571429,1.475375249,14.28571429,20.27383463,13.74147671,13.74147671,Y43F8B.3a,WBGene00012814,Molecule name for WBGene00012814(Y43F8B.3). History: N.A.
Y43F8B.3e,0.428571429,1.475375249,14.28571429,20.27383463,13.74147671,13.74147671,Y43F8B.3e,WBGene00012814,Molecule name for WBGene00012814(Y43F8B.3). History: N.A.
F20B6.9,0.0,0.0,14.16666667,20.10488601,,,F20B6.9,WBGene00017632,Public name for WBGene00017632. History: N.A.
C25F9.2,1.0,3.442542249,14.0,19.86835794,5.771420219,5.771420219,C25F9.2,WBGene00007723,Public name for WBGene00007723. History: N.A.
F19G12.3,0.0,0.0,14.0,19.86835794,,,F19G12.3,WBGene00017611,Public name for WBGene00017611. History: N.A.
ZC47.5,0.0,0.0,13.91666667,19.7500939,,,ZC47.5,WBGene00013838,Sequence name for WBGene00013838(fbxa-31). History: N.A.
C24A1.3a,0.5,1.721271124,12.5,17.7396053,10.30610753,10.30610753,,,
C24A1.3b,0.5,1.721271124,12.5,17.7396053,10.30610753,10.30610753,,,
Y22D7AR.2,1.0,3.442542249,12.0,17.03002109,4.946931616,4.946931616,Y22D7AR.2,WBGene00021256,Public name for WBGene00021256. History: N.A.
Y53C10A.9,2.0,6.885084497,12.0,17.03002109,2.473465808,2.473465808,Y53C10A.9,WBGene00000023,Sequence name for WBGene00000023(abt-5). History: N.A.
F11D11.1,0.0,0.0,12.0,17.03002109,,,F11D11.1,WBGene00008696,"Sequence name for WBGene00008696(clec-255). History: Split into F11D11.19(WBGene00077659). History of WBGene00008696: Split into ""WBGene00077659"" on 2008-02-22"
T20F7.7,2.0,6.885084497,11.5,16.32043688,2.370404733,2.370404733,T20F7.7,WBGene00020634,Sequence name for WBGene00020634(acs-9). History: N.A.
F37C4.5a,0.5,1.721271124,11.33333333,16.08390881,9.344204163,9.344204163,F37C4.5a,WBGene00018145,Molecule name for WBGene00018145(F37C4.5). History: N.A.
