Gene_Symbol,Wild_type,YY913,Coverage,Input,Suggested Match,History
cey-2,0,26,0.326,cey-2,WBGene00000473,Public name for WBGene00000473. History: N.A.
rla-1,0,25,0.685,rla-1,WBGene00004409,Public name for WBGene00004409. History: N.A.
CELE_F33D11.10,0,24,0.298,CELE_F33D11.10,WBGene00018007,Other name for WBGene00018007(F33D11.10). History: N.A.
hsp-3,9,24,0.107,hsp-3,WBGene00002007,Public name for WBGene00002007. History: N.A.
eftu-2,0,23,0.181,eftu-2,WBGene00001166,Public name for WBGene00001166. History: Renamed on 2010-08-03
rpl-23,0,23,0.336,rpl-23,WBGene00004435,Public name for WBGene00004435. History: N.A.
rps-2,4,23,0.235,rps-2,WBGene00004471,Public name for WBGene00004471. History: N.A.
rps-6,5,23,0.207,rps-6,WBGene00004475,Public name for WBGene00004475. History: N.A.
teg-4,0,23,0.135,teg-4,WBGene00019323,Public name for WBGene00019323. History: Renamed on 2005-03-17; Renamed on 2010-02-19; Renamed on 2015-03-02
rpl-7A,1,22,0.26,rpl-7A,WBGene00004419,Public name for WBGene00004419. History: Renamed on 2005-03-17
rpl-9,2,22,0.476,rpl-9,WBGene00004420,Public name for WBGene00004420. History: N.A.
rps-1,2,22,0.374,rps-1,WBGene00004470,Public name for WBGene00004470. History: N.A.
daf-21,5,21,0.256,daf-21,WBGene00000915,Other name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
inf-1,1,21,0.055,inf-1,WBGene00002083,Public name for WBGene00002083. History: N.A.
rpl-18,1,20,0.394,rpl-18,WBGene00004430,Public name for WBGene00004430. History: N.A.
rpl-26,0,20,0.141,rpl-26,WBGene00004440,Public name for WBGene00004440. History: N.A.
rpl-33,0,20,0.25,rpl-33,WBGene00004447,Public name for WBGene00004447. History: N.A.
rpl-10a,2,19,0.278,rpl-10a,WBGene00004412,Other name for WBGene00004412(rpl-1). History: Renamed on 2004-07-05
CELE_F49H12.5,14,18,0.377,CELE_F49H12.5,WBGene00018656,Other name for WBGene00018656(txdc-12.2). History: N.A.
rpl-10,2,18,0.187,rpl-10,WBGene00004421,Public name for WBGene00004421. History: N.A.
rpl-14,3,18,0.237,rpl-14,WBGene00004426,Public name for WBGene00004426. History: N.A.
rps-10,6,18,0.389,rps-10,WBGene00004479,Public name for WBGene00004479. History: N.A.
rps-13,0,18,0.258,rps-13,WBGene00004482,Public name for WBGene00004482. History: N.A.
CELE_R186.7,0,17,0.348,CELE_R186.7,WBGene00011308,Other name for WBGene00011308(pnn-1). History: N.A.
cey-4,2,17,0.327,cey-4,WBGene00000475,Public name for WBGene00000475. History: N.A.
rpl-11.1,0,17,0.281,rpl-11.1,WBGene00004422,Public name for WBGene00004422. History: Renamed on 2005-09-09
acin-1,0,16,0.319,acin-1,WBGene00016601,Public name for WBGene00016601. History: N.A.
aly-2,0,16,0.326,aly-2,WBGene00000121,Public name for WBGene00000121. History: Renamed on 2005-04-27
pab-1,0,16,0.118,pab-1,WBGene00003902,Public name for WBGene00003902. History: N.A.
rpl-20,5,16,0.311,rpl-20,WBGene00004432,Public name for WBGene00004432. History: N.A.
rpl-30,0,16,0.351,rpl-30,WBGene00004444,Public name for WBGene00004444. History: N.A.
CELE_F34D10.4,0,15,0.233,CELE_F34D10.4,WBGene00009374,Other name for WBGene00009374(F34D10.4). History: N.A.
csq-1,0,15,0.153,csq-1,WBGene00000822,Public name for WBGene00000822. History: N.A.
fib-1,2,15,0.202,fib-1,WBGene00001423,Public name for WBGene00001423. History: N.A.
lfi-1,34,15,0.094,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
lfi-1,34,15,0.013,lfi-1,WBGene00022500,Public name for WBGene00022500. History: N.A.
npp-9,0,15,0.131,npp-9,WBGene00003795,Public name for WBGene00003795. History: N.A.
rpl-17,1,15,0.214,rpl-17,WBGene00004429,Public name for WBGene00004429. History: N.A.
rps-7,2,15,0.428,rps-7,WBGene00004476,Public name for WBGene00004476. History: N.A.
C25A1.4,0,14,0.148,C25A1.4,WBGene00045383,Sequence name for WBGene00045383(sup-46). History: N.A.
cacn-1,8,14,0.186,cacn-1,WBGene00012230,Public name for WBGene00012230. History: N.A.
CELE_F40F8.11,0,14,0.252,CELE_F40F8.11,WBGene00044916,Other name for WBGene00044916(F40F8.11). History: N.A.
mag-1,0,14,0.467,mag-1,WBGene00003123,Public name for WBGene00003123. History: N.A.
rpl-32,0,14,0.284,rpl-32,WBGene00004446,Public name for WBGene00004446. History: N.A.
ant-1.4,5,13,0.163,ant-1.4,WBGene00020140,Public name for WBGene00020140. History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
mif-4,15,13,0.281,mif-4,WBGene00003237,Public name for WBGene00003237. History: N.A.
rpl-15,1,13,0.265,rpl-15,WBGene00004427,Public name for WBGene00004427. History: N.A.
rpl-16,2,13,0.173,rpl-16,WBGene00004428,Public name for WBGene00004428. History: N.A.
rpl-22,2,13,0.354,rpl-22,WBGene00004434,Public name for WBGene00004434. History: N.A.
rps-16,0,13,0.382,rps-16,WBGene00004485,Public name for WBGene00004485. History: N.A.
ant-1.1,2,12,0.211,ant-1.1,WBGene00006439,Public name for WBGene00006439. History: Renamed on 2008-06-04; Renamed on 2014-03-03
ant-1.1,2,12,0.124,ant-1.1,WBGene00006439,Public name for WBGene00006439. History: Renamed on 2008-06-04; Renamed on 2014-03-03
F01G4.6,3,12,0.271,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
rpl-13,0,12,0.237,rpl-13,WBGene00004425,Public name for WBGene00004425. History: N.A.
rpl-21,0,12,0.354,rpl-21,WBGene00004433,Public name for WBGene00004433. History: N.A.
rpl-31,0,12,0.074,rpl-31,WBGene00004445,Public name for WBGene00004445. History: N.A.
rpl-8,1,12,0.142,rpl-8,WBGene00004419,Other name for WBGene00004419(rpl-7A). History: Renamed on 2005-03-17
rps-15,0,12,0.305,rps-15,WBGene00004484,Public name for WBGene00004484. History: N.A.
rps-21,0,12,0.318,rps-21,WBGene00004490,Public name for WBGene00004490. History: N.A.
rps-28,0,12,0.338,rps-28,WBGene00004497,Public name for WBGene00004497. History: N.A.
vig-1,1,12,0.259,vig-1,WBGene00006924,Public name for WBGene00006924. History: N.A.
CELE_K04C2.2,0,11,0.122,CELE_K04C2.2,WBGene00019380,Other name for WBGene00019380(K04C2.2). History: N.A.
CELE_M03F8.3,0,11,0.144,CELE_M03F8.3,WBGene00019762,Other name for WBGene00019762(syf-3). History: Renamed on 2005-03-17; Renamed on 2021-03-11
cey-3,0,11,0.355,cey-3,WBGene00000474,Public name for WBGene00000474. History: N.A.
hsp-60,26,11,0.158,hsp-60,WBGene00002025,Public name for WBGene00002025. History: N.A.
larp-1,0,11,0.163,larp-1,WBGene00020097,Public name for WBGene00020097. History: N.A.
nlp-28,9,11,0.154,nlp-28,WBGene00003766,Public name for WBGene00003766. History: N.A.
nxf-1,0,11,0.167,nxf-1,WBGene00003834,Public name for WBGene00003834. History: N.A.
prp-19,0,11,0.323,prp-19,WBGene00020423,Public name for WBGene00020423. History: N.A.
rps-22,0,11,0.426,rps-22,WBGene00004491,Public name for WBGene00004491. History: N.A.
rps-22,0,11,0.123,rps-22,WBGene00004491,Public name for WBGene00004491. History: N.A.
rps-26,1,11,0.205,rps-26,WBGene00004495,Public name for WBGene00004495. History: N.A.
C38D4.4,2,10,0.218,C38D4.4,WBGene00008005,Sequence name for WBGene00008005(mip-1). History: Renamed on 2021-12-09
drs-1,4,10,0.211,drs-1,WBGene00001094,Other name for WBGene00001094(dars-1). History: Renamed on 2010-01-29
K01G5.5,0,10,0.155,K01G5.5,WBGene00010478,Public name for WBGene00010478. History: N.A.
kin-3,0,10,0.278,kin-3,WBGene00002191,Public name for WBGene00002191. History: N.A.
nol-5,2,10,0.228,nol-5,WBGene00020915,Other name for WBGene00020915(nol-58). History: Renamed on 2017-08-01
rnp-4,0,10,0.408,rnp-4,WBGene00004387,Public name for WBGene00004387. History: N.A.
T27F2.1,0,10,0.2,T27F2.1,WBGene00004806,Sequence name for WBGene00004806(skp-1). History: N.A.
C34C12.2,3,9,0.124,C34C12.2,WBGene00007921,Public name for WBGene00007921. History: N.A.
cdc-5l,0,9,0.167,,,
CELE_R74.8,0,9,0.152,CELE_R74.8,WBGene00011282,Other name for WBGene00011282(R74.8). History: N.A.
CELE_T08A11.2,0,9,0.116,CELE_T08A11.2,WBGene00011605,Other name for WBGene00011605(sftb-1). History: Renamed on 2005-03-17
cgh-1,1,9,0.095,cgh-1,WBGene00000479,Public name for WBGene00000479. History: N.A.
emb-4,0,9,0.055,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,9,0.105,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,9,0.083,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
gld-1,0,9,0.179,gld-1,WBGene00001595,Public name for WBGene00001595. History: N.A.
K10B3.6,0,9,0.019,K10B3.6,WBGene00019612,Sequence name for WBGene00019612(gpcp-1). History: N.A.
let-716,0,9,0.076,let-716,WBGene00002850,Public name for WBGene00002850. History: N.A.
nog-1,0,9,0.159,nog-1,WBGene00020297,Public name for WBGene00020297. History: Renamed on 2005-03-17. Other name for WBGene00004422(rpl-11.1). History: Renamed on 2005-09-09
prp-17,0,9,0.169,prp-17,WBGene00018625,Public name for WBGene00018625. History: N.A.
rpl-19,1,9,0.217,rpl-19,WBGene00004431,Public name for WBGene00004431. History: N.A.
rpl-25.2,0,9,0.26,rpl-25.2,WBGene00004439,Public name for WBGene00004439. History: N.A.
snr-7,0,9,0.169,snr-7,WBGene00004920,Public name for WBGene00004920. History: N.A.
unc-54,6,9,0.062,unc-54,WBGene00006789,Public name for WBGene00006789. History: N.A.
R07E5.1,0,8,0.165,R07E5.1,WBGene00011109,Sequence name for WBGene00011109(gpch-1). History: N.A.
ran-2,0,8,0.11,ran-2,WBGene00004303,Public name for WBGene00004303. History: Renamed on 2015-07-06
rnp-6,2,8,0.095,rnp-6,WBGene00004389,Public name for WBGene00004389. History: Renamed on 2015-03-05
rpl-27,7,8,0.272,rpl-27,WBGene00004441,Public name for WBGene00004441. History: N.A.
rpl-34,0,8,0.136,rpl-34,WBGene00004448,Public name for WBGene00004448. History: N.A.
rps-25,0,8,0.222,rps-25,WBGene00004494,Public name for WBGene00004494. History: N.A.
rsp-3,0,8,0.155,rsp-3,WBGene00004700,Public name for WBGene00004700. History: N.A.
snr-2,0,8,0.194,snr-2,WBGene00004915,Public name for WBGene00004915. History: N.A.
adr-1,0,7,0.109,adr-1,WBGene00000079,Public name for WBGene00000079. History: N.A.
ama-1,0,7,0.065,ama-1,WBGene00000123,Public name for WBGene00000123. History: Renamed on 2007-10-04
ant-1.1,0,7,0.211,ant-1.1,WBGene00006439,Public name for WBGene00006439. History: Renamed on 2008-06-04; Renamed on 2014-03-03
ant-1.1,0,7,0.124,ant-1.1,WBGene00006439,Public name for WBGene00006439. History: Renamed on 2008-06-04; Renamed on 2014-03-03
CELE_E02D9.1,0,7,0.187,CELE_E02D9.1,WBGene00017098,"Other name for WBGene00017098(mek-5). History: Split into E02D9.3(WBGene00304811). History of WBGene00017098: Split into ""WBGene00304811"" on 2019-05-20"
ddx-17,0,7,0.116,ddx-17,WBGene00010260,Public name for WBGene00010260. History: N.A.
F47B10.1,1,7,0.191,F47B10.1,WBGene00009812,Sequence name for WBGene00009812(suca-1). History: N.A.
gsp-2,0,7,0.129,gsp-2,WBGene00001748,Public name for WBGene00001748. History: N.A.
his-1,1,7,0.33,his-1,WBGene00001875,Public name for WBGene00001875. History: N.A.
mec-7,2,7,0.098,mec-7,WBGene00003171,Public name for WBGene00003171. History: N.A.
pqn-53,0,7,0.155,pqn-53,WBGene00004138,Public name for WBGene00004138. History: N.A.
rla-2,1,7,0.7,rla-2,WBGene00004410,Public name for WBGene00004410. History: N.A.
rpa-2,2,7,0.523,rpa-2,WBGene00019767,Public name for WBGene00019767. History: N.A.
rpl-25.1,1,7,0.163,rpl-25.1,WBGene00004438,Public name for WBGene00004438. History: N.A.
rpl-35,0,7,0.081,rpl-35,WBGene00004449,Public name for WBGene00004449. History: N.A.
rps-20,0,7,0.248,rps-20,WBGene00004489,Public name for WBGene00004489. History: N.A.
wrk-1,0,7,0.017,wrk-1,WBGene00006942,Public name for WBGene00006942. History: N.A.
acer-1,8,6,0.144,acer-1,WBGene00016630,Public name for WBGene00016630. History: N.A.
C50F2.3,0,6,0.069,C50F2.3,WBGene00016837,Sequence name for WBGene00016837(syf-1). History: N.A.
CELE_F11A10.7,0,6,0.175,CELE_F11A10.7,WBGene00008688,Other name for WBGene00008688(rbm-34). History: N.A.
CELE_F49E2.5,0,6,0.059,CELE_F49E2.5,WBGene00009888,Other name for WBGene00009888(F49E2.5). History: N.A.
CELE_F55F8.2,0,6,0.114,CELE_F55F8.2,WBGene00018890,Other name for WBGene00018890(F55F8.2). History: N.A.
CELE_Y32H12A.2,0,6,0.15,CELE_Y32H12A.2,WBGene00021311,Other name for WBGene00021311(thoc-5). History: N.A.
copa-1,0,6,0.063,copa-1,WBGene00022119,Public name for WBGene00022119. History: N.A.
cpl-1,0,6,0.187,cpl-1,WBGene00000776,Public name for WBGene00000776. History: N.A.
ddx-15,0,6,0.062,ddx-15,WBGene00018967,Public name for WBGene00018967. History: N.A.
dnj-12,1,6,0.256,dnj-12,WBGene00001030,Public name for WBGene00001030. History: N.A.
idha-1,1,6,0.291,idha-1,WBGene00009664,Public name for WBGene00009664. History: N.A.
K07C5.4,0,6,0.185,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
mog-4,0,6,0.06,mog-4,WBGene00003392,Public name for WBGene00003392. History: N.A.
nol-1,0,6,0.063,nol-1,WBGene00021073,Other name for WBGene00021073(nsun-1). History: Renamed on 2017-08-01; Renamed on 2020-06-01
nol-1,0,6,0.036,nol-1,WBGene00021073,Other name for WBGene00021073(nsun-1). History: Renamed on 2017-08-01; Renamed on 2020-06-01
npp-12,0,6,0.052,npp-12,WBGene00003798,Public name for WBGene00003798. History: N.A.
perm-4,4,6,0.145,perm-4,WBGene00016638,Public name for WBGene00016638. History: N.A.
pgrn-1,9,6,0.036,pgrn-1,WBGene00011936,Public name for WBGene00011936. History: N.A.
plrg-1,0,6,0.136,plrg-1,WBGene00006481,Public name for WBGene00006481. History: Renamed on 2005-03-17; Renamed on 2012-04-13
rpl-12,0,6,0.206,rpl-12,WBGene00004424,Public name for WBGene00004424. History: N.A.
rpl-36,0,6,0.212,rpl-36,WBGene00004450,Public name for WBGene00004450. History: N.A.
snr-1,0,6,0.14,snr-1,WBGene00004914,Public name for WBGene00004914. History: N.A.
spk-1,0,6,0.055,spk-1,WBGene00004980,Public name for WBGene00004980. History: N.A.
sqd-1,0,6,0.187,sqd-1,WBGene00022235,Public name for WBGene00022235. History: N.A.
thoc-2,0,6,0.054,thoc-2,WBGene00015813,Public name for WBGene00015813. History: Renamed on 2007-07-20
act-2,3,5,0.141,act-2,WBGene00000064,Public name for WBGene00000064. History: N.A.
C01G10.8,0,5,0.053,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
ccdc-55,0,5,0.084,ccdc-55,WBGene00007627,Public name for WBGene00007627. History: N.A.
CELE_F32B4.4,0,5,0.096,CELE_F32B4.4,WBGene00009314,Other name for WBGene00009314(phm-2). History: N.A.
CELE_H06I04.3,0,5,0.128,CELE_H06I04.3,WBGene00019168,Other name for WBGene00019168(H06I04.3). History: N.A.
CELE_T28B11.1,0,5,0.017,CELE_T28B11.1,WBGene00012117,Other name for WBGene00012117(T28B11.1). History: N.A.
CELE_Y110A7A.15,0,5,0.154,CELE_Y110A7A.15,WBGene00022462,Other name for WBGene00022462(Y110A7A.15). History: N.A.
CELE_Y55F3AM.3,0,5,0.12,CELE_Y55F3AM.3,WBGene00021921,Other name for WBGene00021921(rbm-39). History: N.A.
CELE_Y57G11C.9,0,5,0.053,CELE_Y57G11C.9,WBGene00013307,Other name for WBGene00013307(Y57G11C.9). History: N.A.
CELE_Y71F9AL.9,0,5,0.22,CELE_Y71F9AL.9,WBGene00022114,Other name for WBGene00022114(Y71F9AL.9). History: N.A.
copb-2,0,5,0.074,copb-2,WBGene00009542,Public name for WBGene00009542. History: N.A.
cri-3,0,5,0.292,cri-3,WBGene00010303,Public name for WBGene00010303. History: N.A.
csr-1,0,5,0.059,csr-1,WBGene00017641,Public name for WBGene00017641. History: N.A.. Other name for WBGene00003637(nhr-47). History: Renamed on 2005-12-15
ddx-27,0,5,0.095,ddx-27,WBGene00022148,Public name for WBGene00022148. History: Renamed on 2015-02-09
eef-2,0,5,0.054,eef-2,WBGene00001167,Public name for WBGene00001167. History: Renamed on 2010-08-03
emb-4,0,5,0.055,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,5,0.105,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,5,0.083,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
hsp-6,4,5,0.085,hsp-6,WBGene00002010,Public name for WBGene00002010. History: N.A.
icd-1,0,5,0.404,icd-1,WBGene00002045,Public name for WBGene00002045. History: N.A.
let-858,0,5,0.056,let-858,WBGene00002957,Public name for WBGene00002957. History: N.A.
lys-1,0,5,0.185,lys-1,WBGene00003090,Public name for WBGene00003090. History: N.A.
mog-2,0,5,0.15,mog-2,WBGene00003390,Public name for WBGene00003390. History: Renamed on 2011-05-05
mrps-22,0,5,0.105,mrps-22,WBGene00007564,Public name for WBGene00007564. History: N.A.
nola-3,0,5,0.266,nola-3,WBGene00007708,Public name for WBGene00007708. History: N.A.
nst-1,0,5,0.097,nst-1,WBGene00003821,Public name for WBGene00003821. History: N.A.
pqn-70,0,5,0.132,pqn-70,WBGene00004152,Public name for WBGene00004152. History: N.A.
prp-21,0,5,0.14,prp-21,WBGene00004188,Public name for WBGene00004188. History: N.A.
rps-19,0,5,0.164,rps-19,WBGene00004488,Public name for WBGene00004488. History: N.A.
rps-24,0,5,0.229,rps-24,WBGene00004493,Public name for WBGene00004493. History: N.A.
sacy-1,8,5,0.111,sacy-1,WBGene00019245,Public name for WBGene00019245. History: N.A.
tbb-2,4,5,0.124,tbb-2,WBGene00006537,Public name for WBGene00006537. History: N.A.
vrs-2,0,5,0.053,vrs-2,WBGene00006936,Other name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
Y67D2.6,0,5,0.082,Y67D2.6,WBGene00022056,Sequence name for WBGene00022056(ddx-35). History: N.A.
abcf-2,0,4,0.029,abcf-2,WBGene00012097,Public name for WBGene00012097. History: N.A.
asp-4,0,4,0.108,asp-4,WBGene00000217,Public name for WBGene00000217. History: N.A.
atad-3,0,4,0.116,atad-3,WBGene00010015,Public name for WBGene00010015. History: N.A.
atp-2,3,4,0.104,atp-2,WBGene00000229,Public name for WBGene00000229. History: N.A.
C16C10.4,0,4,0.12,C16C10.4,WBGene00007625,Public name for WBGene00007625. History: N.A.
cdc-48.3,0,4,0.08,cdc-48.3,WBGene00010562,Public name for WBGene00010562. History: N.A.
CELE_D1054.11,3,4,0.142,CELE_D1054.11,WBGene00008378,Other name for WBGene00008378(ule-3). History: N.A.
CELE_H05C05.1,0,4,0.096,CELE_H05C05.1,WBGene00019157,Other name for WBGene00019157(H05C05.1). History: N.A.
CELE_T04A8.6,0,4,0.107,CELE_T04A8.6,WBGene00011408,Other name for WBGene00011408(nifk-1). History: N.A.
CELE_T13H5.4,0,4,0.052,CELE_T13H5.4,WBGene00011758,Other name for WBGene00011758(prp-9). History: Renamed on 2005-03-17; Renamed on 2021-03-11
CELE_W03F9.10,0,4,0.065,CELE_W03F9.10,WBGene00021004,Other name for WBGene00021004(sftb-2). History: N.A.
CELE_W08E3.2,0,4,0.089,CELE_W08E3.2,WBGene00012343,Other name for WBGene00012343(casc-3). History: N.A.
CELE_Y37E3.8,0,4,0.145,CELE_Y37E3.8,WBGene00021350,Other name for WBGene00021350(Y37E3.8). History: N.A.
CELE_Y69A2AR.18,2,4,0.187,CELE_Y69A2AR.18,WBGene00022089,Other name for WBGene00022089(Y69A2AR.18). History: N.A.
CELE_ZK1127.3,0,4,0.034,CELE_ZK1127.3,WBGene00022850,Other name for WBGene00022850(ZK1127.3). History: N.A.
cir-1,2,4,0.086,cir-1,WBGene00018892,Public name for WBGene00018892. History: N.A.
cyn-15,0,4,0.089,cyn-15,WBGene00000891,Public name for WBGene00000891. History: N.A.
ech-1.2,3,4,0.068,ech-1.2,WBGene00020347,Public name for WBGene00020347. History: N.A.
emb-4,0,4,0.055,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,4,0.105,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
emb-4,0,4,0.083,emb-4,WBGene00001258,Public name for WBGene00001258. History: Renamed on 2006-10-16
frg-1,0,4,0.255,frg-1,WBGene00014177,Public name for WBGene00014177. History: N.A.
gls-1,0,4,0.065,gls-1,WBGene00007975,Public name for WBGene00007975. History: N.A.
icd-2,0,4,0.234,icd-2,WBGene00022042,Public name for WBGene00022042. History: N.A.
lec-2,1,4,0.165,lec-2,WBGene00002265,Public name for WBGene00002265. History: N.A.
let-630,0,4,0.083,let-630,WBGene00002804,Public name for WBGene00002804. History: Renamed on 2014-09-04
lpd-7,0,4,0.111,lpd-7,WBGene00003063,Public name for WBGene00003063. History: N.A.
mrps-28,0,4,0.099,mrps-28,WBGene00012830,Public name for WBGene00012830. History: N.A.
nrde-3,0,4,0.044,nrde-3,WBGene00019862,Public name for WBGene00019862. History: Renamed on 2011-10-14
prpf-4,1,4,0.04,prpf-4,WBGene00004186,Public name for WBGene00004186. History: Renamed on 2007-02-23; Renamed on 2015-03-05
pyc-1,1,4,0.045,pyc-1,WBGene00004258,Public name for WBGene00004258. History: N.A.
rde-12,0,4,0.055,rde-12,WBGene00010280,Public name for WBGene00010280. History: N.A.
rpl-24.1,1,4,0.17,rpl-24.1,WBGene00004436,Public name for WBGene00004436. History: N.A.
rps-23,1,4,0.077,rps-23,WBGene00004492,Public name for WBGene00004492. History: N.A.
rsd-2,0,4,0.039,rsd-2,WBGene00004681,Public name for WBGene00004681. History: N.A.
sig-7,0,4,0.212,sig-7,WBGene00000890,Public name for WBGene00000890. History: Renamed on 2006-01-05
smu-1,0,4,0.1,smu-1,WBGene00004895,Public name for WBGene00004895. History: N.A.
snr-6,0,4,0.411,snr-6,WBGene00004919,Public name for WBGene00004919. History: N.A.
ZK669.4,0,4,0.123,ZK669.4,WBGene00014054,Sequence name for WBGene00014054(dbt-1). History: N.A.
C07A9.2,0,3,0.197,C07A9.2,WBGene00007400,Sequence name for WBGene00007400(bud-31). History: N.A.
C07A9.5,0,3,0.022,C07A9.5,WBGene00007401,Public name for WBGene00007401. History: N.A.
C44E4.4,0,3,0.081,C44E4.4,WBGene00016653,Sequence name for WBGene00016653(ssb-1). History: N.A.
C50D2.5,0,3,0.152,C50D2.5,WBGene00016808,Sequence name for WBGene00016808(sftb-6). History: N.A.
cbd-1,1,3,0.037,cbd-1,WBGene00010351,Public name for WBGene00010351. History: N.A.
cct-1,0,3,0.071,cct-1,WBGene00000377,Public name for WBGene00000377. History: N.A.
CELE_F10G7.9,0,3,0.067,CELE_F10G7.9,WBGene00017372,Other name for WBGene00017372(F10G7.9). History: N.A.
CELE_F53B7.3,0,3,0.112,CELE_F53B7.3,WBGene00009966,Other name for WBGene00009966(isy-1). History: N.A.
CELE_F53H1.1,2,3,0.048,CELE_F53H1.1,WBGene00018776,Other name for WBGene00018776(ddx-46). History: N.A.
CELE_R12E2.13,0,3,0.16,CELE_R12E2.13,WBGene00020038,Other name for WBGene00020038(R12E2.13). History: N.A.
CELE_T20F5.6,0,3,0.048,CELE_T20F5.6,WBGene00020628,Other name for WBGene00020628(T20F5.6). History: N.A.
CELE_T23E7.2,1,3,0.037,CELE_T23E7.2,WBGene00020732,Other name for WBGene00020732(T23E7.2). History: N.A.
