# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
F58G1.1,17044,1447.7191119139,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
K09H11.3,16949,1439.649802149,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
B0361.3,16778,1425.1250445723,B0361.3,WBGene00015157,Public name for WBGene00015157. History: N.A.
F58A4.10,16572,1407.6273833981,F58A4.10,WBGene00006704,Sequence name for WBGene00006704(ubc-7). History: N.A.
C25H3.12,16109,1368.3001158073,C25H3.12,WBGene00016121,Sequence name for WBGene00016121(ift-43). History: N.A.
B0273.3,15774,1339.8451813735,B0273.3,WBGene00015098,Sequence name for WBGene00015098(snpc-3.1). History: N.A.
ZK430.1,15634,1327.9535669832,ZK430.1,WBGene00022739,Sequence name for WBGene00022739(toe-1). History: N.A.
Y56A3A.18,15386,1306.8884214918,Y56A3A.18,WBGene00013236,Sequence name for WBGene00013236(znf-593). History: N.A.
T05H10.7,15276,1297.5450101852,T05H10.7,WBGene00011511,Sequence name for WBGene00011511(gpcp-2). History: N.A.
F10E7.2,14846,1261.0207659865,F10E7.2,WBGene00017344,Public name for WBGene00017344. History: N.A.
B0250.8,14511,1232.5658315526,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
C36A4.5,14508,1232.3110112442,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
Y45G5AM.2,14428,1225.5158030212,Y45G5AM.2,WBGene00021555,Sequence name for WBGene00021555(pid-5). History: N.A.
R06F6.1,14411,1224.0718212738,R06F6.1,WBGene00000411,Sequence name for WBGene00000411(cdl-1). History: N.A.
D2045.2,14220,1207.8482616413,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
F36A4.7,14056,1193.9180847842,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
T01G9.2,13986,1187.972277589,T01G9.2,WBGene00011344,Public name for WBGene00011344. History: N.A.
Y48G1BM.1,13763,1169.0306346674,Y48G1BM.1,WBGene00021667,Sequence name for WBGene00021667(snpc-3.2). History: N.A.
Y55F3AM.10,13730,1166.2276112754,Y55F3AM.10,WBGene00021927,Sequence name for WBGene00021927(abhd-14). History: N.A.
K12D12.5,13689,1162.7450670611,K12D12.5,WBGene00010787,Public name for WBGene00010787. History: N.A.
Y48B6A.3,13470,1144.1431845506,Y48B6A.3,WBGene00006964,Sequence name for WBGene00006964(xrn-2). History: N.A.
C14C11.6,13106,1113.2249871358,C14C11.6,WBGene00003507,Sequence name for WBGene00003507(mut-14). History: N.A.
F36D4.3,13025,1106.34483881,F36D4.3,WBGene00002036,Sequence name for WBGene00002036(hum-2). History: N.A.
F15E6.1,12862,1092.4996020556,F15E6.1,WBGene00017482,Sequence name for WBGene00017482(set-9). History: N.A.
Y73B6A.5,12859,1092.2447817473,Y73B6A.5,WBGene00003030,Sequence name for WBGene00003030(lin-45). History: N.A.
T01C3.8,12386,1052.0681131287,T01C3.8,WBGene00011323,Sequence name for WBGene00011323(mut-15). History: Renamed on 2013-10-16
Y24D9A.1,12244,1040.0066185328,Y24D9A.1,WBGene00021281,Sequence name for WBGene00021281(ell-1). History: N.A.
Y48G1BL.2,12172,1033.8909311321,Y48G1BL.2,WBGene00000227,Sequence name for WBGene00000227(atm-1). History: N.A.
B0432.2,12026,1021.4896761251,B0432.2,WBGene00015184,Sequence name for WBGene00015184(djr-1.1). History: N.A.
F11A10.1,11930,1013.3354262575,F11A10.1,WBGene00008682,Sequence name for WBGene00008682(lex-1). History: N.A.
ZK381.4,11758,998.725728578,ZK381.4,WBGene00003992,Sequence name for WBGene00003992(pgl-1). History: N.A.
T12E12.3,11717,995.2431843637,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
F26D10.3,11648,989.3823172713,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
Y46H3C.6,11627,987.5985751128,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
T05H10.1,11599,985.2202522347,T05H10.1,WBGene00011507,Public name for WBGene00011507. History: N.A.
F09E5.10,11569,982.6720491511,F09E5.10,WBGene00017288,Public name for WBGene00017288. History: N.A.
D2096.1,11560,981.907588226,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
C01G10.11,11427,970.6105545552,C01G10.11,WBGene00006808,Sequence name for WBGene00006808(unc-76). History: N.A.
Y75B8A.19,11422,970.1858540413,Y75B8A.19,WBGene00013554,Public name for WBGene00013554. History: N.A.
T12F5.3,11373,966.0237890047,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
ZK1248.14,11107,943.4297216632,ZK1248.14,WBGene00001509,Sequence name for WBGene00001509(fzo-1). History: N.A.
B0414.5,11066,939.9471774489,B0414.5,WBGene00000772,Sequence name for WBGene00000772(cpb-3). History: N.A.
Y37A1C.1,11020,936.0399327206,Y37A1C.1,WBGene00012543,Sequence name for WBGene00012543(nkcc-1). History: N.A.
Y34D9A.4,11012,935.3604118983,Y34D9A.4,WBGene00004952,"Sequence name for WBGene00004952(spd-1). History: N.A.. Public name for Dead gene WBGene00021330. History of WBGene00021330: Merged into ""WBGene00004952"" on 2004-12-02"
ZC317.1,10945,929.6694250116,ZC317.1,WBGene00022587,Public name for WBGene00022587. History: N.A.
W02G9.5,10895,925.4224198722,W02G9.5,WBGene00020955,Sequence name for WBGene00020955(angl-1). History: N.A.
Y43F4B.6,10890,924.9977193582,Y43F4B.6,WBGene00002229,Sequence name for WBGene00002229(klp-19). History: N.A.
F37D6.3,10812,918.3723913408,F37D6.3,WBGene00009509,Public name for WBGene00009509. History: N.A.
Y67D8C.5,10775,915.2296075377,Y67D8C.5,WBGene00022069,Sequence name for WBGene00022069(eel-1). History: N.A.
T05H10.5,10728,911.2374227066,T05H10.5,WBGene00006734,Sequence name for WBGene00006734(ufd-2). History: N.A.
C03B8.4,10617,901.8090712972,C03B8.4,WBGene00003002,Sequence name for WBGene00003002(lin-13). History: N.A.
ZK1055.1,10536,894.9289229714,ZK1055.1,WBGene00001829,Sequence name for WBGene00001829(hcp-1). History: N.A.
Y71A12B.10,10499,891.7861391682,Y71A12B.10,WBGene00013507,Public name for WBGene00013507. History: N.A.
T05H4.1,10498,891.7011990655,T05H4.1,WBGene00020264,Sequence name for WBGene00020264(acl-8). History: N.A.
Y53F4B.9,10423,885.3306913564,Y53F4B.9,WBGene00013156,Public name for WBGene00013156. History: N.A.
C26E6.3,10395,882.9523684783,C26E6.3,WBGene00016139,Sequence name for WBGene00016139(ntl-9). History: N.A.
ZK328.2,10373,881.083686217,ZK328.2,WBGene00001166,Sequence name for WBGene00001166(eftu-2). History: Renamed on 2010-08-03
F34D10.4,10328,877.2613815915,F34D10.4,WBGene00009374,Public name for WBGene00009374. History: N.A.
F25D7.4,10279,873.0993165549,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
Y39G10AR.7,10257,871.2306342936,Y39G10AR.7,WBGene00021465,Sequence name for WBGene00021465(ekl-7). History: N.A.
F29B9.2,10131,860.5281813424,F29B9.2,WBGene00017920,Sequence name for WBGene00017920(jmjd-1.2). History: N.A.
F36H1.2,10113,858.9992594922,F36H1.2,WBGene00006490,Sequence name for WBGene00006490(kdin-1). History: Renamed on 2012-12-21
R07H5.1,10057,854.2426137361,R07H5.1,WBGene00004199,Sequence name for WBGene00004199(prx-14). History: N.A.
T20D3.11,9929,843.3702805792,T20D3.11,WBGene00007505,"Public name for Dead gene WBGene00011862. History of WBGene00011862: Merged into ""WBGene00007505"" on 2014-05-28"
Y111B2A.3,9909,841.6714785235,Y111B2A.3,WBGene00013729,Public name for WBGene00013729. History: N.A.
Y53C10A.12,9855,837.084712973,Y53C10A.12,WBGene00002004,Sequence name for WBGene00002004(hsf-1). History: N.A.
Y37E3.15,9750,828.1660021802,Y37E3.15,WBGene00003799,Sequence name for WBGene00003799(npp-13). History: N.A.
C56C10.3,9717,825.3629787882,C56C10.3,WBGene00016961,Sequence name for WBGene00016961(vps-32.1). History: Renamed on 2007-06-04
T09A5.11,9604,815.7647471732,T09A5.11,WBGene00011638,Sequence name for WBGene00011638(ostb-1). History: N.A.
Y51H4A.12,9552,811.3478618283,Y51H4A.12,WBGene00013106,Sequence name for WBGene00013106(set-26). History: N.A.
F10F2.1,9470,804.3827733997,F10F2.1,WBGene00004760,"Sequence name for WBGene00004760(sel-2). History: N.A.. Public name for Dead gene WBGene00008653. History of WBGene00008653: Merged into ""WBGene00004760"" on 2007-02-05"
T01E8.5,9402,798.6068464101,T01E8.5,WBGene00011333,Sequence name for WBGene00011333(nrde-2). History: N.A.
C03H5.2,9400,798.4369662045,C03H5.2,WBGene00015404,Sequence name for WBGene00015404(nstp-4). History: N.A.
Y60A3A.13,9218,782.9778674972,Y60A3A.13,WBGene00013361,Sequence name for WBGene00013361(fars-2). History: Renamed on 2010-01-29
F59E12.6,9172,779.0706227689,F59E12.6,WBGene00019122,Public name for WBGene00019122. History: N.A.
Y49E10.19,9011,765.3952662201,Y49E10.19,WBGene00013038,Sequence name for WBGene00013038(ani-1). History: N.A.
C47D12.6,9002,764.630805295,C47D12.6,WBGene00006617,Sequence name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
C47B2.3,8978,762.5922428281,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
T08B2.9,8888,754.9476335772,T08B2.9,WBGene00001497,Sequence name for WBGene00001497(fars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-04
F53F10.2,8855,752.1446101852,F53F10.2,WBGene00018764,Public name for WBGene00018764. History: N.A.
Y57G11C.51,8840,750.8705086434,Y57G11C.51,WBGene00044258,Public name for WBGene00044258. History: N.A.
Y54G11A.14,8809,748.237365457,Y54G11A.14,WBGene00013221,Public name for WBGene00013221. History: N.A.
F22H10.4,8793,746.8783238124,F22H10.4,WBGene00017729,"Public name for Dead gene WBGene00017728. History of WBGene00017728: Merged into ""WBGene00017729"" on 2014-12-15"
Y48A5A.1,8793,746.8783238124,Y48A5A.1,WBGene00021655,Public name for WBGene00021655. History: N.A.
C41G7.2,8784,746.1138628873,C41G7.2,WBGene00002226,Sequence name for WBGene00002226(klp-16). History: N.A.
T03F6.5,8776,745.434342065,T03F6.5,WBGene00003047,Sequence name for WBGene00003047(lis-1). History: N.A.
T05E7.3,8773,745.1795217566,T05E7.3,WBGene00020259,Public name for WBGene00020259. History: N.A.
F13H10.8,8719,740.5927562061,F13H10.8,WBGene00044784,Public name for WBGene00044784. History: N.A.
F20C5.3,8662,735.7511703472,F20C5.3,WBGene00008968,Sequence name for WBGene00008968(elli-1). History: N.A.
F55F10.1,8616,731.843925619,F55F10.1,WBGene00018898,Public name for WBGene00018898. History: N.A.
Y110A7A.18,8610,731.3342850022,Y110A7A.18,WBGene00004094,Sequence name for WBGene00004094(ppw-2). History: Renamed on 2011-10-14
D1081.9,8567,727.6818605824,D1081.9,WBGene00008387,Sequence name for WBGene00008387(zhp-2). History: N.A.
F13D12.5,8548,726.0679986294,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F48E8.6,8484,720.631832051,F48E8.6,WBGene00018612,Sequence name for WBGene00018612(disl-2). History: Renamed on 2017-03-13
T12E12.2,8473,719.6974909203,T12E12.2,WBGene00020463,Sequence name for WBGene00020463(cec-6). History: N.A.
T04A8.16,8472,719.6125508175,T04A8.16,WBGene00000543,Sequence name for WBGene00000543(clp-2). History: N.A.
W03H9.2,8414,714.6860248559,W03H9.2,WBGene00012228,Public name for WBGene00012228. History: N.A.
B0228.7,8407,714.0914441363,B0228.7,WBGene00015064,Public name for WBGene00015064. History: N.A.
F59E12.10,8396,713.1571030057,F59E12.10,WBGene00019125,Sequence name for WBGene00019125(ddl-1). History: N.A.
Y110A7A.9,8361,710.1841994081,Y110A7A.9,WBGene00022459,Public name for WBGene00022459. History: N.A.
T05A7.4,8317,706.4468348854,T05A7.4,WBGene00001976,Sequence name for WBGene00001976(hmg-11). History: N.A.
T12G3.1,8315,706.2769546799,T12G3.1,WBGene00011737,Sequence name for WBGene00011737(sqst-1). History: N.A.
T19B4.7,8151,692.3467778227,T19B4.7,WBGene00006776,Sequence name for WBGene00006776(unc-40). History: Renamed on 2010-05-19; Renamed on 2010-08-27
T10G3.5,8131,690.6479757669,T10G3.5,WBGene00011696,Sequence name for WBGene00011696(eea-1). History: N.A.
C38D4.9,8073,685.7214498052,C38D4.9,WBGene00008008,Sequence name for WBGene00008008(metl-5). History: N.A.
C14B1.7,8068,685.2967492913,C14B1.7,WBGene00007578,Public name for WBGene00007578. History: N.A.
F28H1.3,8021,681.3045644603,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
C53D5.6,7987,678.4166009655,C53D5.6,WBGene00002077,Sequence name for WBGene00002077(imb-3). History: N.A.
Y81G3A.3,7930,673.5750151066,Y81G3A.3,WBGene00013591,Sequence name for WBGene00013591(gcn-2). History: N.A.
F02E9.4,7905,671.4515125369,F02E9.4,WBGene00004117,Sequence name for WBGene00004117(sin-3). History: Renamed on 2007-06-21
F23B12.8,7853,667.0346271919,F23B12.8,WBGene00000257,Sequence name for WBGene00000257(bmk-1). History: N.A.
K12D12.1,7823,664.4864241083,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
F11H8.4,7799,662.4478616414,F11H8.4,WBGene00000872,Sequence name for WBGene00000872(cyk-1). History: N.A.
T21E12.4,7792,661.8532809219,T21E12.4,WBGene00000962,Sequence name for WBGene00000962(dhc-1). History: N.A.
C16C10.3,7788,661.5135205107,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
ZC155.3,7717,655.4827732128,ZC155.3,WBGene00022531,Sequence name for WBGene00022531(morc-1). History: N.A.
C41D11.1,7711,654.9731325961,C41D11.1,WBGene00016561,Sequence name for WBGene00016561(eri-6). History: N.A.
C10C5.1,7703,654.2936117738,C10C5.1,WBGene00007505,Sequence name for WBGene00007505(pezo-1). History: N.A.
T14G10.5,7688,653.019510232,T14G10.5,WBGene00011775,Sequence name for WBGene00011775(copg-1). History: N.A.
B0491.6,7616,646.9038228313,B0491.6,WBGene00007193,Public name for WBGene00007193. History: N.A.
F37A4.9,7614,646.7339426257,F37A4.9,WBGene00018137,Sequence name for WBGene00018137(bath-41). History: N.A.
W04B5.5,7525,639.1742734776,W04B5.5,WBGene00021022,Public name for WBGene00021022. History: N.A.
C16A11.4,7523,639.004393272,C16A11.4,WBGene00015817,Public name for WBGene00015817. History: N.A.
C32F10.2,7503,637.3055912162,C32F10.2,WBGene00003020,Sequence name for WBGene00003020(lin-35). History: N.A.
K01G5.7,7476,635.012208441,K01G5.7,WBGene00006536,Sequence name for WBGene00006536(tbb-1). History: N.A.
T07C4.10,7399,628.4718205263,T07C4.10,WBGene00011562,"Sequence name for WBGene00011562(sas-7). History: Split into ""WBGene00044098"" on 2005-02-03"
F29C12.5,7388,627.5374793957,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
C41C4.4,7364,625.4989169288,C41C4.4,WBGene00002147,Sequence name for WBGene00002147(ire-1). History: N.A.
C07A9.3,7353,624.5645757981,C07A9.3,WBGene00006579,Sequence name for WBGene00006579(tlk-1). History: N.A.
W04C9.1,7351,624.3946955925,W04C9.1,WBGene00001814,Sequence name for WBGene00001814(haf-4). History: N.A.
C06H2.2,7290,619.2133493225,C06H2.2,WBGene00007386,Public name for WBGene00007386. History: N.A.
Y48G1C.1,7272,617.6844274723,Y48G1C.1,WBGene00021676,Sequence name for WBGene00021676(pid-2). History: Renamed on 2021-03-11
F18A1.5,7225,613.6922426413,F18A1.5,WBGene00017546,Sequence name for WBGene00017546(rpa-1). History: N.A.
K08E7.3,7224,613.6073025385,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
Y52B11A.18,7179,609.784997913,Y52B11A.18,WBGene00206497,Public name for WBGene00206497. History: N.A.
Y18D10A.25,7131,605.7078729792,Y18D10A.25,WBGene00001433,Sequence name for WBGene00001433(fkb-8). History: N.A.
Y44E3A.6,7125,605.1982323625,Y44E3A.6,WBGene00021551,Sequence name for WBGene00021551(edc-4). History: N.A.
T01G5.8,7094,602.5650891761,T01G5.8,WBGene00077585,Public name for WBGene00077585. History: N.A.
F22B5.7,7077,601.1211074287,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
Y22D7AL.5,7026,596.7891621865,Y22D7AL.5,WBGene00002025,Sequence name for WBGene00002025(hsp-60). History: N.A.
ZK370.7,6987,593.4764981778,ZK370.7,WBGene00022721,Sequence name for WBGene00022721(ugtp-1). History: N.A.
C27A2.2,6976,592.5421570471,C27A2.2,WBGene00004434,Sequence name for WBGene00004434(rpl-22). History: N.A.
F14B4.3,6957,590.9282950941,F14B4.3,WBGene00008781,Sequence name for WBGene00008781(rpoa-2). History: N.A.
B0250.5,6920,587.785511291,B0250.5,WBGene00007122,Public name for WBGene00007122. History: N.A.
K12H4.8,6920,587.785511291,K12H4.8,WBGene00000939,Sequence name for WBGene00000939(dcr-1). History: N.A.
R12C12.2,6905,586.5114097492,R12C12.2,WBGene00004306,Sequence name for WBGene00004306(ran-5). History: N.A.
W09D10.2,6858,582.5192249182,W09D10.2,WBGene00012360,Sequence name for WBGene00012360(tat-3). History: N.A.
Y56A3A.5,6800,577.5926989565,Y56A3A.5,WBGene00013226,"Sequence name for WBGene00013226(faah-5). History: Split into Y56A3A.41(WBGene00269438). History of WBGene00013226: Split into ""WBGene00269438"" on 2016-04-19"
F54B3.1,6776,575.5541364896,F54B3.1,WBGene00010013,Public name for WBGene00010013. History: N.A.
B0205.9,6772,575.2143760784,B0205.9,WBGene00015023,Public name for WBGene00015023. History: N.A.
Y71G12B.8,6755,573.770394331,Y71G12B.8,WBGene00022148,Sequence name for WBGene00022148(ddx-27). History: Renamed on 2015-02-09
C02F5.7,6733,571.9017120697,C02F5.7,WBGene00015350,Sequence name for WBGene00015350(fbxl-1). History: N.A.
Y47G6A.28,6730,571.6468917613,Y47G6A.28,WBGene00006440,Sequence name for WBGene00006440(nefr-1). History: Renamed on 2021-04-19
M04B2.1,6721,570.8824308362,M04B2.1,WBGene00003218,Sequence name for WBGene00003218(mep-1). History: N.A.
T04A11.6,6709,569.8631496028,T04A11.6,WBGene00001865,Sequence name for WBGene00001865(him-6). History: N.A.
ZK930.1,6691,568.3342277526,ZK930.1,WBGene00014151,Sequence name for WBGene00014151(vps-15). History: N.A.
C04F5.1,6686,567.9095272387,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
Y54E2A.4,6683,567.6547069303,Y54E2A.4,WBGene00013189,Public name for WBGene00013189. History: N.A.
F28F8.5,6669,566.4655454913,F28F8.5,WBGene00009223,Sequence name for WBGene00009223(mdt-28). History: N.A.
C38D4.3,6647,564.59686323,C38D4.3,WBGene00003210,"Sequence name for WBGene00003210(mel-28). History: N.A.. Public name for Dead gene WBGene00008004. History of WBGene00008004: Merged into ""WBGene00003210"" on 2006-07-13"
F26G5.9,6633,563.4077017909,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
T05A6.2,6631,563.2378215854,T05A6.2,WBGene00000517,Sequence name for WBGene00000517(cki-2). History: N.A.
T12D8.1,6621,562.3884205575,T12D8.1,WBGene00011729,Sequence name for WBGene00011729(set-16). History: Renamed on 2007-05-03
F37A4.8,6583,559.1606966515,F37A4.8,WBGene00002169,Sequence name for WBGene00002169(isw-1). History: N.A.
C01H6.5,6569,557.9715352125,C01H6.5,WBGene00003622,Sequence name for WBGene00003622(nhr-23). History: Renamed on 2015-03-05
C18G1.4,6558,557.0371940819,C18G1.4,WBGene00003994,"Sequence name for WBGene00003994(pgl-3). History: Renamed on 2005-10-06. Public name for Dead gene WBGene00015983. History of WBGene00015983: Merged into ""WBGene00003994"" on 2005-09-06"
F57B9.5,6551,556.4426133623,F57B9.5,WBGene00000276,Sequence name for WBGene00000276(byn-1). History: N.A.
ZK973.2,6538,555.3383920261,ZK973.2,WBGene00022831,Sequence name for WBGene00022831(cec-10). History: N.A.
Y73B6BL.5,6526,554.3191107926,Y73B6BL.5,WBGene00004783,"Sequence name for WBGene00004783(seu-1). History: N.A.. Public name for Dead gene WBGene00022234. History of WBGene00022234: Merged into ""WBGene00004783"" on 2007-12-07"
Y110A7A.1,6523,554.0642904843,Y110A7A.1,WBGene00001833,Sequence name for WBGene00001833(hcp-6). History: Renamed on 2015-03-05; Renamed on 2015-03-05
C14B9.4,6474,549.9022254477,C14B9.4,WBGene00004042,Sequence name for WBGene00004042(plk-1). History: N.A.
C04G6.3,6462,548.8829442142,C04G6.3,WBGene00004040,Sequence name for WBGene00004040(pld-1). History: N.A.
T20G5.11,6458,548.5431838031,T20G5.11,WBGene00004326,Sequence name for WBGene00004326(rde-4). History: N.A.
Y48E1A.1,6417,545.0606395888,Y48E1A.1,WBGene00012999,Sequence name for WBGene00012999(rpoa-1). History: N.A.
F23H11.2,6372,541.2383349633,F23H11.2,WBGene00017758,Public name for WBGene00017758. History: N.A.
F20D12.1,6358,540.0491735243,F20D12.1,WBGene00017641,Sequence name for WBGene00017641(csr-1). History: N.A.
Y43F11A.5,6356,539.8792933187,Y43F11A.5,WBGene00012845,Sequence name for WBGene00012845(set-24). History: N.A.
K10D2.3,6333,537.9256709546,K10D2.3,WBGene00019629,Sequence name for WBGene00019629(cid-1). History: Renamed on 2007-05-15; Renamed on 2010-02-04
R05D11.8,6325,537.2461501323,R05D11.8,WBGene00011036,Sequence name for WBGene00011036(edc-3). History: N.A.
Y40B10A.8,6280,533.4238455069,Y40B10A.8,WBGene00003676,Sequence name for WBGene00003676(nhr-86). History: N.A.
C33E10.2,6250,530.8756424232,C33E10.2,WBGene00016346,Sequence name for WBGene00016346(fbxa-120). History: N.A.
F54C8.4,6246,530.5358820121,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
F10G7.3,6204,526.968397695,F10G7.3,WBGene00006817,"Sequence name for WBGene00006817(unc-85). History: Renamed on 2008-06-05. Public name for Dead gene WBGene00017368. History of WBGene00017368: Merged into ""WBGene00006817"" on 2008-06-05"
Y39G10AR.18,6187,525.5244159476,Y39G10AR.18,WBGene00021474,Sequence name for WBGene00021474(dot-1.1). History: N.A.
Y92H12BR.3,6154,522.7213925556,Y92H12BR.3,WBGene00022369,Public name for WBGene00022369. History: N.A.
ZK945.3,6145,521.9569316305,ZK945.3,WBGene00014165,Sequence name for WBGene00014165(puf-12). History: N.A.
C18A3.5,6137,521.2774108082,C18A3.5,WBGene00015943,Sequence name for WBGene00015943(tiar-1). History: N.A.
Y49E10.17,6124,520.173189472,Y49E10.17,WBGene00013036,Sequence name for WBGene00013036(fbxa-218). History: N.A.
C09G5.2,6119,519.748488958,C09G5.2,WBGene00007488,Sequence name for WBGene00007488(dph-2). History: N.A.
R01H2.6,6100,518.1346270051,R01H2.6,WBGene00006713,Sequence name for WBGene00006713(ubc-18). History: N.A.
F37B12.3,6069,515.5014838187,F37B12.3,WBGene00009505,Public name for WBGene00009505. History: N.A.
F49E8.3,6034,512.5285802211,F49E8.3,WBGene00003914,Sequence name for WBGene00003914(pam-1). History: Renamed on 2006-10-19
C49H3.8,6033,512.4436401183,C49H3.8,WBGene00016793,Sequence name for WBGene00016793(arp-11). History: N.A.
C18H2.2,6017,511.0845984737,C18H2.2,WBGene00015989,Public name for WBGene00015989. History: N.A.
