# Inheritance comparison (log2foldChange=log2(F3 of starved worms/fed)),,,,,,,
gene,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
C36B1.9,179.0437662,-0.728062896,1.04E-07,3.53E-06,C36B1.9,WBGene00007976,Public name for WBGene00007976. History: N.A.
C36C9.3,250.0849777,1.379902658,1.56E-08,6.74E-07,C36C9.3,WBGene00016486,Sequence name for WBGene00016486(fbxa-170). History: N.A.
C36C9.7,54.54280213,0.569560115,0.016055931,0.069015552,C36C9.7,WBGene00198318,Public name for WBGene00198318. History: N.A.
C36F7.5,172.2342198,-1.816806337,8.80E-28,3.60E-25,C36F7.5,WBGene00007986,Public name for WBGene00007986. History: N.A.
C37A5.1,198.5911719,0.637354635,0.000206069,0.002291097,C37A5.1,WBGene00007988,Sequence name for WBGene00007988(best-8). History: N.A.
C38C3.3,248.3453199,0.423555408,0.001010017,0.00821654,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
C39B5.2,34.63359583,-2.861400811,2.26E-21,5.88E-19,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
C40A11.10,554.1004268,-2.588682259,3.71E-33,2.01E-30,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
C41D11.3,375.7824736,-0.338429866,0.005023357,0.028932808,C41D11.3,WBGene00016562,Public name for WBGene00016562. History: N.A.
C42D8.2,167.3357547,-1.114665324,1.49E-15,2.20E-13,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
C44B7.11,82.40422364,-1.342055959,0.00022226,0.00243713,C44B7.11,WBGene00016631,Public name for WBGene00016631. History: N.A.
C46E1.3,113.1034263,0.545003735,0.00705402,0.037510234,C46E1.3,WBGene00001362,Sequence name for WBGene00001362(exc-1). History: N.A.
C46F11.6,234.9624981,-1.297081788,8.36E-06,0.000154113,C46F11.6,WBGene00008121,Public name for WBGene00008121. History: N.A.
C46F9.3,37.16546794,-2.682360439,2.25E-11,1.70E-09,C46F9.3,WBGene00016719,Sequence name for WBGene00016719(math-24). History: N.A.
C46G7.3,1369.741154,1.088095297,2.97E-35,1.92E-32,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C47F8.8,77.30504109,0.610724932,0.024268371,0.092991017,C47F8.8,WBGene00003671,Sequence name for WBGene00003671(nhr-81). History: N.A.
C49A9.9,138.6826549,-0.632647814,0.026103141,0.097492591,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
C50C3.1,301.6488321,-0.431316525,0.005472289,0.030804291,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
C52E4.1,19.28661922,-1.189224703,0.000585469,0.005314713,C52E4.1,WBGene00000781,Sequence name for WBGene00000781(cpr-1). History: N.A.
C53C7.3,533.7329786,-0.555123038,0.000687915,0.006065919,C53C7.3,WBGene00008279,Public name for WBGene00008279. History: N.A.
C56E6.3,753.3926731,0.479135931,0.012523659,0.057419876,C56E6.3,WBGene00016971,Sequence name for WBGene00016971(toe-2). History: N.A.
D2045.2,4060.731296,0.339642499,0.000205944,0.002291097,D2045.2,WBGene00008422,Sequence name for WBGene00008422(ecps-1). History: N.A.
D2096.2,474.6051013,-0.65785892,0.002364372,0.016184008,D2096.2,WBGene00017070,Sequence name for WBGene00017070(praf-3). History: N.A.
D2096.4,101.8548469,-0.637756557,0.001091629,0.008769914,D2096.4,WBGene00005019,Sequence name for WBGene00005019(sqv-1). History: N.A.
E01G4.7,4615.201193,-1.091457276,1.65E-06,3.88E-05,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
E02H9.9,935.9825423,-0.881925789,1.07E-06,2.75E-05,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
E03A3.1,62.28468051,1.122116348,1.41E-05,0.000239254,E03A3.1,WBGene00014728,Public name for WBGene00014728. History: N.A.
EEED8.10,1174.324608,-0.590615888,0.000175062,0.002010694,EEED8.10,WBGene00017138,Public name for WBGene00017138. History: N.A.
F01G4.5,66.92141208,-0.812995561,0.000154369,0.001808267,F01G4.5,WBGene00008504,Sequence name for WBGene00008504(pigq-1). History: N.A.
F07B7.14,59.59893044,1.085198348,0.000529683,0.004920351,F07B7.14,WBGene00017192,"Public name for WBGene00017192. History: Split into F07B7.18(WBGene00271801). History of WBGene00017192: Split into ""WBGene00271801"" on 2017-09-21"
F07C3.3,206.9499448,0.459925862,0.021988303,0.086832014,F07C3.3,WBGene00017194,Public name for WBGene00017194. History: N.A.
F07G6.2,5.504370097,1.256955302,0.010424588,0.050261273,F07G6.2,WBGene00017222,Public name for WBGene00017222. History: N.A.
F07G6.6,758.0278083,-1.095780792,3.06E-06,6.64E-05,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
F07G6.7,440.0480542,-0.934286273,7.92E-08,2.78E-06,F07G6.7,WBGene00017226,Sequence name for WBGene00017226(fbxa-53). History: N.A.
F08G12.2,79.50209407,0.604733498,0.006389156,0.034859999,F08G12.2,WBGene00008586,Sequence name for WBGene00008586(snrp-40.1). History: N.A.
F08G12.4,70.92793489,0.699857447,0.023253362,0.090146192,F08G12.4,WBGene00006922,Sequence name for WBGene00006922(vhl-1). History: N.A.
F08G5.3,519.7916459,0.825056467,8.09E-06,0.000150662,F08G5.3,WBGene00008582,Public name for WBGene00008582. History: N.A.
F09E10.6,10.36816601,1.27816793,0.002293244,0.0157879,F09E10.6,WBGene00017296,Public name for WBGene00017296. History: N.A.
F10C2.11,741.6645281,-1.058927484,0.000228443,0.002491509,F10C2.11,WBGene00198873,Public name for WBGene00198873. History: N.A.
F11A1.11,54.93421829,0.584155234,0.013755601,0.061588918,F11A1.11,WBGene00197130,Public name for WBGene00197130. History: N.A.
F11C1.5,85.85327023,-0.994104289,1.51E-06,3.64E-05,F11C1.5,WBGene00008694,Sequence name for WBGene00008694(vwa-8). History: N.A.
F11C3.3,53.87755138,1.756993275,4.70E-08,1.74E-06,F11C3.3,WBGene00006789,Sequence name for WBGene00006789(unc-54). History: N.A.
F11D11.12,132.8748829,-1.706250625,4.37E-16,6.66E-14,F11D11.12,WBGene00045362,Public name for WBGene00045362. History: N.A.
F11E6.5,33.335088,-1.432780001,6.34E-08,2.27E-06,F11E6.5,WBGene00001240,Sequence name for WBGene00001240(elo-2). History: N.A.
F11G11.13,76.83061618,-0.697353752,0.018207825,0.075673306,F11G11.13,WBGene00017388,Public name for WBGene00017388. History: N.A.
F13C5.1,323.3429864,-0.687372824,1.08E-05,0.000191889,F13C5.1,WBGene00017422,Public name for WBGene00017422. History: N.A.
F13H6.4,52.61317043,-1.210460961,5.33E-08,1.95E-06,F13H6.4,WBGene00017432,Public name for WBGene00017432. History: N.A.
F14F11.1,1475.773136,-1.151238736,3.98E-06,8.30E-05,F14F11.1,WBGene00008819,Sequence name for WBGene00008819(shw-1). History: N.A.
F15E11.1,23.2871134,-1.972228436,1.98E-07,6.26E-06,F15E11.1,WBGene00017490,Sequence name for WBGene00017490(pud-2.1). History: N.A.
F15E11.14,8.877382944,-1.610000461,0.000282922,0.002949573,F15E11.14,WBGene00017500,Sequence name for WBGene00017500(pud-2.2). History: N.A.
F19B2.1,145.8617717,0.601007302,0.000782125,0.006696232,F19B2.1,WBGene00008941,"Sequence name for WBGene00008941(srz-33). History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
F19B6.3,45.69886231,1.406891793,3.19E-08,1.25E-06,F19B6.3,WBGene00008949,Public name for WBGene00008949. History: N.A.
F19H8.1,28.7188345,-0.731541632,0.02675586,0.099173067,F19H8.1,WBGene00006603,Sequence name for WBGene00006603(tps-2). History: N.A.
F21D9.6,365.2461987,-1.073791561,3.80E-09,1.87E-07,F21D9.6,WBGene00009020,Public name for WBGene00009020. History: N.A.
F21F8.11,229.7980988,0.473528752,0.000298137,0.003079765,F21F8.11,WBGene00017681,Sequence name for WBGene00017681(slc-17.5). History: N.A.
F21F8.7,166.3509477,-0.967381426,7.23E-08,2.56E-06,F21F8.7,WBGene00000219,Sequence name for WBGene00000219(asp-6). History: N.A.
F22E12.4,143.4133202,-0.759223746,0.000110273,0.001368613,F22E12.4,WBGene00001178,Sequence name for WBGene00001178(egl-9). History: N.A.
F22F1.2,194.1730203,-2.770416689,1.31E-21,3.63E-19,F22F1.2,WBGene00017714,Public name for WBGene00017714. History: N.A.
F23A7.5,458.1176711,-1.29352123,2.53E-16,3.95E-14,F23A7.5,WBGene00009070,Public name for WBGene00009070. History: N.A.
F23C8.8,230.6619147,-0.530201891,0.014313341,0.063126818,F23C8.8,WBGene00017737,Public name for WBGene00017737. History: N.A.
F25E2.4,57.00260474,0.667253575,0.021985423,0.086832014,F25E2.4,WBGene00002058,Sequence name for WBGene00002058(ifd-2). History: N.A.
F25F2.2,67.07347298,-0.881416166,9.69E-06,0.000175033,F25F2.2,WBGene00000396,Sequence name for WBGene00000396(cdh-4). History: N.A.
F25H2.6,1294.767271,-0.573282808,0.007570511,0.039538781,F25H2.6,WBGene00009120,Public name for WBGene00009120. History: N.A.
F25H5.3,483.0602501,0.639196883,8.22E-07,2.20E-05,F25H5.3,WBGene00009126,Sequence name for WBGene00009126(pyk-1). History: N.A.
F26F12.3,54.24068099,-1.837641434,6.97E-10,3.97E-08,F26F12.3,WBGene00017834,Public name for WBGene00017834. History: N.A.
F27B10.3,53.34901002,0.631502063,0.009359375,0.046435619,F27B10.3,WBGene00197483,Public name for WBGene00197483. History: N.A.
F28A10.6,18.54987226,-1.070056368,0.00314295,0.020332411,F28A10.6,WBGene00017874,Sequence name for WBGene00017874(acdh-9). History: N.A.
F28B4.3,166.5516909,-1.232441227,5.98E-12,5.13E-10,F28B4.3,WBGene00017892,Public name for WBGene00017892. History: N.A.
F29C12.7,71.88777035,1.084655372,0.000393423,0.003847089,F29C12.7,WBGene00009249,Public name for WBGene00009249. History: Killed on 2004-08-20; Resurrected on 2005-01-27
F29G9.1,14047.79492,-2.03260278,3.23E-34,1.82E-31,F29G9.1,WBGene00017930,Public name for WBGene00017930. History: N.A.
F31A9.4,275.2834314,-1.373196933,1.35E-10,9.00E-09,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
F31B12.6,54.80374623,0.579363643,0.014433506,0.063532741,F31B12.6,WBGene00200252,Public name for WBGene00200252. History: N.A.
F31E9.11,1019.379131,-0.410902525,0.021833465,0.086346354,F31E9.11,WBGene00195233,Public name for WBGene00195233. History: N.A.
F35E8.8,14.03663827,1.313238795,0.001257071,0.009774576,F35E8.8,WBGene00001786,Sequence name for WBGene00001786(gst-38). History: N.A.
F36H5.5,16.26299769,0.988214035,0.006785232,0.036545373,F36H5.5,WBGene00018104,"Sequence name for WBGene00018104(fbxb-53). History: Split into F36H5.18(WBGene00305113). History of WBGene00018104: Split into ""WBGene00305113"" on 2019-10-21"
F39B2.8,354.0695793,-2.028092897,2.22E-57,2.74E-54,F39B2.8,WBGene00009558,Public name for WBGene00009558. History: N.A.
F39E9.10,5927.582864,-1.566403754,4.20E-11,3.04E-09,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
F39E9.6,7083.352725,-1.337235586,8.54E-09,3.92E-07,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
F39E9.7,10489.9356,-1.816527402,9.93E-28,3.85E-25,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F39F10.4,1018.386721,-2.033447347,7.56E-18,1.42E-15,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
F39G3.5,39.03509991,-0.66612031,0.007864557,0.040651539,F39G3.5,WBGene00018210,Public name for WBGene00018210. History: N.A.
F40D4.14,12.35257334,1.371081927,0.000934982,0.007707912,F40D4.14,WBGene00014753,Public name for WBGene00014753. History: N.A.
F40D4.16,769.170725,-1.357421432,1.35E-07,4.45E-06,F40D4.16,WBGene00194681,Public name for WBGene00194681. History: N.A.
F40E3.3,66.33448916,-1.012881275,4.55E-06,9.25E-05,F40E3.3,WBGene00018231,Public name for WBGene00018231. History: N.A.
F40G12.7,708.9042048,0.20584994,0.023051926,0.089545072,F40G12.7,WBGene00009602,Public name for WBGene00009602. History: N.A.
F40H3.6,1693.934895,-2.357748702,2.33E-16,3.71E-14,F40H3.6,WBGene00018252,Public name for WBGene00018252. History: N.A.
F40H6.6,41.61842675,0.631452617,0.015093429,0.065711933,F40H6.6,WBGene00044412,Public name for WBGene00044412. History: N.A.
F41F3.4,1427.732543,-0.704392438,0.01498393,0.065403284,F41F3.4,WBGene00000712,Sequence name for WBGene00000712(col-139). History: N.A.
F42A10.6,7.221431738,-1.987225884,9.74E-06,0.000175558,F42A10.6,WBGene00018342,Public name for WBGene00018342. History: N.A.
F42A10.8,54.70761777,0.663396731,0.014851056,0.064969774,F42A10.8,WBGene00003546,Sequence name for WBGene00003546(nas-28). History: N.A.
F42E8.1,122.4024127,1.510587898,1.77E-08,7.49E-07,F42E8.1,WBGene00009630,Public name for WBGene00009630. History: N.A.
F42G4.7,1223.591488,-0.968523495,2.58E-07,8.00E-06,F42G4.7,WBGene00009644,Public name for WBGene00009644. History: N.A.
F42H11.1,38.80855372,-1.052101041,3.90E-05,0.00055571,F42H11.1,WBGene00009646,Public name for WBGene00009646. History: N.A.
F43C11.9,67.66646682,-0.843315536,0.011347737,0.05351283,F43C11.9,WBGene00018386,Sequence name for WBGene00018386(enri-1). History: Renamed on 2020-01-28
F44C4.3,12.09417721,-1.083358753,0.004211033,0.02551073,F44C4.3,WBGene00000784,Sequence name for WBGene00000784(cpr-4). History: N.A.
F44E5.1,168.7967407,-0.649267636,0.009998888,0.04872885,F44E5.1,WBGene00009688,Public name for WBGene00009688. History: N.A.
F44E7.5,329.2310007,0.679699403,2.65E-05,0.000404338,F44E7.5,WBGene00018427,Public name for WBGene00018427. History: N.A.
F44F4.10,92.18241708,2.31786884,4.78E-13,4.83E-11,F44F4.10,WBGene00009705,Public name for WBGene00009705. History: N.A.
F45B8.5,28.81581582,0.997726912,0.000650858,0.005799524,F45B8.5,WBGene00194794,"Public name for WBGene00194794. History: Split into F20D1.22(WBGene00304908). History of WBGene00194794: Split into ""WBGene00304908"" on 2019-07-25"
F46C3.7,7446.315388,-1.758631241,1.57E-12,1.47E-10,F46C3.7,WBGene00164974,Public name for WBGene00164974. History: N.A.
F46H6.2,225.6710538,-1.074817877,7.91E-12,6.70E-10,F46H6.2,WBGene00000959,Sequence name for WBGene00000959(dgk-2). History: N.A.
F47G3.3,62.68373952,-1.238511923,7.47E-08,2.64E-06,F47G3.3,WBGene00018578,Public name for WBGene00018578. History: N.A.
F48B9.8,425.0886483,-0.451008674,0.000892659,0.007426771,F48B9.8,WBGene00018593,Public name for WBGene00018593. History: N.A.
F48E3.6,798.6895209,-1.022368399,2.46E-12,2.27E-10,F48E3.6,WBGene00018606,Public name for WBGene00018606. History: N.A.
F49H12.1,46.59058201,0.889355648,0.000394996,0.003854125,F49H12.1,WBGene00003087,Sequence name for WBGene00003087(lsy-2). History: N.A.
F52A8.5,276.4322121,-0.505843933,7.37E-05,0.000975057,F52A8.5,WBGene00009918,Sequence name for WBGene00009918(gcsh-2). History: N.A.
F52C12.3,44.72002971,1.345005366,4.97E-06,9.97E-05,F52C12.3,WBGene00018680,Sequence name for WBGene00018680(tsen-54). History: N.A.
F52C6.14,40.67097141,1.095161871,0.003533294,0.022169787,F52C6.14,WBGene00018671,Public name for WBGene00018671. History: N.A.
F52D2.4,211.3533745,-0.597149251,0.000988378,0.00805986,F52D2.4,WBGene00001569,Sequence name for WBGene00001569(meg-3). History: Renamed on 2014-08-15
F52D2.6,1059.182139,-2.345979469,1.27E-97,5.75E-94,F52D2.6,WBGene00018688,"Public name for WBGene00018688. History: Split into F52D2.12(WBGene00219451). History of WBGene00018688: Split into ""WBGene00219451"" on 2012-04-20"
F52D2.8,166.5015486,-2.328330424,6.01E-17,1.03E-14,F52D2.8,WBGene00018690,Sequence name for WBGene00018690(fbxa-46). History: N.A.
F52E1.9,68.64660647,-1.108555703,2.29E-06,5.17E-05,F52E1.9,WBGene00018697,Public name for WBGene00018697. History: N.A.
F52E4.8,558.2105532,-1.226596973,8.47E-15,1.06E-12,F52E4.8,WBGene00018704,Sequence name for WBGene00018704(ztf-13). History: N.A.
F53B3.3,2349.062196,-0.578213447,0.002392763,0.016312436,F53B3.3,WBGene00018742,Public name for WBGene00018742. History: N.A.
F53B6.2,55.99711286,1.201472559,0.000181322,0.002066827,F53B6.2,WBGene00009958,Sequence name for WBGene00009958(madd-4). History: N.A.
F53H4.1,493.0664307,0.336433629,0.010604099,0.050945535,F53H4.1,WBGene00000803,Sequence name for WBGene00000803(csb-1). History: N.A.
F54B8.4,12.71502507,0.904419869,0.024057448,0.092287177,F54B8.4,WBGene00010019,Public name for WBGene00010019. History: N.A.
F54D1.5,146.32956,-0.616260251,0.020666632,0.082819296,F54D1.5,WBGene00001796,Sequence name for WBGene00001796(gtl-2). History: N.A.
F54D10.2,701.5565615,-0.787208272,6.61E-06,0.00012573,F54D10.2,WBGene00018803,Sequence name for WBGene00018803(fbxa-24). History: N.A.
F54F7.7,1027.571212,-1.188579865,2.80E-10,1.71E-08,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
F55A12.7,12.07180709,-1.026513173,0.00739264,0.038789182,F55A12.7,WBGene00000150,Sequence name for WBGene00000150(apm-1). History: Renamed on 2015-03-05
F55A3.5,3625.39135,-0.966165504,4.02E-07,1.21E-05,F55A3.5,WBGene00018850,Sequence name for WBGene00018850(gpx-8). History: N.A.
F55C9.3,10088.25524,-1.994591009,1.13E-10,7.63E-09,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
F55D10.3,1915.059169,-0.652495096,9.07E-05,0.001166913,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
