...1,baseMean,log2FoldChange,pvalue,padj,Input,Suggested Match,History
Y71G12B.2,92.8713405759497,3.31421160966738,9.72591334944817e-46,1.1434026881445e-42,Y71G12B.2,WBGene00022142,Public name for WBGene00022142. History: N.A.
C17D12.5,110.071929690971,3.04455197945718,3.6905335378277504e-44,4.0834668145023487e-41,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
Y59H11AR.6,2004.39787784147,2.49328573420431,1.1817237389358199e-40,1.23490130718793e-37,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
Y36E3A.2,122.130626695051,3.32648017507645,1.6391872562160302e-39,1.62279538365387e-36,Y36E3A.2,WBGene00194708,Public name for WBGene00194708. History: N.A.
Y17D7B.7,137.813273179623,3.48723386795525,3.60268499343496e-39,3.3883252363255796e-36,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
Y77E11A.2,143.031188568111,-2.55454504537767,3.35033660477807e-38,3.00094435885121e-35,Y77E11A.2,WBGene00022307,Sequence name for WBGene00022307(nadk-1). History: N.A.
Y39G8C.2,294.912975776955,1.79286794344614,1.4659934525068198e-30,1.25342440189333e-27,Y39G8C.2,WBGene00012731,Public name for WBGene00012731. History: N.A.
K09F6.6,133.212786274099,-2.41829126197013,8.87651535110579e-30,7.25944581540434e-27,K09F6.6,WBGene00019589,"Public name for WBGene00019589. History: Split into K09F6.15(WBGene00271744). History of WBGene00019589: Split into ""WBGene00271744"" on 2017-06-29"
K06B9.6,323.650873881797,2.71599599138274,1.77950682915723e-28,1.3946884773519802e-25,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
ced-13,71.1201663198271,2.78046199454008,7.50222835332362e-28,5.644676613040691e-25,ced-13,WBGene00000427,Public name for WBGene00000427. History: N.A.
K08E7.5,513.514651894792,-2.05585270889946,1.88717066694031e-27,1.36529539404412e-24,K08E7.5,WBGene00010673,Public name for WBGene00010673. History: N.A.
Y39B6A.25,165.966583459045,1.96256182260758,1.3421295589301e-25,9.350169260546332e-23,Y39B6A.25,WBGene00012684,Public name for WBGene00012684. History: N.A.
K02E2.11,329.630088568319,1.79854336690524,1.64909719779149e-22,1.10783993894492e-19,K02E2.11,WBGene00185118,Public name for WBGene00185118. History: N.A.
ZC123.4,898.405091757662,-2.12964736234211,7.08371993580165e-22,4.59464731008376e-19,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
T12D8.5,564.077804933716,1.43813940186179,2.03987981029314e-21,1.2790046410538e-18,T12D8.5,WBGene00011733,Public name for WBGene00011733. History: N.A.
F39E9.7,478.154433598074,1.93127840955916,1.58426259326757e-20,9.61289657398808e-18,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
C39B5.14,139.054777905666,-1.76571881189739,3.03016224331996e-19,1.78116724365152e-16,C39B5.14,WBGene00189950,Public name for WBGene00189950. History: N.A.
Y46D2A.1,30.8561731716112,2.37866609734618,1.6886613808601498e-18,9.62536987090284e-16,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
F19G12.4,47.9794731632668,2.37422041345887,3.07110033817484e-18,1.6990410988549602e-15,F19G12.4,WBGene00017612,Public name for WBGene00017612. History: N.A.
F42G4.2,320.233437347499,1.37430457616901,3.4320672794055597e-18,1.84449101501767e-15,F42G4.2,WBGene00009641,Public name for WBGene00009641. History: N.A.
M162.12,254.107974147972,-1.42540993644973,4.79482492284697e-18,2.5052960221875403e-15,M162.12,WBGene00050946,Public name for WBGene00050946. History: N.A.
fbxa-90,189.394280920144,-1.84341310228262,7.65764658704987e-18,3.8929819541191406e-15,fbxa-90,WBGene00013623,Public name for WBGene00013623. History: N.A.
ZC15.1,452.745802487542,1.37964972026964,8.02262655311966e-18,3.97120014379423e-15,ZC15.1,WBGene00013830,Public name for WBGene00013830. History: N.A.
Y23H5A.4,409.37277903429,1.21152344862948,6.43504192027012e-17,3.10367021846874e-14,Y23H5A.4,WBGene00021271,Sequence name for WBGene00021271(spe-47). History: N.A.
fbxa-184,654.331458522069,-1.23380628477461,7.180952463368591e-17,3.3768428958990804e-14,fbxa-184,WBGene00018439,Public name for WBGene00018439. History: N.A.
F43E2.6,239.609823825867,1.59555235239396,1.47019643839911e-16,6.74497439177737e-14,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
Y73E7A.8,1173.65525633855,1.04732622734571,1.6822541503846001e-16,7.53409537350819e-14,Y73E7A.8,WBGene00022274,Public name for WBGene00022274. History: N.A.
Y39G10AR.16,109.463969362657,1.91288094608633,1.9460739703848e-16,8.51294218207861e-14,Y39G10AR.16,WBGene00021472,Public name for WBGene00021472. History: N.A.
lgc-33,565.147409032309,1.14620129560728,7.237610674123689e-16,3.09407856318788e-13,lgc-33,WBGene00021941,Public name for WBGene00021941. History: N.A.
F19B2.6,597.065307799542,-1.31306163101165,7.87204735897424e-16,3.29051579605123e-13,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
H09G03.1,32.2747122399771,2.17801819257307,8.68142684632757e-16,3.54994867346569e-13,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
T23F6.7,35.0788340108385,2.10446797419472,9.46744205954324e-16,3.78899117319167e-13,T23F6.7,WBGene00045184,Public name for WBGene00045184. History: N.A.
E02H9.9,276.392957788082,-1.2598766988459,1.51709528283293e-15,5.94511713960155e-13,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
F31E9.6,324.011675996828,-1.92134011403836,8.888054734558321e-15,3.4119246848375897e-12,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
F47G6.3,160.793268724769,1.86647680589749,1.83314085819941e-14,6.89627590854619e-12,F47G6.3,WBGene00018580,Public name for WBGene00018580. History: N.A.
Y48A6B.9,218.034756709533,1.32063882284097,2.44821890744814e-14,9.02960738217636e-12,Y48A6B.9,WBGene00012970,Public name for WBGene00012970. History: N.A.
Y17D7B.10,18.4658319889202,2.04152374586581,7.11362522282534e-14,2.57321712387201e-11,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
C38H2.3,112.699843484774,1.43930631366798,1.3052979796512e-13,4.632576414573418e-11,C38H2.3,WBGene00008020,Public name for WBGene00008020. History: N.A.
Y47G6A.5,286.463458821172,-1.36742651118726,1.36762507416894e-13,4.7638940083551386e-11,Y47G6A.5,WBGene00021635,Public name for WBGene00021635. History: N.A.
W02D9.10,86.8216197315063,-1.66555023895936,6.80334258115538e-13,2.32674316275514e-10,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
Y48G8AR.2,279.240664380311,1.51780749484242,9.4812456871222e-13,3.18468270312087e-10,Y48G8AR.2,WBGene00021693,Public name for WBGene00021693. History: N.A.
C09F5.1,328.567966144536,-1.06634729892935,1.53583782335656e-12,5.06826481707665e-10,C09F5.1,WBGene00015647,Public name for WBGene00015647. History: N.A.
Y119D3B.21,357.80097787935,0.999860229234164,8.29608190612366e-12,2.6905051836928602e-09,Y119D3B.21,WBGene00022497,Public name for WBGene00022497. History: N.A.
Y47D3A.1,288.957424295978,-1.13825820264211,8.681734986861599e-12,2.76785483225198e-09,Y47D3A.1,WBGene00012922,Public name for WBGene00012922. History: N.A.
Y22D7AL.4,200.579640528909,1.60246600437369,8.933725156193069e-12,2.80072283646653e-09,Y22D7AL.4,WBGene00021244,Public name for WBGene00021244. History: N.A.
Y37H2B.1,142.606098394618,-1.62330654294447,1.21619285236505e-11,3.75026025458797e-09,Y37H2B.1,WBGene00012572,Public name for WBGene00012572. History: N.A.
W10G11.19,636.294017971051,1.10521337189252,1.7889601479204497e-11,5.42747425522317e-09,W10G11.19,WBGene00021148,Public name for WBGene00021148. History: N.A.
unc-54,458.839514110889,1.82435229635851,1.92251629104304e-11,5.740084354685631e-09,unc-54,WBGene00006789,Public name for WBGene00006789. History: N.A.
H16D19.5,474.843812772263,-1.02085525255106,2.3823047152996e-11,7.00174245231024e-09,H16D19.5,WBGene00195253,Public name for WBGene00195253. History: N.A.
Y69A2AR.14,45.3707256751958,1.7512089641761,4.8242705826581796e-11,1.39606968707385e-08,Y69A2AR.14,WBGene00022085,Public name for WBGene00022085. History: N.A.
C50E10.1,74.951689073025,1.59949543437853,6.94669052759884e-11,1.97980680036567e-08,C50E10.1,WBGene00016825,Public name for WBGene00016825. History: N.A.
ZK1128.7,299.579970127606,-0.978221463713303,9.434458793761227e-11,2.64868910314401e-08,ZK1128.7,WBGene00014233,Public name for WBGene00014233. History: N.A.
nlp-12,273.720111694278,1.12655041256206,1.06666385795598e-10,2.95058046590471e-08,nlp-12,WBGene00003750,Public name for WBGene00003750. History: N.A.
daf-7,38.2906225458759,-1.61076879837794,1.98688330087727e-10,5.41641665065238e-08,daf-7,WBGene00000903,Public name for WBGene00000903. History: N.A.
ugt-31,4831.92006602643,0.799202301248657,2.26330598591001e-10,6.08182651356674e-08,ugt-31,WBGene00021464,Public name for WBGene00021464. History: N.A.
nekl-1,754.735476469544,-0.813955080115554,2.56455431082829e-10,6.79426289953242e-08,nekl-1,WBGene00021461,Public name for WBGene00021461. History: N.A.
B0361.9,211.512088888891,-1.07120555382202,4.28785522492636e-10,1.12020217751201e-07,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
fbxb-95,134.254183947636,1.13062396529064,4.828342014108981e-10,1.24412483952589e-07,fbxb-95,WBGene00016880,Public name for WBGene00016880. History: N.A.
oac-55,311.476947111653,1.05614007825411,5.28785141879147e-10,1.34411466469551e-07,oac-55,WBGene00021479,Public name for WBGene00021479. History: N.A.
jmjd-3.3,243.721022328681,-1.13275950325427,7.30198296274572e-10,1.83133732705663e-07,jmjd-3.3,WBGene00007813,Public name for WBGene00007813. History: N.A.
eva-1,28.9904705226011,-1.66651575897003,9.09444473514091e-10,2.25087507194737e-07,eva-1,WBGene00009304,Public name for WBGene00009304. History: Renamed on 2007-10-09
hsp-16.48,132.990661949115,1.27901367565871,1.03301001518413e-09,2.52349589423553e-07,hsp-16.48,WBGene00002019,Public name for WBGene00002019. History: N.A.
hsp-16.49,136.859273390111,1.26571252258355,1.0619042758649602e-09,2.5608230037205e-07,hsp-16.49,WBGene00002020,Public name for WBGene00002020. History: N.A.
Y50E8A.14,47.5274184382769,-1.57736276386802,1.36038463952897e-09,3.23909304677721e-07,Y50E8A.14,WBGene00013056,Public name for WBGene00013056. History: N.A.
T10D4.3,1564.52060884014,1.07083257861639,1.59798407036792e-09,3.75726004545258e-07,T10D4.3,WBGene00020407,Sequence name for WBGene00020407(chil-24). History: N.A.
dyf-2,227.418354154978,-1.3673669807892,2.08530611964795e-09,4.84254421118246e-07,dyf-2,WBGene00001118,Public name for WBGene00001118. History: N.A.
C18D4.6,1225.0975070758,-0.94142132681427,3.1253642579211102e-09,7.16928069408489e-07,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
H16D19.4,308.249521681274,-0.873632548096788,6.858069818732851e-09,1.55422040108873e-06,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
Y102A5C.36,326.023864916679,-1.03551707369628,8.68918883831462e-09,1.94575764343688e-06,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
F14D2.5,127.919054394028,1.09951163198473,8.986042579953e-09,1.9885583638696e-06,F14D2.5,WBGene00017453,Public name for WBGene00017453. History: N.A.
fbxa-178,158.294024178366,-1.12845854450656,9.65096705915095e-09,2.11086849282127e-06,fbxa-178,WBGene00017533,Public name for WBGene00017533. History: N.A.
atgp-1,271.312153514803,1.27566817641645,1.45519858063275e-08,3.1462396898508e-06,atgp-1,WBGene00000224,Public name for WBGene00000224. History: Renamed on 2008-02-28
elk-2,163.992384626162,1.09154402647771,1.60006214725328e-08,3.42013283975388e-06,elk-2,WBGene00022207,Public name for WBGene00022207. History: N.A.
Y38F2AR.10,363.505597226544,0.830026031378709,2.00498486435656e-08,4.23750171893785e-06,Y38F2AR.10,WBGene00021428,Public name for WBGene00021428. History: N.A.
Y66D12A.3,1005.38347839382,0.791138011929854,2.10931386153103e-08,4.40846597059986e-06,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
C46G7.3,1298.46183031339,-1.31866713689817,2.19015663215685e-08,4.5271259616341e-06,C46G7.3,,Sequence name for Suppressed gene WBGene00016723. Molecular name for Suppressed gene WBGene00016723. Public name for Suppressed gene WBGene00016723. History of WBGene00016723: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
W03C9.6,237.258966171005,1.24686746047126,2.30641946245388e-08,4.71562500964755e-06,W03C9.6,WBGene00012222,Public name for WBGene00012222. History: N.A.
clec-238,379.601271819555,-1.23661191986804,2.42297727977678e-08,4.90066694974206e-06,clec-238,WBGene00013622,Public name for WBGene00013622. History: N.A.
lin-15A,357.638961069571,1.09342990514836,3.71081106639894e-08,7.42556980414511e-06,lin-15A,WBGene00023498,Public name for WBGene00023498. History: N.A.
F55C9.3,33.7649929067203,1.47097506790355,4.5122569329123e-08,8.93426872716636e-06,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
Y39A1A.9,1130.40559544534,0.676354399411085,5.76388347094486e-08,1.12936091758826e-05,Y39A1A.9,WBGene00012648,Public name for WBGene00012648. History: N.A.
R11E3.2,83.0893682090716,1.27299781917031,6.2118179672021e-08,1.20458037075331e-05,R11E3.2,WBGene00020004,Public name for WBGene00020004. History: N.A.
W04G5.8,47.60569115055,1.30551154201235,7.01831196566413e-08,1.34708620483819e-05,W04G5.8,WBGene00012268,Public name for WBGene00012268. History: N.A.
asah-1,51.2878007645999,-1.43982938764396,7.62820302132918e-08,1.44935857405254e-05,asah-1,WBGene00010769,Public name for WBGene00010769. History: Renamed on 2004-08-25
R06A10.1,343.802468192712,-1.09253053681079,8.06861561654068e-08,1.5177065974713e-05,R06A10.1,WBGene00019909,Public name for WBGene00019909. History: N.A.
col-38,619.396051007992,-0.733146712411019,1.26753857517235e-07,2.36063372267247e-05,col-38,WBGene00000615,Public name for WBGene00000615. History: N.A.
fbxb-63,92.3476264945649,1.18103724398375,1.3303924341821e-07,2.45340016538875e-05,fbxb-63,WBGene00044197,Public name for WBGene00044197. History: N.A.
F42A6.3,283.452156254493,-0.945128120644885,1.53195358786941e-07,2.79767446483725e-05,F42A6.3,WBGene00018325,Public name for WBGene00018325. History: N.A.
H24G06.1,92.3895082045345,1.22013859726972,1.94122816345658e-07,3.51100978409792e-05,H24G06.1,WBGene00019237,Sequence name for WBGene00019237(wdr-62). History: N.A.
Y47A7.2,98.1900076052613,-1.00389766688873,2.30413475141557e-07,4.11092233298667e-05,Y47A7.2,WBGene00021614,Public name for WBGene00021614. History: N.A.
Y71G12B.17,73.36544922371,1.15911599171685,2.31662821529286e-07,4.11092233298667e-05,Y71G12B.17,WBGene00022155,Public name for WBGene00022155. History: N.A.
Y71A12B.12,607.729750821253,-0.78198359899899,2.39508645130569e-07,4.21042767748225e-05,Y71A12B.12,WBGene00013509,Public name for WBGene00013509. History: N.A.
B0250.12,132.144192131862,-0.997786045608135,2.47899861761129e-07,4.31758925900633e-05,B0250.12,WBGene00050927,Public name for WBGene00050927. History: N.A.
F15D3.8,531.979109097795,0.844859361071159,2.59651895457795e-07,4.48078179225792e-05,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
C34D4.1,76.5984725656748,1.17461468870566,2.74969890985521e-07,4.70198513585241e-05,C34D4.1,WBGene00016397,Sequence name for WBGene00016397(maph-9). History: N.A.
Y37A1B.17,709.004945523755,0.715442387081371,2.81284468626218e-07,4.76663140077402e-05,Y37A1B.17,WBGene00044989,Sequence name for WBGene00044989(dnbp-1). History: N.A.
Y49A3A.4,45.7685313172583,1.28963864670531,3.82301438729489e-07,6.42061612723365e-05,Y49A3A.4,WBGene00013027,Public name for WBGene00013027. History: N.A.
F19G12.10,11.9321963556406,1.3409685995798,3.96709809677447e-07,6.60363851330335e-05,F19G12.10,WBGene00195186,Public name for WBGene00195186. History: N.A.
Y25C1A.13,882.014900740551,1.10800303500332,4.12336215935594e-07,6.74671068144559e-05,Y25C1A.13,WBGene00021296,Public name for WBGene00021296. History: N.A.
Y37E11AL.2,52.9739533740942,1.37976166060753,4.12478324490294e-07,6.74671068144559e-05,Y37E11AL.2,WBGene00021358,Public name for WBGene00021358. History: N.A.
gadr-6,189.736804519141,-0.855843564711748,4.49471951952064e-07,7.28842018639511e-05,gadr-6,WBGene00009823,Public name for WBGene00009823. History: N.A.
F58E1.13,790.006446040432,-0.924626584458456,4.61205393265232e-07,7.35192665027035e-05,F58E1.13,WBGene00019044,Public name for WBGene00019044. History: N.A.
ptc-3,117.790669258901,-1.13907396570107,4.59871366378817e-07,7.35192665027035e-05,ptc-3,WBGene00004210,Public name for WBGene00004210. History: N.A.
mltn-3,245.156694400998,-1.3562186972284,5.50455921479423e-07,8.70090410338484e-05,mltn-3,WBGene00012199,Public name for WBGene00012199. History: N.A.
acs-16,775.941484247939,0.65235732865355,5.85706364211206e-07,9.18094725901065e-05,acs-16,WBGene00018579,Public name for WBGene00018579. History: N.A.
clec-119,374.923555692949,-1.03317740737986,6.81968994205211e-07,0.0001060151800082,clec-119,WBGene00018575,Public name for WBGene00018575. History: N.A.
rpl-11.2,75.3563994148084,1.07474186531437,7.76179432195614e-07,0.0001196715993409,rpl-11.2,WBGene00004423,Public name for WBGene00004423. History: N.A.
nhr-17,494.127262874208,0.875935925175683,8.00468420775724e-07,0.0001224130975186,nhr-17,WBGene00003616,Public name for WBGene00003616. History: N.A.
fbxa-3,156.201897161235,-1.02235474683831,1.00545032290631e-06,0.0001525203272086,fbxa-3,WBGene00020363,Public name for WBGene00020363. History: N.A.
C47E8.11,53.4076850567209,1.12470001872448,1.29939044629847e-06,0.0001955322743589,C47E8.11,WBGene00044180,Public name for WBGene00044180. History: N.A.
Y71G12B.23,76.3631909507168,1.14749410150564,1.3688112856464e-06,0.0002043439705,Y71G12B.23,WBGene00022158,"Public name for WBGene00022158. History: Split into Y71G12B.35(WBGene00185098). History of WBGene00022158: Split into ""WBGene00185098"" on 2009-03-13"
F54D5.15,248.514727827149,1.06987420514958,1.39228435819251e-06,0.0002062115651779,F54D5.15,WBGene00010057,Public name for WBGene00010057. History: N.A.
hlh-30,1457.64851387336,-0.796402490507817,1.46988043858207e-06,0.000216003523826,hlh-30,WBGene00020930,Public name for WBGene00020930. History: N.A.
C18D4.4,37.9735584042067,1.22832693770291,1.49181346368452e-06,0.000217527219007,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
F07B7.2,1371.50671645758,-0.59319618229222,1.58281788795247e-06,0.0002290215728645,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
Y71G12B.5,322.755302876059,0.838283924507205,2.12691318813106e-06,0.0003053987562499,Y71G12B.5,WBGene00022145,"Public name for WBGene00022145. History: Split into ""WBGene00219273"" on 2011-10-03"
B0286.1,897.261951836475,-0.709740001149865,2.32593960381696e-06,0.0003314463935439,B0286.1,WBGene00015115,Public name for WBGene00015115. History: N.A.
T16H12.2,1249.87680986374,-0.788928771641736,2.63612670336826e-06,0.000372823633762,T16H12.2,WBGene00011812,Public name for WBGene00011812. History: N.A.
T19D7.4,64.2371392204757,-1.21263637813693,3.13420258483816e-06,0.0004399578404537,T19D7.4,WBGene00020572,Sequence name for WBGene00020572(rund-1). History: N.A.
egl-1,27.1255258929106,1.23776332686298,3.21588710476917e-06,0.0004480802699311,egl-1,WBGene00001170,Public name for WBGene00001170. History: N.A.
F46E10.3,213.415622794511,-0.795886563603125,3.30202743115363e-06,0.0004545914167451,F46E10.3,WBGene00018490,Public name for WBGene00018490. History: N.A.
fbn-1,39.0487757579769,1.21155320883889,3.31095290239682e-06,0.0004545914167451,fbn-1,WBGene00022816,Public name for WBGene00022816. History: Renamed on 2019-05-20
K01A6.6,174.823127481503,-0.884406770279827,4.03863365355322e-06,0.000550483326256,K01A6.6,WBGene00010448,Public name for WBGene00010448. History: N.A.
ZK909.3,825.10467516681,-0.923454004814829,4.19523603901069e-06,0.0005677150352071,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
col-45,2254.94214202638,0.824309041148178,4.82329383015224e-06,0.0006480439781797,col-45,WBGene00000622,Public name for WBGene00000622. History: N.A.
cdh-1,4970.36403421387,0.53966822530592,4.93852452906944e-06,0.0006588201871758,cdh-1,WBGene00019994,Public name for WBGene00019994. History: N.A.
F21D9.6,1537.38310518292,0.690208635574877,5.01912966564771e-06,0.0006648579507805,F21D9.6,WBGene00009020,Public name for WBGene00009020. History: N.A.
lron-9,108.927648057207,-0.970621706336498,5.52396302977351e-06,0.0007266135985317,lron-9,WBGene00011971,Public name for WBGene00011971. History: N.A.
F14B4.1,237.828287505007,0.883184554432842,6.46189305781483e-06,0.000844084780677,F14B4.1,WBGene00008779,Public name for WBGene00008779. History: N.A.
fbxa-153,84.5714885758559,-0.960485391168785,6.93021318112501e-06,0.0008990159305997,fbxa-153,WBGene00007162,Public name for WBGene00007162. History: N.A.
aldo-1,30.1558109678432,-1.1951510828365,8.08472475198728e-06,0.0010416004971567,aldo-1,WBGene00011474,Public name for WBGene00011474. History: N.A.
snt-3,162.681795861102,1.06382444401221,8.1438381474642e-06,0.0010420788813183,snt-3,WBGene00004923,Public name for WBGene00004923. History: N.A.
gsto-3,193.500959026309,-0.983339280713339,8.84587800372562e-06,0.0011242632787167,gsto-3,WBGene00019636,Public name for WBGene00019636. History: N.A.
C27H5.2,175.945259372582,0.898999154318936,8.9472860137048e-06,0.0011295197981059,C27H5.2,WBGene00016172,Public name for WBGene00016172. History: N.A.
ser-3,234.345744115365,-0.988561875072059,1.05428173308214e-05,0.001322069293285,ser-3,WBGene00004778,Public name for WBGene00004778. History: N.A.
ser-5,103.638785347721,-1.01284509989382,1.26359833088569e-05,0.0015740585830437,ser-5,WBGene00008890,Public name for WBGene00008890. History: N.A.
F09F7.6,573.240662024271,0.617417750617693,1.28226200598974e-05,0.0015867992324123,F09F7.6,WBGene00017303,Public name for WBGene00017303. History: N.A.
R01H2.4,126.912604517834,0.876906803769845,1.31439426532417e-05,0.0016159317732514,R01H2.4,WBGene00019812,Public name for WBGene00019812. History: N.A.
T24E12.3,12.3230236651079,1.16740980440005,1.32743565984663e-05,0.0016213678416698,T24E12.3,WBGene00020773,Public name for WBGene00020773. History: N.A.
saeg-2,3273.11096331128,0.984919631321235,1.34384394570325e-05,0.0016308196528179,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
kal-1,273.6849449913,-0.782697922011317,1.36760052412478e-05,0.0016490106319735,kal-1,WBGene00002181,Public name for WBGene00002181. History: N.A.
Y119C1B.9,1689.68514519638,1.07614718945241,1.38266626403309e-05,0.0016565574793925,Y119C1B.9,WBGene00022474,Sequence name for WBGene00022474(zig-9). History: N.A.
W09B7.2,1356.14910524415,-0.52357618734749,1.51732714955906e-05,0.0018063875748864,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
C05D11.13,92.1695217829898,1.02856003001393,1.65059254109578e-05,0.0019447646509403,C05D11.13,WBGene00015488,Public name for WBGene00015488. History: N.A.
F56D2.3,136.171376379447,0.772480185020593,1.65423893753566e-05,0.0019447646509403,F56D2.3,WBGene00018965,Public name for WBGene00018965. History: N.A.
jmjd-3.2,553.807968894559,-0.723195354416471,1.70675406794947e-05,0.001994040001126,jmjd-3.2,WBGene00009089,Public name for WBGene00009089. History: N.A.
ceh-20,761.510199837705,0.772036688267639,2.12488011412088e-05,0.0024672219102848,ceh-20,WBGene00000443,Public name for WBGene00000443. History: N.A.
ketn-1,44.0168779607445,-1.06427683912338,2.21057394391771e-05,0.0025509752076743,ketn-1,WBGene00004130,Public name for WBGene00004130. History: N.A.
T10B5.4,87.4480564565477,0.94728525052776,2.89987020869941e-05,0.0033058520379173,T10B5.4,WBGene00020390,Public name for WBGene00020390. History: N.A.
Y37E3.13,490.195850530131,0.921687028524259,2.88525759500063e-05,0.0033058520379173,Y37E3.13,WBGene00021353,Sequence name for WBGene00021353(iglr-3). History: N.A.
Y71H2AM.12,531.867559294343,0.606992300860135,3.00736066212393e-05,0.0034077381960573,Y71H2AM.12,WBGene00022177,Public name for WBGene00022177. History: N.A.
C43D7.10,69.2428700606554,0.926906399087517,3.037271503168e-05,0.0034210225733287,C43D7.10,WBGene00077441,Public name for WBGene00077441. History: N.A.
M162.5,296.925930318303,0.822543817145876,3.0657606306245e-05,0.0034325569917885,M162.5,WBGene00010931,Public name for WBGene00010931. History: N.A.
