# Table S4. mRNAs significantly downregulated 1.3 fold or greater in wild type gonads relative to whole animals.
# * mean reads across all libraries
gene_id,description,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
B0365.6,clec-41,736.160069059666,-2297.77,2.10195756120671e-26,B0365.6,WBGene00007153,Sequence name for WBGene00007153(clec-41). History: N.A.
C17F4.7,C17F4.7,4041.06806245842,-2293.96,5.31603492071117e-137,C17F4.7,WBGene00015913,Public name for WBGene00015913. History: N.A.
C49C3.9,C49C3.9,203.416803222872,-2291.07,9.86055177690782e-20,C49C3.9,WBGene00008199,Public name for WBGene00008199. History: N.A.
F54F3.4,dhrs-4,202.70630435667,-2284.66,1.05351708901465e-19,F54F3.4,WBGene00010063,Sequence name for WBGene00010063(dhrs-4). History: N.A.
C35D10.14,clec-5,201.15705502177,-2267.3,6.89585251825781e-20,C35D10.14,WBGene00016450,Sequence name for WBGene00016450(clec-5). History: N.A.
Y51A2D.13,Y51A2D.13,390.122409711438,-2261.09,5.96693669190578e-20,Y51A2D.13,WBGene00013080,Public name for WBGene00013080. History: N.A.
C03H5.1,clec-10,200.585054007914,-2259.48,1.13890130133199e-19,C03H5.1,WBGene00015403,Sequence name for WBGene00015403(clec-10). History: N.A.
H23N18.3,ugt-8,199.729057732748,-2253.14,3.3459592740174104e-19,H23N18.3,WBGene00019234,Sequence name for WBGene00019234(ugt-8). History: N.A.
F53F4.13,F53F4.13,387.781266733568,-2242.26,1.0177580491219401e-19,F53F4.13,WBGene00009995,Public name for WBGene00009995. History: N.A.
F55E10.6,drd-5,198.271323578623,-2234.54,9.96202579938914e-20,F55E10.6,WBGene00018885,Sequence name for WBGene00018885(drd-5). History: N.A.
B0218.6,clec-51,198.297095152432,-2233.88,1.4976015086652801e-19,B0218.6,WBGene00015050,Sequence name for WBGene00015050(clec-51). History: N.A.
F15E11.13,pud-1.1,197.615398749546,-2225.62,1.13354678413428e-19,F15E11.13,WBGene00017499,Sequence name for WBGene00017499(pud-1.1). History: N.A.
Y19D10B.7,pud-1.2,197.615398749546,-2225.62,1.13354678413428e-19,Y19D10B.7,WBGene00021236,Sequence name for WBGene00021236(pud-1.2). History: N.A.
Y54G2A.45,Y54G2A.45,197.204956633031,-2221.83,9.90994553946131e-20,Y54G2A.45,WBGene00044488,Public name for WBGene00044488. History: N.A.
C50F4.1,C50F4.1,382.108922616867,-2209.91,9.286190875785321e-20,C50F4.1,WBGene00008229,Public name for WBGene00008229. History: N.A.
F15B9.1,far-3,195.696630917969,-2204.61,2.26487852407217e-19,F15B9.1,WBGene00001387,Sequence name for WBGene00001387(far-3). History: N.A.
C25B8.3,cpr-6,6353.21801969352,-2197.57,6.41226021847936e-219,C25B8.3,WBGene00000786,Sequence name for WBGene00000786(cpr-6). History: N.A.
K05B2.3,ifa-4,378.579797005032,-2189.66,1.43147872641932e-19,K05B2.3,WBGene00002052,Sequence name for WBGene00002052(ifa-4). History: N.A.
F11G11.12,col-73,193.701702751906,-2183.58,8.65990517949763e-12,F11G11.12,WBGene00000649,Sequence name for WBGene00000649(col-73). History: N.A.
T28D6.3,T28D6.3,193.265931501942,-2176.61,3.5885584684031104e-19,T28D6.3,WBGene00012123,Public name for WBGene00012123. History: N.A.
F58B4.5,F58B4.5,192.908560615237,-2172.97,2.3459611689814e-19,F58B4.5,WBGene00010238,Public name for WBGene00010238. History: N.A.
ZK6.11,ZK6.11,2088.01273478703,-2172.18,1.24241468795684e-74,ZK6.11,WBGene00022645,Public name for WBGene00022645. History: N.A.
C26B9.5,C26B9.5,370.661083546089,-2143.44,1.3152083360737e-19,C26B9.5,WBGene00016134,Public name for WBGene00016134. History: N.A.
Y22F5A.4,lys-1,2053.67523470683,-2138.1,9.89203900550239e-75,Y22F5A.4,WBGene00003090,Sequence name for WBGene00003090(lys-1). History: N.A.
VZK822L.1,fat-6,4511.98440450884,-2136.71,1.0692391334107801e-149,VZK822L.1,WBGene00001398,Sequence name for WBGene00001398(fat-6). History: N.A.
K09E10.1,oac-57,72.2774811228445,-2132.97,2.54678243484903e-18,K09E10.1,WBGene00019579,Sequence name for WBGene00019579(oac-57). History: N.A.
F35C5.5,clec-62,188.397764987143,-2121.05,1.5771805216697801e-19,F35C5.5,WBGene00009393,Sequence name for WBGene00009393(clec-62). History: N.A.
T08B1.2,tnt-4,192.144580905901,-2109.39,4.06543141503166e-19,T08B1.2,WBGene00006589,Sequence name for WBGene00006589(tnt-4). History: N.A.
F08H9.7,clec-56,187.021775199853,-2107.69,3.0087649629097303e-19,F08H9.7,WBGene00008595,Sequence name for WBGene00008595(clec-56). History: N.A.
F49E12.9,drd-1,386.98562551779,-2104.31,1.9807373376616602e-19,F49E12.9,WBGene00009902,Sequence name for WBGene00009902(drd-1). History: N.A.
W04E12.6,clec-49,185.434103845925,-2090.97,1.89818730159827e-19,W04E12.6,WBGene00012251,Sequence name for WBGene00012251(clec-49). History: N.A.
F41G3.10,F41G3.10,185.030128068786,-2084.74,2.27890095547539e-19,F41G3.10,WBGene00018303,Public name for WBGene00018303. History: N.A.
F59B1.2,F59B1.2,668.376247944454,-2084.49,8.688918577059e-26,F59B1.2,WBGene00019097,Public name for WBGene00019097. History: N.A.
ZC376.2,cest-2.2,353.978359734011,-2047.07,1.95801174307874e-19,ZC376.2,WBGene00013874,Sequence name for WBGene00013874(cest-2.2). History: N.A.
C46C2.5,C46C2.5,181.336353337854,-2043.52,8.214257039872e-19,C46C2.5,WBGene00008113,Public name for WBGene00008113. History: N.A.
F56D5.6,F56D5.6,178.69082460009,-2013.38,3.4338594207520997e-19,F56D5.6,WBGene00010150,Public name for WBGene00010150. History: N.A.
F20A1.10,F20A1.10,178.792474615559,-2013.32,4.59167784072036e-19,F20A1.10,WBGene00017621,Sequence name for WBGene00017621(txt-17). History: N.A.
C23H5.8,C23H5.8,1051.47875522687,-2010.29,1.53080815319073e-37,C23H5.8,WBGene00016027,Public name for WBGene00016027. History: N.A.
C36A4.2,cyp-25A2,341.023430203172,-1971.85,2.9303705425747904e-19,C36A4.2,WBGene00007964,Sequence name for WBGene00007964(cyp-25A2). History: N.A.
C29F3.7,C29F3.7,178.054514508447,-1969.84,4.3133570645509503e-19,C29F3.7,WBGene00007807,Public name for WBGene00007807. History: N.A.
R06C7.10,myo-1,937.590893030875,-1948.99,1.36542439841738e-36,R06C7.10,WBGene00002348,"Sequence name for WBGene00002348(myo-1). History: Split into let-75(WBGene00202503). History of WBGene00002348: Split into ""WBGene00202503"" on 2010-10-20"
T27E4.4,fip-2,172.766840352065,-1945.98,7.101441156038499e-19,T27E4.4,WBGene00020862,Sequence name for WBGene00020862(fip-2). History: N.A.
K08B4.3,ugt-19,171.574161495204,-1932.87,8.06634890472497e-19,K08B4.3,WBGene00019515,Sequence name for WBGene00019515(ugt-19). History: N.A.
F23F12.12,F23F12.12,169.435700894567,-1909.17,8.7936202845888e-19,F23F12.12,WBGene00017756,Public name for WBGene00017756. History: N.A.
F58G6.3,F58G6.3,168.20758215344,-1894.55,1.41457332100079e-18,F58G6.3,WBGene00010274,Public name for WBGene00010274. History: N.A.
M04C3.1,M04C3.1,325.098579458215,-1883.98,6.173553626472821e-19,M04C3.1,WBGene00010850,Public name for WBGene00010850. History: N.A.
F27E5.1,asah-2,324.716071025849,-1877.98,5.27990853173276e-19,F27E5.1,WBGene00009192,Sequence name for WBGene00009192(asah-2). History: N.A.
F46G10.1,F46G10.1,322.978921940764,-1870.09,6.4134304241477e-19,F46G10.1,WBGene00009796,Public name for WBGene00009796. History: N.A.
ZK896.7,clec-186,165.930586394956,-1868.86,9.23442784617274e-19,ZK896.7,WBGene00014138,Sequence name for WBGene00014138(clec-186). History: N.A.
T21D12.12,T21D12.12,164.310752073818,-1850.8,1.1042427429204498e-18,T21D12.12,WBGene00020651,Public name for WBGene00020651. History: N.A.
C08F11.11,ule-4,4018.27543718135,-1822.58,1.214242062462e-16,C08F11.11,WBGene00007458,Sequence name for WBGene00007458(ule-4). History: N.A.
F08F3.7,cyp-14A5,161.289186430432,-1817.15,1.13539986624604e-18,F08F3.7,WBGene00000373,Sequence name for WBGene00000373(cyp-14A5). History: N.A.
VW02B12L.1,vha-6,2030.14872537597,-1810.93,2.11928336095505e-82,VW02B12L.1,WBGene00006915,Sequence name for WBGene00006915(vha-6). History: N.A.
K09D9.2,cyp-35A3,157.835556632079,-1778.21,2.90469278256456e-18,K09D9.2,WBGene00019565,Sequence name for WBGene00019565(cyp-35A3). History: N.A.
F01G10.2,ech-8,157.432731697288,-1773.96,2.56631232148241e-18,F01G10.2,WBGene00001157,Sequence name for WBGene00001157(ech-8). History: N.A.
T28C6.4,col-117,157.212836957105,-1770.08,7.413515806402901e-18,T28C6.4,WBGene00000691,Sequence name for WBGene00000691(col-117). History: N.A.
T28C6.6,col-3,157.212836957105,-1770.08,7.413515806402901e-18,T28C6.6,WBGene00000594,Sequence name for WBGene00000594(col-3). History: N.A.
R08E3.2,R08E3.2,156.796982481153,-1766.07,1.64596189213954e-18,R08E3.2,WBGene00019957,"Public name for Dead gene WBGene00019958. History of WBGene00019958: Merged into ""WBGene00019957"" on 2017-04-28"
F10D2.9,fat-7,1973.29866342614,-1763.03,2.67753492178782e-79,F10D2.9,WBGene00001399,Sequence name for WBGene00001399(fat-7). History: N.A.
C14C6.5,C14C6.5,156.244681066728,-1760.74,1.9203294053024098e-18,C14C6.5,WBGene00015759,Public name for WBGene00015759. History: N.A.
T26C5.1,gst-13,301.625533783959,-1743.53,1.6133121811567599e-18,T26C5.1,WBGene00001761,Sequence name for WBGene00001761(gst-13). History: N.A.
K06A4.7,K06A4.7,301.547310932229,-1742.94,2.4002954379267002e-18,K06A4.7,WBGene00010597,Public name for WBGene00010597. History: N.A.
C49A9.9,C49A9.9,159.8757494729,-1739.22,2.89456145671719e-18,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
