# Table S9. mRNAs significantly downregulated 1.3 fold or greater in prg-1(n4357) gonads.
# * mean reads across all libraries
gene_id,public_name,baseMean*,fold_change,pvalue_adj,predicted_piRNA_targets,CLASH_counts,Input,Suggested Match,History
Y73B3A.10,Y73B3A.10,55.3697044566424,-10.3688,1.57728368032778e-18,,,Y73B3A.10,WBGene00022211,"Public name for Dead gene WBGene00022212. History of WBGene00022212: Merged into ""WBGene00022211"" on 2015-10-02"
ZK131.5,his-11,3033.02754251927,-10.1022,9.55750016579722e-124,0.0,43.0,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
ZK131.9,his-15,3033.02754251927,-10.1022,9.55750016579722e-124,0.0,39.0,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
F08G2.1,his-44,3033.02754251927,-10.1022,9.55750016579722e-124,0.0,39.0,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
T08D2.7,T08D2.7,120.437030475274,-9.83158,3.0682736988712e-50,9.0,12.0,T08D2.7,WBGene00011612,Sequence name for WBGene00011612(chkr-1). History: N.A.
Y73B3B.5,Pseudogene,113.204130771011,-9.8019,1.86610923683703e-41,,,Y73B3B.5,WBGene00022227,Public name for WBGene00022227. History: N.A.
F36F12.8,ztf-28,244.41145704175,-9.73748,2.13927482217234e-93,3.0,7.0,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
ZK131.6,his-12,7008.11171319817,-9.60753,2.8410085651952302e-24,1.0,69.0,ZK131.6,WBGene00001886,Sequence name for WBGene00001886(his-12). History: N.A.
F08G2.2,his-43,7008.11171319817,-9.60753,2.8410085651952302e-24,1.0,69.0,F08G2.2,WBGene00001917,Sequence name for WBGene00001917(his-43). History: N.A.
Y73B3A.3,Y73B3A.3,41.3121147284805,-9.33803,4.3076757889507703e-10,,,Y73B3A.3,WBGene00022205,Public name for WBGene00022205. History: N.A.
Y73B3A.4,Y73B3A.4,141.649339414858,-9.28833,9.63622712221866e-61,32.0,2.0,Y73B3A.4,WBGene00022206,Public name for WBGene00022206. History: N.A.
T08D2.8,T08D2.8,72.3336215031345,-9.22203,1.31979210279518e-26,22.0,7.0,T08D2.8,WBGene00011613,Public name for WBGene00011613. History: N.A.
Y35H6.3,Y35H6.3,35.0740577934138,-8.35317,6.15682373178417e-13,,,Y35H6.3,WBGene00021342,Public name for WBGene00021342. History: N.A.
Y73B3A.1,Y73B3A.1,265.301227313682,-8.10484,1.02333526551725e-59,18.0,33.0,Y73B3A.1,WBGene00022203,Public name for WBGene00022203. History: N.A.
T08D2.1,tmed-12,108.099595691759,-7.88146,9.585013968055051e-46,7.0,6.0,T08D2.1,WBGene00011606,Sequence name for WBGene00011606(tmed-12). History: N.A.
F57G4.8,fbxa-192,388.377878714378,-7.48464,5.13811015324498e-58,27.0,10.0,F57G4.8,WBGene00010212,Sequence name for WBGene00010212(fbxa-192). History: N.A.
Y52B11A.18,Y52B11A.18,11.9921875736085,-7.30807,0.0154623893612302,3.0,2.0,Y52B11A.18,WBGene00206497,Public name for WBGene00206497. History: N.A.
Y102A5C.6,Pseudogene,451.82148647869,-7.2259,4.75331659088151e-111,,,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
C27C7.1,C27C7.1,308.364125447086,-6.96854,5.25392906984038e-47,4.0,48.0,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C01A2.1,C01A2.1,3.94767133598721,-6.86695,0.0334407540463333,14.0,5.0,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
VY35H6BL.1,VY35H6BL.1,40.3734960855316,-6.74154,1.40819871435624e-13,,,VY35H6BL.1,WBGene00021342,"Public name for Dead gene WBGene00012160. History of WBGene00012160: Merged into ""WBGene00021342"" on 2013-10-17"
C44C10.5,C44C10.5,32.5423411102663,-6.61612,1.59776082775146e-09,9.0,23.0,C44C10.5,WBGene00008086,Public name for WBGene00008086. History: N.A.
F13D11.2,hbl-1,4.20892432091575,-6.39808,0.0192216467870364,36.0,81.0,F13D11.2,WBGene00001824,Sequence name for WBGene00001824(hbl-1). History: N.A.
F57G4.4,Pseudogene,83.6085522465665,-6.38415,4.39382151092523e-16,,,F57G4.4,WBGene00010209,Sequence name for WBGene00010209(fbxa-191). History: N.A.
F11C3.1,F11C3.1,27.3307362526876,-6.36375,4.648034216179111e-09,19.0,13.0,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
R06C1.4,R06C1.4,541.809407338199,-6.00226,1.1446406667218201e-88,2.0,6.0,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
F19B2.6,F19B2.6,5.8837812058818,-5.95068,0.0091673864588706,35.0,6.0,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
F33H2.3,F33H2.3,384.648857517672,-5.93747,1.89783327215924e-118,8.0,8.0,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
F11C1.7,F11C1.7,4.6718387255499,-5.88519,0.0369668814245494,5.0,2.0,F11C1.7,WBGene00045495,Public name for WBGene00045495. History: N.A.
F45F2.4,his-7,417.930447035035,-5.75506,2.01082124481415e-110,2.0,35.0,F45F2.4,WBGene00001881,Sequence name for WBGene00001881(his-7). History: N.A.
C26B9.6,C26B9.6,6.26800821314131,-5.71693,0.0299035644591969,11.0,0.0,C26B9.6,WBGene00016135,Public name for WBGene00016135. History: N.A.
F08G12.3,F08G12.3,27.24917035287,-5.6135,3.00230951183808e-08,15.0,13.0,F08G12.3,WBGene00008587,Public name for WBGene00008587. History: N.A.
Y102A5C.17,clec-238,12.0908150208386,-5.60554,8.09014814494023e-05,7.0,8.0,Y102A5C.17,WBGene00013622,Sequence name for WBGene00013622(clec-238). History: N.A.
R193.2,R193.2,15.5481448502836,-5.44321,5.27749504325078e-05,41.0,3.0,R193.2,WBGene00020128,Public name for WBGene00020128. History: N.A.
ZK131.10,his-16,2516.32158810458,-5.32379,0.0029649049038714,1.0,69.0,ZK131.10,WBGene00001890,Sequence name for WBGene00001890(his-16). History: N.A.
ZK813.1,ZK813.1,50.5996080850073,-5.30034,0.0139209936509311,3.0,1.0,ZK813.1,WBGene00022820,Public name for WBGene00022820. History: N.A.
ZK909.4,ces-2,4.55655923772639,-5.28949,0.0296127081760773,13.0,3.0,ZK909.4,WBGene00000469,Sequence name for WBGene00000469(ces-2). History: N.A.
W01C8.3,set-19,92.7441045151586,-5.17625,2.1975718674835e-21,37.0,4.0,W01C8.3,WBGene00020919,Sequence name for WBGene00020919(set-19). History: N.A.
C52A10.3,C52A10.3,32.5304667041331,-5.07805,3.10998370867051e-08,20.0,4.0,C52A10.3,WBGene00016864,Public name for WBGene00016864. History: N.A.
Y102A5C.36,Y102A5C.36,205.170934615824,-5.05005,2.18244881423362e-29,7.0,8.0,Y102A5C.36,WBGene00044213,Public name for WBGene00044213. History: N.A.
W01C8.4,set-20,65.782733391336,-5.02975,1.1400312443859898e-11,21.0,1.0,W01C8.4,WBGene00020920,Sequence name for WBGene00020920(set-20). History: N.A.
R11G1.7,R11G1.7,7.51565758500418,-4.9179,0.0176538891074266,6.0,3.0,R11G1.7,WBGene00044725,Public name for WBGene00044725. History: N.A.
Y73B3A.20,Y73B3A.20,36.9975345433073,-4.88443,4.4006522029549e-09,4.0,3.0,Y73B3A.20,WBGene00022221,Public name for WBGene00022221. History: N.A.
F45C12.2,ceh-82,43.6320120116408,-4.85677,1.5087071464825798e-11,13.0,10.0,F45C12.2,WBGene00018433,Sequence name for WBGene00018433(ceh-82). History: N.A.
VY35H6BL.2,VY35H6BL.2,4.33372331346189,-4.77104,0.0412749976503463,,,VY35H6BL.2,WBGene00021342,"Public name for Dead gene WBGene00012161. History of WBGene00012161: Merged into ""WBGene00021342"" on 2013-10-17"
Y102A5C.5,Pseudogene,281.348718655595,-4.66612,1.74632578133668e-56,,,Y102A5C.5,WBGene00014954,Public name for WBGene00014954. History: N.A.
T23B12.8,T23B12.8,6.12434356061007,-4.66359,0.0406193818274945,6.0,0.0,T23B12.8,WBGene00020722,Public name for WBGene00020722. History: N.A.
R03D7.2,R03D7.2,532.709396169825,-4.62627,3.78077112097209e-38,8.0,24.0,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
E_BE45912.2,E_BE45912.2,79.1837972255793,-4.59329,1.2477005086391898e-18,22.0,4.0,E_BE45912.2,WBGene00017153,Public name for WBGene00017153. History: N.A.
C41G11.3,rgs-6,12.4827834804221,-4.5556,0.0051728857081946,14.0,0.0,C41G11.3,WBGene00004349,"Sequence name for WBGene00004349(rgs-6). History: N.A.. Public name for Dead gene WBGene00016569. History of WBGene00016569: Merged into ""WBGene00004349"" on 2004-12-03. Remark: [140610 pad] Gene was missing Merged_into Event history data so inferred from Merged_into tag."
C25F6.2,dlg-1,186.434984921292,-4.5468,3.49587153701551e-39,35.0,5.0,C25F6.2,WBGene00001006,Sequence name for WBGene00001006(dlg-1). History: N.A.
K06C4.11,his-19,221.543718578781,-4.53626,5.25392906984038e-47,2.0,39.0,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
K06C4.3,his-21,221.543718578781,-4.53626,5.25392906984038e-47,2.0,39.0,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
F07B7.10,his-51,221.543718578781,-4.53626,5.25392906984038e-47,2.0,39.0,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.3,his-53,221.543718578781,-4.53626,5.25392906984038e-47,2.0,39.0,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
T22B7.5,srv-7,21.3821707083287,-4.49719,7.88880223111239e-05,3.0,0.0,T22B7.5,WBGene00005718,Sequence name for WBGene00005718(srv-7). History: N.A.
F45F2.12,his-8,119.921342880518,-4.49606,9.39428500396538e-25,3.0,29.0,F45F2.12,WBGene00001882,Sequence name for WBGene00001882(his-8). History: N.A.
K09E3.5,lido-5,79.6108247910899,-4.46536,5.07555761453395e-17,29.0,0.0,K09E3.5,WBGene00019576,Sequence name for WBGene00019576(lido-5). History: N.A.
C08A9.8,lido-3,20.9479025903321,-4.45248,5.94204628789957e-06,16.0,2.0,C08A9.8,WBGene00015588,Sequence name for WBGene00015588(lido-3). History: N.A.
Y15E3A.3,Y15E3A.3,14.7891001959725,-4.42897,0.0004323737466461,17.0,6.0,Y15E3A.3,WBGene00012442,Public name for WBGene00012442. History: N.A.
C25A11.1,C25A11.1,43.4284092284062,-4.41361,6.04509440484989e-10,15.0,0.0,C25A11.1,WBGene00219374,"Public name for Dead gene WBGene00016086. History of WBGene00016086: Merged into ""WBGene00219374"" on 2018-11-14"
F02E8.4,F02E8.4,1626.91851307589,-4.34128,0.0,29.0,13.0,F02E8.4,WBGene00017177,Public name for WBGene00017177. History: N.A.
R13A1.10,R13A1.10,6.98514997063433,-4.28091,0.0295045718184538,19.0,3.0,R13A1.10,WBGene00044504,Public name for WBGene00044504. History: N.A.
T03G6.2,nhr-40,90.6081720207733,-4.27248,6.29373818570423e-23,23.0,5.0,T03G6.2,WBGene00003630,"Sequence name for WBGene00003630(nhr-40). History: Split into T03G6.7(WBGene00303074). History of WBGene00003630: Split into ""WBGene00303074"" on 2018-03-02"
B0228.6,B0228.6,15.0318993104534,-4.2702,0.0002440780729223,10.0,0.0,B0228.6,WBGene00015063,Public name for WBGene00015063. History: N.A.
F57G4.7,Transposon,205.681584181451,-4.24304,6.06455125870767e-39,,,F57G4.7,,"Sequence name for Suppressed gene WBGene00014774. Molecular name for Suppressed gene WBGene00014774. Public name for Suppressed gene WBGene00014774. History of WBGene00014774: Killed on 2010-07-09; Suppressed on 2013-07-30. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
F59A1.9,Pseudogene,225.180526530425,-4.19423,1.02691752974728e-31,,,F59A1.9,WBGene00010295,Sequence name for WBGene00010295(fbxa-193). History: N.A.
F53B3.5,F53B3.5,35.2447418729465,-4.18244,1.31979227503514e-07,7.0,3.0,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
C32B5.1,fbxc-40,21.1179782504272,-4.15067,5.82154352661346e-06,23.0,6.0,C32B5.1,WBGene00016295,Sequence name for WBGene00016295(fbxc-40). History: N.A.
F48E3.9,F48E3.9,7.25604762859708,-4.08834,0.0197969085024732,37.0,1.0,F48E3.9,WBGene00018608,Public name for WBGene00018608. History: N.A.
cTel7X.1,Pseudogene,6.72600280055874,-4.03973,0.0127254529268516,,,cTel7X.1,WBGene00008351,Public name for WBGene00008351. History: N.A.
F35C8.8,F35C8.8,10.00981665922,-3.96515,0.0055912988374296,2.0,4.0,F35C8.8,WBGene00018038,Public name for WBGene00018038. History: N.A.
T14G8.1,chd-3,463.755046051624,-3.94367,2.43749795798298e-105,50.0,3.0,T14G8.1,WBGene00000482,Sequence name for WBGene00000482(chd-3). History: N.A.
Y102A5C.35,Pseudogene,14.4798710165076,-3.92785,0.0072985827114024,,,Y102A5C.35,WBGene00044220,Public name for WBGene00044220. History: N.A.
Y23H5A.2,Y23H5A.2,269.871544591863,-3.90393,4.34051239374553e-56,0.0,15.0,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
K08E5.1,K08E5.1,233.416209125309,-3.84497,2.21522392793754e-17,10.0,53.0,K08E5.1,WBGene00014801,Public name for WBGene00014801. History: N.A.
F57A10.4,F57A10.4,417.341378561419,-3.84131,1.63276110079659e-53,10.0,2.0,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
C04F12.5,C04F12.5,162.043958735296,-3.80033,1.69283236430346e-24,1.0,2.0,C04F12.5,WBGene00007299,Public name for WBGene00007299. History: N.A.
C52A10.2,cest-35.2,19.1568198584676,-3.7505,0.0008800973671973,23.0,0.0,C52A10.2,WBGene00016863,Sequence name for WBGene00016863(cest-35.2). History: N.A.
C02F12.8,C02F12.8,241.358036040791,-3.72934,1.02355112039921e-53,18.0,5.0,C02F12.8,WBGene00015357,Public name for WBGene00015357. History: N.A.
C40A11.8,C40A11.8,39.5647253285059,-3.72689,0.0131141582986129,13.0,3.0,C40A11.8,WBGene00016551,Public name for WBGene00016551. History: N.A.
F57G4.9,Transposon,72.1464658144123,-3.72305,3.5679248935777004e-10,,,F57G4.9,,Sequence name for Suppressed gene WBGene00010213. Molecular name for Suppressed gene WBGene00010213. Public name for Suppressed gene WBGene00010213. History of WBGene00010213: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y102A11A.6,Y102A11A.6,12.9629844372927,-3.68566,0.0161973709626679,17.0,1.0,Y102A11A.6,WBGene00022416,Sequence name for WBGene00022416(ergi-1). History: N.A.
F08F1.5,ced-8,80.26800033572,-3.67245,1.7384251530055902e-15,22.0,6.0,F08F1.5,WBGene00000422,Sequence name for WBGene00000422(ced-8). History: N.A.
H11L12.1,H11L12.1,46.584469248418,-3.66701,6.22083472456008e-05,2.0,46.0,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
T10C6.9,Pseudogene,13.0552052360163,-3.65629,0.0029238617932791,,,T10C6.9,WBGene00011690,Public name for WBGene00011690. History: N.A.
Y60A3A.7,abhd-3.1,406.621039723933,-3.65034,2.1297675674302202e-91,6.0,14.0,Y60A3A.7,WBGene00013358,Sequence name for WBGene00013358(abhd-3.1). History: N.A.
T08D2.3,Pseudogene,109.628844381498,-3.64216,1.18390415498832e-10,,,T08D2.3,WBGene00011608,Public name for WBGene00011608. History: N.A.
W05H12.2,W05H12.2,23.4170883839402,-3.6311,2.21134703779511e-05,11.0,19.0,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
W06D11.3,W06D11.3,148.93362205577,-3.62758,3.95255539437885e-26,8.0,6.0,W06D11.3,WBGene00012301,Public name for WBGene00012301. History: N.A.
E02H4.6,E02H4.6,271.912093454636,-3.60636,2.96588430230248e-49,7.0,2.0,E02H4.6,WBGene00008464,Public name for WBGene00008464. History: N.A.
F08G12.10,inx-2,143.298846290645,-3.59282,6.662249882614159e-28,8.0,5.0,F08G12.10,WBGene00002124,Sequence name for WBGene00002124(inx-2). History: N.A.
F59A1.7,Pseudogene,592.366632509969,-3.56076,1.45770464701159e-114,16.0,3.0,F59A1.7,WBGene00010293,Sequence name for WBGene00010293(fbxa-108). History: N.A.
F41B4.4,glr-6,39.7612736410478,-3.55872,4.17039170387812e-06,21.0,2.0,F41B4.4,WBGene00001617,Sequence name for WBGene00001617(glr-6). History: N.A.
K06C4.5,his-17,760.333370888556,-3.5581,2.06015706731609e-09,1.0,37.0,K06C4.5,WBGene00001891,Sequence name for WBGene00001891(his-17). History: N.A.
T21C12.1,unc-49,11.9076608551099,-3.55196,0.0036187407201094,23.0,3.0,T21C12.1,WBGene00006784,Sequence name for WBGene00006784(unc-49). History: N.A.
T01G5.8,T01G5.8,24.5925285967785,-3.51039,0.0001871822667821,1.0,2.0,T01G5.8,WBGene00077585,Public name for WBGene00077585. History: N.A.
H05G16.1,frm-3,17.4733514945757,-3.50239,0.0018522939155507,24.0,2.0,H05G16.1,WBGene00001490,Sequence name for WBGene00001490(frm-3). History: N.A.
T24D11.1,eat-17,128.242326442726,-3.49802,1.6767474097885002e-20,16.0,14.0,T24D11.1,WBGene00020770,Sequence name for WBGene00020770(eat-17). History: Renamed on 2013-07-17
K08A8.1,mek-1,457.46180296984,-3.49379,1.70009571736478e-77,7.0,13.0,K08A8.1,WBGene00003185,Sequence name for WBGene00003185(mek-1). History: N.A.
R04D3.3,R04D3.3,795.631676092868,-3.44943,4.47926683904849e-142,12.0,21.0,R04D3.3,WBGene00011011,Public name for WBGene00011011. History: N.A.
F42F12.3,F42F12.3,41.1446998717108,-3.42987,1.81687040647443e-07,6.0,0.0,F42F12.3,WBGene00009635,Public name for WBGene00009635. History: N.A.
K09E3.6,lido-6,24.9076990568618,-3.42564,7.86147922782454e-05,13.0,4.0,K09E3.6,WBGene00019577,Sequence name for WBGene00019577(lido-6). History: N.A.
F18E9.5,jmjd-3.1,43.3705147027659,-3.417,1.09651987805831e-05,54.0,30.0,F18E9.5,WBGene00017571,Sequence name for WBGene00017571(jmjd-3.1). History: Renamed on 2016-08-08
K04C1.5,K04C1.5,1355.64633642789,-3.40554,1.24682249027516e-91,17.0,17.0,K04C1.5,WBGene00010555,Public name for WBGene00010555. History: N.A.
C06E7.4,C06E7.4,15.1127465561869,-3.3921,0.0025840044638304,12.0,0.0,C06E7.4,WBGene00015541,Public name for WBGene00015541. History: N.A.
E02H9.3,E02H9.3,504.328483633457,-3.35125,3.43493489090017e-87,19.0,31.0,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
C14F11.1,got-2.2,730.36732686545,-3.34866,6.52542731964322e-74,11.0,9.0,C14F11.1,WBGene00015778,Sequence name for WBGene00015778(got-2.2). History: N.A.
Y49A10A.2,Y49A10A.2,51.2126600021675,-3.34722,9.07930294615234e-09,19.0,3.0,Y49A10A.2,WBGene00044949,Public name for WBGene00044949. History: N.A.
H12D21.10,H12D21.10,20.6069953164013,-3.30958,0.0030700916456696,25.0,5.0,H12D21.10,WBGene00010386,Public name for WBGene00010386. History: N.A.
K11D12.13,K11D12.13,18.8880886410169,-3.28394,0.0339492362885659,5.0,0.0,K11D12.13,WBGene00044535,Public name for WBGene00044535. History: N.A.
F20C5.5,F20C5.5,8.51262804826191,-3.23814,0.0164173707183969,51.0,0.0,F20C5.5,WBGene00008970,Public name for WBGene00008970. History: N.A.
F32E10.9,F32E10.9,67.8312359964528,-3.2369,7.34582038801192e-13,19.0,5.0,F32E10.9,WBGene00043068,Public name for WBGene00043068. History: N.A.
C40H5.6,Pseudogene,9.46529405837563,-3.21321,0.0237183681082665,,,C40H5.6,WBGene00008048,"Sequence name for WBGene00008048(hpo-41). History: Split into C40H5.8(WBGene00044585). History of WBGene00008048: Split into ""WBGene00044585"" on 2005-06-21"
M01D1.10,fbxb-45,13.4525494232345,-3.20239,0.0154378717747412,11.0,8.0,M01D1.10,WBGene00019705,Sequence name for WBGene00019705(fbxb-45). History: N.A.
K02E10.1,K02E10.1,11.9139101623668,-3.1987,0.0045778368058189,13.0,2.0,K02E10.1,WBGene00019317,Public name for WBGene00019317. History: N.A.
C07D8.6,C07D8.6,1227.99025093647,-3.1824,2.90514089125005e-162,3.0,15.0,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
ZK682.2,slc-17.7,124.531761119081,-3.17478,1.48581764328715e-21,17.0,4.0,ZK682.2,WBGene00022788,Sequence name for WBGene00022788(slc-17.7). History: N.A.
C01B7.6,rpm-1,399.828790323382,-3.14917,9.04452770443607e-38,105.0,6.0,C01B7.6,WBGene00004457,Sequence name for WBGene00004457(rpm-1). History: N.A.
C13B9.4,pdfr-1,32.508488220187,-3.09969,0.0008404595572769,37.0,7.0,C13B9.4,WBGene00015735,Sequence name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
R04E5.9,R04E5.9,30.0603886711529,-3.09458,0.000281995363074,7.0,28.0,R04E5.9,WBGene00019872,Public name for WBGene00019872. History: N.A.
C54G7.4,ifta-1,62.815743166594,-3.08813,6.2440544344659405e-09,39.0,3.0,C54G7.4,WBGene00016935,Sequence name for WBGene00016935(ifta-1). History: Renamed on 2018-06-11
C16H3.3,C16H3.3,54.9180134503105,-3.07968,2.31001486774234e-07,36.0,27.0,C16H3.3,WBGene00015868,Public name for WBGene00015868. History: N.A.
H37A05.2,H37A05.2,11.8135906344815,-3.07959,0.0186276055867377,16.0,1.0,H37A05.2,WBGene00010426,Public name for WBGene00010426. History: N.A.
C18B12.5,fbxa-97,34.8613924081848,-3.06797,8.23988925458288e-06,,,C18B12.5,WBGene00007667,Sequence name for WBGene00007667(fbxa-97). History: N.A.
